Date,Close,Open,Low,High,Volume,Trades
2018-07-11,24000.0,24000.0,24000.0,24000.0,308692206,182093
2018-07-14,25200.0,25200.0,25200.0,25200.0,476084,588
2018-07-15,26460.0,26460.0,26460.0,26460.0,1394445,1341
2018-07-16,27783.0,27783.0,27783.0,27783.0,18939732,9030
2018-07-17,29172.0,29172.0,29172.0,29172.0,36137816,23238
2018-07-18,30007.0,30630.0,29101.0,31000.0,139710819,102695
2018-07-23,25603.0,25180.0,25180.0,25979.0,24387066,15973
2018-07-24,25584.0,25980.0,25201.0,25980.0,18894507,15934
2018-07-25,25207.0,25249.0,24441.0,25800.0,18300700,15223
2018-07-28,26350.0,26200.0,25900.0,26467.0,5146486,3355
2018-07-29,27449.0,27667.0,26700.0,27667.0,33041849,16472
2018-07-30,28612.0,27900.0,27700.0,28821.0,10098800,4674
2018-07-31,30042.0,30042.0,30042.0,30042.0,1144601,781
2018-08-01,31544.0,31544.0,31544.0,31544.0,1994707,620
2018-08-04,32884.0,32500.0,31900.0,33910.0,28813029,19951
2018-08-05,34504.0,34528.0,33500.0,34528.0,28651572,8232
2018-08-06,36229.0,36229.0,36200.0,36229.0,52752088,8212
2018-08-07,36281.0,35787.0,34800.0,37640.0,28803452,18611
2018-08-08,34911.0,35980.0,34699.0,35980.0,18346017,12011
2018-08-11,33512.0,34499.0,33166.0,34499.0,19585502,12625
2018-08-12,34476.0,33411.0,33411.0,35187.0,10674003,9248
2018-08-13,33765.0,34460.0,33011.0,34460.0,5434188,4541
2018-08-14,34815.0,34700.0,34121.0,35295.0,9201202,7665
2018-08-15,34027.0,34500.0,33700.0,34500.0,4328929,3447
2018-08-18,34281.0,34198.0,33200.0,35300.0,7793916,5558
2018-08-19,35468.0,35990.0,34650.0,35990.0,6085926,4905
2018-08-20,35641.0,34850.0,34700.0,36400.0,7542215,4842
2018-08-21,35164.0,35130.0,34750.0,36100.0,6278031,4097
2018-08-25,33803.0,34760.0,33406.0,35200.0,16123643,9748
2018-08-26,33687.0,33600.0,32780.0,34500.0,7746725,5948
2018-08-27,33684.0,34200.0,33550.0,34300.0,5689398,4490
2018-08-28,32817.0,33400.0,32200.0,33470.0,6652327,5511
2018-08-29,33590.0,33388.0,33162.0,33942.0,4802863,3399
2018-09-01,32917.0,33690.0,32500.0,33801.0,3538965,2802
2018-09-02,32060.0,32671.0,31736.0,32790.0,6042357,4539
2018-09-03,32603.0,32771.0,32195.0,33180.0,3920992,2931
2018-09-04,33715.0,34233.0,33160.0,34233.0,3767571,2916
2018-09-05,33524.0,34970.0,33000.0,34970.0,5050926,3009
2018-09-08,33339.0,33980.0,33105.0,33980.0,4441976,3415
2018-09-09,34300.0,33150.0,33000.0,35005.0,12724838,7877
2018-09-10,35228.0,35500.0,34550.0,35900.0,7932381,5556
2018-09-11,34626.0,34900.0,33780.0,35228.0,7605089,5217
2018-09-12,36273.0,35990.0,35800.0,36357.0,13477047,4050
2018-09-15,37887.0,38086.0,36512.0,38086.0,21591358,5820
2018-09-16,36874.0,37475.0,36010.0,37475.0,7803019,5199
2018-09-17,36889.0,37300.0,35995.0,37850.0,6228807,5177
2018-09-18,36094.0,36010.0,35800.0,36576.0,5865295,3501
2018-09-22,36107.0,36190.0,35700.0,36497.0,6334521,4609
2018-09-23,37070.0,36200.0,36110.0,37800.0,7628891,4274
2018-09-24,37160.0,37201.0,37010.0,37761.0,6730011,3958
2018-09-25,38609.0,37503.0,37350.0,39018.0,16641890,6503
2018-09-26,40154.0,40000.0,39500.0,40530.0,10861285,6271
2018-09-29,41573.0,41500.0,40111.0,42161.0,8128799,6071
2018-09-30,43433.0,43500.0,42351.0,43651.0,9896546,6288
2018-10-01,41323.0,41285.0,41262.0,42499.0,18979500,9392
2018-10-02,39333.0,39500.0,39257.0,40500.0,8916846,2635
2018-10-03,38049.0,37367.0,37367.0,39257.0,11750098,6082
