,Date,Trend
0,2015-08-23,45
1,2015-08-30,56
2,2015-09-06,48
3,2015-09-13,46
4,2015-09-20,47
5,2015-09-27,45
6,2015-10-04,44
7,2015-10-11,44
8,2015-10-18,40
9,2015-10-25,48
10,2015-11-01,47
11,2015-11-08,55
12,2015-11-15,42
13,2015-11-22,44
14,2015-11-29,43
15,2015-12-06,47
16,2015-12-13,56
17,2015-12-20,52
18,2015-12-27,54
19,2016-01-03,50
20,2016-01-10,54
21,2016-01-17,54
22,2016-01-24,55
23,2016-01-31,55
24,2016-02-07,51
25,2016-02-14,55
26,2016-02-21,49
27,2016-02-28,46
28,2016-03-06,46
29,2016-03-13,36
30,2016-03-20,33
31,2016-03-27,44
32,2016-04-03,58
33,2016-04-10,51
34,2016-04-17,48
35,2016-04-24,52
36,2016-05-01,50
37,2016-05-08,52
38,2016-05-15,52
39,2016-05-22,53
40,2016-05-29,52
41,2016-06-05,60
42,2016-06-12,56
43,2016-06-19,61
44,2016-06-26,59
45,2016-07-03,56
46,2016-07-10,57
47,2016-07-17,58
48,2016-07-24,59
49,2016-07-31,60
50,2016-08-07,60
51,2016-08-14,58
52,2016-08-21,58
53,2016-08-28,61
54,2016-09-04,61
55,2016-09-11,57
56,2016-09-18,56
57,2016-09-25,56
58,2016-10-02,53
59,2016-10-09,45
60,2016-10-16,55
61,2016-10-23,56
62,2016-10-30,54
63,2016-11-06,54
64,2016-11-13,56
65,2016-11-20,57
66,2016-11-27,53
67,2016-12-04,58
68,2016-12-11,56
69,2016-12-18,64
70,2016-12-25,64
71,2017-01-01,62
72,2017-01-08,58
73,2017-01-15,57
74,2017-01-22,65
75,2017-01-29,68
76,2017-02-05,61
77,2017-02-12,63
78,2017-02-19,55
79,2017-02-26,56
80,2017-03-05,51
81,2017-03-12,46
82,2017-03-19,35
83,2017-03-26,44
84,2017-04-02,55
85,2017-04-09,61
86,2017-04-16,61
87,2017-04-23,57
88,2017-04-30,57
89,2017-05-07,51
90,2017-05-14,48
91,2017-05-21,52
92,2017-05-28,55
93,2017-06-04,50
94,2017-06-11,54
95,2017-06-18,54
96,2017-06-25,53
97,2017-07-02,62
98,2017-07-09,78
99,2017-07-16,63
100,2017-07-23,62
101,2017-07-30,61
102,2017-08-06,65
103,2017-08-13,61
104,2017-08-20,62
105,2017-08-27,61
106,2017-09-03,56
107,2017-09-10,68
108,2017-09-17,66
109,2017-09-24,47
110,2017-10-01,53
111,2017-10-08,56
112,2017-10-15,56
113,2017-10-22,56
114,2017-10-29,56
115,2017-11-05,53
116,2017-11-12,55
117,2017-11-19,65
118,2017-11-26,60
119,2017-12-03,61
120,2017-12-10,62
121,2017-12-17,63
122,2017-12-24,69
123,2017-12-31,64
124,2018-01-07,61
125,2018-01-14,64
126,2018-01-21,77
127,2018-01-28,67
128,2018-02-04,67
129,2018-02-11,65
130,2018-02-18,61
131,2018-02-25,61
132,2018-03-04,57
133,2018-03-11,51
134,2018-03-18,38
135,2018-03-25,48
136,2018-04-01,52
137,2018-04-08,61
138,2018-04-15,63
139,2018-04-22,65
140,2018-04-29,59
141,2018-05-06,59
142,2018-05-13,57
143,2018-05-20,62
144,2018-05-27,60
145,2018-06-03,54
146,2018-06-10,63
147,2018-06-17,62
148,2018-06-24,56
149,2018-07-01,58
150,2018-07-08,62
151,2018-07-15,61
152,2018-07-22,67
153,2018-07-29,67
154,2018-08-05,64
155,2018-08-12,71
156,2018-08-19,64
157,2018-08-26,68
158,2018-09-02,68
159,2018-09-09,56
160,2018-09-16,44
161,2018-09-23,54
162,2018-09-30,59
163,2018-10-07,53
164,2018-10-14,51
165,2018-10-21,53
166,2018-10-28,49
167,2018-11-04,47
168,2018-11-11,53
169,2018-11-18,50
170,2018-11-25,52
171,2018-12-02,57
172,2018-12-09,65
173,2018-12-16,57
174,2018-12-23,59
175,2018-12-30,56
176,2019-01-06,60
177,2019-01-13,60
178,2019-01-20,58
179,2019-01-27,60
180,2019-02-03,58
181,2019-02-10,59
182,2019-02-17,73
183,2019-02-24,56
184,2019-03-03,52
185,2019-03-10,48
186,2019-03-17,38
187,2019-03-24,40
188,2019-03-31,44
189,2019-04-07,53
190,2019-04-14,61
191,2019-04-21,57
192,2019-04-28,56
193,2019-05-05,58
194,2019-05-12,78
195,2019-05-19,57
196,2019-05-26,52
197,2019-06-02,47
198,2019-06-09,57
199,2019-06-16,54
200,2019-06-23,58
201,2019-06-30,57
202,2019-07-07,58
203,2019-07-14,63
204,2019-07-21,60
205,2019-07-28,61
206,2019-08-04,61
207,2019-08-11,57
208,2019-08-18,74
209,2019-08-25,62
210,2019-09-01,55
211,2019-09-08,49
212,2019-09-15,57
213,2019-09-22,57
214,2019-09-29,59
215,2019-10-06,55
216,2019-10-13,52
217,2019-10-20,66
218,2019-10-27,58
219,2019-11-03,55
220,2019-11-10,49
221,2019-11-17,5
222,2019-11-24,45
223,2019-12-01,63
224,2019-12-08,62
225,2019-12-15,78
226,2019-12-22,66
227,2019-12-29,61
228,2020-01-05,54
229,2020-01-12,62
230,2020-01-19,66
231,2020-01-26,66
232,2020-02-02,68
233,2020-02-09,64
234,2020-02-16,61
235,2020-02-23,57
236,2020-03-01,54
237,2020-03-08,58
238,2020-03-15,44
239,2020-03-22,43
240,2020-03-29,45
241,2020-04-05,54
242,2020-04-12,58
243,2020-04-19,63
244,2020-04-26,71
245,2020-05-03,75
246,2020-05-10,73
247,2020-05-17,79
248,2020-05-24,100
249,2020-05-31,80
250,2020-06-07,75
251,2020-06-14,62
252,2020-06-21,66
253,2020-06-28,69
254,2020-07-05,74
255,2020-07-12,74
256,2020-07-19,75
257,2020-07-26,92
258,2020-08-02,70
259,2020-08-09,72
