Date,Close,Open,Low,High,Volume,Trades
2001-03-26,2296.0,2295.0,2295.0,2296.0,28647,6
2001-03-28,2300.0,2250.0,2250.0,2300.0,23658,21
2001-03-31,2300.0,2300.0,2300.0,2300.0,250,1
2001-04-03,2289.0,2289.0,2289.0,2289.0,650,1
2001-04-07,2287.0,2287.0,2287.0,2287.0,867,1
2001-04-08,2287.0,2286.0,2286.0,2287.0,954,4
2001-04-09,2200.0,2200.0,2200.0,2279.0,3165,3
2001-04-11,2196.0,2198.0,2195.0,2199.0,8766,16
2001-04-14,2188.0,2194.0,2188.0,2195.0,750,6
2001-04-15,2169.0,2186.0,2169.0,2186.0,3528,5
2001-04-17,2200.0,2061.0,2061.0,2200.0,193676,77
2001-04-18,2105.0,2197.0,2105.0,2197.0,5802,3
2001-04-21,2090.0,2105.0,2080.0,2105.0,14205,12
2001-04-22,2089.0,2060.0,2051.0,2089.0,37552,27
2001-04-23,2080.0,2080.0,2050.0,2080.0,45809,28
2001-04-24,2070.0,2065.0,2060.0,2070.0,6787,8
2001-04-25,2060.0,2060.0,2060.0,2070.0,35242,40
2001-04-28,2081.0,2060.0,2060.0,2100.0,32083,27
2001-04-29,2124.0,2082.0,2082.0,2124.0,23375,17
2001-04-30,2150.0,2151.0,2145.0,2156.0,42045,31
2001-05-23,2065.0,2149.0,2042.0,2149.0,12941,18
2001-05-26,1977.0,2013.0,1977.0,2013.0,9973,22
2001-05-27,1927.0,1927.0,1927.0,1949.0,14110,16
2001-05-28,1831.0,1918.0,1831.0,1922.0,14351,24
2001-05-29,1756.0,1800.0,1740.0,1827.0,40589,35
2001-05-30,1751.0,1760.0,1751.0,1790.0,36263,33
2001-06-02,1680.0,1740.0,1670.0,1740.0,21090,22
2001-06-03,1628.0,1680.0,1628.0,1680.0,21223,19
2001-06-06,1680.0,1629.0,1600.0,1680.0,86119,44
2001-06-09,1700.0,1678.0,1678.0,1700.0,48674,29
2001-06-11,1704.0,1701.0,1700.0,1750.0,29147,22
2001-06-12,1720.0,1748.0,1710.0,1748.0,41837,26
2001-06-13,1760.0,1715.0,1713.0,1760.0,47147,38
2001-06-16,1848.0,1800.0,1796.0,1848.0,17316,12
2001-06-17,1900.0,1940.0,1848.0,1940.0,174471,70
2001-06-18,1900.0,1898.0,1848.0,1900.0,105299,78
2001-06-19,1900.0,1885.0,1880.0,1900.0,183065,49
2001-06-20,1900.0,1900.0,1883.0,1900.0,89703,31
2001-06-23,1855.0,1860.0,1855.0,1860.0,3904,3
2001-06-24,1795.0,1763.0,1763.0,1800.0,101826,42
2001-07-10,1300.0,1300.0,1300.0,1300.0,5594,4
2001-07-11,1365.0,1365.0,1365.0,1365.0,1920,2
2001-07-14,1433.0,1433.0,1433.0,1433.0,1306,2
2001-07-15,1504.0,1504.0,1504.0,1504.0,23063,16
2001-07-16,1579.0,1579.0,1579.0,1579.0,83128,32
2001-07-17,1579.0,1657.0,1570.0,1657.0,223695,94
2001-07-18,1550.0,1550.0,1501.0,1575.0,32967,27
2001-07-21,1560.0,1511.0,1511.0,1560.0,68966,81
2001-07-22,1500.0,1550.0,1500.0,1550.0,43187,38
2001-07-23,1499.0,1501.0,1499.0,1501.0,8996,12
2001-07-24,1452.0,1456.0,1452.0,1480.0,4624,3
2001-07-25,1399.0,1426.0,1380.0,1426.0,12935,15
2001-07-28,1400.0,1397.0,1397.0,1401.0,22269,31
2001-07-29,1370.0,1400.0,1350.0,1401.0,36958,21
2001-07-30,1370.0,1370.0,1370.0,1372.0,24399,29
2001-07-31,1390.0,1370.0,1370.0,1390.0,24061,23
2001-08-01,1399.0,1377.0,1376.0,1399.0,31800,28
2001-08-04,1399.0,1399.0,1399.0,1399.0,5300,7
2001-08-05,1400.0,1399.0,1399.0,1400.0,42874,23
2001-08-06,1396.0,1400.0,1396.0,1400.0,38615,21
2001-08-07,1389.0,1390.0,1389.0,1390.0,3779,5
2001-08-08,1360.0,1377.0,1359.0,1378.0,32730,23
2001-08-11,1365.0,1360.0,1350.0,1365.0,20584,21
2001-08-12,1353.0,1365.0,1353.0,1365.0,14450,12
2001-08-13,1325.0,1353.0,1325.0,1360.0,26350,22
2001-08-14,1351.0,1340.0,1327.0,1351.0,9172,12
2001-08-15,1355.0,1365.0,1349.0,1366.0,41234,28
2001-08-18,1370.0,1359.0,1355.0,1370.0,12854,15
2001-08-19,1386.0,1385.0,1375.0,1395.0,56853,27
2001-08-20,1382.0,1385.0,1380.0,1390.0,13318,12
2001-08-21,1362.0,1376.0,1362.0,1377.0,18734,9
2001-08-22,1370.0,1358.0,1358.0,1370.0,30886,34
2001-08-25,1360.0,1370.0,1360.0,1370.0,8999,12
