,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,3
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,3
9,2015-10-25,0
10,2015-11-01,3
11,2015-11-08,0
12,2015-11-15,0
13,2015-11-22,0
14,2015-11-29,0
15,2015-12-06,3
16,2015-12-13,0
17,2015-12-20,0
18,2015-12-27,5
19,2016-01-03,7
20,2016-01-10,3
21,2016-01-17,6
22,2016-01-24,3
23,2016-01-31,3
24,2016-02-07,3
25,2016-02-14,3
26,2016-02-21,6
27,2016-02-28,6
28,2016-03-06,0
29,2016-03-13,3
30,2016-03-20,0
31,2016-03-27,7
32,2016-04-03,3
33,2016-04-10,0
34,2016-04-17,0
35,2016-04-24,3
36,2016-05-01,0
37,2016-05-08,3
38,2016-05-15,0
39,2016-05-22,3
40,2016-05-29,7
41,2016-06-05,3
42,2016-06-12,0
43,2016-06-19,0
44,2016-06-26,0
45,2016-07-03,0
46,2016-07-10,3
47,2016-07-17,4
48,2016-07-24,10
49,2016-07-31,4
50,2016-08-07,4
51,2016-08-14,7
52,2016-08-21,4
53,2016-08-28,7
54,2016-09-04,0
55,2016-09-11,7
56,2016-09-18,3
57,2016-09-25,7
58,2016-10-02,7
59,2016-10-09,10
60,2016-10-16,7
61,2016-10-23,3
62,2016-10-30,3
63,2016-11-06,3
64,2016-11-13,0
65,2016-11-20,0
66,2016-11-27,3
67,2016-12-04,3
68,2016-12-11,3
69,2016-12-18,0
70,2016-12-25,3
71,2017-01-01,6
72,2017-01-08,5
73,2017-01-15,3
74,2017-01-22,9
75,2017-01-29,3
76,2017-02-05,4
77,2017-02-12,4
78,2017-02-19,0
79,2017-02-26,0
80,2017-03-05,0
81,2017-03-12,0
82,2017-03-19,0
83,2017-03-26,6
84,2017-04-02,0
85,2017-04-09,0
86,2017-04-16,3
87,2017-04-23,6
88,2017-04-30,0
89,2017-05-07,4
90,2017-05-14,3
91,2017-05-21,0
92,2017-05-28,0
93,2017-06-04,6
94,2017-06-11,3
95,2017-06-18,0
96,2017-06-25,7
97,2017-07-02,0
98,2017-07-09,3
99,2017-07-16,10
100,2017-07-23,3
101,2017-07-30,0
102,2017-08-06,8
103,2017-08-13,3
104,2017-08-20,3
105,2017-08-27,3
106,2017-09-03,3
107,2017-09-10,0
108,2017-09-17,6
109,2017-09-24,0
110,2017-10-01,0
111,2017-10-08,0
112,2017-10-15,0
113,2017-10-22,4
114,2017-10-29,3
115,2017-11-05,0
116,2017-11-12,3
117,2017-11-19,3
118,2017-11-26,3
119,2017-12-03,6
120,2017-12-10,12
121,2017-12-17,9
122,2017-12-24,3
123,2017-12-31,5
124,2018-01-07,0
125,2018-01-14,3
126,2018-01-21,0
127,2018-01-28,6
128,2018-02-04,11
129,2018-02-11,9
130,2018-02-18,3
131,2018-02-25,0
132,2018-03-04,0
133,2018-03-11,0
134,2018-03-18,0
135,2018-03-25,3
136,2018-04-01,3
137,2018-04-08,0
138,2018-04-15,3
139,2018-04-22,0
140,2018-04-29,0
141,2018-05-06,6
142,2018-05-13,0
143,2018-05-20,0
144,2018-05-27,3
145,2018-06-03,0
146,2018-06-10,0
147,2018-06-17,6
148,2018-06-24,0
149,2018-07-01,3
150,2018-07-08,3
151,2018-07-15,9
152,2018-07-22,4
153,2018-07-29,0
154,2018-08-05,3
155,2018-08-12,0
156,2018-08-19,3
157,2018-08-26,3
158,2018-09-02,3
159,2018-09-09,6
160,2018-09-16,3
161,2018-09-23,8
162,2018-09-30,7
163,2018-10-07,3
164,2018-10-14,6
165,2018-10-21,4
166,2018-10-28,9
167,2018-11-04,8
168,2018-11-11,6
169,2018-11-18,7
170,2018-11-25,3
171,2018-12-02,4
172,2018-12-09,3
173,2018-12-16,9
174,2018-12-23,6
175,2018-12-30,3
176,2019-01-06,4
177,2019-01-13,0
178,2019-01-20,0
179,2019-01-27,11
180,2019-02-03,3
181,2019-02-10,3
182,2019-02-17,3
183,2019-02-24,4
184,2019-03-03,5
185,2019-03-10,3
186,2019-03-17,0
187,2019-03-24,0
188,2019-03-31,7
189,2019-04-07,4
190,2019-04-14,4
191,2019-04-21,7
192,2019-04-28,6
193,2019-05-05,3
194,2019-05-12,3
195,2019-05-19,3
196,2019-05-26,3
197,2019-06-02,8
198,2019-06-09,5
199,2019-06-16,0
200,2019-06-23,0
201,2019-06-30,3
202,2019-07-07,3
203,2019-07-14,3
204,2019-07-21,0
205,2019-07-28,3
206,2019-08-04,6
207,2019-08-11,3
208,2019-08-18,0
209,2019-08-25,3
210,2019-09-01,4
211,2019-09-08,4
212,2019-09-15,4
213,2019-09-22,8
214,2019-09-29,3
215,2019-10-06,6
216,2019-10-13,13
217,2019-10-20,5
218,2019-10-27,12
219,2019-11-03,5
220,2019-11-10,6
221,2019-11-17,0
222,2019-11-24,4
223,2019-12-01,6
