Date,Close,Open,Low,High,Volume,Trades
2008-02-03,6750.0,6750.0,6750.0,6750.0,46979265,5960
2008-02-04,6885.0,6885.0,6885.0,6885.0,28681585,5103
2008-02-05,7021.0,7022.0,6990.0,7022.0,39090291,6801
2008-02-06,7160.0,7161.0,7072.0,7161.0,34833741,4899
2008-02-09,7303.0,7303.0,7303.0,7303.0,21177807,2778
2008-02-10,7382.0,7360.0,7220.0,7449.0,13508223,3462
2008-02-12,7235.0,7235.0,7235.0,7283.0,12231701,2258
2008-02-13,7105.0,7111.0,7091.0,7230.0,4333281,1195
2008-02-16,7140.0,7150.0,7070.0,7210.0,1427266,425
2008-02-17,7120.0,7195.0,7100.0,7195.0,855804,274
2008-02-18,7205.0,7120.0,7117.0,7262.0,1168188,375
2008-02-19,7347.0,7339.0,7272.0,7349.0,3485501,858
2008-02-20,7375.0,7447.0,7299.0,7486.0,1494767,456
2008-02-23,7480.0,7375.0,7375.0,7513.0,1502669,488
2008-02-24,7424.0,7420.0,7372.0,7450.0,1346002,337
2008-02-25,7382.0,7330.0,7312.0,7424.0,1336975,364
2008-02-26,7387.0,7321.0,7320.0,7400.0,2171839,383
2008-02-27,7332.0,7390.0,7278.0,7400.0,850473,224
2008-03-01,7186.0,7189.0,7186.0,7296.0,1653665,249
2008-03-02,7142.0,7060.0,7055.0,7168.0,399713,154
2008-03-03,7240.0,7142.0,7100.0,7284.0,563603,162
2008-03-04,7246.0,7284.0,7201.0,7300.0,330161,126
2008-03-05,7237.0,7249.0,7190.0,7280.0,548306,173
2008-03-09,7100.0,7211.0,7093.0,7211.0,1475767,406
2008-03-10,7016.0,7100.0,6980.0,7100.0,1139368,329
2008-03-11,7002.0,6990.0,6901.0,7050.0,32574117,141
2008-03-12,7135.0,7102.0,7077.0,7220.0,791709,230
2008-03-15,7163.0,7100.0,7085.0,7244.0,116454382,2225
2008-03-16,7229.0,7209.0,7165.0,7280.0,725235,232
2008-03-17,7310.0,7230.0,7229.0,7373.0,8475713,777
2008-04-21,6920.0,6950.0,6610.0,7100.0,5804580,1275
2008-04-22,6815.0,6905.0,3875.0,6920.0,8731104,283
2008-04-23,6906.0,6900.0,6845.0,6951.0,564605,172
2008-04-26,6945.0,7042.0,6945.0,7044.0,219964,70
2008-04-27,6953.0,7083.0,6953.0,7083.0,46664,25
2008-04-28,7075.0,7092.0,6962.0,7092.0,1717053,359
2008-04-29,7023.0,7032.0,7000.0,7170.0,549009,113
2008-04-30,7008.0,6965.0,6965.0,7012.0,425113,129
2008-05-03,6977.0,6950.0,6875.0,6989.0,308038,73
2008-05-04,6954.0,6977.0,6894.0,6977.0,1271107,82
2008-05-05,6957.0,6954.0,6949.0,6999.0,481838,93
2008-05-06,6962.0,7000.0,6904.0,7000.0,667542,98
2008-05-07,6973.0,6982.0,6953.0,6992.0,947110,93
2008-05-10,6955.0,6906.0,6905.0,6960.0,501547,125
2008-05-11,6961.0,6915.0,6913.0,6999.0,767126,183
2008-05-12,7048.0,6999.0,6960.0,7169.0,883093,221
2008-05-13,7029.0,7120.0,7000.0,7121.0,641969,149
2008-05-14,7008.0,7035.0,6954.0,7035.0,1654749,249
2008-05-17,6920.0,6960.0,6886.0,6961.0,833270,174
2008-05-18,6892.0,6911.0,6840.0,6920.0,561377,154
2008-05-19,6878.0,6881.0,6801.0,6915.0,617986,182
2008-05-20,6893.0,6878.0,6861.0,6960.0,996031,125
2008-05-21,7052.0,6950.0,6900.0,7099.0,666042,196
2008-05-24,7080.0,7200.0,7031.0,7220.0,444878,180
2008-05-25,7073.0,7101.0,7035.0,7120.0,413940,116
2008-05-26,7239.0,7150.0,7097.0,7285.0,1197836,218
2008-05-27,7340.0,7200.0,7170.0,7384.0,810272,222
2008-05-28,7405.0,7480.0,7340.0,7490.0,722311,202
2008-05-31,7288.0,7440.0,7218.0,7450.0,633898,176
2008-06-01,7211.0,7200.0,7150.0,7285.0,578509,169
2008-06-02,7323.0,7250.0,7190.0,7400.0,875529,183
2008-06-08,7360.0,7350.0,7280.0,7411.0,804026,194
2008-06-09,7533.0,7550.0,7163.0,7580.0,53069890,205
2008-06-10,7758.0,7758.0,7758.0,7758.0,2312170,578
2008-06-11,7818.0,7990.0,7163.0,7990.0,9695521,84
2008-06-14,8052.0,8052.0,8052.0,8052.0,2984159,771
2008-06-15,8256.0,8293.0,7163.0,8293.0,81211485,174
2008-06-16,8265.0,8503.0,8265.0,8503.0,27304,15
2008-06-17,8278.0,8512.0,8278.0,8512.0,39648,23
2008-06-18,8331.0,8526.0,8331.0,8526.0,163324,67
2008-06-21,8446.0,8580.0,8446.0,8580.0,350475,104
2008-06-22,8699.0,8699.0,8699.0,8699.0,6816003,1380
2008-06-23,8959.0,8959.0,8959.0,8959.0,831391,234
2008-06-24,8707.0,8691.0,8691.0,8919.0,3711975,915
2008-06-25,8830.0,8685.0,8492.0,8968.0,3202512,646
2008-06-28,8938.0,9000.0,8874.0,9064.0,1161829,229
2008-06-29,9000.0,8990.0,8900.0,9140.0,982560,318
2008-06-30,9223.0,9100.0,9100.0,9270.0,654952,209
2008-07-01,9495.0,9499.0,9495.0,9499.0,749885,147
2008-07-02,9568.0,9779.0,9568.0,9779.0,196303,76
2008-07-05,9837.0,9855.0,9837.0,9855.0,713678,167
2008-07-06,9969.0,10132.0,9969.0,10132.0,340165,131
2008-07-07,10091.0,10268.0,9670.0,10268.0,4486590,726
2008-07-08,10188.0,10389.0,9867.0,10393.0,2222928,555
2008-07-09,9962.0,10187.0,9883.0,10188.0,4821906,731
2008-07-12,6750.0,9962.0,3875.0,9962.0,99890,3
2008-07-20,8969.0,9020.0,8875.0,9450.0,2397483,561
2008-07-21,8709.0,8969.0,8700.0,8969.0,1931377,475
2008-07-22,8904.0,8767.0,8700.0,8970.0,1224814,342
2008-07-23,8999.0,9169.0,8905.0,9170.0,1603918,315
2008-07-26,8887.0,8950.0,8730.0,9048.0,391239,148
2008-07-27,8664.0,8880.0,8621.0,8900.0,3146837,276
2008-07-28,8501.0,8600.0,8405.0,8650.0,991476,203
2008-07-29,8637.0,8492.0,8492.0,8756.0,623567,175
2008-08-02,8378.0,8637.0,8378.0,8637.0,2824722,548
2008-08-03,8189.0,8379.0,8127.0,8380.0,2933434,275
2008-08-04,8162.0,8130.0,8096.0,8300.0,575539,122
2008-08-05,8201.0,8270.0,8171.0,8310.0,545435,138
2008-08-06,8110.0,8150.0,7972.0,8200.0,813532,111
2008-08-09,8087.0,8058.0,7868.0,8090.0,132009,43
2008-08-10,8084.0,8100.0,7901.0,8291.0,1639636,166
2008-08-11,7959.0,8190.0,7858.0,8239.0,734855,123
2008-08-12,7834.0,7800.0,7721.0,7834.0,411050,99
2008-08-13,7839.0,7959.0,7753.0,7959.0,391810,92
2008-08-16,7870.0,7999.0,7870.0,8074.0,231810,65
2008-08-18,7898.0,8010.0,7898.0,8087.0,170551,54
2008-08-19,7980.0,8100.0,7980.0,8134.0,275177,103
2008-08-20,8124.0,8060.0,8060.0,8219.0,466957,151
2008-08-23,8188.0,8155.0,8000.0,8367.0,341965,100
2008-08-24,8272.0,8433.0,8272.0,8433.0,260935,71
2008-08-25,8401.0,8520.0,8401.0,8520.0,471103,108
2008-08-26,8469.0,8580.0,8461.0,8653.0,1459682,99
2008-08-27,8473.0,8546.0,8216.0,8550.0,77077,41
2008-08-30,8445.0,8559.0,8219.0,8579.0,110440,52
2008-08-31,8445.0,8192.0,8192.0,8445.0,1312,3
2008-09-01,8196.0,8203.0,8192.0,8467.0,972687,181
2008-09-02,8258.0,8436.0,8258.0,8441.0,213821,80
2008-09-03,8422.0,8505.0,8422.0,8505.0,506722,137
2008-09-06,8411.0,8441.0,8172.0,8658.0,88633,41
2008-09-07,8329.0,8161.0,8159.0,8329.0,253136,71
2008-09-08,8233.0,8081.0,8080.0,8233.0,294387,69
2008-09-09,7989.0,8185.0,7987.0,8232.0,1363410,286
2008-09-10,7750.0,7752.0,7750.0,7927.0,4844793,227
2008-09-13,7707.0,7520.0,7518.0,7707.0,139763,57
2008-09-14,7699.0,7485.0,7485.0,7750.0,2366839,35
2008-09-15,7702.0,7749.0,7600.0,7750.0,93705,34
2008-09-16,7689.0,7633.0,7580.0,7744.0,89175,38
2008-09-17,7668.0,7600.0,7461.0,7689.0,98459,50
2008-09-20,7605.0,7460.0,7438.0,7605.0,206772,44
2008-09-21,7501.0,7391.0,7381.0,7501.0,388690,86
2008-09-23,7645.0,7400.0,7322.0,7726.0,5577983,101
2008-09-24,7659.0,7677.0,7659.0,7750.0,189090,64
2008-09-27,7650.0,7710.0,7522.0,7710.0,77911,38
2008-09-28,7631.0,7590.0,7498.0,7631.0,96531,38
2008-09-29,7630.0,7599.0,7560.0,7630.0,15020,9
2008-09-30,7625.0,7500.0,7412.0,7625.0,34920,16
2008-10-04,7609.0,7506.0,7429.0,7609.0,80234,28
2008-10-05,7605.0,7410.0,7381.0,7605.0,14505,15
2008-10-06,7587.0,7378.0,7377.0,7587.0,59234,14
2008-10-07,7587.0,7360.0,7360.0,7587.0,1010,2
2008-10-08,7527.0,7360.0,7360.0,7527.0,201510,46
2008-10-12,7526.0,7302.0,7302.0,7526.0,5010,3
2008-10-13,7523.0,7301.0,7301.0,7523.0,11370,5
2008-10-14,7519.0,7298.0,7298.0,7519.0,15010,3
2008-10-15,7513.0,7294.0,7294.0,7513.0,20510,9
2008-10-19,7288.0,7288.0,7288.0,7288.0,1000,1
2008-10-20,7288.0,7070.0,7070.0,7288.0,361,2
2008-10-21,7070.0,7070.0,7070.0,7070.0,3000,2
2008-10-22,6858.0,6858.0,6858.0,6858.0,2000,1
2008-10-26,6653.0,6653.0,6653.0,6653.0,2000,2
2008-10-27,6454.0,6454.0,6454.0,6454.0,2295,2
2008-10-28,6261.0,6261.0,6261.0,6261.0,315,1
2008-10-29,6117.0,6074.0,6074.0,6117.0,585815,135
2008-11-01,6109.0,5934.0,5934.0,6109.0,33175,10
2008-11-02,6109.0,5926.0,5926.0,6109.0,1688,2
2008-11-04,6056.0,5926.0,5926.0,6056.0,220010,49
2008-11-05,5882.0,5875.0,5875.0,6077.0,2920405,743
2008-11-08,5706.0,5706.0,5706.0,5707.0,775965,156
2008-11-09,5562.0,5535.0,5535.0,5700.0,649298,153
2008-11-10,5550.0,5399.0,5398.0,5550.0,57892,27
2008-11-11,5546.0,5402.0,5401.0,5546.0,20601,9
2008-11-12,5536.0,5506.0,5380.0,5536.0,49092,25
2008-11-15,5490.0,5370.0,5370.0,5490.0,209023,61
2008-11-16,5433.0,5326.0,5326.0,5433.0,265252,66
2008-11-17,5389.0,5326.0,5271.0,5389.0,205348,55
2008-11-18,5348.0,5228.0,5228.0,5348.0,194836,45
2008-11-19,5330.0,5188.0,5188.0,5330.0,86194,25
2008-11-22,5313.0,5172.0,5171.0,5313.0,80480,17
2008-11-23,5154.0,5154.0,5154.0,5154.0,760101,122
2008-11-24,5135.0,5002.0,5000.0,5135.0,243842,21
2008-11-25,5015.0,4981.0,4981.0,5015.0,592810,124
2008-11-26,4865.0,5016.0,4865.0,5016.0,762400,122
2008-11-29,4862.0,4970.0,4750.0,4970.0,49847,18
2008-11-30,4717.0,4720.0,4717.0,4720.0,767226,108
2008-12-01,4576.0,4576.0,4576.0,4576.0,770000,78
2008-12-02,4439.0,4439.0,4439.0,4439.0,760000,104
2008-12-03,4306.0,4306.0,4306.0,4306.0,760320,165
2008-12-06,4178.0,4177.0,4177.0,4306.0,1014575,36
2008-12-07,4068.0,4053.0,4053.0,4054.0,671365,58
2009-02-03,3970.0,4000.0,3867.0,4249.0,970669,195
2009-02-04,3968.0,3871.0,3851.0,3877.0,13994,16
2009-02-07,3966.0,3849.0,3849.0,3849.0,15269,6
2009-02-08,3966.0,3848.0,3848.0,3848.0,1155,1
2009-02-11,3966.0,3848.0,3848.0,3848.0,10,1
2009-02-14,3957.0,3848.0,3848.0,3848.0,57962,82
2009-02-17,3956.0,3839.0,3839.0,3839.0,4275,3
2009-02-18,3956.0,3838.0,3838.0,3838.0,1295,1
2009-03-07,2383.0,2509.0,2310.0,2509.0,289377,87
2009-03-08,2333.0,2312.0,2312.0,2360.0,571032,191
2009-03-09,2339.0,2398.0,2361.0,2402.0,69650,15
2009-03-10,2339.0,2409.0,2409.0,2409.0,4920,3
2009-03-14,2340.0,2409.0,2409.0,2409.0,6898,2
2009-03-16,2340.0,2410.0,2410.0,2410.0,5000,1
2009-03-17,2340.0,2410.0,2410.0,2410.0,5000,1
2009-03-18,2340.0,2410.0,2410.0,2410.0,4920,2
2009-03-25,2340.0,2410.0,2410.0,2410.0,412,1
2009-03-30,2410.0,2410.0,2410.0,2410.0,100,1
2009-04-04,2482.0,2482.0,2482.0,2482.0,100,1
2009-04-05,2556.0,2556.0,2556.0,2556.0,10,1
2009-04-06,2632.0,2632.0,2632.0,2632.0,100,1
2009-04-07,2710.0,2710.0,2710.0,2710.0,5500,1
2009-04-08,2791.0,2791.0,2791.0,2791.0,100,1
2009-04-12,2874.0,2874.0,2874.0,2874.0,100,1
2009-04-13,2960.0,2960.0,2960.0,2960.0,100,1
2009-04-14,3048.0,3048.0,3048.0,3048.0,35000,4
2009-04-15,3139.0,3139.0,3139.0,3139.0,12465,5
2009-04-19,3233.0,3233.0,3233.0,3233.0,100,1
2009-04-20,3329.0,3329.0,3329.0,3329.0,100,1
2009-04-22,3330.0,3428.0,3428.0,3428.0,4474,2
2009-04-25,3429.0,3429.0,3429.0,3429.0,100,1
2009-04-26,3531.0,3531.0,3531.0,3531.0,50,1
2009-04-27,3636.0,3636.0,3636.0,3636.0,1399,1
2009-04-28,3745.0,3745.0,3745.0,3745.0,100,1
2009-04-29,3857.0,3857.0,3857.0,3857.0,39290,16
2009-05-02,3965.0,3972.0,3971.0,3972.0,712902,151
2009-05-03,4083.0,4083.0,4082.0,4083.0,1014990,218
2009-05-04,4144.0,4205.0,4205.0,4205.0,382098,95
2009-05-05,4147.0,4268.0,4268.0,4268.0,20186,6
2009-05-06,4148.0,4271.0,4271.0,4271.0,5887,2
2009-05-09,4148.0,4272.0,4272.0,4272.0,1115,2
2009-05-11,4158.0,4272.0,4272.0,4272.0,60000,12
2009-05-12,4158.0,4282.0,4282.0,4282.0,2905,3
2009-05-13,4158.0,4282.0,4282.0,4282.0,892,2
2009-05-16,4159.0,4282.0,4282.0,4282.0,3774,5
2009-05-17,4163.0,4283.0,4283.0,4283.0,23654,4
2009-05-18,4166.0,4287.0,4287.0,4287.0,16500,3
2009-05-19,4287.0,4290.0,4290.0,4290.0,739576,182
2009-05-20,4290.0,4415.0,4415.0,4415.0,20000,4
