Date,Close,Open,Low,High,Volume,Trades
2001-04-07,9229.0,9230.0,9000.0,9235.0,513125,612
2001-04-08,9227.0,9230.0,9149.0,9235.0,1023126,527
2001-04-09,8997.0,9200.0,8997.0,9200.0,199649,178
2001-04-10,8773.0,8773.0,8773.0,8773.0,43520,40
2001-04-11,8695.0,8773.0,8572.0,8992.0,552861,436
2001-04-14,8689.0,8694.0,8478.0,8695.0,243781,262
2001-04-15,8700.0,8671.0,8616.0,8700.0,185058,232
2001-04-16,8917.0,8800.0,8728.0,8917.0,244189,231
2001-04-17,9139.0,9139.0,9081.0,9139.0,304362,307
2001-04-18,9230.0,9139.0,9139.0,9230.0,2005518,304
2001-04-21,9138.0,9230.0,9138.0,9230.0,100535,147
2001-04-22,9047.0,9047.0,9047.0,9050.0,73527,96
2001-04-23,8957.0,8957.0,8957.0,8957.0,35879,34
2001-04-24,9000.0,9047.0,8830.0,9138.0,336005,345
2001-04-25,9101.0,9025.0,9025.0,9220.0,79579,120
2001-04-28,9160.0,9150.0,9106.0,9230.0,8329273,268
2001-04-29,9121.0,9160.0,9100.0,9200.0,734866,359
2001-04-30,9070.0,9121.0,9030.0,9121.0,223044,221
2001-05-01,9000.0,9070.0,8901.0,9070.0,163739,187
2001-05-02,9100.0,9000.0,9000.0,9140.0,134013,201
2001-05-05,9400.0,9199.0,9100.0,9499.0,117647,172
2001-05-06,9600.0,9555.0,9415.0,9860.0,366156,344
2001-05-07,9815.0,9750.0,9600.0,9850.0,106899,163
2001-05-08,9702.0,9850.0,9700.0,9900.0,156484,218
2001-05-09,9750.0,9703.0,9695.0,9800.0,147726,234
2001-05-12,9599.0,9750.0,9599.0,9750.0,74580,101
2001-05-13,9650.0,9500.0,9500.0,9666.0,159836,175
2001-05-15,9650.0,9663.0,9600.0,9700.0,128638,164
2001-05-16,9620.0,9650.0,9600.0,9650.0,186513,173
2001-05-19,9550.0,9601.0,9550.0,9601.0,208489,180
2001-05-20,9573.0,9550.0,9550.0,9580.0,94256,122
2001-05-21,9800.0,9571.0,9570.0,9800.0,60093,88
2001-05-23,9922.0,9959.0,9800.0,10000.0,180039,219
2001-05-26,10050.0,9990.0,9990.0,10100.0,196483,180
2001-05-27,9900.0,10050.0,9898.0,10090.0,174974,164
2001-05-28,9710.0,9840.0,9650.0,9869.0,222103,239
2001-05-29,9713.0,9721.0,9698.0,9730.0,121203,197
2001-05-30,9740.0,9713.0,9680.0,9761.0,218873,242
2001-06-23,9740.0,9900.0,9740.0,9961.0,289134,409
2001-06-24,9474.0,9728.0,9474.0,9729.0,118061,171
2001-06-25,9211.0,9302.0,9211.0,9400.0,191158,212
2001-06-26,9301.0,9197.0,9160.0,9320.0,234883,257
2001-06-27,9480.0,9400.0,9303.0,9490.0,189489,201
2001-06-30,9490.0,9500.0,9386.0,9570.0,60842,87
2001-07-01,9438.0,9490.0,9396.0,9490.0,111606,100
2001-07-02,9398.0,9402.0,9344.0,9409.0,210563,159
2001-07-03,9491.0,9390.0,9305.0,9491.0,2015374,194
2001-07-04,9489.0,9477.0,9397.0,9489.0,122579,116
2001-07-07,9429.0,9432.0,9400.0,9478.0,78989,83
2001-07-08,9335.0,9417.0,9335.0,9417.0,26152,38
2001-07-09,9200.0,9238.0,9197.0,9242.0,167178,194
2001-07-10,9430.0,9240.0,9201.0,9430.0,147768,188
2001-07-11,9349.0,9429.0,9297.0,9429.0,446418,176
2001-07-14,9319.0,9341.0,9280.0,9347.0,303270,238
2001-07-15,9300.0,9297.0,9190.0,9310.0,696047,436
2001-07-16,9280.0,9300.0,9252.0,9300.0,802642,488
2001-08-07,8006.0,8000.0,8000.0,8160.0,309561,221
2001-08-08,8210.0,8094.0,8058.0,8240.0,686825,203
