Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,888559.0,5276147422.0,155.0,6148.0,5862.0,6004.0,5873.0,6081.0
2016-02-21,664310.0,3900755149.0,126.0,5926.0,5803.0,5951.0,5820.0,6004.0
2016-02-22,13051593.0,76965321471.0,95.0,5914.0,5812.0,5897.0,5850.0,5951.0
2016-02-23,2106361.0,12465172412.0,199.0,5970.0,5814.0,5918.0,5970.0,5897.0
2016-02-24,2347381.0,14129159282.0,200.0,6098.0,5853.0,6019.0,6098.0,5918.0
2016-02-27,1167417.0,6972920189.0,176.0,6098.0,5850.0,5987.0,5850.0,6019.0
2016-02-28,3422626.0,20371722017.0,142.0,5987.0,5800.0,5952.0,5803.0,5987.0
2016-02-29,3479758.0,20881037202.0,242.0,6200.0,5800.0,6001.0,6200.0,5952.0
2016-03-01,1635554.0,10068788319.0,208.0,6300.0,5922.0,6154.0,5966.0,6001.0
2016-03-02,8536177.0,52535385781.0,259.0,6200.0,5901.0,6154.0,6160.0,6154.0
2016-03-05,2762818.0,16902184724.0,244.0,6319.0,5996.0,6118.0,6090.0,6154.0
2016-03-06,36647640.0,223945846091.0,163.0,6118.0,5892.0,6111.0,5892.0,6118.0
2016-03-07,892959.0,5266271067.0,118.0,6000.0,5870.0,5994.0,5870.0,6111.0
2016-03-08,8846336.0,52798381042.0,218.0,5999.0,5700.0,5968.0,5810.0,5994.0
2016-03-09,894814.0,5151235436.0,216.0,5820.0,5720.0,5852.0,5761.0,5968.0
2016-03-12,3712547.0,21590764313.0,197.0,5849.0,5704.0,5816.0,5704.0,5852.0
2016-03-14,1142565.0,6523023003.0,254.0,5838.0,5640.0,5745.0,5654.0,5816.0
2016-03-15,1815451.0,10342515658.0,227.0,5798.0,5500.0,5697.0,5570.0,5745.0
2016-03-16,1232376.0,6774343731.0,292.0,5690.0,5450.0,5553.0,5495.0,5697.0
2016-03-26,631326.0,3514395651.0,111.0,5669.0,5420.0,5558.0,5500.0,5553.0
2016-03-27,344213.0,1907375319.0,97.0,5608.0,5485.0,5555.0,5550.0,5558.0
2016-03-28,533228.0,2940972602.0,105.0,5549.0,5453.0,5543.0,5479.0,5555.0
2016-03-29,313387.0,1718354541.0,83.0,5529.0,5410.0,5533.0,5450.0,5543.0
2016-03-30,465316.0,2554937395.0,123.0,5500.0,5468.0,5522.0,5483.0,5533.0
2016-04-02,2041398.0,11452081202.0,300.0,5720.0,5480.0,5610.0,5700.0,5522.0
2016-04-03,14816076.0,85252624090.0,508.0,5885.0,5555.0,5754.0,5690.0,5610.0
2016-04-04,579376.0,3302641498.0,140.0,5800.0,5611.0,5737.0,5730.0,5754.0
2016-04-05,529702.0,2990980758.0,129.0,5690.0,5606.0,5711.0,5607.0,5737.0
2016-04-06,939842.0,5205439591.0,247.0,5610.0,5490.0,5622.0,5490.0,5711.0
2016-04-09,6498749.0,36384139836.0,246.0,5622.0,5470.0,5599.0,5619.0,5622.0
2016-04-10,351818.0,1929067390.0,99.0,5525.0,5451.0,5576.0,5451.0,5599.0
2016-04-11,678186.0,3687043756.0,167.0,5500.0,5403.0,5523.0,5403.0,5576.0
2016-04-12,5251632.0,29264170016.0,88.0,5597.0,5403.0,5572.0,5520.0,5523.0
2016-04-13,812941.0,4486367831.0,111.0,5569.0,5417.0,5548.0,5423.0,5572.0
2016-04-16,7711851.0,43659607604.0,167.0,5698.0,5410.0,5661.0,5500.0,5548.0
2016-04-17,641376.0,3612837257.0,195.0,5689.0,5511.0,5651.0,5620.0,5661.0
2016-04-18,426744.0,2387238560.0,100.0,5640.0,5561.0,5638.0,5585.0,5651.0
2016-04-19,265046.0,1453756656.0,85.0,5607.0,5450.0,5615.0,5488.0,5638.0
2016-04-20,397283.0,2181625979.0,99.0,5599.0,5435.0,5588.0,5499.0,5615.0
2016-04-23,40367.0,223112226.0,38.0,5594.0,5456.0,5587.0,5460.0,5588.0
2016-04-24,385183.0,2093931301.0,92.0,5529.0,5413.0,5555.0,5432.0,5587.0
2016-04-25,403827.0,2197656385.0,118.0,5500.0,5415.0,5530.0,5420.0,5555.0
2016-04-26,2722715.0,15200831719.0,106.0,5599.0,5410.0,5583.0,5431.0,5530.0
2016-04-27,5899808.0,33285988996.0,424.0,5700.0,5410.0,5642.0,5699.0,5583.0
2016-04-30,279406.0,1531237043.0,85.0,5599.0,5452.0,5617.0,5453.0,5642.0
2016-05-01,6289763.0,35565203629.0,107.0,5670.0,5440.0,5654.0,5484.0,5617.0
2016-05-02,207042.0,1137148843.0,63.0,5599.0,5450.0,5635.0,5483.0,5654.0
2016-05-03,288889.0,1576118178.0,76.0,5546.0,5450.0,5606.0,5450.0,5635.0
2016-05-04,224344.0,1223446313.0,57.0,5490.0,5440.0,5587.0,5477.0,5606.0
2016-05-07,501455.0,2722531315.0,111.0,5498.0,5402.0,5543.0,5402.0,5587.0
2016-05-08,10438856.0,58431696125.0,168.0,5615.0,5401.0,5598.0,5440.0,5543.0
2016-05-09,147259.0,797001549.0,83.0,5470.0,5406.0,5583.0,5438.0,5598.0
2016-05-10,313880.0,1696632863.0,68.0,5420.0,5400.0,5552.0,5404.0,5583.0
2016-05-11,283560.0,1530422842.0,98.0,5410.0,5379.0,5527.0,5379.0,5552.0
2016-05-14,194243.0,1042362596.0,81.0,5400.0,5340.0,5510.0,5380.0,5527.0
2016-05-15,399101.0,2155264103.0,73.0,5500.0,5321.0,5486.0,5380.0,5510.0
2016-05-16,151573.0,814894723.0,36.0,5418.0,5330.0,5477.0,5380.0,5486.0
2016-05-17,80928.0,435935645.0,37.0,5409.0,5330.0,5473.0,5380.0,5477.0
2016-05-18,497253.0,2673966767.0,83.0,5400.0,5370.0,5447.0,5371.0,5473.0
2016-05-21,72215.0,386799187.0,32.0,5399.0,5324.0,5443.0,5334.0,5447.0
2016-05-23,204097.0,1090815236.0,44.0,5438.0,5271.0,5432.0,5271.0,5443.0
2016-05-24,494574.0,2597165374.0,106.0,5312.0,5202.0,5383.0,5230.0,5432.0
2016-05-25,244233.0,1292983424.0,70.0,5330.0,5171.0,5371.0,5244.0,5383.0
2016-05-28,2729699.0,14781199151.0,103.0,5449.0,5200.0,5415.0,5252.0,5371.0
2016-05-29,238123.0,1247725015.0,69.0,5350.0,5220.0,5393.0,5231.0,5415.0
2016-05-30,123664.0,644691036.0,79.0,5252.0,5200.0,5381.0,5229.0,5393.0
2016-05-31,296360.0,1539680213.0,50.0,5201.0,5186.0,5351.0,5190.0,5381.0
2016-06-01,88325.0,459299205.0,59.0,5297.0,5180.0,5344.0,5200.0,5351.0
2016-06-05,4135259.0,22002151397.0,142.0,5348.0,5160.0,5321.0,5162.0,5344.0
2016-06-06,281855.0,1466334603.0,56.0,5298.0,5150.0,5303.0,5151.0,5321.0
2016-06-07,50644.0,261697103.0,29.0,5200.0,5155.0,5299.0,5161.0,5303.0
2016-06-08,3592640.0,19009659043.0,98.0,5299.0,5158.0,5291.0,5160.0,5299.0
2016-06-11,620170.0,3162778008.0,121.0,5140.0,5060.0,5228.0,5140.0,5291.0
2016-06-12,6919562.0,36777648156.0,132.0,5332.0,5050.0,5315.0,5189.0,5228.0
2016-06-13,496908.0,2533208517.0,88.0,5180.0,5080.0,5258.0,5090.0,5315.0
2016-06-14,442780.0,2270453185.0,82.0,5150.0,5065.0,5227.0,5150.0,5258.0
2016-06-15,380957.0,1932714472.0,71.0,5180.0,5050.0,5196.0,5147.0,5227.0
2016-06-18,239625.0,1219044109.0,63.0,5150.0,5064.0,5182.0,5064.0,5196.0
2016-06-19,390992.0,1997103548.0,87.0,5179.0,5042.0,5167.0,5075.0,5182.0
2016-06-20,273292.0,1384967968.0,75.0,5120.0,5000.0,5153.0,5120.0,5167.0
2016-06-21,115793.0,586457252.0,64.0,5139.0,4933.0,5148.0,5100.0,5153.0
2016-06-22,141344.0,721337928.0,53.0,5146.0,5001.0,5145.0,5120.0,5148.0
2016-06-25,3169808.0,16316431688.0,29.0,5148.0,5060.0,5147.0,5114.0,5145.0
2016-06-26,296365.0,1508512522.0,58.0,5101.0,5000.0,5138.0,5100.0,5147.0
2016-06-28,657770.0,3360224884.0,81.0,5129.0,5050.0,5128.0,5121.0,5138.0
2016-06-29,111574.0,563508810.0,38.0,5100.0,5040.0,5124.0,5100.0,5128.0
2016-07-02,34826.0,174994373.0,29.0,5100.0,5015.0,5122.0,5100.0,5124.0
2016-07-03,148607.0,744028683.0,45.0,5051.0,4990.0,5113.0,5000.0,5122.0
2016-07-04,470977.0,2357727757.0,90.0,5080.0,4955.0,5087.0,5000.0,5113.0
2016-07-05,2514263.0,12879370577.0,142.0,5146.0,4977.0,5123.0,4999.0,5087.0
2016-07-09,1093127.0,5495459476.0,133.0,5050.0,4980.0,5069.0,4980.0,5123.0
2016-07-10,3812420.0,19252202624.0,215.0,5098.0,4820.0,5050.0,4970.0,5069.0
