,Date,Trend
0,2015-08-23,3
1,2015-08-30,5
2,2015-09-06,5
3,2015-09-13,4
4,2015-09-20,4
5,2015-09-27,4
6,2015-10-04,2
7,2015-10-11,4
8,2015-10-18,4
9,2015-10-25,5
10,2015-11-01,4
11,2015-11-08,3
12,2015-11-15,5
13,2015-11-22,5
14,2015-11-29,3
15,2015-12-06,4
16,2015-12-13,6
17,2015-12-20,4
18,2015-12-27,8
19,2016-01-03,5
20,2016-01-10,8
21,2016-01-17,12
22,2016-01-24,12
23,2016-01-31,12
24,2016-02-07,10
25,2016-02-14,13
26,2016-02-21,7
27,2016-02-28,9
28,2016-03-06,22
29,2016-03-13,11
30,2016-03-20,9
31,2016-03-27,13
32,2016-04-03,13
33,2016-04-10,19
34,2016-04-17,9
35,2016-04-24,11
36,2016-05-01,10
37,2016-05-08,16
38,2016-05-15,12
39,2016-05-22,8
40,2016-05-29,8
41,2016-06-05,6
42,2016-06-12,8
43,2016-06-19,9
44,2016-06-26,8
45,2016-07-03,7
46,2016-07-10,6
47,2016-07-17,11
48,2016-07-24,6
49,2016-07-31,7
50,2016-08-07,9
51,2016-08-14,7
52,2016-08-21,4
53,2016-08-28,7
54,2016-09-04,3
55,2016-09-11,4
56,2016-09-18,5
57,2016-09-25,5
58,2016-10-02,8
59,2016-10-09,3
60,2016-10-16,8
61,2016-10-23,9
62,2016-10-30,7
63,2016-11-06,7
64,2016-11-13,11
65,2016-11-20,4
66,2016-11-27,8
67,2016-12-04,9
68,2016-12-11,6
69,2016-12-18,18
70,2016-12-25,15
71,2017-01-01,8
72,2017-01-08,5
73,2017-01-15,7
74,2017-01-22,8
75,2017-01-29,11
76,2017-02-05,8
77,2017-02-12,9
78,2017-02-19,11
79,2017-02-26,5
80,2017-03-05,4
81,2017-03-12,4
82,2017-03-19,2
83,2017-03-26,2
84,2017-04-02,5
85,2017-04-09,8
86,2017-04-16,7
87,2017-04-23,8
88,2017-04-30,10
89,2017-05-07,7
90,2017-05-14,5
91,2017-05-21,9
92,2017-05-28,5
93,2017-06-04,6
94,2017-06-11,6
95,2017-06-18,7
96,2017-06-25,5
97,2017-07-02,7
98,2017-07-09,5
99,2017-07-16,6
100,2017-07-23,7
101,2017-07-30,7
102,2017-08-06,6
103,2017-08-13,7
104,2017-08-20,4
105,2017-08-27,5
106,2017-09-03,3
107,2017-09-10,5
108,2017-09-17,2
109,2017-09-24,2
110,2017-10-01,2
111,2017-10-08,4
112,2017-10-15,2
113,2017-10-22,5
114,2017-10-29,3
115,2017-11-05,3
116,2017-11-12,8
117,2017-11-19,4
118,2017-11-26,3
119,2017-12-03,5
120,2017-12-10,11
121,2017-12-17,5
122,2017-12-24,5
123,2017-12-31,6
124,2018-01-07,5
125,2018-01-14,5
126,2018-01-21,4
127,2018-01-28,6
128,2018-02-04,10
129,2018-02-11,8
130,2018-02-18,8
131,2018-02-25,9
132,2018-03-04,7
133,2018-03-11,7
134,2018-03-18,2
135,2018-03-25,5
136,2018-04-01,3
137,2018-04-08,4
138,2018-04-15,4
139,2018-04-22,5
140,2018-04-29,4
141,2018-05-06,4
142,2018-05-13,4
143,2018-05-20,5
144,2018-05-27,4
145,2018-06-03,2
146,2018-06-10,4
147,2018-06-17,7
148,2018-06-24,6
149,2018-07-01,6
150,2018-07-08,4
151,2018-07-15,8
152,2018-07-22,7
153,2018-07-29,11
154,2018-08-05,7
155,2018-08-12,7
156,2018-08-19,6
157,2018-08-26,10
158,2018-09-02,9
159,2018-09-09,10
160,2018-09-16,6
161,2018-09-23,10
162,2018-09-30,10
163,2018-10-07,9
164,2018-10-14,9
165,2018-10-21,8
166,2018-10-28,5
167,2018-11-04,4
168,2018-11-11,5
169,2018-11-18,8
170,2018-11-25,5
171,2018-12-02,5
172,2018-12-09,8
173,2018-12-16,5
174,2018-12-23,7
175,2018-12-30,5
176,2019-01-06,3
177,2019-01-13,6
178,2019-01-20,4
179,2019-01-27,5
180,2019-02-03,3
181,2019-02-10,4
182,2019-02-17,5
183,2019-02-24,4
184,2019-03-03,5
185,2019-03-10,5
186,2019-03-17,2
187,2019-03-24,5
188,2019-03-31,5
189,2019-04-07,7
190,2019-04-14,13
191,2019-04-21,14
192,2019-04-28,8
193,2019-05-05,12
194,2019-05-12,10
195,2019-05-19,8
196,2019-05-26,10
197,2019-06-02,6
198,2019-06-09,13
199,2019-06-16,5
200,2019-06-23,8
201,2019-06-30,10
202,2019-07-07,5
203,2019-07-14,6
204,2019-07-21,6
205,2019-07-28,7
206,2019-08-04,10
207,2019-08-11,7
208,2019-08-18,8
209,2019-08-25,10
210,2019-09-01,6
211,2019-09-08,4
212,2019-09-15,8
213,2019-09-22,6
214,2019-09-29,7
215,2019-10-06,10
216,2019-10-13,5
217,2019-10-20,8
218,2019-10-27,5
219,2019-11-03,5
220,2019-11-10,6
221,2019-11-17,1
222,2019-11-24,5
223,2019-12-01,6
224,2019-12-08,7
225,2019-12-15,5
226,2019-12-22,7
227,2019-12-29,8
228,2020-01-05,5
229,2020-01-12,7
230,2020-01-19,11
231,2020-01-26,16
232,2020-02-02,17
233,2020-02-09,15
234,2020-02-16,15
235,2020-02-23,15
236,2020-03-01,18
237,2020-03-08,12
238,2020-03-15,7
239,2020-03-22,7
240,2020-03-29,11
241,2020-04-05,18
242,2020-04-12,21
243,2020-04-19,22
244,2020-04-26,24
245,2020-05-03,21
246,2020-05-10,28
247,2020-05-17,28
248,2020-05-24,20
249,2020-05-31,24
250,2020-06-07,23
251,2020-06-14,23
252,2020-06-21,30
253,2020-06-28,30
254,2020-07-05,36
255,2020-07-12,38
256,2020-07-19,68
257,2020-07-26,100
258,2020-08-02,76
259,2020-08-09,76
