,Date,Trend
0,2015-08-09,7
1,2015-08-16,7
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,7
5,2015-09-13,0
6,2015-09-20,7
7,2015-09-27,13
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,7
11,2015-10-25,0
12,2015-11-01,7
13,2015-11-08,7
14,2015-11-15,0
15,2015-11-22,13
16,2015-11-29,10
17,2015-12-06,0
18,2015-12-13,0
19,2015-12-20,0
20,2015-12-27,15
21,2016-01-03,14
22,2016-01-10,21
23,2016-01-17,7
24,2016-01-24,14
25,2016-01-31,9
26,2016-02-07,11
27,2016-02-14,14
28,2016-02-21,7
29,2016-02-28,7
30,2016-03-06,10
31,2016-03-13,0
32,2016-03-20,0
33,2016-03-27,10
34,2016-04-03,12
35,2016-04-10,10
36,2016-04-17,7
37,2016-04-24,14
38,2016-05-01,7
39,2016-05-08,10
40,2016-05-15,0
41,2016-05-22,7
42,2016-05-29,0
43,2016-06-05,7
44,2016-06-12,0
45,2016-06-19,7
46,2016-06-26,7
47,2016-07-03,0
48,2016-07-10,0
49,2016-07-17,7
50,2016-07-24,10
51,2016-07-31,8
52,2016-08-07,0
53,2016-08-14,8
54,2016-08-21,0
55,2016-08-28,0
56,2016-09-04,7
57,2016-09-11,0
58,2016-09-18,7
59,2016-09-25,11
60,2016-10-02,7
61,2016-10-09,0
62,2016-10-16,21
63,2016-10-23,0
64,2016-10-30,7
65,2016-11-06,0
66,2016-11-13,7
67,2016-11-20,0
68,2016-11-27,0
69,2016-12-04,7
70,2016-12-11,0
71,2016-12-18,7
72,2016-12-25,7
73,2017-01-01,0
74,2017-01-08,7
75,2017-01-15,0
76,2017-01-22,6
77,2017-01-29,6
78,2017-02-05,6
79,2017-02-12,6
80,2017-02-19,7
81,2017-02-26,6
82,2017-03-05,0
83,2017-03-12,0
84,2017-03-19,0
85,2017-03-26,0
86,2017-04-02,16
87,2017-04-09,13
88,2017-04-16,0
89,2017-04-23,10
90,2017-04-30,7
91,2017-05-07,0
92,2017-05-14,0
93,2017-05-21,0
94,2017-05-28,0
95,2017-06-04,7
96,2017-06-11,7
97,2017-06-18,0
98,2017-06-25,7
99,2017-07-02,0
100,2017-07-09,7
101,2017-07-16,7
102,2017-07-23,0
103,2017-07-30,0
104,2017-08-06,0
105,2017-08-13,7
106,2017-08-20,10
107,2017-08-27,0
108,2017-09-03,10
109,2017-09-10,7
