Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,14518121.0,54515071144.0,2007.0,3960.0,3716.0,3755.0,3716.0,3911.0
2016-02-21,15130972.0,58292281474.0,1626.0,3942.0,3610.0,3853.0,3942.0,3755.0
2016-02-22,33529240.0,135623470769.0,1477.0,4045.0,4005.0,4045.0,4045.0,3853.0
2016-02-23,39964102.0,168886206024.0,3290.0,4247.0,4120.0,4226.0,4229.0,4045.0
2016-02-24,51430329.0,225581282488.0,3533.0,4437.0,4173.0,4386.0,4437.0,4226.0
2016-02-27,10474676.0,48175032828.0,594.0,4605.0,4560.0,4599.0,4605.0,4386.0
2016-02-28,116199191.0,553659366510.0,6665.0,4828.0,4623.0,4765.0,4828.0,4599.0
2016-02-29,61431467.0,286145616478.0,6274.0,4950.0,4527.0,4658.0,4578.0,4765.0
2016-03-01,44413082.0,213351848399.0,4463.0,4888.0,4649.0,4804.0,4789.0,4658.0
2016-03-02,21398723.0,103817363526.0,2586.0,5000.0,4731.0,4852.0,4823.0,4804.0
2016-03-05,26085762.0,132791655936.0,1547.0,5094.0,5001.0,5091.0,5094.0,4852.0
2016-03-06,53955554.0,278804902442.0,5749.0,5298.0,5065.0,5167.0,5080.0,5091.0
2016-03-07,28812765.0,147774363797.0,3683.0,5297.0,5000.0,5129.0,5025.0,5167.0
2016-03-08,51476833.0,275463620943.0,4599.0,5385.0,5155.0,5351.0,5385.0,5129.0
2016-03-09,35366511.0,194125309220.0,4148.0,5600.0,5301.0,5489.0,5452.0,5351.0
2016-04-02,36768901.0,202678685956.0,5508.0,5720.0,5321.0,5512.0,5358.0,5489.0
2016-04-03,4136066.0,21825853537.0,674.0,5450.0,5237.0,5277.0,5237.0,5512.0
2016-04-04,29732860.0,150779788521.0,4723.0,5250.0,5014.0,5071.0,5082.0,5277.0
2016-04-05,21011077.0,107876086822.0,4624.0,5276.0,4911.0,5134.0,5111.0,5071.0
2016-04-06,14387688.0,72382632721.0,2958.0,5160.0,4960.0,5031.0,4995.0,5134.0
2016-04-09,11012920.0,56991187072.0,2257.0,5275.0,5070.0,5175.0,5100.0,5031.0
2016-04-10,11281011.0,56636146788.0,1818.0,5159.0,4950.0,5020.0,5010.0,5175.0
2016-04-11,7054149.0,35136918077.0,1627.0,5100.0,4882.0,4981.0,4903.0,5020.0
2016-04-12,10151334.0,50817374957.0,1502.0,5098.0,4980.0,5006.0,5000.0,4981.0
2016-04-13,22394134.0,113469824089.0,2808.0,5230.0,4925.0,5067.0,4925.0,5006.0
2016-04-16,2618464.0,12815718222.0,559.0,5080.0,4814.0,4894.0,4814.0,5067.0
2016-04-17,15473899.0,72480224163.0,2023.0,4819.0,4650.0,4684.0,4722.0,4894.0
2016-04-18,14201581.0,66395227792.0,2086.0,4845.0,4571.0,4675.0,4699.0,4684.0
2016-04-19,12491537.0,59881367207.0,1919.0,4908.0,4648.0,4794.0,4908.0,4675.0
2016-04-20,18183344.0,91071195728.0,1945.0,5033.0,4910.0,5008.0,4960.0,4794.0
2016-04-23,9995541.0,50339289127.0,1644.0,5140.0,4961.0,5036.0,5000.0,5008.0
2016-04-24,15137091.0,77606521107.0,2608.0,5250.0,4821.0,5127.0,5180.0,5036.0
2016-04-25,8026924.0,40677212956.0,1676.0,5220.0,5000.0,5068.0,5000.0,5127.0
2016-04-26,5998810.0,29434068952.0,1524.0,5000.0,4841.0,4907.0,4900.0,5068.0
2016-04-27,4394614.0,21820262205.0,1038.0,5020.0,4907.0,4965.0,4930.0,4907.0
2016-04-30,9117173.0,46494541283.0,1678.0,5190.0,5006.0,5100.0,5100.0,4965.0
2016-05-01,5684552.0,28498246759.0,1122.0,5100.0,4911.0,5013.0,4977.0,5100.0
2016-05-02,16768919.0,83433285134.0,1181.0,5013.0,4860.0,4975.0,4898.0,5013.0
2016-05-03,5523532.0,26742754953.0,1234.0,4903.0,4800.0,4842.0,4839.0,4975.0
2016-05-04,9582471.0,46814662689.0,1094.0,4987.0,4741.0,4885.0,4821.0,4842.0
2016-05-07,14074977.0,68325684778.0,1286.0,4982.0,4641.0,4854.0,4779.0,4885.0
2016-05-08,3800629.0,18024828792.0,799.0,4795.0,4700.0,4743.0,4730.0,4854.0
2016-05-09,2989047.0,14212246173.0,592.0,4850.0,4704.0,4755.0,4730.0,4743.0
2016-05-10,12186166.0,57882539071.0,1079.0,4845.0,4601.0,4750.0,4650.0,4755.0
2016-05-11,6641260.0,30483892574.0,953.0,4690.0,4550.0,4590.0,4557.0,4750.0
2016-05-14,2680035.0,12375894532.0,725.0,4698.0,4562.0,4618.0,4600.0,4590.0
2016-05-15,9238638.0,42648133537.0,889.0,4696.0,4500.0,4616.0,4514.0,4618.0
