Date,Close,Open,Low,High,Volume,Trades
2017-07-18,17500.0,17500.0,17500.0,17500.0,47497811,67849
2017-07-19,18375.0,18375.0,18375.0,18375.0,380006,163
2017-07-22,18570.0,19293.0,19293.0,19293.0,80725,161
2017-07-23,19498.0,19498.0,19498.0,19498.0,2194443,579
2017-07-24,20472.0,20472.0,20472.0,20472.0,3288806,686
2017-07-25,21495.0,21495.0,21495.0,21495.0,13047060,5153
2017-07-26,22560.0,22557.0,22230.0,22569.0,49332748,34543
2017-07-29,22594.0,22650.0,22400.0,22988.0,8461968,12705
2017-07-30,22365.0,22550.0,22200.0,22600.0,4227258,6025
2017-07-31,21970.0,22200.0,21801.0,22202.0,3014481,4326
2017-08-01,22938.0,22200.0,22200.0,23068.0,6105759,6116
2017-08-02,23166.0,23400.0,22902.0,23495.0,2736094,3268
2017-08-06,22607.0,22690.0,22402.0,22988.0,2020753,2238
2017-08-07,22263.0,22410.0,22100.0,22600.0,1130966,1583
2017-08-08,22045.0,22263.0,21850.0,22263.0,1246439,1694
2017-08-09,22354.0,22090.0,22051.0,22949.0,1310501,2530
2017-08-12,22020.0,22350.0,21909.0,22489.0,989096,1170
2017-08-13,21941.0,21903.0,21903.0,22200.0,611202,796
2017-08-14,21704.0,21950.0,21500.0,21979.0,1078303,1270
2017-08-15,21676.0,21530.0,21530.0,21940.0,564908,839
2017-08-16,21565.0,21800.0,21500.0,21800.0,693252,702
2017-08-19,21541.0,21490.0,21450.0,21700.0,1189189,1068
2017-08-20,22011.0,21582.0,21582.0,22380.0,910656,1037
2017-08-21,21760.0,21851.0,21601.0,22176.0,547487,558
2017-08-22,21602.0,21755.0,21510.0,21760.0,554388,732
2017-08-23,21664.0,21749.0,21551.0,21831.0,483130,623
2017-08-26,21404.0,21525.0,21200.0,21800.0,681875,756
2017-08-27,21319.0,21450.0,21150.0,21600.0,756449,708
2017-08-28,21241.0,21460.0,21111.0,21480.0,550621,540
2017-08-29,21021.0,21250.0,20900.0,21390.0,1588829,1103
2017-08-30,20733.0,20857.0,20650.0,20999.0,598114,836
2017-09-02,21093.0,20999.0,20990.0,21297.0,1054728,998
2017-09-03,21371.0,21300.0,21200.0,21600.0,674089,1524
2017-09-04,21563.0,21449.0,21400.0,21679.0,577221,680
2017-09-05,21558.0,21700.0,21427.0,21846.0,795061,756
2017-09-06,21294.0,21555.0,21200.0,21555.0,559639,442
2017-09-10,21215.0,21015.0,21015.0,21399.0,562438,590
2017-09-11,21158.0,21150.0,21008.0,21280.0,1180294,730
