Date,Close,Open,Low,High,Volume,Trades
2001-03-26,6925.0,6926.0,6925.0,6926.0,1913,5
2001-04-10,7000.0,6940.0,6940.0,7000.0,722,3
2001-04-11,7000.0,7000.0,7000.0,7000.0,1447,2
2001-04-14,6955.0,6955.0,6955.0,6955.0,2000,1
2001-04-15,6955.0,6955.0,6955.0,6955.0,67,1
2001-04-16,6955.0,6955.0,6955.0,6955.0,67,1
2001-04-17,6956.0,6956.0,6956.0,6956.0,67,1
2001-04-18,6961.0,6961.0,6961.0,6961.0,266,4
2001-04-21,6964.0,6963.0,6963.0,6964.0,637,4
2001-04-22,7100.0,6976.0,6976.0,7100.0,9218,2
2001-04-23,7100.0,7100.0,7100.0,7100.0,67,1
2001-04-24,7106.0,7106.0,7106.0,7106.0,6404,1
2001-04-25,7121.0,7115.0,7115.0,7121.0,327,3
2001-04-28,7125.0,7123.0,7123.0,7125.0,1481,4
2001-04-29,7152.0,7151.0,7151.0,7152.0,665,2
2001-05-01,7156.0,7156.0,7156.0,7156.0,67,1
2001-05-05,7158.0,7158.0,7158.0,7158.0,140,1
2001-05-06,7171.0,7171.0,7171.0,7171.0,1099,2
2001-05-08,7172.0,7172.0,7172.0,7172.0,460,1
2001-05-12,7300.0,7198.0,7198.0,7300.0,2214,2
2001-05-13,7300.0,7300.0,7300.0,7300.0,368,2
2001-05-15,7300.0,7301.0,7300.0,7301.0,210,3
2001-05-16,7300.0,7300.0,7300.0,7300.0,657,5
2001-05-19,7300.0,7300.0,7300.0,7300.0,3719,4
2001-05-20,7300.0,7300.0,7300.0,7300.0,281,2
2001-05-23,7311.0,7303.0,7303.0,7311.0,2380,5
2001-05-27,7400.0,7319.0,7319.0,7400.0,1067,2
2001-05-30,7405.0,7405.0,7405.0,7405.0,44,1
2001-06-06,7494.0,7482.0,7482.0,7494.0,900,4
2001-06-11,7524.0,7524.0,7524.0,7524.0,200,1
2001-06-12,7531.0,7531.0,7531.0,7531.0,274,3
2001-06-13,7540.0,7541.0,7540.0,7546.0,8721,15
2001-06-16,7540.0,7540.0,7535.0,7540.0,600,5
2001-06-17,7540.0,7539.0,7539.0,7540.0,990,8
2001-06-18,7540.0,7540.0,7540.0,7540.0,3426,6
2001-06-19,7541.0,7540.0,7540.0,7541.0,1613,9
2001-06-20,7541.0,7541.0,7541.0,7541.0,516,2
2001-06-23,7565.0,7542.0,7541.0,7565.0,12118,25
2001-06-24,7568.0,7568.0,7567.0,7568.0,1894,4
2001-06-25,7571.0,7569.0,7569.0,7571.0,1403,3
2001-06-26,7567.0,7571.0,7566.0,7571.0,14027,14
2001-06-27,7569.0,7567.0,7567.0,7569.0,544,3
2001-06-30,7575.0,7571.0,7571.0,7575.0,516,2
2001-07-01,7580.0,7577.0,7577.0,7580.0,19408,6
2001-07-02,7580.0,7575.0,7575.0,7580.0,14382,9
2001-07-03,7601.0,7600.0,7600.0,7601.0,1133,3
2001-07-04,7650.0,7616.0,7615.0,7981.0,20167,19
2001-07-31,6856.0,6840.0,6840.0,6856.0,1150,3
2001-08-01,7100.0,6906.0,6906.0,7100.0,1191,3
2001-08-04,7300.0,7300.0,7300.0,7300.0,1000,1
2001-08-06,7300.0,7300.0,7300.0,7300.0,5010,22
2001-08-07,7300.0,7300.0,7300.0,7300.0,1097,5
2001-08-08,7300.0,7300.0,7300.0,7300.0,140,1
2001-08-12,7306.0,7304.0,7304.0,7306.0,1067,2
2001-08-13,7400.0,7400.0,7400.0,7400.0,1441,4
2001-08-14,7409.0,7404.0,7404.0,7409.0,207,2
2001-08-15,7428.0,7423.0,7423.0,7428.0,2599,3
2001-08-19,7440.0,7440.0,7440.0,7440.0,287,2
2001-08-20,7449.0,7445.0,7445.0,7449.0,274,3
2001-08-22,7550.0,7455.0,7452.0,7550.0,10279,11
2001-08-25,7553.0,7552.0,7552.0,7553.0,284,3
2001-09-02,7930.0,7930.0,7930.0,7930.0,8252,17
2001-09-03,7930.0,7930.0,7930.0,7930.0,1000,2
2001-09-05,7900.0,7899.0,7880.0,7930.0,1098,6
2001-09-15,7567.0,7600.0,7567.0,7600.0,2115,2
2001-09-22,7500.0,7500.0,7500.0,7500.0,264,1
2001-09-25,7400.0,7490.0,7400.0,7490.0,2203,10
2001-09-26,7300.0,7300.0,7300.0,7300.0,1000,8
2001-09-29,7250.0,7289.0,7250.0,7289.0,600,8
2001-09-30,7269.0,7240.0,6888.0,7269.0,4600,13
2001-10-02,7257.0,7258.0,7257.0,7258.0,150,3
2001-10-03,7200.0,7257.0,7200.0,7257.0,450,5
2001-10-06,7200.0,7200.0,7150.0,7200.0,7700,21
2001-10-07,7200.0,7199.0,7198.0,7200.0,10100,11
2001-10-08,7180.0,7199.0,7180.0,7199.0,240,4
2001-10-09,7177.0,7177.0,7170.0,7178.0,178,4
2001-10-10,7168.0,7170.0,7168.0,7170.0,150,2
2001-10-13,7168.0,7168.0,7167.0,7168.0,6000,9
2001-10-14,7168.0,7168.0,7160.0,7168.0,200,4
2001-10-17,7155.0,7160.0,7155.0,7160.0,282,4
2001-10-22,7170.0,7166.0,7166.0,7170.0,3000,7
2001-10-30,7140.0,7158.0,7140.0,7158.0,150,2
2001-10-31,7120.0,7139.0,7120.0,7140.0,266,4
2001-11-03,7119.0,7119.0,7119.0,7119.0,50,1
2001-11-05,7119.0,7117.0,7117.0,7119.0,2890,5
2001-11-07,7117.0,7116.0,7116.0,7118.0,2150,5
2001-11-11,7100.0,7100.0,7090.0,7100.0,862,4
2001-11-12,7090.0,7090.0,7090.0,7090.0,923,2
2001-11-13,7090.0,7090.0,7090.0,7090.0,180,3
2001-11-14,7070.0,7070.0,7070.0,7070.0,163,1
2001-11-18,7070.0,7070.0,7070.0,7070.0,20,1
2001-11-20,7118.0,7065.0,7060.0,7118.0,1334,7
2001-11-21,7200.0,7200.0,7200.0,7200.0,3456,1
2001-11-24,7200.0,7200.0,7200.0,7200.0,258,1
2001-11-25,7200.0,7200.0,7200.0,7200.0,3716,3
2001-11-26,7250.0,7201.0,7201.0,7250.0,5758,5
2001-12-02,7250.0,7250.0,7250.0,7250.0,1305,2
2001-12-08,7110.0,7110.0,7110.0,7250.0,3896,3
2001-12-09,7124.0,7123.0,7122.0,7124.0,5000,3
2001-12-10,7300.0,7200.0,7200.0,7300.0,10000,4
2001-12-11,7315.0,7300.0,7300.0,7315.0,18075,11
2001-12-15,7315.0,7315.0,7315.0,7315.0,2800,4
2001-12-17,7314.0,7314.0,7314.0,7314.0,12,1
2001-12-18,7314.0,7314.0,7314.0,7314.0,300,3
2001-12-22,7315.0,7314.0,7314.0,7315.0,429,5
2001-12-23,7317.0,7315.0,7315.0,7317.0,518,2
2001-12-24,7319.0,7318.0,7318.0,7319.0,2220,3
2001-12-25,7326.0,7322.0,7322.0,7326.0,925,3
2001-12-26,7346.0,7334.0,7334.0,7346.0,1054,2
2001-12-30,7370.0,7362.0,7362.0,7370.0,1259,3
2001-12-31,7418.0,7375.0,7375.0,7418.0,5395,5
2002-01-01,7419.0,7419.0,7419.0,7419.0,67,1
2002-01-02,7449.0,7450.0,7449.0,7450.0,1260,2
2002-01-05,7454.0,7454.0,7454.0,7455.0,4214,3
2002-01-06,7454.0,7454.0,7454.0,7454.0,2400,2
2002-01-07,7454.0,7452.0,7452.0,7455.0,6357,11
2002-01-08,7454.0,7454.0,7454.0,7454.0,191,1
2002-01-13,7453.0,7454.0,7453.0,7454.0,10258,3
2002-01-15,7453.0,7452.0,7452.0,7453.0,212,3
2002-01-16,7453.0,7453.0,7453.0,7453.0,6,1
2002-01-20,7453.0,7453.0,7453.0,7453.0,200,1
2002-01-22,7400.0,7450.0,7400.0,7450.0,758,7
2002-01-23,7400.0,7400.0,7400.0,7400.0,50,1
2002-01-26,7453.0,7400.0,7400.0,7453.0,1400,8
2002-01-28,7450.0,7450.0,7450.0,7451.0,1280,3
2002-01-30,7451.0,7400.0,7400.0,7451.0,3374,9
2002-02-03,7451.0,7450.0,7450.0,7451.0,2707,4
2002-02-06,7440.0,7451.0,7440.0,7451.0,322,3
2002-02-09,7441.0,7440.0,7440.0,7441.0,2900,3
2002-02-10,7442.0,7441.0,7441.0,7442.0,2527,4
2002-02-12,7442.0,7443.0,7442.0,7443.0,7478,7
2002-02-16,7440.0,7440.0,7440.0,7441.0,3407,5
2002-02-18,7340.0,7400.0,7340.0,7400.0,3708,9
2002-02-20,7330.0,7339.0,7330.0,7339.0,132,2
2002-02-24,7339.0,7330.0,7330.0,7339.0,2775,6
2002-02-25,7250.0,7320.0,7250.0,7320.0,6842,8
2002-02-26,7249.0,7249.0,7249.0,7249.0,25,1
2002-02-27,7230.0,7240.0,7230.0,7240.0,250,3
2002-03-02,7248.0,7240.0,7240.0,7248.0,393,2
2002-03-04,7253.0,7253.0,7253.0,7253.0,200,1
2002-03-06,7250.0,7255.0,7250.0,7255.0,6013,11
2002-03-11,7250.0,7250.0,7250.0,7250.0,238,2
2002-03-12,7200.0,7200.0,7200.0,7200.0,1800,4
2002-03-16,7200.0,7200.0,7200.0,7200.0,205,2
2002-03-17,7200.0,7200.0,7200.0,7200.0,990,2
2002-03-18,7190.0,7190.0,7190.0,7190.0,100,1
2002-03-19,7189.0,7189.0,7189.0,7189.0,828,1
2002-04-08,7190.0,7192.0,7190.0,7192.0,1018,3
2002-04-09,7190.0,7190.0,7190.0,7190.0,1464,3
2002-04-14,7212.0,7212.0,7212.0,7212.0,540,1
2002-04-16,7226.0,7212.0,7212.0,7226.0,325,2
2002-04-21,7587.0,7587.0,7587.0,7587.0,4584,6
2002-04-22,7588.0,7588.0,7588.0,7588.0,67,1
2002-04-24,7570.0,7592.0,7570.0,7593.0,2857,4
2002-04-27,7570.0,7570.0,7570.0,7570.0,2512,5
2002-04-28,7847.0,7571.0,7571.0,7948.0,6455,5
2002-04-30,7790.0,7790.0,7790.0,7790.0,1000,1
2002-05-04,7790.0,7784.0,7784.0,7790.0,123109,13
2002-05-05,7790.0,7790.0,7790.0,7790.0,1400,2
2002-05-06,7790.0,7789.0,7789.0,7790.0,584,2
2002-05-07,7790.0,7790.0,7790.0,7790.0,9,1
2002-05-08,7790.0,7790.0,7790.0,7790.0,531,4
2002-05-12,7790.0,7789.0,7788.0,7790.0,8392,6
2002-05-15,7790.0,7789.0,7789.0,7790.0,990,4
2002-05-18,7790.0,7790.0,7790.0,7790.0,4113,1
2002-05-21,7790.0,7790.0,7790.0,7790.0,250,1
2002-05-22,7789.0,7789.0,7789.0,7789.0,60,1
2002-05-25,7791.0,7791.0,7780.0,7791.0,1809,8
2002-05-26,7790.0,7791.0,7788.0,7791.0,4131,7
2002-05-27,7795.0,7790.0,7790.0,7795.0,6959,4
2002-05-29,7792.0,7792.0,7792.0,7792.0,140,1
2002-06-01,7800.0,7793.0,7793.0,7800.0,2406,3
2002-06-02,7800.0,7800.0,7800.0,7800.0,7105,8
2002-06-03,7790.0,7799.0,7790.0,7799.0,543,4
2002-06-08,7889.0,7780.0,7780.0,7889.0,5236,6
2002-06-09,7892.0,7892.0,7892.0,7892.0,200,1
2002-06-10,7893.0,7892.0,7892.0,7893.0,5746,5
2002-06-11,7950.0,7906.0,7906.0,7950.0,6920,5
2002-06-12,7974.0,7967.0,7967.0,7974.0,1530,4
2002-06-16,8001.0,8100.0,8001.0,8100.0,784,2
2002-06-17,8003.0,8005.0,8003.0,8005.0,1312,3
2002-06-18,8003.0,8003.0,8003.0,8003.0,1455,2
2002-06-19,8021.0,8011.0,8011.0,8022.0,5028,8
2002-06-22,8403.0,8403.0,8403.0,8403.0,1335,2
2002-06-23,8823.0,8823.0,8823.0,8823.0,10903,7
2002-06-24,9264.0,9264.0,9264.0,9264.0,6630,5
2002-06-26,9264.0,9264.0,9264.0,9727.0,2943690,37
2002-06-29,9267.0,9727.0,9265.0,9727.0,500318,6
2002-06-30,9270.0,9269.0,9269.0,9270.0,2771,3
2002-07-02,9301.0,9283.0,9283.0,9301.0,1602,4
2002-07-03,9350.0,9307.0,9307.0,9350.0,915,4
2002-07-06,9350.0,9350.0,9349.0,9350.0,72291,21
2002-07-07,9356.0,9356.0,9356.0,9356.0,3531,5
2002-07-08,9460.0,9359.0,9359.0,9460.0,16644,15
2002-07-09,9580.0,9461.0,9461.0,9580.0,11555,11
2002-07-10,9600.0,9590.0,9590.0,9640.0,15740,20
2002-07-13,9500.0,9600.0,9500.0,9600.0,12307,15
2002-07-31,8400.0,8000.0,8000.0,8400.0,1915,3
2002-08-03,8432.0,8420.0,8420.0,8432.0,1156,5
2002-08-04,8455.0,8444.0,8444.0,8455.0,1490,9
2002-08-10,8443.0,8459.0,8443.0,8459.0,223,3
2002-08-11,8443.0,8443.0,8443.0,8443.0,933,5
2002-08-14,8500.0,8500.0,8446.0,8500.0,1872,7
2002-08-17,8500.0,8500.0,8500.0,8500.0,640,3
2002-08-18,8500.0,8500.0,8500.0,8500.0,258,1
2002-08-19,8925.0,8925.0,8445.0,8925.0,1472,4
2002-08-20,8925.0,8925.0,8925.0,8925.0,75,1
2002-08-21,8925.0,8925.0,8925.0,8925.0,936,3
2002-08-24,8925.0,8925.0,8925.0,8925.0,2498,7
2002-08-26,8950.0,8950.0,8950.0,8952.0,113719,20
2002-08-27,8984.0,8980.0,8980.0,8984.0,2067,2
2002-08-31,8991.0,8991.0,8991.0,8991.0,5886,2
2002-09-03,9025.0,9025.0,9025.0,9025.0,358,2
2002-09-07,9025.0,9025.0,9025.0,9025.0,449,2
2002-09-08,9025.0,9025.0,9024.0,9025.0,10139,14
2002-09-09,9025.0,9025.0,9025.0,9025.0,3200,4
2002-09-10,9027.0,9050.0,9027.0,9050.0,9058,9
2002-09-11,9030.0,9030.0,9030.0,9030.0,150,1
2002-09-15,9110.0,9100.0,9043.0,9110.0,1404,6
2002-09-16,9250.0,9160.0,9160.0,9250.0,6599,8
2002-09-17,9261.0,9261.0,9261.0,9261.0,352,2
2002-09-18,9300.0,9270.0,9270.0,9300.0,5904,3
2002-09-22,9500.0,9303.0,9303.0,9500.0,12308,7
2002-09-25,9631.0,9526.0,9526.0,9631.0,2957,4
2002-09-28,9671.0,9671.0,9671.0,9671.0,140,1
