Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-22,1341243,10889221027,360,8550.0,8011.0,8119.0,8129.0,8432.0
2016-02-23,306205,2487790297,104,8399.0,8021.0,8125.0,8100.0,8119.0
2016-02-24,276842,2315124766,185,8488.0,8111.0,8363.0,8458.0,8125.0
2016-02-27,94487,809469158,95,8780.0,8136.0,8567.0,8320.0,8363.0
2016-02-28,219463,1792873816,125,8772.0,8139.0,8169.0,8183.0,8567.0
2016-02-29,175904,1409453104,109,8140.0,7901.0,8013.0,7901.0,8169.0
2016-03-01,77422,617933995,80,8150.0,7810.0,7981.0,8095.0,8013.0
2016-03-02,98670,775020266,81,8100.0,7730.0,7855.0,7730.0,7981.0
2016-03-05,185631,1481920969,106,8100.0,7702.0,7983.0,7950.0,7855.0
2016-03-06,136770,1094244119,86,8190.0,7812.0,8001.0,7900.0,7983.0
2016-03-07,164998,1276452273,81,7900.0,7660.0,7736.0,7720.0,8001.0
2016-03-08,224952,1695935182,124,7630.0,7500.0,7539.0,7579.0,7736.0
2016-03-09,39706,304156072,30,7905.0,7605.0,7615.0,7700.0,7539.0
2016-03-12,204990,1599206978,90,7995.0,7350.0,7801.0,7781.0,7615.0
2016-03-14,141368,1125675128,76,8096.0,7750.0,7963.0,7801.0,7801.0
2016-03-15,133392,1018154025,82,7900.0,7565.0,7633.0,7880.0,7963.0
2016-03-16,311790,2495968454,117,8014.0,7700.0,8005.0,8014.0,7633.0
2016-03-26,44183,365151898,28,8394.0,8014.0,8189.0,8300.0,8005.0
2016-03-27,77297,612926233,35,8384.0,7786.0,7929.0,7786.0,8189.0
2016-03-28,2291,18127383,8,8200.0,7801.0,7928.0,7910.0,7929.0
2016-03-29,68176,545244397,34,8149.0,7800.0,7998.0,7900.0,7928.0
2016-03-30,44050,351412545,39,8169.0,7722.0,7984.0,7722.0,7998.0
2016-04-02,21318,164288904,18,7950.0,7677.0,7890.0,7898.0,7984.0
2016-04-03,27431,210154176,17,7864.0,7627.0,7790.0,7700.0,7890.0
2016-04-04,26065,200729887,16,7704.0,7700.0,7753.0,7704.0,7790.0
2016-04-05,11428,87738578,13,7900.0,7600.0,7739.0,7703.0,7753.0
2016-04-06,85836,659584617,38,7890.0,7650.0,7684.0,7660.0,7739.0
2016-04-09,60321,463020710,36,7786.0,7632.0,7677.0,7770.0,7684.0
2016-04-10,38600,298427451,23,7800.0,7650.0,7709.0,7795.0,7677.0
2016-04-11,28900,228571667,28,8000.0,7610.0,7798.0,7980.0,7709.0
2016-04-12,45574,356133657,31,8000.0,7711.0,7809.0,7900.0,7798.0
2016-04-13,23780,182876698,17,7979.0,7603.0,7766.0,7700.0,7809.0
2016-04-16,57200,423611278,29,7696.0,7378.0,7446.0,7378.0,7766.0
2016-04-17,195686,1493987153,48,7818.0,7500.0,7635.0,7818.0,7446.0
2016-04-18,118175,947290800,20,8016.0,8016.0,8016.0,8016.0,7635.0
2016-04-19,1814809,15241381191,265,8416.0,8200.0,8398.0,8416.0,8016.0
2016-04-20,109032,920785238,60,8698.0,8155.0,8445.0,8180.0,8398.0
2016-04-23,157338,1271259978,56,8147.0,8063.0,8080.0,8071.0,8445.0
2016-04-24,20754,167963045,22,8130.0,8035.0,8085.0,8100.0,8080.0
2016-04-25,68981,574494095,37,8395.0,8150.0,8328.0,8160.0,8085.0
2016-04-26,35007,283433600,22,8160.0,8070.0,8191.0,8150.0,8328.0
2016-04-27,483721,4097937558,144,8600.0,8010.0,8472.0,8580.0,8191.0
2016-04-30,162139,1388615220,51,8890.0,8164.0,8564.0,8650.0,8472.0
2016-05-01,73334,621700221,40,8865.0,8363.0,8478.0,8647.0,8564.0
2016-05-02,151529,1265708297,28,8370.0,8312.0,8353.0,8312.0,8478.0
2016-05-03,24293,202123740,15,8605.0,8210.0,8340.0,8580.0,8353.0
2016-05-04,18728,156521202,17,8500.0,8250.0,8346.0,8350.0,8340.0
2016-05-07,164497,1396274124,62,8650.0,8213.0,8488.0,8250.0,8346.0
2016-05-08,172536,1483823279,26,8650.0,8300.0,8600.0,8650.0,8488.0
2016-05-09,122642,1049924101,42,8652.0,8333.0,8561.0,8600.0,8600.0
2016-05-10,365937,3219417697,97,8989.0,8594.0,8798.0,8989.0,8561.0
2016-05-11,323720,2979879224,149,9237.0,8990.0,9205.0,9233.0,8798.0
2016-05-14,147247,1368950829,55,9598.0,9002.0,9297.0,9392.0,9205.0
2016-05-15,86381,785269915,83,9553.0,8833.0,9091.0,8833.0,9297.0
2016-05-16,149156,1340565330,78,9115.0,8950.0,8988.0,8981.0,9091.0
2016-05-24,528432,4741016623,126,9440.0,8820.0,8972.0,9130.0,7888.0
2016-05-25,314966,2957668101,102,9420.0,9001.0,9390.0,9420.0,8972.0
2016-05-28,576988,5685047703,123,9859.0,9426.0,9853.0,9858.0,9390.0
2016-05-29,269130,2746631695,103,10343.0,10000.0,10206.0,10250.0,9853.0
2016-05-30,341401,3613455961,181,10716.0,10210.0,10584.0,10716.0,10206.0
2016-05-31,56293,625066909,37,11113.0,11000.0,11104.0,11113.0,10584.0
2016-06-01,1460353,17012460801,262,11659.0,11000.0,11650.0,11300.0,11104.0
2016-06-05,577438,6406874121,224,11780.0,11068.0,11095.0,11200.0,11650.0
2016-06-06,131312,1434289634,87,11340.0,10632.0,10923.0,10667.0,11095.0
2016-06-07,129898,1410290973,79,11280.0,10467.0,10857.0,10500.0,10923.0
2016-06-08,257825,2920694064,77,11399.0,10601.0,11328.0,11399.0,10857.0
2016-06-11,57349,649554579,62,11781.0,11001.0,11326.0,11300.0,11328.0
2016-06-12,45981,509896857,51,11740.0,10793.0,11089.0,10794.0,11326.0
2016-06-13,75982,813754542,68,11000.0,10597.0,10710.0,10887.0,11089.0
2016-06-14,161953,1667944480,81,10990.0,10180.0,10299.0,10290.0,10710.0
2016-06-15,23840,257621280,29,10813.0,10399.0,10573.0,10813.0,10299.0
2016-06-18,10632,116191742,22,11101.0,10700.0,10653.0,10809.0,10573.0
2016-06-19,12861,140409135,29,11150.0,10355.0,10725.0,10520.0,10653.0
2016-06-20,57692,644359636,75,11261.0,10700.0,11169.0,10837.0,10725.0
2016-06-21,48772,571476915,34,11727.0,11400.0,11717.0,11727.0,11169.0
2016-06-22,133805,1637859803,77,12302.0,12000.0,12241.0,12301.0,11717.0
2016-06-25,523653,6670175028,177,12853.0,11778.0,12738.0,11778.0,12241.0
2016-06-26,478859,6116099945,129,12899.0,12220.0,12772.0,12510.0,12738.0
2016-06-28,790510,10464025992,267,13410.0,12310.0,13237.0,13410.0,12772.0
2016-06-29,517088,6873918284,183,13790.0,12700.0,13294.0,12700.0,13237.0
2016-07-02,359699,4714985945,134,13400.0,12840.0,13108.0,13299.0,13294.0
2016-07-03,256090,3509494766,108,13763.0,13399.0,13704.0,13600.0,13108.0
2016-07-04,17664,241472365,34,14000.0,13501.0,13688.0,13520.0,13704.0
2016-07-05,59838,821570165,72,14299.0,13351.0,13730.0,13646.0,13688.0
2016-07-09,88365,1164528595,73,13800.0,13044.0,13179.0,13200.0,13730.0
2016-07-10,46117,599939548,33,13367.0,12958.0,13009.0,13050.0,13179.0
2016-07-11,18231,240345106,28,13349.0,12971.0,13096.0,13040.0,13009.0
2016-07-12,6731,88254230,18,13429.0,12830.0,13099.0,12830.0,13096.0
2016-07-13,527278,7151419024,101,13600.0,12820.0,13563.0,13368.0,13099.0
2016-07-16,29977,399428986,42,13988.0,13000.0,13369.0,13000.0,13563.0
2016-07-17,57468,738146987,45,13325.0,12701.0,12844.0,12701.0,13369.0
2016-07-18,19517,257603604,20,13388.0,12800.0,13032.0,13130.0,12844.0
2016-07-19,18173,238548971,19,13382.0,12600.0,13079.0,13001.0,13032.0
2016-07-20,29902,379328171,30,13450.0,12602.0,12760.0,13125.0,13079.0
2016-07-23,64043,797022520,38,12711.0,12401.0,12445.0,12422.0,12760.0
2016-07-24,145846,1892734365,32,13059.0,11850.0,12978.0,13059.0,12445.0
2016-07-25,21480,281989316,42,13599.0,12750.0,13060.0,12750.0,12978.0
2016-07-26,34414,432432982,40,12842.0,12440.0,12626.0,12842.0,13060.0
2016-07-27,13000,168831000,2,12994.0,12968.0,12746.0,12968.0,12626.0
2016-07-31,4527,55881633,12,12600.0,12186.0,12700.0,12300.0,12746.0
2016-08-01,65931,807011970,82,12600.0,12065.0,12240.0,12600.0,12700.0
2016-08-02,24754,312466200,21,12852.0,12100.0,12482.0,12500.0,12240.0
2016-08-03,6624,82778091,10,12501.0,12002.0,12484.0,12501.0,12482.0
2016-08-06,9580,123596970,23,13000.0,12355.0,12584.0,12470.0,12484.0
2016-08-07,107921,1351123558,52,12699.0,12050.0,12520.0,12405.0,12584.0
2016-08-08,58245,705722492,53,12350.0,12000.0,12116.0,12000.0,12520.0
2016-08-09,12044,147886030,10,12689.0,12010.0,12165.0,12110.0,12116.0
2016-08-10,5200,62803634,5,12670.0,11999.0,12154.0,11999.0,12165.0
2016-08-13,5317,64633895,9,12500.0,12001.0,12154.0,12011.0,12154.0
2016-08-14,9853,121935490,21,12500.0,12015.0,12207.0,12015.0,12154.0
2016-08-15,11738,141286104,23,12200.0,11986.0,12158.0,12150.0,12207.0
2016-08-16,20187,242322430,19,12479.0,12000.0,12082.0,12002.0,12158.0
