Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,16204573.0,38751619920.0,1466.0,2480.0,2379.0,2391.0,2379.0,2504.0
2016-02-21,11051508.0,26477427752.0,1622.0,2448.0,2365.0,2396.0,2400.0,2391.0
2016-02-22,7175363.0,17200047199.0,881.0,2420.0,2380.0,2397.0,2410.0,2396.0
2016-02-23,8131529.0,19783119674.0,904.0,2485.0,2398.0,2433.0,2441.0,2397.0
2016-02-24,7345127.0,17910987270.0,869.0,2480.0,2400.0,2438.0,2440.0,2433.0
2016-02-27,3210188.0,7817691802.0,514.0,2480.0,2420.0,2436.0,2433.0,2438.0
2016-02-28,4414156.0,10559790043.0,861.0,2422.0,2370.0,2392.0,2380.0,2436.0
2016-02-29,4104746.0,9677796948.0,650.0,2400.0,2335.0,2358.0,2340.0,2392.0
2016-03-01,6174066.0,14568811799.0,669.0,2400.0,2325.0,2360.0,2399.0,2358.0
2016-03-02,7705556.0,18319501555.0,408.0,2400.0,2337.0,2377.0,2350.0,2360.0
2016-03-05,5315729.0,12517505750.0,714.0,2379.0,2325.0,2355.0,2330.0,2377.0
2016-03-06,8011303.0,18485259340.0,1041.0,2345.0,2299.0,2307.0,2300.0,2355.0
2016-03-07,8186310.0,18638784632.0,957.0,2301.0,2260.0,2277.0,2274.0,2307.0
2016-03-08,6112591.0,13911116160.0,691.0,2310.0,2261.0,2276.0,2270.0,2277.0
2016-03-09,6074078.0,13732163544.0,789.0,2297.0,2250.0,2261.0,2262.0,2276.0
2016-03-12,8132804.0,18833385580.0,940.0,2350.0,2270.0,2316.0,2320.0,2261.0
2016-03-14,7173460.0,17391946811.0,694.0,2431.0,2382.0,2424.0,2431.0,2316.0
2016-03-15,8686003.0,21150993526.0,1026.0,2490.0,2366.0,2435.0,2366.0,2424.0
2016-03-16,10100242.0,23625431345.0,1164.0,2400.0,2314.0,2339.0,2329.0,2435.0
2016-03-26,1901097.0,4559482956.0,344.0,2420.0,2320.0,2365.0,2410.0,2339.0
2016-03-27,3325166.0,8027052155.0,512.0,2430.0,2392.0,2403.0,2420.0,2365.0
2016-03-28,2980135.0,7257209244.0,565.0,2448.0,2414.0,2425.0,2438.0,2403.0
2016-03-29,2921433.0,6971561548.0,491.0,2447.0,2350.0,2399.0,2370.0,2425.0
2016-03-30,7798152.0,18653288133.0,924.0,2439.0,2360.0,2392.0,2415.0,2399.0
2016-04-02,13121393.0,32198848042.0,1358.0,2508.0,2390.0,2454.0,2505.0,2392.0
