,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524561984789155840,524561984789155840,1413900297000,2014-10-21,17:34:57,430,2778040873,hibourse,hibourse,,"نمادهای با  #بیشترین #کاهش قیمت:
#غدام ۳.۹۸
#قزوین ۳.۹۱
#بالبر ۳.۹
#تکشا ۳.۸۶
#رکیش ۳.۸۶
#لسرما ۳.۸۳
#TSE
#هایبورس
#بورس",[],[],[],0,0,0,"['#بیشترین', '#کاهش', '#غدام', '#قزوین', '#بالبر', '#تکشا', '#رکیش', '#لسرما', '#tse', '#هایبورس', '#بورس']",[],https://twitter.com/hibourse/status/524561984789155840,False,,0,,,,,,,"[{'user_id': '2778040873', 'username': 'hibourse'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,706396048684687360,706396048684687360,1457252916000,2016-03-06,11:58:36,430,2463165061,bourseiness,بورسینس,,#رکیش #گروه رایانه به نظر میرسه که سهم در دوران اصلاحی قرار گرفته و…  http://goo.gl/fb/uom90W  #اقتصاد,[],['http://goo.gl/fb/uom90W'],[],0,0,0,"['#رکیش', '#گروه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706396048684687360,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,707460196428283905,707460196428283905,1457506629000,2016-03-09,10:27:09,430,2463165061,bourseiness,بورسینس,,در حال حاضر شاهد اقبال سهامداران به گروه انفورماتیک می باشیم و سهام #رکیش…  http://goo.gl/fb/wgt1Qz  #اقتصاد,[],['http://goo.gl/fb/wgt1Qz'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/707460196428283905,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,707451530773929984,707451530773929984,1457504563000,2016-03-09,09:52:43,430,2463165061,bourseiness,بورسینس,,#رکیش  http://goo.gl/fb/YwCbWL  #اقتصاد,[],['http://goo.gl/fb/YwCbWL'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/707451530773929984,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,718693835845410818,718693835845410818,1460184937000,2016-04-09,11:25:37,430,2463165061,bourseiness,بورسینس,,#رکیش طی یک شفاف سازی اعلام کرد که با عنایت به اخبار و شایعات غیر رسمی…  http://goo.gl/fb/pGe03z  #اقتصاد,[],['http://goo.gl/fb/pGe03z'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/718693835845410818,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,719399048973848576,719399048973848576,1460353073000,2016-04-11,10:07:53,430,2463165061,bourseiness,بورسینس,,#رکیش درحال صف خرید شدن است گروه بیمه پس از معاملات منفی دیروز مجددا…  http://goo.gl/fb/RoRTzW  #اقتصاد,[],['http://goo.gl/fb/RoRTzW'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/719399048973848576,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,726267038361096193,726267038361096193,1461990529000,2016-04-30,08:58:49,430,2463165061,bourseiness,بورسینس,,تعدیل های مثبت #رکیش ادامه دارد رکیش پیش بینی سود 95 را از 285 …  http://goo.gl/fb/k0IgEU  #اقتصاد,[],['http://goo.gl/fb/k0IgEU'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726267038361096193,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,726294916788264960,726294916788264960,1461997176000,2016-04-30,10:49:36,430,2463165061,bourseiness,بورسینس,,بازگشايي نماد معاملاتي #خرينگ،#دعبيد،#ركيش،#شمواد  http://goo.gl/fb/Ik5yp0  #اقتصاد,[],['http://goo.gl/fb/Ik5yp0'],[],0,0,0,"['#خرينگ', '#دعبيد', '#ركيش', '#شمواد', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726294916788264960,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,726304800564994048,726304800564994048,1461999533000,2016-04-30,11:28:53,430,2463165061,bourseiness,بورسینس,,#رکیش پس از بازگشایی  http://goo.gl/fb/1wCiLr  #اقتصاد,[],['http://goo.gl/fb/1wCiLr'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726304800564994048,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,729956308720463872,729956308720463872,1462870120000,2016-05-10,13:18:40,430,2463165061,bourseiness,بورسینس,,#رکیش اعلامیه پذیره نویسی عمومی شرکت کارت اعتباري ايران کيش بر اساس تصمیمات مجمع…  http://goo.gl/fb/7gPmUe  #اقتصاد,[],['http://goo.gl/fb/7gPmUe'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/729956308720463872,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,730297487622340608,730297487622340608,1462951463000,2016-05-11,11:54:23,430,2463165061,bourseiness,بورسینس,,#رتاپ #وبوعلی #سنیر و حق تقدم استفاده نشده #رکیش آماده گشایشند  http://goo.gl/fb/0hN40f  #اقتصاد,[],['http://goo.gl/fb/0hN40f'],[],0,0,0,"['#رتاپ', '#وبوعلی', '#سنیر', '#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/730297487622340608,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,739372647151218688,739372647151218688,1465115150000,2016-06-05,12:55:50,430,2463165061,bourseiness,بورسینس,,#رکیش آگهی دعوت به مجمع عمومی عادی سالیانه شرکت کارت اعتباري ايران کيش برای…  http://goo.gl/fb/0RXtB5  #اقتصاد,[],['http://goo.gl/fb/0RXtB5'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/739372647151218688,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,740046801152135169,740046801152135169,1465275881000,2016-06-07,09:34:41,430,2463165061,bourseiness,بورسینس,,#رکیش فرم واريز وجوه حق تقدم استفاده نشده در افزايش سرمايه سال ۹۵  http://goo.gl/fb/IIMUeo  #اقتصاد,[],['http://goo.gl/fb/IIMUeo'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/740046801152135169,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,740446934691909632,740446934691909632,1465371280000,2016-06-08,12:04:40,430,2463165061,bourseiness,بورسینس,,#رکیش زمانبندی پرداخت سود سهام سال مالي ۹۴  http://goo.gl/fb/QBjbyA  #اقتصاد,[],['http://goo.gl/fb/QBjbyA'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/740446934691909632,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,742266590364852224,742266590364852224,1465805120000,2016-06-13,12:35:20,430,2463165061,bourseiness,بورسینس,,صف خرید #رکیش سنگین شد و از 1.5 میل هم گذشته عرضه ها در…  http://goo.gl/fb/CksRMm  #اقتصاد,[],['http://goo.gl/fb/CksRMm'],[],0,0,1,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/742266590364852224,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,742599071043571712,742599071043571712,1465884390000,2016-06-14,10:36:30,430,2463165061,bourseiness,بورسینس,,اوضاع #بازار اصلا تعریفی ندارد توقف نمادهاي معاملاتي #خوسازح،#شسپا،#ركيش،#دفارا…  http://goo.gl/fb/nUQdzO  #اقتصاد,[],['http://goo.gl/fb/nUQdzO'],[],0,0,0,"['#بازار', '#خوسازح', '#شسپا', '#ركيش', '#دفارا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/742599071043571712,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,742568467379982336,742568467379982336,1465877093000,2016-06-14,08:34:53,430,2463165061,bourseiness,بورسینس,,در ادامه برگزاری مجامع شرکتها، امروز نمادهای #خوسازح ،#شسپا ، #رکیش ، #دفارا ،…  http://goo.gl/fb/A0NE0d  #اقتصاد,[],['http://goo.gl/fb/A0NE0d'],[],0,0,0,"['#خوسازح', '#شسپا', '#رکیش', '#دفارا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/742568467379982336,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
17,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,744383941143040000,744383941143040000,1466309936000,2016-06-19,08:48:56,430,2463165061,bourseiness,بورسینس,,#رکیش موضوع خلاصه تصمیمات مجمع عمومی عادی سالیانه سال مالی منتهی به 29 12…  http://goo.gl/fb/UuoTAI  #اقتصاد,[],['http://goo.gl/fb/UuoTAI'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/744383941143040000,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
18,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,744395238555422720,744395238555422720,1466312629000,2016-06-19,09:33:49,430,2463165061,bourseiness,بورسینس,,#رکیش در مجمع ۳۵۰ ریال سود تصویب کرد #تایرا در مجمع ۳۵۰ ریال سود…  http://goo.gl/fb/nyFN81  #اقتصاد,[],['http://goo.gl/fb/nyFN81'],[],0,0,0,"['#رکیش', '#تایرا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/744395238555422720,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,744786362360954880,744786362360954880,1466405880000,2016-06-20,11:28:00,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #پارسيان،#تايرا،#دجابر،#ركيش #کرمان، #ثعمرا و #ثامان…  http://goo.gl/fb/KSrTW4  #اقتصاد,[],['http://goo.gl/fb/KSrTW4'],[],0,0,0,"['#پارسيان', '#تايرا', '#دجابر', '#ركيش', '#کرمان', '#ثعمرا', '#ثامان', '#اقتصاد']",[],https://twitter.com/bourseiness/status/744786362360954880,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,752095256628330496,752095256628330496,1468148457000,2016-07-10,15:30:57,430,2463165061,bourseiness,بورسینس,,#رکیش زمانبندی پرداخت سود سهام سال مالی 94  http://goo.gl/fb/AtvGD1  #اقتصاد,[],['http://goo.gl/fb/AtvGD1'],[],0,0,0,"['#رکیش', '#اقتصاد']",[],https://twitter.com/bourseiness/status/752095256628330496,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
