Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2019-04-29,1999995105,4399989231000,427528,2200.0,2200.0,2200.0,2200.0,1000.0
2019-04-30,2162395,4995132450,776,2310.0,2310.0,2252.0,2310.0,2200.0
2019-05-01,5011239,11846568996,1550,2364.0,2364.0,2364.0,2364.0,2252.0
2019-05-04,11484445,28504392490,3243,2482.0,2482.0,2482.0,2482.0,2364.0
2019-05-05,21636727,56385310562,5670,2606.0,2606.0,2606.0,2606.0,2482.0
2019-05-06,231040139,602288996202,52790,2637.0,2476.0,2607.0,2630.0,2606.0
2019-05-07,273802211,695046977697,64790,2631.0,2477.0,2539.0,2544.0,2607.0
2019-05-08,401627194,1056864602081,83540,2665.0,2540.0,2631.0,2665.0,2539.0
2019-05-11,261449773,683980426765,52302,2720.0,2510.0,2616.0,2565.0,2631.0
2019-05-12,162748555,409347580591,32855,2575.0,2490.0,2515.0,2555.0,2616.0
2019-05-13,145711339,379318315139,23628,2640.0,2522.0,2603.0,2640.0,2515.0
2019-05-14,123974514,329812928814,22267,2700.0,2610.0,2660.0,2630.0,2603.0
2019-05-15,87431118,226717892007,15713,2635.0,2555.0,2593.0,2592.0,2660.0
2019-05-18,97395236,250980615685,17824,2634.0,2556.0,2577.0,2558.0,2593.0
2019-05-19,77327148,195528798938,15586,2570.0,2512.0,2529.0,2525.0,2577.0
2019-05-20,71446994,180334512989,16186,2595.0,2480.0,2524.0,2560.0,2529.0
2019-05-21,46984979,119676301670,21531,2591.0,2530.0,2547.0,2543.0,2524.0
2019-05-22,43487153,109613025046,9589,2544.0,2510.0,2521.0,2526.0,2547.0
2019-05-25,44601128,111702122182,10096,2520.0,2484.0,2504.0,2502.0,2521.0
2019-05-26,58668453,147527893766,21151,2550.0,2504.0,2515.0,2509.0,2504.0
2019-05-28,111187358,287739404690,17207,2626.0,2525.0,2588.0,2607.0,2515.0
2019-05-29,49700952,127108204949,8888,2624.0,2535.0,2557.0,2540.0,2588.0
2019-06-01,56758230,142673254437,8881,2537.0,2491.0,2514.0,2518.0,2557.0
2019-06-02,45106900,114586802933,8016,2555.0,2518.0,2540.0,2545.0,2514.0
2019-06-03,45218307,115446775369,8307,2599.0,2540.0,2553.0,2543.0,2540.0
2019-06-08,45012451,113886345283,7400,2558.0,2500.0,2530.0,2537.0,2553.0
2019-06-09,83088986,215808959316,13472,2625.0,2526.0,2597.0,2623.0,2530.0
2019-06-10,126060766,335481130190,17212,2720.0,2610.0,2661.0,2716.0,2597.0
2019-06-11,157148973,434814334261,14266,2794.0,2667.0,2767.0,2794.0,2661.0
2019-06-12,110979697,308241575619,12572,2870.0,2700.0,2777.0,2720.0,2767.0
2019-06-15,68434677,184190355217,10558,2754.0,2652.0,2691.0,2676.0,2777.0
2019-06-16,82726061,221883428466,13775,2745.0,2628.0,2682.0,2650.0,2691.0
