,Date,Trend
0,2015-08-23,26
1,2015-08-30,20
2,2015-09-06,19
3,2015-09-13,26
4,2015-09-20,15
5,2015-09-27,25
6,2015-10-04,26
7,2015-10-11,29
8,2015-10-18,28
9,2015-10-25,14
10,2015-11-01,22
11,2015-11-08,25
12,2015-11-15,22
13,2015-11-22,36
14,2015-11-29,29
15,2015-12-06,28
16,2015-12-13,47
17,2015-12-20,47
18,2015-12-27,64
19,2016-01-03,43
20,2016-01-10,43
21,2016-01-17,59
22,2016-01-24,69
23,2016-01-31,62
24,2016-02-07,73
25,2016-02-14,73
26,2016-02-21,78
27,2016-02-28,70
28,2016-03-06,68
29,2016-03-13,89
30,2016-03-20,97
31,2016-03-27,100
32,2016-04-03,78
33,2016-04-10,81
34,2016-04-17,80
35,2016-04-24,63
36,2016-05-01,70
37,2016-05-08,54
38,2016-05-15,65
39,2016-05-22,63
40,2016-05-29,44
41,2016-06-05,51
42,2016-06-12,50
43,2016-06-19,48
44,2016-06-26,33
45,2016-07-03,34
46,2016-07-10,44
47,2016-07-17,36
48,2016-07-24,39
49,2016-07-31,23
50,2016-08-07,28
51,2016-08-14,32
52,2016-08-21,32
53,2016-08-28,30
54,2016-09-04,25
55,2016-09-11,20
56,2016-09-18,27
57,2016-09-25,28
58,2016-10-02,18
59,2016-10-09,25
60,2016-10-16,15
61,2016-10-23,17
62,2016-10-30,14
63,2016-11-06,25
64,2016-11-13,23
65,2016-11-20,19
66,2016-11-27,22
67,2016-12-04,21
68,2016-12-11,23
69,2016-12-18,23
70,2016-12-25,26
71,2017-01-01,25
72,2017-01-08,22
73,2017-01-15,24
74,2017-01-22,30
75,2017-01-29,30
76,2017-02-05,24
77,2017-02-12,26
78,2017-02-19,20
79,2017-02-26,19
80,2017-03-05,22
81,2017-03-12,18
82,2017-03-19,17
83,2017-03-26,26
84,2017-04-02,25
85,2017-04-09,21
86,2017-04-16,23
87,2017-04-23,19
88,2017-04-30,23
89,2017-05-07,21
90,2017-05-14,17
91,2017-05-21,21
92,2017-05-28,19
93,2017-06-04,20
94,2017-06-11,21
95,2017-06-18,14
96,2017-06-25,12
97,2017-07-02,18
98,2017-07-09,12
99,2017-07-16,12
100,2017-07-23,19
101,2017-07-30,21
102,2017-08-06,20
103,2017-08-13,24
104,2017-08-20,16
105,2017-08-27,14
106,2017-09-03,14
107,2017-09-10,15
108,2017-09-17,9
109,2017-09-24,13
110,2017-10-01,14
111,2017-10-08,12
112,2017-10-15,11
113,2017-10-22,14
114,2017-10-29,11
115,2017-11-05,18
116,2017-11-12,15
117,2017-11-19,11
118,2017-11-26,13
119,2017-12-03,15
120,2017-12-10,12
121,2017-12-17,16
122,2017-12-24,18
123,2017-12-31,14
124,2018-01-07,21
125,2018-01-14,22
126,2018-01-21,20
127,2018-01-28,19
128,2018-02-04,18
129,2018-02-11,15
130,2018-02-18,20
131,2018-02-25,13
132,2018-03-04,16
133,2018-03-11,19
134,2018-03-18,22
135,2018-03-25,18
136,2018-04-01,19
137,2018-04-08,16
138,2018-04-15,11
139,2018-04-22,14
140,2018-04-29,10
141,2018-05-06,23
142,2018-05-13,12
143,2018-05-20,16
144,2018-05-27,12
145,2018-06-03,15
146,2018-06-10,15
147,2018-06-17,12
148,2018-06-24,10
149,2018-07-01,11
150,2018-07-08,11
151,2018-07-15,13
152,2018-07-22,15
153,2018-07-29,17
154,2018-08-05,16
155,2018-08-12,17
156,2018-08-19,13
157,2018-08-26,13
158,2018-09-02,11
159,2018-09-09,7
160,2018-09-16,12
161,2018-09-23,17
162,2018-09-30,7
163,2018-10-07,10
164,2018-10-14,13
165,2018-10-21,11
166,2018-10-28,13
167,2018-11-04,7
168,2018-11-11,15
169,2018-11-18,12
170,2018-11-25,11
171,2018-12-02,9
172,2018-12-09,10
173,2018-12-16,14
174,2018-12-23,20
175,2018-12-30,19
176,2019-01-06,20
177,2019-01-13,21
178,2019-01-20,16
179,2019-01-27,22
180,2019-02-03,10
181,2019-02-10,19
182,2019-02-17,17
183,2019-02-24,15
184,2019-03-03,11
185,2019-03-10,12
186,2019-03-17,10
187,2019-03-24,9
188,2019-03-31,12
189,2019-04-07,9
190,2019-04-14,12
191,2019-04-21,11
192,2019-04-28,6
193,2019-05-05,11
194,2019-05-12,13
195,2019-05-19,14
