Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,1267432,3603613435,134,2994.0,2803.0,2892.0,2819.0,2920.0
2016-02-21,5193750,15274563656,133,2978.0,2765.0,2941.0,2852.0,2892.0
2016-02-22,259133,748013555,52,2951.0,2823.0,2937.0,2909.0,2941.0
2016-02-23,849121,2427789761,104,2953.0,2816.0,2918.0,2827.0,2937.0
2016-02-24,330195,932136916,82,2891.0,2807.0,2909.0,2828.0,2918.0
2016-02-27,625551,1767304366,96,2868.0,2800.0,2894.0,2811.0,2909.0
2016-02-28,432561,1212198523,94,2866.0,2782.0,2882.0,2800.0,2894.0
2016-02-29,1210854,3358373320,139,2848.0,2760.0,2844.0,2771.0,2882.0
2016-03-01,2178522,6082824566,201,2840.0,2725.0,2811.0,2730.0,2844.0
2016-03-02,4760887,13378575812,130,2839.0,2690.0,2810.0,2744.0,2811.0
2016-03-05,5595368,15255146213,384,2800.0,2671.0,2726.0,2671.0,2810.0
2016-03-27,1008952,1869909371,141,2000.0,1835.0,1907.0,1835.0,1920.0
2016-03-28,735233,1360955767,97,1950.0,1825.0,1899.0,1832.0,1907.0
2016-03-29,2530973,4574471621,179,1895.0,1805.0,1854.0,1805.0,1899.0
2016-03-30,1928242,3474363459,215,1837.0,1790.0,1835.0,1800.0,1854.0
2016-04-02,3075153,5381460914,184,1830.0,1744.0,1787.0,1744.0,1835.0
2016-04-03,3513754,6001082573,211,1769.0,1698.0,1736.0,1750.0,1787.0
2016-04-04,6752115,11951109854,150,1779.0,1730.0,1770.0,1768.0,1736.0
2016-04-05,396365,707099864,72,1800.0,1731.0,1771.0,1798.0,1770.0
2016-04-06,929996,1674738140,108,1836.0,1771.0,1776.0,1800.0,1771.0
2016-04-09,746575,1350185056,78,1820.0,1782.0,1780.0,1785.0,1776.0
2016-04-10,7307590,13462345348,92,1849.0,1780.0,1842.0,1833.0,1780.0
2016-04-11,346027,625329128,48,1820.0,1781.0,1840.0,1800.0,1842.0
2016-04-12,935959,1686639423,88,1839.0,1800.0,1834.0,1800.0,1840.0
2016-04-13,276654,498413162,46,1817.0,1791.0,1832.0,1800.0,1834.0
2016-04-16,19592045,36641343636,172,1885.0,1741.0,1870.0,1885.0,1832.0
2016-04-17,208183,375669148,52,1830.0,1779.0,1868.0,1811.0,1870.0
2016-04-18,318616,582631358,72,1852.0,1791.0,1866.0,1804.0,1868.0
2016-04-19,398511,720350496,46,1825.0,1795.0,1862.0,1825.0,1866.0
2016-04-20,422657,751804298,67,1838.0,1769.0,1856.0,1775.0,1862.0
2016-04-23,683934,1232915272,43,1822.0,1780.0,1849.0,1800.0,1856.0
2016-04-24,1660029,3011906923,102,1833.0,1800.0,1838.0,1800.0,1849.0
2016-04-25,653266,1168268819,77,1828.0,1780.0,1832.0,1800.0,1838.0
2016-04-26,5192861,9052006770,326,1826.0,1741.0,1746.0,1742.0,1832.0
2016-04-27,603594,1052492427,66,1769.0,1720.0,1746.0,1759.0,1746.0
2016-04-30,1895079,3215230412,151,1763.0,1687.0,1730.0,1688.0,1746.0
2016-05-01,207708,355959572,44,1737.0,1701.0,1729.0,1715.0,1730.0
2016-05-02,428262,724083008,98,1716.0,1666.0,1726.0,1666.0,1729.0
2016-05-03,666328,1107418916,105,1692.0,1653.0,1719.0,1661.0,1726.0
2016-05-04,2389831,4171849530,176,1775.0,1654.0,1730.0,1689.0,1719.0
2016-05-07,720352,1224812836,72,1720.0,1670.0,1726.0,1670.0,1730.0
2016-05-08,522524,865962321,93,1700.0,1650.0,1720.0,1654.0,1726.0
2016-05-09,282843,467831810,75,1699.0,1649.0,1717.0,1650.0,1720.0
2016-05-10,8244762,14381181977,198,1769.0,1632.0,1744.0,1655.0,1717.0
2016-05-11,741148,1229596103,86,1724.0,1657.0,1733.0,1658.0,1744.0
2016-05-14,1608538,2656395285,158,1687.0,1647.0,1710.0,1649.0,1733.0
2016-05-15,710376,1160049717,106,1650.0,1625.0,1701.0,1630.0,1710.0
2016-05-16,474696,768215675,88,1655.0,1616.0,1694.0,1634.0,1701.0
2016-05-17,4663271,7938961544,148,1720.0,1615.0,1701.0,1615.0,1694.0
2016-05-18,604196,1016062000,61,1700.0,1641.0,1699.0,1657.0,1701.0
2016-05-21,50804,85116146,25,1696.0,1650.0,1699.0,1680.0,1699.0
2016-05-23,285652,480191733,45,1697.0,1626.0,1698.0,1654.0,1699.0
2016-05-24,9569550,16571104655,206,1748.0,1632.0,1732.0,1748.0,1698.0
2016-05-25,8367520,14768427479,210,1783.0,1666.0,1765.0,1724.0,1732.0
2016-05-28,600253,1065092092,59,1799.0,1711.0,1766.0,1748.0,1765.0
2016-05-29,199853,340963464,50,1769.0,1700.0,1764.0,1720.0,1766.0
2016-05-30,6933530,12320883921,75,1785.0,1692.0,1777.0,1730.0,1764.0
2016-05-31,552588,939794704,105,1769.0,1689.0,1770.0,1710.0,1777.0
2016-06-01,107636,182504683,45,1730.0,1690.0,1769.0,1690.0,1770.0
2016-06-05,1484634,2511819300,160,1756.0,1681.0,1749.0,1681.0,1769.0
2016-06-06,86271,143934426,41,1680.0,1665.0,1748.0,1680.0,1749.0
2016-06-07,197601,328934778,61,1680.0,1661.0,1745.0,1661.0,1748.0
2016-06-08,257792,427427658,39,1660.0,1658.0,1741.0,1658.0,1745.0
2016-06-11,269156,445362714,42,1658.0,1654.0,1737.0,1654.0,1741.0
2016-06-12,701263,1157785213,43,1651.0,1651.0,1727.0,1651.0,1737.0
2016-06-13,16425,26953425,10,1641.0,1641.0,1727.0,1641.0,1727.0
2016-06-14,135619,222550779,15,1641.0,1641.0,1725.0,1641.0,1727.0
2016-06-15,16607,27218873,9,1639.0,1639.0,1725.0,1639.0,1725.0
2016-06-18,25741,42189499,12,1639.0,1639.0,1725.0,1639.0,1725.0
2016-06-19,17197,28185883,10,1639.0,1639.0,1725.0,1639.0,1725.0
2016-06-20,9066,14859174,7,1639.0,1639.0,1725.0,1639.0,1725.0
2016-06-21,296102,485311178,25,1639.0,1639.0,1721.0,1639.0,1725.0
2016-06-22,1148150,1895122666,143,1661.0,1635.0,1707.0,1650.0,1721.0
2016-06-25,296889,483291867,79,1649.0,1622.0,1703.0,1623.0,1707.0
2016-06-26,354305,573879662,73,1649.0,1618.0,1698.0,1618.0,1703.0
2016-06-28,166564,270866128,63,1644.0,1614.0,1696.0,1619.0,1698.0
2016-06-29,213300,344170412,78,1618.0,1612.0,1693.0,1612.0,1696.0
2016-07-02,146730,236267401,35,1614.0,1609.0,1691.0,1611.0,1693.0
