,Date,Trend
0,2015-08-23,0
1,2015-08-30,6
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,0
5,2015-09-27,6
6,2015-10-04,0
7,2015-10-11,6
8,2015-10-18,12
9,2015-10-25,6
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,6
13,2015-11-22,6
14,2015-11-29,6
15,2015-12-06,0
16,2015-12-13,13
17,2015-12-20,7
18,2015-12-27,7
19,2016-01-03,7
20,2016-01-10,13
21,2016-01-17,11
22,2016-01-24,6
23,2016-01-31,20
24,2016-02-07,6
25,2016-02-14,13
26,2016-02-21,9
27,2016-02-28,6
28,2016-03-06,13
29,2016-03-13,16
30,2016-03-20,7
31,2016-03-27,10
32,2016-04-03,13
33,2016-04-10,11
34,2016-04-17,13
35,2016-04-24,6
36,2016-05-01,16
37,2016-05-08,19
38,2016-05-15,17
39,2016-05-22,13
40,2016-05-29,11
41,2016-06-05,10
42,2016-06-12,7
43,2016-06-19,7
44,2016-06-26,7
45,2016-07-03,7
46,2016-07-10,9
47,2016-07-17,7
48,2016-07-24,7
49,2016-07-31,0
50,2016-08-07,7
51,2016-08-14,11
52,2016-08-21,7
53,2016-08-28,0
54,2016-09-04,0
55,2016-09-11,13
56,2016-09-18,9
57,2016-09-25,11
58,2016-10-02,11
59,2016-10-09,0
60,2016-10-16,7
61,2016-10-23,7
62,2016-10-30,13
63,2016-11-06,13
64,2016-11-13,13
65,2016-11-20,6
66,2016-11-27,12
67,2016-12-04,18
68,2016-12-11,6
69,2016-12-18,10
70,2016-12-25,7
71,2017-01-01,22
72,2017-01-08,9
73,2017-01-15,12
74,2017-01-22,12
75,2017-01-29,15
76,2017-02-05,12
77,2017-02-12,6
78,2017-02-19,6
79,2017-02-26,6
80,2017-03-05,0
81,2017-03-12,0
82,2017-03-19,6
83,2017-03-26,0
84,2017-04-02,12
85,2017-04-09,6
86,2017-04-16,6
87,2017-04-23,6
88,2017-04-30,0
89,2017-05-07,12
90,2017-05-14,13
91,2017-05-21,6
92,2017-05-28,13
93,2017-06-04,13
94,2017-06-11,6
95,2017-06-18,6
96,2017-06-25,16
97,2017-07-02,7
98,2017-07-09,13
99,2017-07-16,9
100,2017-07-23,6
101,2017-07-30,6
102,2017-08-06,6
103,2017-08-13,6
104,2017-08-20,9
105,2017-08-27,6
106,2017-09-03,6
107,2017-09-10,0
108,2017-09-17,12
109,2017-09-24,12
110,2017-10-01,0
111,2017-10-08,6
112,2017-10-15,0
113,2017-10-22,6
114,2017-10-29,6
115,2017-11-05,12
116,2017-11-12,6
117,2017-11-19,6
118,2017-11-26,6
119,2017-12-03,9
120,2017-12-10,10
121,2017-12-17,0
122,2017-12-24,0
123,2017-12-31,10
124,2018-01-07,6
125,2018-01-14,6
126,2018-01-21,8
127,2018-01-28,15
128,2018-02-04,11
129,2018-02-11,8
130,2018-02-18,11
131,2018-02-25,6
132,2018-03-04,6
133,2018-03-11,0
134,2018-03-18,6
135,2018-03-25,6
136,2018-04-01,6
137,2018-04-08,0
138,2018-04-15,6
139,2018-04-22,6
140,2018-04-29,0
141,2018-05-06,6
142,2018-05-13,6
143,2018-05-20,0
144,2018-05-27,9
145,2018-06-03,6
146,2018-06-10,6
147,2018-06-17,8
148,2018-06-24,6
149,2018-07-01,6
150,2018-07-08,0
151,2018-07-15,0
152,2018-07-22,6
153,2018-07-29,6
154,2018-08-05,6
155,2018-08-12,6
156,2018-08-19,11
157,2018-08-26,6
158,2018-09-02,0
159,2018-09-09,6
160,2018-09-16,6
161,2018-09-23,6
162,2018-09-30,0
163,2018-10-07,6
164,2018-10-14,6
165,2018-10-21,11
166,2018-10-28,17
167,2018-11-04,6
168,2018-11-11,11
169,2018-11-18,6
170,2018-11-25,8
171,2018-12-02,6
172,2018-12-09,14
173,2018-12-16,6
174,2018-12-23,12
175,2018-12-30,9
176,2019-01-06,14
177,2019-01-13,7
178,2019-01-20,8
179,2019-01-27,11
180,2019-02-03,16
181,2019-02-10,8
182,2019-02-17,5
183,2019-02-24,5
184,2019-03-03,5
185,2019-03-10,11
186,2019-03-17,11
187,2019-03-24,13
188,2019-03-31,6
189,2019-04-07,5
190,2019-04-14,6
191,2019-04-21,6
192,2019-04-28,0
193,2019-05-05,5
194,2019-05-12,6
195,2019-05-19,5
196,2019-05-26,5
197,2019-06-02,16
198,2019-06-09,16
199,2019-06-16,6
200,2019-06-23,5
201,2019-06-30,6
202,2019-07-07,9
203,2019-07-14,6
204,2019-07-21,6
205,2019-07-28,0
206,2019-08-04,11
207,2019-08-11,11
208,2019-08-18,5
209,2019-08-25,11
210,2019-09-01,11
211,2019-09-08,10
212,2019-09-15,5
213,2019-09-22,8
214,2019-09-29,5
215,2019-10-06,0
216,2019-10-13,5
217,2019-10-20,10
218,2019-10-27,5
219,2019-11-03,5
220,2019-11-10,0
221,2019-11-17,0
222,2019-11-24,5
223,2019-12-01,12
224,2019-12-08,9
225,2019-12-15,10
226,2019-12-22,13
227,2019-12-29,13
228,2020-01-05,10
229,2020-01-12,18
230,2020-01-19,10
231,2020-01-26,5
232,2020-02-02,21
233,2020-02-09,11
234,2020-02-16,16
235,2020-02-23,11
236,2020-03-01,12
237,2020-03-08,5
238,2020-03-15,9
239,2020-03-22,7
240,2020-03-29,7
241,2020-04-05,5
242,2020-04-12,9
243,2020-04-19,85
244,2020-04-26,66
245,2020-05-03,34
246,2020-05-10,28
247,2020-05-17,10
248,2020-05-24,56
249,2020-05-31,28
250,2020-06-07,27
251,2020-06-14,17
252,2020-06-21,28
253,2020-06-28,54
254,2020-07-05,72
255,2020-07-12,84
256,2020-07-19,100
257,2020-07-26,70
258,2020-08-02,64
259,2020-08-09,69
