,Date,Trend
0,2015-08-09,9
1,2015-08-16,6
2,2015-08-23,6
3,2015-08-30,6
4,2015-09-06,6
5,2015-09-13,8
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,11
9,2015-10-11,16
10,2015-10-18,0
11,2015-10-25,5
12,2015-11-01,11
13,2015-11-08,8
14,2015-11-15,5
15,2015-11-22,5
16,2015-11-29,0
17,2015-12-06,11
18,2015-12-13,6
19,2015-12-20,18
20,2015-12-27,6
21,2016-01-03,9
22,2016-01-10,6
23,2016-01-17,6
24,2016-01-24,6
25,2016-01-31,11
26,2016-02-07,6
27,2016-02-14,11
28,2016-02-21,8
29,2016-02-28,8
30,2016-03-06,14
31,2016-03-13,6
32,2016-03-20,0
33,2016-03-27,11
34,2016-04-03,6
35,2016-04-10,22
36,2016-04-17,6
37,2016-04-24,6
38,2016-05-01,6
39,2016-05-08,6
40,2016-05-15,6
41,2016-05-22,6
42,2016-05-29,0
43,2016-06-05,11
44,2016-06-12,0
45,2016-06-19,6
46,2016-06-26,6
47,2016-07-03,6
48,2016-07-10,12
49,2016-07-17,0
50,2016-07-24,18
51,2016-07-31,6
52,2016-08-07,6
53,2016-08-14,6
54,2016-08-21,9
55,2016-08-28,0
56,2016-09-04,0
57,2016-09-11,6
58,2016-09-18,0
59,2016-09-25,12
60,2016-10-02,11
61,2016-10-09,12
62,2016-10-16,6
63,2016-10-23,26
64,2016-10-30,17
65,2016-11-06,11
66,2016-11-13,28
67,2016-11-20,14
68,2016-11-27,16
69,2016-12-04,8
70,2016-12-11,0
71,2016-12-18,20
72,2016-12-25,12
73,2017-01-01,6
74,2017-01-08,5
75,2017-01-15,5
76,2017-01-22,21
77,2017-01-29,10
78,2017-02-05,16
79,2017-02-12,5
80,2017-02-19,10
81,2017-02-26,20
82,2017-03-05,15
83,2017-03-12,10
84,2017-03-19,5
85,2017-03-26,5
86,2017-04-02,8
87,2017-04-09,14
88,2017-04-16,0
89,2017-04-23,5
90,2017-04-30,8
91,2017-05-07,8
92,2017-05-14,17
93,2017-05-21,14
94,2017-05-28,17
95,2017-06-04,5
96,2017-06-11,0
97,2017-06-18,5
98,2017-06-25,11
99,2017-07-02,17
100,2017-07-09,8
101,2017-07-16,8
102,2017-07-23,14
103,2017-07-30,5
104,2017-08-06,5
105,2017-08-13,11
106,2017-08-20,5
107,2017-08-27,5
108,2017-09-03,5
109,2017-09-10,0
110,2017-09-17,5
111,2017-09-24,5
112,2017-10-01,11
113,2017-10-08,5
114,2017-10-15,5
115,2017-10-22,10
116,2017-10-29,5
117,2017-11-05,5
118,2017-11-12,0
119,2017-11-19,5
120,2017-11-26,10
121,2017-12-03,20
122,2017-12-10,5
123,2017-12-17,0
124,2017-12-24,6
125,2017-12-31,5
126,2018-01-07,5
127,2018-01-14,7
128,2018-01-21,5
129,2018-01-28,5
130,2018-02-04,10
131,2018-02-11,7
132,2018-02-18,10
133,2018-02-25,5
134,2018-03-04,5
135,2018-03-11,0
136,2018-03-18,5
137,2018-03-25,5
138,2018-04-01,0
139,2018-04-08,10
140,2018-04-15,5
141,2018-04-22,5
142,2018-04-29,5
143,2018-05-06,5
144,2018-05-13,0
145,2018-05-20,5
146,2018-05-27,5
147,2018-06-03,5
148,2018-06-10,7
149,2018-06-17,5
150,2018-06-24,15
151,2018-07-01,5
152,2018-07-08,10
153,2018-07-15,15
154,2018-07-22,13
155,2018-07-29,5
156,2018-08-05,10
157,2018-08-12,15
158,2018-08-19,15
159,2018-08-26,7
160,2018-09-02,22
161,2018-09-09,17
162,2018-09-16,12
163,2018-09-23,14
164,2018-09-30,27
165,2018-10-07,17
166,2018-10-14,20
167,2018-10-21,12
168,2018-10-28,10
169,2018-11-04,12
170,2018-11-11,10
171,2018-11-18,0
172,2018-11-25,12
173,2018-12-02,10
174,2018-12-09,5
175,2018-12-16,12
176,2018-12-23,5
177,2018-12-30,5
178,2019-01-06,10
179,2019-01-13,7
180,2019-01-20,9
181,2019-01-27,5
182,2019-02-03,0
183,2019-02-10,7
184,2019-02-17,28
185,2019-02-24,9
186,2019-03-03,14
187,2019-03-10,0
188,2019-03-17,5
189,2019-03-24,5
190,2019-03-31,14
191,2019-04-07,5
192,2019-04-14,17
193,2019-04-21,12
194,2019-04-28,17
195,2019-05-05,14
196,2019-05-12,10
197,2019-05-19,14
198,2019-05-26,9
199,2019-06-02,9
200,2019-06-09,16
201,2019-06-16,14
202,2019-06-23,14
203,2019-06-30,7
204,2019-07-07,9
205,2019-07-14,10
206,2019-07-21,5
207,2019-07-28,15
208,2019-08-04,7
209,2019-08-11,17
210,2019-08-18,7
211,2019-08-25,9
212,2019-09-01,14
213,2019-09-08,14
214,2019-09-15,14
215,2019-09-22,27
216,2019-09-29,22
217,2019-10-06,20
218,2019-10-13,32
219,2019-10-20,20
220,2019-10-27,22
221,2019-11-03,18
222,2019-11-10,13
223,2019-11-17,0
224,2019-11-24,11
225,2019-12-01,25
226,2019-12-08,31
227,2019-12-15,20
228,2019-12-22,20
229,2019-12-29,28
230,2020-01-05,17
231,2020-01-12,38
232,2020-01-19,24
233,2020-01-26,32
234,2020-02-02,15
235,2020-02-09,19
236,2020-02-16,36
237,2020-02-23,27
238,2020-03-01,43
239,2020-03-08,40
240,2020-03-15,20
241,2020-03-22,33
242,2020-03-29,44
243,2020-04-05,55
244,2020-04-12,50
245,2020-04-19,100
246,2020-04-26,82
247,2020-05-03,59
248,2020-05-10,45
249,2020-05-17,49
250,2020-05-24,22
251,2020-05-31,52
252,2020-06-07,42
253,2020-06-14,41
254,2020-06-21,72
255,2020-06-28,75
256,2020-07-05,76
257,2020-07-12,44
258,2020-07-19,69
259,2020-07-26,51
260,2020-08-02,65
