Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,174115,211584921,35,1250.0,1190.0,1235.0,1203.0,1250.0
2016-02-21,150632,183260975,25,1221.0,1200.0,1228.0,1219.0,1235.0
2016-02-22,309178,372803300,49,1250.0,1184.0,1211.0,1235.0,1228.0
2016-02-23,122481,145908116,22,1209.0,1187.0,1205.0,1209.0,1211.0
2016-02-24,185422,219133350,31,1230.0,1171.0,1194.0,1225.0,1205.0
2016-02-27,132413,158117409,20,1210.0,1185.0,1194.0,1198.0,1194.0
2016-02-28,244180,289593837,37,1190.0,1180.0,1189.0,1185.0,1194.0
2016-02-29,317747,373690341,47,1190.0,1171.0,1179.0,1179.0,1189.0
2016-03-01,108997,129613499,10,1198.0,1173.0,1182.0,1197.0,1179.0
2016-03-02,281791,332819663,31,1208.0,1172.0,1181.0,1175.0,1182.0
2016-03-05,420404,487277384,51,1180.0,1143.0,1159.0,1178.0,1181.0
2016-03-06,336846,392196243,36,1180.0,1141.0,1163.0,1180.0,1159.0
2016-03-07,540666,639450620,65,1199.0,1160.0,1183.0,1190.0,1163.0
2016-03-08,166244,197344592,32,1198.0,1180.0,1185.0,1191.0,1183.0
2016-03-09,582220,701390672,62,1239.0,1170.0,1205.0,1171.0,1185.0
2016-03-12,1242719,1457230715,127,1182.0,1165.0,1173.0,1165.0,1205.0
2016-03-14,611554,745893415,77,1231.0,1197.0,1220.0,1231.0,1173.0
2016-03-15,2309933,2943407869,173,1281.0,1232.0,1274.0,1274.0,1220.0
2016-03-16,318340,394367816,46,1287.0,1223.0,1247.0,1240.0,1274.0
2016-03-26,748469,973523474,86,1309.0,1238.0,1301.0,1309.0,1247.0
2016-03-27,224440,293800300,33,1350.0,1270.0,1305.0,1300.0,1301.0
2016-03-28,227510,290656107,32,1320.0,1262.0,1289.0,1288.0,1305.0
2016-03-29,255048,326290660,40,1310.0,1250.0,1283.0,1300.0,1289.0
2016-03-30,163888,214390601,31,1340.0,1292.0,1293.0,1300.0,1283.0
2016-04-02,321776,408906900,26,1300.0,1267.0,1275.0,1270.0,1293.0
2016-04-03,815093,1068176909,93,1338.0,1240.0,1310.0,1338.0,1275.0
2016-04-04,1596603,2194826865,126,1375.0,1300.0,1375.0,1375.0,1310.0
2016-04-05,2762688,3986558784,149,1443.0,1443.0,1443.0,1443.0,1375.0
2016-04-06,3216173,4598410991,365,1465.0,1397.0,1430.0,1398.0,1443.0
2016-04-09,544642,744289897,105,1420.0,1359.0,1367.0,1359.0,1430.0
2016-04-10,1269143,1803027948,157,1435.0,1365.0,1421.0,1400.0,1367.0
2016-04-11,703287,1005315179,171,1460.0,1395.0,1429.0,1410.0,1421.0
2016-04-12,622007,847293487,92,1400.0,1358.0,1362.0,1363.0,1429.0
2016-04-13,173975,232602830,32,1399.0,1323.0,1350.0,1323.0,1362.0
2016-04-16,150513,194914611,30,1333.0,1283.0,1328.0,1283.0,1350.0
2016-04-17,128584,162383304,29,1300.0,1262.0,1305.0,1266.0,1328.0
2016-04-18,310384,416206519,50,1369.0,1285.0,1335.0,1345.0,1305.0
2016-04-19,104370,138673443,26,1389.0,1297.0,1333.0,1379.0,1335.0
2016-04-20,235980,304554824,49,1310.0,1270.0,1306.0,1299.0,1333.0
2016-04-23,56165,74484500,7,1343.0,1300.0,1309.0,1343.0,1306.0
2016-04-24,423246,558030577,51,1373.0,1299.0,1318.0,1373.0,1309.0
2016-04-25,147992,193665570,26,1317.0,1282.0,1314.0,1291.0,1318.0
2016-04-26,189211,246339095,35,1349.0,1290.0,1308.0,1349.0,1314.0
2016-04-27,615463,793589671,75,1318.0,1281.0,1289.0,1283.0,1308.0
2016-04-30,41463,53054625,11,1289.0,1263.0,1288.0,1263.0,1289.0
2016-05-01,488889,641401515,50,1345.0,1271.0,1312.0,1301.0,1288.0
2016-05-02,255783,335435319,33,1330.0,1260.0,1312.0,1263.0,1312.0
2016-05-03,53800,70606874,13,1328.0,1270.0,1312.0,1300.0,1312.0
2016-05-04,61268,79412970,18,1307.0,1261.0,1309.0,1307.0,1312.0
2016-05-07,96307,122745268,22,1310.0,1259.0,1300.0,1261.0,1309.0
2016-05-08,294793,365077125,35,1267.0,1235.0,1252.0,1251.0,1300.0
2016-05-09,741138,919840313,50,1286.0,1211.0,1241.0,1240.0,1252.0
2016-05-10,369072,445260294,37,1245.0,1200.0,1208.0,1244.0,1241.0
2016-05-11,36224,42984864,10,1190.0,1180.0,1206.0,1186.0,1208.0
2016-05-14,131897,160862035,20,1246.0,1190.0,1210.0,1246.0,1206.0
2016-05-15,130488,156864025,18,1248.0,1190.0,1208.0,1190.0,1210.0
2016-05-16,9144,11045940,7,1242.0,1185.0,1208.0,1190.0,1208.0
2016-05-17,116867,138934129,15,1220.0,1183.0,1203.0,1219.0,1208.0
2016-05-18,135419,162877877,20,1220.0,1192.0,1203.0,1202.0,1203.0
2016-05-21,58456,70235932,20,1226.0,1182.0,1203.0,1223.0,1203.0
2016-05-23,93824,111299354,28,1223.0,1179.0,1199.0,1200.0,1203.0
2016-05-24,111416,133592769,14,1221.0,1155.0,1199.0,1183.0,1199.0
2016-05-25,461800,558810609,44,1230.0,1157.0,1210.0,1230.0,1199.0
2016-05-28,109298,132355171,20,1238.0,1191.0,1210.0,1191.0,1210.0
2016-05-29,371572,461929119,47,1268.0,1201.0,1240.0,1268.0,1210.0
2016-05-30,110072,137568871,32,1270.0,1223.0,1243.0,1223.0,1240.0
2016-05-31,274466,332616387,22,1245.0,1207.0,1222.0,1240.0,1243.0
2016-06-01,19372,23193200,9,1200.0,1186.0,1221.0,1200.0,1222.0
2016-06-05,55050,65135114,13,1200.0,1180.0,1216.0,1182.0,1221.0
2016-06-06,75221,88275941,15,1179.0,1165.0,1208.0,1177.0,1216.0
2016-06-07,77749,91811676,21,1230.0,1173.0,1203.0,1173.0,1208.0
2016-06-08,142412,165927825,16,1171.0,1160.0,1190.0,1167.0,1203.0
2016-06-11,49116,56782317,16,1200.0,1151.0,1186.0,1152.0,1190.0
2016-06-12,22068,25396150,9,1151.0,1150.0,1184.0,1150.0,1186.0
2016-06-13,34700,40008324,14,1180.0,1145.0,1181.0,1145.0,1184.0
2016-06-14,108134,122616162,7,1144.0,1133.0,1169.0,1135.0,1181.0
2016-06-15,34167,39266267,16,1177.0,1113.0,1167.0,1177.0,1169.0
2016-06-18,114649,133837335,18,1190.0,1153.0,1167.0,1174.0,1167.0
2016-06-19,46805,52463419,7,1130.0,1119.0,1162.0,1121.0,1167.0
2016-06-20,29500,32970500,7,1121.0,1111.0,1159.0,1120.0,1162.0
2016-06-21,188052,210241136,39,1148.0,1110.0,1141.0,1148.0,1159.0
2016-06-22,74185,85665130,17,1179.0,1150.0,1143.0,1150.0,1141.0
2016-06-25,50000,56447000,4,1131.0,1127.0,1141.0,1127.0,1143.0
2016-06-26,304165,349658770,35,1168.0,1084.0,1147.0,1150.0,1141.0
2016-06-28,97274,116427677,36,1204.0,1179.0,1158.0,1190.0,1147.0
2016-06-29,71772,82551262,19,1160.0,1137.0,1157.0,1137.0,1158.0
2016-07-02,7550,8687500,6,1155.0,1150.0,1157.0,1150.0,1157.0
2016-07-03,145720,165135530,21,1180.0,1133.0,1149.0,1133.0,1157.0
2016-07-04,848037,1018682711,108,1206.0,1167.0,1201.0,1206.0,1149.0
2016-07-05,494855,572629110,70,1223.0,1145.0,1157.0,1145.0,1201.0
2016-07-09,17487,19558770,8,1173.0,1116.0,1155.0,1120.0,1157.0
2016-07-10,50110,58466575,9,1170.0,1149.0,1156.0,1169.0,1155.0
2016-07-11,303754,342240648,29,1140.0,1109.0,1135.0,1140.0,1156.0
2016-07-12,282100,321627095,55,1155.0,1113.0,1138.0,1139.0,1135.0
2016-07-19,11553,12502307,7,1119.0,1042.0,1078.0,1072.0,1078.0
2016-07-20,55000,59791500,7,1124.0,1070.0,1079.0,1090.0,1078.0
2016-07-23,60943,67735510,14,1119.0,1090.0,1083.0,1110.0,1079.0
2016-07-24,116634,129922356,26,1120.0,1080.0,1091.0,1117.0,1083.0
2016-07-25,60674,64890868,16,1090.0,1053.0,1088.0,1090.0,1091.0
2016-07-26,86365,93699893,24,1119.0,1067.0,1087.0,1067.0,1088.0
2016-07-27,97859,106827302,19,1095.0,1072.0,1088.0,1094.0,1087.0
2016-07-31,189753,205265378,27,1119.0,1070.0,1085.0,1070.0,1088.0
2016-08-01,172019,183772855,38,1082.0,1060.0,1079.0,1082.0,1085.0
2016-08-02,139029,148247490,40,1080.0,1045.0,1075.0,1045.0,1079.0
2016-08-03,239495,253521728,61,1100.0,1040.0,1063.0,1040.0,1075.0
2016-08-06,695915,767094251,112,1116.0,1043.0,1102.0,1116.0,1063.0
2016-08-07,243613,272544067,40,1129.0,1090.0,1111.0,1127.0,1102.0
2016-08-08,43710,47856462,19,1137.0,1090.0,1110.0,1092.0,1111.0
2016-08-09,152319,167330800,30,1100.0,1085.0,1106.0,1089.0,1110.0
2016-08-10,189579,215749838,48,1161.0,1100.0,1119.0,1114.0,1106.0
2016-08-13,6500,7250000,3,1116.0,1115.0,1119.0,1116.0,1119.0
2016-08-14,620038,692467000,25,1119.0,1095.0,1117.0,1116.0,1119.0
2016-08-15,61549,68477821,16,1119.0,1091.0,1116.0,1093.0,1117.0
2016-08-16,84101,93825957,14,1120.0,1092.0,1116.0,1115.0,1116.0
2016-08-17,38657,42190319,13,1093.0,1090.0,1114.0,1091.0,1116.0
2016-08-20,11100,12076270,5,1103.0,1086.0,1113.0,1103.0,1114.0
2016-08-21,150934,161753593,32,1095.0,1062.0,1099.0,1065.0,1113.0
2016-08-22,60135,64209996,22,1099.0,1060.0,1095.0,1069.0,1099.0
2016-08-23,93916,102383338,18,1100.0,1062.0,1094.0,1062.0,1095.0
2016-08-24,65617,70448403,6,1101.0,1071.0,1091.0,1071.0,1094.0
2016-08-27,61608,66252952,10,1100.0,1070.0,1089.0,1070.0,1091.0
2016-08-28,121398,128114912,21,1065.0,1045.0,1080.0,1061.0,1089.0
