Date,Close,Open,Low,High,Volume,Trades
2007-07-15,2570.0,2570.0,2570.0,2570.0,3000000,38
2007-07-16,2604.0,2621.0,2604.0,2621.0,160010,41
2007-07-17,2602.0,2606.0,2552.0,2608.0,374847,12
2007-07-21,2587.0,2550.0,2550.0,2587.0,70010,8
2007-07-22,2572.0,2536.0,2536.0,2572.0,70010,16
2007-07-23,2564.0,2546.0,2521.0,2572.0,60010,7
2007-07-24,2541.0,2513.0,2513.0,2541.0,108359,24
2007-07-25,2524.0,2500.0,2500.0,2524.0,100010,11
2007-07-29,2523.0,2474.0,2474.0,2523.0,3510,2
2007-07-30,2522.0,2476.0,2475.0,2522.0,3073,3
2007-08-04,2522.0,2519.0,2519.0,2522.0,110,2
2007-08-06,2501.0,2472.0,2472.0,2501.0,100010,11
2007-08-07,2501.0,2451.0,2451.0,2501.0,1010,2
2007-08-08,2495.0,2451.0,2451.0,2495.0,30010,7
2007-08-13,2491.0,2451.0,2451.0,2491.0,19650,5
2007-08-14,2450.0,2450.0,2442.0,2450.0,201227,35
2007-08-19,2449.0,2401.0,2401.0,2449.0,10005010,3
2007-08-20,2448.0,2401.0,2401.0,2448.0,10005010,4
2007-08-21,2407.0,2400.0,2400.0,2407.0,205010,23
2007-08-26,2408.0,2407.0,2407.0,2408.0,14903060,3
2007-08-27,2407.0,2407.0,1704.0,2407.0,12235092,5
2007-09-02,2407.0,2407.0,2407.0,2407.0,10000,5
2007-09-03,2407.0,2449.0,2407.0,2450.0,2851,3
2007-09-05,2418.0,2411.0,2407.0,2418.0,14922250,6
2007-09-09,2407.0,2407.0,2407.0,2407.0,14202065,2
2007-09-11,2409.0,2450.0,2409.0,2455.0,10345,6
2007-09-15,2409.0,2407.0,2407.0,2409.0,4557,5
2007-09-18,2409.0,2410.0,2409.0,2410.0,4565,2
2007-10-07,2409.0,2408.0,2408.0,2409.0,10010,2
2007-11-04,2409.0,2408.0,2408.0,2409.0,1460,2
2007-11-05,2409.0,2408.0,2408.0,2409.0,2070,2
2007-11-11,2409.0,2408.0,2408.0,2409.0,10010,3
2007-11-13,2409.0,2400.0,2400.0,2409.0,1010,2
2007-11-18,2409.0,3639.0,2409.0,3639.0,87839788,3
2007-11-24,2407.0,2400.0,2400.0,2407.0,48226,11
2007-12-22,3632.0,3200.0,3200.0,3950.0,164065,24
2007-12-24,3632.0,3704.0,3632.0,3704.0,20,2
2007-12-25,3632.0,3704.0,3632.0,3704.0,510,2
2008-01-09,3704.0,3704.0,3704.0,3704.0,50,1
