Date,Close,Open,Low,High,Volume,Trades
2001-03-25,3690.0,3690.0,3690.0,3690.0,1694,3
2001-03-26,3850.0,3702.0,3697.0,3850.0,30704,20
2001-03-27,3903.0,3850.0,3850.0,3930.0,32147,23
2001-03-28,3900.0,3903.0,3900.0,3903.0,2386,4
2001-03-31,3894.0,3894.0,3893.0,3910.0,7657,13
2001-04-03,3900.0,3894.0,3894.0,3900.0,14721,9
2001-04-08,3869.0,3880.0,3865.0,3896.0,5622,13
2001-04-09,3787.0,3780.0,3707.0,3800.0,43477,36
2001-04-10,3677.0,3750.0,3650.0,3750.0,33896,60
2001-04-11,3720.0,3677.0,3677.0,3730.0,59216,46
2001-04-14,3870.0,3711.0,3700.0,3870.0,66200,52
2001-04-15,3870.0,3870.0,3870.0,3871.0,9355,15
2001-04-16,3970.0,3850.0,3850.0,3970.0,41982,38
2001-04-17,4100.0,4000.0,3975.0,4100.0,8813,15
2001-04-18,4300.0,4180.0,4121.0,4300.0,44574,37
2001-04-21,4310.0,4300.0,4300.0,4399.0,54385,66
2001-04-22,4189.0,4310.0,4095.0,4310.0,93038,68
2001-04-23,4190.0,4189.0,4189.0,4200.0,41105,45
2001-04-24,4190.0,4189.0,4189.0,4300.0,83307,61
2001-04-25,4320.0,4190.0,4190.0,4350.0,161126,81
2001-04-28,4350.0,4320.0,4303.0,4400.0,104784,59
2001-04-29,4401.0,4379.0,4350.0,4401.0,26723,28
2001-04-30,4403.0,4401.0,4398.0,4406.0,37759,47
2001-05-01,4500.0,4404.0,4404.0,4501.0,28538,21
2001-05-02,4503.0,4500.0,4499.0,4503.0,47897,60
2001-05-05,4500.0,4503.0,4450.0,4503.0,49882,52
2001-05-06,4501.0,4489.0,4420.0,4501.0,39712,88
2001-05-07,4520.0,4502.0,4502.0,4520.0,21082,38
2001-05-08,4580.0,4530.0,4521.0,4580.0,20777,14
2001-05-09,4620.0,4500.0,4500.0,4620.0,28449,49
2001-05-12,4600.0,4620.0,4508.0,4620.0,12752,22
2001-05-13,4605.0,4600.0,4600.0,4640.0,44801,49
2001-05-15,4655.0,4605.0,4605.0,4655.0,26416,26
2001-05-16,4666.0,4656.0,4656.0,4700.0,77149,31
2001-05-19,4726.0,4690.0,4690.0,4726.0,10033,33
2001-05-20,4844.0,4753.0,4750.0,4844.0,17190,27
2001-05-21,4965.0,4851.0,4849.0,4965.0,14417,18
2001-05-23,5080.0,4974.0,4973.0,5080.0,10648,31
2001-05-26,5207.0,5080.0,5080.0,5207.0,15060,25
2001-05-27,5337.0,5337.0,5337.0,5337.0,15733,36
2001-05-28,5390.0,5390.0,5390.0,5390.0,8516,14
2001-05-29,5443.0,5443.0,5443.0,5443.0,11084,15
2001-05-30,5497.0,5497.0,5497.0,5497.0,13121,20
2001-06-02,5497.0,5551.0,5497.0,5551.0,37780,45
2001-06-03,5443.0,5443.0,5443.0,5443.0,13299,19
2001-06-06,5443.0,5389.0,5389.0,5443.0,60021,82
2001-06-09,5443.0,5424.0,5424.0,5443.0,54386,73
2001-06-11,5497.0,5444.0,5390.0,5497.0,48212,49
2001-06-12,5490.0,5497.0,5445.0,5498.0,21414,41
2001-06-13,5452.0,5437.0,5436.0,5452.0,36093,55
2001-06-16,5400.0,5451.0,5400.0,5451.0,7117,27
2001-06-17,5400.0,5350.0,5346.0,5402.0,47435,83
2001-06-18,5400.0,5350.0,5346.0,5400.0,74106,76
2001-06-19,5400.0,5395.0,5350.0,5400.0,63271,77
2001-06-20,5401.0,5390.0,5350.0,5401.0,45851,53
2001-06-23,5400.0,5355.0,5350.0,5401.0,33924,40
2001-06-24,5400.0,5355.0,5349.0,5400.0,21665,34
2001-06-25,5400.0,5400.0,5360.0,5400.0,33101,25
2001-06-26,5400.0,5400.0,5398.0,5400.0,22778,42
2001-06-27,5400.0,5396.0,5396.0,5402.0,36672,48
2001-06-30,5400.0,5351.0,5350.0,5400.0,31599,34
2001-07-01,5450.0,5400.0,5394.0,5450.0,81270,54
2001-07-02,5450.0,5397.0,5397.0,5450.0,30529,35
2001-07-03,5451.0,5450.0,5400.0,5451.0,14526,24
2001-07-04,5505.0,5504.0,5451.0,5505.0,24890,28
2001-07-07,5560.0,5560.0,5560.0,5560.0,29076,20
2001-07-08,5615.0,5615.0,5615.0,5615.0,34842,44
2001-07-09,5671.0,5671.0,5671.0,5671.0,14972,34
2001-07-10,5727.0,5727.0,5727.0,5727.0,8995,16
2001-07-11,5784.0,5784.0,5784.0,5784.0,13519,26
2001-07-14,5841.0,5841.0,5841.0,5841.0,8876,17
2001-07-15,5899.0,5899.0,5899.0,5899.0,16588,27
2001-07-16,6046.0,6046.0,6046.0,6046.0,36653,48
2001-07-17,6106.0,6106.0,6106.0,6106.0,14602,19
2001-07-18,6167.0,6167.0,6167.0,6167.0,5063,15
2001-07-21,6228.0,6228.0,6228.0,6228.0,119558,143
2001-07-22,6259.0,6228.0,6228.0,6290.0,140404,114
2001-07-23,6321.0,6259.0,6234.0,6321.0,38746,39
2001-07-24,6384.0,6384.0,6350.0,6384.0,49997,35
2001-08-27,4900.0,5200.0,4000.0,5210.0,6714,16
2001-08-28,4949.0,4949.0,4949.0,4949.0,11979,23
2001-08-29,4900.0,4988.0,4900.0,4988.0,25658,31
2001-09-01,4851.0,4851.0,4851.0,4851.0,4468,10
2001-09-02,4803.0,4803.0,4803.0,4803.0,1279,4
2001-09-04,4683.0,4683.0,4683.0,4683.0,5592,11
2001-09-05,4683.0,4637.0,4637.0,4683.0,216613,110
2001-09-08,4637.0,4637.0,4637.0,4637.0,11577,6
2001-09-09,4591.0,4591.0,4591.0,4591.0,63791,16
2001-09-10,4546.0,4546.0,4546.0,4546.0,81450,81
2001-09-11,4501.0,4501.0,4501.0,4501.0,42661,16
2001-09-12,4456.0,4456.0,4456.0,4456.0,10000,1
2001-09-15,4412.0,4412.0,4412.0,4412.0,5000,4
2001-09-16,4368.0,4368.0,4368.0,4368.0,6599,6
2001-09-17,4325.0,4325.0,4325.0,4325.0,1000,1
2001-09-18,4282.0,4282.0,4282.0,4282.0,1000,1
2001-09-19,4175.0,4175.0,4175.0,4175.0,15152,10
2001-09-22,4072.0,4074.0,4071.0,4176.0,1364467,322
2001-09-23,4173.0,4072.0,4072.0,4173.0,99509,98
2001-09-24,4165.0,4214.0,4142.0,4214.0,120931,101
2001-09-25,4170.0,4159.0,4149.0,4170.0,71944,94
2001-09-26,4130.0,4170.0,4129.0,4170.0,101517,64
2001-09-29,4171.0,4130.0,4129.0,4171.0,73182,56
2001-09-30,4212.0,4180.0,4172.0,4212.0,41393,37
2001-10-02,4254.0,4254.0,4245.0,4254.0,78049,64
2001-10-03,4296.0,4296.0,4254.0,4296.0,886626,91
2001-10-06,4296.0,4296.0,4254.0,4296.0,118895,79
2001-10-07,4338.0,4294.0,4294.0,4338.0,13476,39
2001-10-08,4305.0,4338.0,4300.0,4350.0,45122,49
2001-10-09,4300.0,4299.0,4299.0,4305.0,177068,75
2001-10-10,4300.0,4254.0,4250.0,4350.0,495990,107
2001-10-13,4300.0,4300.0,4297.0,4320.0,37496,45
2001-10-14,4310.0,4310.0,4299.0,4320.0,41931,31
2001-10-16,4324.0,4298.0,4298.0,4324.0,39284,44
2001-10-17,4410.0,4332.0,4329.0,4410.0,29620,32
2001-10-20,4520.0,4410.0,4410.0,4520.0,49259,90
2001-10-21,4565.0,4532.0,4532.0,4565.0,21522,42
2001-10-22,4610.0,4610.0,4610.0,4610.0,17289,20
2001-10-23,4656.0,4656.0,4656.0,4656.0,4697,11
2001-10-24,4702.0,4702.0,4702.0,4702.0,7053,16
2001-10-27,4749.0,4749.0,4749.0,4749.0,12400,18
2001-10-28,4720.0,4796.0,4702.0,4796.0,224789,153
2001-10-29,4767.0,4744.0,4720.0,4767.0,14977,24
2001-10-30,4814.0,4814.0,4814.0,4814.0,13781,25
2001-10-31,4862.0,4862.0,4862.0,4862.0,16551,29
2001-11-03,4910.0,4910.0,4910.0,4910.0,11600,15
2001-11-04,4959.0,4959.0,4959.0,4959.0,43201,29
2001-11-05,5008.0,5008.0,5008.0,5008.0,39491,31
2001-11-06,5058.0,5058.0,5058.0,5058.0,37560,26
2001-11-07,5108.0,5108.0,5108.0,5108.0,25059,24
2001-11-10,5159.0,5159.0,5159.0,5159.0,18854,28
2001-11-11,5210.0,5210.0,5158.0,5210.0,211489,117
2001-11-12,5158.0,5262.0,5158.0,5262.0,37229,32
2001-11-13,5107.0,5107.0,5107.0,5149.0,171397,138
2001-11-14,5056.0,5056.0,5056.0,5057.0,33189,39
2001-11-17,5006.0,5006.0,5006.0,5006.0,1028,8
2001-11-18,4956.0,4956.0,4956.0,4956.0,1397,3
2001-11-19,5005.0,4907.0,4907.0,5005.0,116775,124
2001-11-20,5055.0,5055.0,5055.0,5055.0,90786,61
2001-11-21,5100.0,5055.0,5005.0,5100.0,33869,54
2001-11-24,5151.0,5101.0,5100.0,5151.0,71300,55
2001-11-25,5202.0,5202.0,5202.0,5202.0,6809,20
2001-11-26,5180.0,5254.0,5180.0,5254.0,90775,85
2001-11-27,5129.0,5129.0,5129.0,5150.0,38008,47
2001-11-28,5180.0,5078.0,5078.0,5180.0,114126,101
2001-12-01,5231.0,5141.0,5135.0,5231.0,51284,76
2001-12-02,5283.0,5235.0,5233.0,5283.0,79905,74
2001-12-03,5335.0,5335.0,5335.0,5335.0,113575,69
2001-12-04,5388.0,5388.0,5388.0,5388.0,19768,27
2001-12-05,5441.0,5441.0,5441.0,5441.0,5146,11
2001-12-08,5495.0,5495.0,5495.0,5495.0,4391,10
2001-12-09,5549.0,5549.0,5549.0,5549.0,16544,38
2001-12-10,5604.0,5604.0,5604.0,5604.0,18970,33
