Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-04-04,1900.0,15861200.0,4.0,8348.0,8348.0,8778.0,8348.0,8787.0
2016-04-05,200.0,1668000.0,1.0,8340.0,8340.0,8777.0,8340.0,8778.0
2016-04-06,120.0,1000680.0,1.0,8339.0,8339.0,8776.0,8339.0,8777.0
2016-04-13,5000.0,41690000.0,2.0,8338.0,8338.0,8753.0,8338.0,8776.0
2016-04-17,190.0,1580040.0,3.0,8316.0,8316.0,8752.0,8316.0,8753.0
2016-04-20,130.0,1080950.0,1.0,8315.0,8315.0,8751.0,8315.0,8752.0
2016-04-27,140.0,1163960.0,2.0,8314.0,8314.0,8750.0,8314.0,8751.0
2016-04-30,61.0,507093.0,3.0,8313.0,8313.0,8750.0,8313.0,8750.0
2016-05-01,74.0,615162.0,2.0,8313.0,8313.0,8750.0,8313.0,8750.0
2016-05-03,322.0,2676786.0,2.0,8313.0,8313.0,8748.0,8313.0,8750.0
2016-05-07,123.0,1022253.0,5.0,8311.0,8311.0,8747.0,8311.0,8748.0
2016-05-08,5.0,41550.0,1.0,8310.0,8310.0,8747.0,8310.0,8747.0
2016-05-14,200.0,1662000.0,2.0,8310.0,8310.0,8746.0,8310.0,8747.0
2016-05-16,10.0,83090.0,1.0,8309.0,8309.0,8746.0,8309.0,8746.0
2016-05-17,200.0,1661800.0,1.0,8309.0,8309.0,8745.0,8309.0,8746.0
2016-05-21,200.0,1661600.0,1.0,8308.0,8308.0,8744.0,8308.0,8745.0
2016-05-24,1.0,8307.0,1.0,8307.0,8307.0,8744.0,8307.0,8744.0
2016-05-25,34.0,282438.0,2.0,8307.0,8307.0,8744.0,8307.0,8744.0
2016-05-28,351.0,2915757.0,7.0,8307.0,8307.0,8742.0,8307.0,8744.0
2016-05-29,126.0,1046430.0,2.0,8305.0,8305.0,8741.0,8305.0,8742.0
2016-06-13,3400.0,26523400.0,1.0,7801.0,7801.0,8196.0,7801.0,8211.0
2016-07-03,200.0,1557400.0,1.0,7787.0,7787.0,8195.0,7787.0,8196.0
2016-07-11,228.0,1775208.0,1.0,7786.0,7786.0,8194.0,7786.0,8195.0
2016-07-12,370000.0,2880450000.0,8.0,7785.0,7785.0,7785.0,7785.0,8194.0
2016-07-16,1141.0,8438836.0,2.0,7396.0,7396.0,7780.0,7396.0,7785.0
2016-07-18,20000.0,147820000.0,1.0,7391.0,7391.0,7697.0,7391.0,7780.0
2016-07-20,36000.0,263268000.0,5.0,7313.0,7313.0,7549.0,7313.0,7697.0
2016-07-31,277.0,1986644.0,1.0,7172.0,7172.0,7548.0,7172.0,7549.0
2016-08-01,200.0,1434200.0,1.0,7171.0,7171.0,7547.0,7171.0,7548.0
2016-08-02,1000.0,7170000.0,1.0,7170.0,7170.0,7543.0,7170.0,7547.0
2016-08-07,5000.0,35830000.0,2.0,7166.0,7166.0,7523.0,7166.0,7543.0
