Date,Close,Open,Low,High,Volume,Trades
2002-06-22,1170.0,1170.0,1170.0,1170.0,1030000,75
2002-06-23,1170.0,1170.0,1170.0,1170.0,100000,175
2002-06-24,1170.0,1170.0,1170.0,1170.0,106000,338
2002-06-25,1170.0,1170.0,1170.0,1170.0,50000,257
2002-06-26,1170.0,1170.0,1170.0,1170.0,140735,249
2002-06-29,1170.0,1171.0,1170.0,1171.0,37056,243
2002-06-30,1170.0,1170.0,1170.0,1170.0,81484,12
2002-07-01,1170.0,1170.0,1170.0,1171.0,62723,282
2002-07-02,1170.0,1170.0,1170.0,1170.0,96038,481
2002-07-03,1171.0,1170.0,1170.0,1171.0,6000,2
2002-07-06,1171.0,1170.0,1169.0,1171.0,29193,17
2002-07-07,1171.0,1170.0,1170.0,1171.0,13243,7
2002-07-08,1172.0,1172.0,1172.0,1172.0,6000,2
2002-07-10,1173.0,1173.0,1170.0,1173.0,85519,16
2002-07-13,1174.0,1174.0,1174.0,1174.0,1000,5
2002-07-14,1174.0,1175.0,1174.0,1175.0,1615,4
2002-07-15,1175.0,1175.0,1175.0,1175.0,1000,1
2002-07-16,1176.0,1176.0,1176.0,1176.0,1000,2
2002-07-17,1178.0,1176.0,1176.0,1178.0,22512,5
2002-07-20,1179.0,1179.0,1179.0,1179.0,2406,2
2002-07-21,1179.0,1179.0,1179.0,1180.0,12568,9
2002-07-22,1181.0,1181.0,1181.0,1181.0,54745,19
2002-07-23,1182.0,1190.0,1182.0,1190.0,10801,3
2002-07-24,1183.0,1184.0,1183.0,1184.0,2545,2
2002-07-27,1186.0,1186.0,1186.0,1186.0,5000,1
2002-07-28,1187.0,1187.0,1187.0,1187.0,11000,2
2002-07-29,1188.0,1200.0,1187.0,1200.0,29708,7
2002-07-30,1188.0,1188.0,1188.0,1188.0,4658,3
2002-07-31,1190.0,1189.0,1189.0,1190.0,939201,9
2002-08-03,1201.0,1201.0,1201.0,1201.0,57172,8
2002-08-04,1205.0,1202.0,1202.0,1205.0,65384,20
2002-08-05,1211.0,1240.0,1211.0,1240.0,13790,5
2002-08-06,1223.0,1223.0,1223.0,1223.0,1021,1
2002-08-07,1233.0,1231.0,1231.0,1233.0,1036,3
2002-08-10,1237.0,1237.0,1237.0,1237.0,14641,2
2002-08-11,1258.0,1255.0,1255.0,1258.0,63947,67
2002-08-13,1273.0,1273.0,1273.0,1273.0,1645,3
2002-08-14,1286.0,1283.0,1283.0,1286.0,5174,5
2002-08-17,1350.0,1350.0,1350.0,1350.0,1419,2
2002-08-18,1417.0,1417.0,1417.0,1417.0,15882,8
2002-08-19,1487.0,1487.0,1487.0,1487.0,3000,4
2002-08-20,1518.0,1491.0,1491.0,1519.0,118944,89
2002-08-21,1593.0,1593.0,1593.0,1593.0,1205,3
2002-08-24,1672.0,1672.0,1672.0,1672.0,1271,1
2002-08-25,1755.0,1755.0,1755.0,1755.0,1317,4
2002-08-26,1755.0,1842.0,1755.0,1842.0,104769,67
2002-08-31,1755.0,1755.0,1755.0,1755.0,2000,3
2002-09-01,1755.0,1755.0,1755.0,1760.0,22205,18
2002-09-02,1755.0,1753.0,1668.0,1755.0,42695,29
2002-09-03,1756.0,1756.0,1755.0,1756.0,5066,5
2002-09-04,1757.0,1756.0,1756.0,1757.0,26400,12
2002-09-07,1757.0,1757.0,1757.0,1757.0,1522,4
2002-09-08,1757.0,1755.0,1670.0,1757.0,12360,8
2002-09-09,1757.0,1754.0,1754.0,1757.0,39000,36
2002-09-11,1756.0,1756.0,1756.0,1757.0,1900,4
2002-09-14,1755.0,1754.0,1754.0,1755.0,11315,5
2002-09-15,1753.0,1753.0,1753.0,1753.0,1240,11
2002-09-16,1752.0,1752.0,1752.0,1752.0,5835,2
2002-09-17,1748.0,1748.0,1748.0,1749.0,15385,24
2002-09-18,1742.0,1742.0,1742.0,1742.0,1000,7
2002-09-22,1738.0,1738.0,1738.0,1739.0,3570,3
2002-09-23,1725.0,1725.0,1725.0,1725.0,9448,34
2002-09-24,1717.0,1717.0,1717.0,1717.0,1000,1
2002-09-25,1710.0,1710.0,1710.0,1710.0,13230,30
2002-09-28,1680.0,1680.0,1680.0,1680.0,3966,26
2002-09-29,1648.0,1648.0,1648.0,1648.0,1000,1
2002-09-30,1643.0,1643.0,1643.0,1643.0,1000,1
2002-10-01,1625.0,1625.0,1625.0,1625.0,9268,10
2002-10-02,1593.0,1594.0,1593.0,1594.0,10000,44
2002-10-06,1567.0,1575.0,1567.0,1580.0,19064,45
2002-10-08,1489.0,1489.0,1489.0,1489.0,1271,5
2002-10-09,1415.0,1415.0,1415.0,1415.0,10334,23
2002-10-12,1411.0,1410.0,1345.0,1411.0,45500,62
2002-10-13,1404.0,1400.0,1400.0,1404.0,61000,65
2002-10-14,1398.0,1380.0,1380.0,1398.0,49500,198
2002-10-15,1391.0,1391.0,1391.0,1391.0,1293,2
2002-10-16,1373.0,1378.0,1360.0,1378.0,13171,33
2002-10-19,1400.0,1305.0,1305.0,1400.0,40489,52
2002-10-20,1400.0,1400.0,1400.0,1400.0,54511,250
2002-10-21,1400.0,1400.0,1400.0,1400.0,27302,189
2002-10-23,1400.0,1400.0,1400.0,1400.0,115620,32
2002-10-26,1400.0,1400.0,1400.0,1400.0,7000,2
2002-10-27,1400.0,1400.0,1400.0,1400.0,212,1
2002-10-28,1400.0,1400.0,1400.0,1400.0,7323,14
2002-10-29,1400.0,1399.0,1399.0,1400.0,1709,3
2002-11-02,1412.0,1399.0,1398.0,1413.0,27490,48
2002-11-03,1416.0,1416.0,1416.0,1416.0,500000,1
2002-11-04,1450.0,1430.0,1420.0,1450.0,7406,14
2002-11-05,1486.0,1486.0,1486.0,1486.0,4000,2
2002-11-06,1495.0,1486.0,1486.0,1495.0,3894,4
2002-11-09,1520.0,1512.0,1510.0,1520.0,14370,5
2002-11-10,1522.0,1526.0,1522.0,1527.0,8500,6
2002-11-12,1534.0,1528.0,1528.0,1534.0,7563,5
2002-11-13,1534.0,1534.0,1534.0,1534.0,4491,2
2002-11-16,1535.0,1536.0,1534.0,1536.0,7119,10
2002-11-17,1538.0,1538.0,1538.0,1538.0,964,2
2002-11-18,1538.0,1539.0,1538.0,1539.0,1440,2
2002-11-19,1540.0,1540.0,1540.0,1540.0,10773,19
2002-11-20,1538.0,1541.0,1538.0,1541.0,7063,7
2002-11-23,1538.0,1537.0,1537.0,1538.0,11448,7
2002-11-25,1535.0,1535.0,1535.0,1535.0,1455,4
2002-11-30,1531.0,1531.0,1531.0,1531.0,5575,5
2002-12-01,1538.0,1530.0,1530.0,1538.0,117325,8
2002-12-02,1538.0,1538.0,1538.0,1538.0,3021,2
2002-12-03,1538.0,1538.0,1538.0,1538.0,12270,6
2002-12-07,1527.0,1529.0,1527.0,1529.0,9681,3
2002-12-08,1525.0,1522.0,1522.0,1525.0,29856,13
2002-12-09,1519.0,1518.0,1518.0,1519.0,1046,5
2002-12-10,1518.0,1519.0,1518.0,1519.0,5750,7
2002-12-11,1514.0,1514.0,1514.0,1514.0,127050,1
2002-12-14,1513.0,1513.0,1513.0,1513.0,655,2
2002-12-15,1500.0,1505.0,1500.0,1505.0,1636,4
2002-12-16,1497.0,1496.0,1495.0,1497.0,56137,17
2002-12-17,1497.0,1496.0,1496.0,1497.0,13269,12
2002-12-18,1493.0,1494.0,1493.0,1495.0,1740,3
2002-12-21,1485.0,1485.0,1485.0,1485.0,334,2
2002-12-24,1514.0,1411.0,1411.0,1514.0,66782,145
2002-12-25,1550.0,1550.0,1549.0,1550.0,22439,13
2002-12-28,1551.0,1551.0,1551.0,1551.0,1959,2
2002-12-29,1550.0,1552.0,1550.0,1553.0,7055,5
2002-12-31,1550.0,1550.0,1550.0,1550.0,28326,16
2003-01-01,1550.0,1550.0,1550.0,1550.0,40,1
2003-02-02,1252.0,1252.0,1252.0,1252.0,1281,2
2003-02-03,1252.0,1252.0,1252.0,1252.0,337,1
2003-02-04,1253.0,1253.0,1252.0,1253.0,32800,7
2003-02-05,1254.0,1254.0,1254.0,1254.0,30302,4
2003-02-08,1254.0,1254.0,1254.0,1254.0,13997,24
2003-02-09,1256.0,1257.0,1256.0,1257.0,5914,5
2003-02-10,1250.0,1256.0,1250.0,1256.0,29836,23
2003-02-15,1250.0,1250.0,1250.0,1250.0,1151,3
2003-02-16,1250.0,1250.0,1250.0,1250.0,18804,10
2003-02-17,1250.0,1250.0,1250.0,1250.0,34000,20
2003-02-18,1250.0,1250.0,1250.0,1250.0,24894,9
2003-02-23,1250.0,1250.0,1250.0,1250.0,4899,5
2003-02-24,1250.0,1250.0,1250.0,1250.0,16198,4
2003-02-25,1247.0,1247.0,1247.0,1247.0,3500,1
2003-03-01,1247.0,1244.0,1243.0,1247.0,42569,7
2003-03-02,1248.0,1248.0,1248.0,1248.0,115,1
2003-03-03,1247.0,1247.0,1247.0,1247.0,4675,2
2003-03-04,1247.0,1247.0,1247.0,1247.0,1313,3
2003-03-05,1247.0,1247.0,1247.0,1247.0,8024,8
2003-03-08,1246.0,1246.0,1246.0,1246.0,8432,11
2003-03-09,1246.0,1246.0,1246.0,1246.0,28451,12
2003-03-10,1250.0,1245.0,1240.0,1250.0,30667,9
2003-03-12,1251.0,1251.0,1251.0,1251.0,8252,10
2003-03-15,1251.0,1251.0,1251.0,1251.0,3577,5
2003-03-16,1253.0,1253.0,1253.0,1253.0,36255,9
2003-03-17,1254.0,1257.0,1254.0,1257.0,59665,16
2003-03-18,1255.0,1255.0,1254.0,1255.0,10458,6
2003-03-25,1256.0,1254.0,1254.0,1256.0,609,2
2003-03-26,1258.0,1259.0,1258.0,1259.0,1290,5
2003-04-05,1300.0,1300.0,1300.0,1300.0,7604,1
2003-04-06,1270.0,1270.0,1270.0,1270.0,18036,4
2003-04-07,1262.0,1264.0,1262.0,1264.0,28887,11
2003-04-12,1280.0,1273.0,1273.0,1280.0,43434,17
2003-04-13,1285.0,1285.0,1285.0,1285.0,1304,1
2003-04-14,1301.0,1290.0,1290.0,1301.0,41703,18
2003-04-15,1315.0,1305.0,1305.0,1320.0,14330,12
2003-04-16,1319.0,1319.0,1319.0,1319.0,4831,3
2003-04-21,1384.0,1384.0,1351.0,1384.0,125272,24
2003-04-22,1400.0,1400.0,1400.0,1400.0,1500,1
2003-04-26,1415.0,1413.0,1413.0,1415.0,6717,4
2003-04-27,1462.0,1450.0,1450.0,1462.0,51052,7
2003-04-28,1512.0,1512.0,1487.0,1512.0,22111,21
2003-04-29,1523.0,1540.0,1511.0,1543.0,56600,24
2003-05-03,1599.0,1599.0,1599.0,1599.0,2495,2
2003-05-04,1599.0,1678.0,1599.0,1678.0,41169,18
2003-05-05,1600.0,1600.0,1600.0,1600.0,5621,7
2003-05-07,1648.0,1624.0,1624.0,1648.0,23822,15
2003-05-10,1730.0,1730.0,1672.0,1730.0,17093,8
2003-05-11,1736.0,1731.0,1731.0,1736.0,42498,11
2003-05-12,1822.0,1822.0,1756.0,1822.0,7380,10
2003-05-13,1731.0,1823.0,1731.0,1823.0,22113,8
2003-05-14,1731.0,1730.0,1647.0,1731.0,31615,17
2003-05-17,1731.0,1750.0,1731.0,1750.0,3777,5
2003-05-18,1800.0,1800.0,1739.0,1800.0,18698,7
2003-05-20,1800.0,1800.0,1799.0,1800.0,17932,6
2003-05-21,1820.0,1800.0,1798.0,1820.0,65844,28
2003-05-24,1803.0,1820.0,1803.0,1820.0,40605,33
2003-05-25,1804.0,1804.0,1804.0,1805.0,9535,6
2003-05-26,1804.0,1804.0,1804.0,1804.0,7260,1
2003-05-27,1802.0,1802.0,1800.0,1804.0,11349,7
2003-05-28,1798.0,1798.0,1798.0,1800.0,12424,21
2003-05-31,1798.0,1798.0,1794.0,1799.0,99758,17
2003-06-03,1709.0,1709.0,1709.0,1709.0,3356,1
2003-06-07,1708.0,1708.0,1708.0,1708.0,291,1
2003-06-08,1703.0,1700.0,1700.0,1703.0,22759,45
2003-06-09,1698.0,1698.0,1698.0,1700.0,2358,6
2003-06-10,1693.0,1692.0,1692.0,1693.0,23065,36
2003-06-15,1671.0,1671.0,1671.0,1671.0,297,1
2003-06-16,1668.0,1668.0,1668.0,1669.0,833,3
2003-06-17,1663.0,1659.0,1659.0,1663.0,26924,70
2003-06-24,1580.0,1634.0,1580.0,1634.0,18127,38
2003-06-25,1501.0,1501.0,1501.0,1550.0,46335,29
2003-06-28,1573.0,1498.0,1498.0,1573.0,166342,45
2003-06-29,1573.0,1569.0,1569.0,1573.0,21353,9
2003-06-30,1575.0,1573.0,1573.0,1577.0,24729,21
2003-07-05,1550.0,1550.0,1550.0,1550.0,2123,2
2003-07-06,1549.0,1550.0,1548.0,1550.0,23248,7
2003-07-07,1578.0,1548.0,1548.0,1626.0,96993,74
2003-07-08,1578.0,1578.0,1578.0,1578.0,10000,2
2003-07-12,1500.0,1500.0,1500.0,1500.0,50000,5
2003-07-13,1500.0,1450.0,1450.0,1500.0,45500,11
2003-07-14,1500.0,1497.0,1450.0,1500.0,74321,78
2003-07-15,1500.0,1500.0,1500.0,1500.0,32635,7
2003-07-16,1560.0,1560.0,1498.0,1572.0,22418,53
2003-07-19,1560.0,1514.0,1502.0,1560.0,37408,35
2003-07-20,1563.0,1565.0,1563.0,1565.0,30334,12
2003-07-21,1569.0,1567.0,1567.0,1571.0,23197,17
2003-07-22,1500.0,1575.0,1500.0,1575.0,22470,12
2003-07-23,1502.0,1500.0,1500.0,1502.0,25116,6
2003-07-26,1503.0,1503.0,1503.0,1503.0,50443,9
2003-07-27,1536.0,1507.0,1506.0,1537.0,19887,8
2003-07-28,1569.0,1570.0,1540.0,1570.0,38133,12
2003-07-29,1570.0,1569.0,1569.0,1570.0,69791,38
2003-07-30,1600.0,1575.0,1575.0,1600.0,35000,4
2003-08-03,1610.0,1599.0,1599.0,1610.0,29932,8
2003-08-04,1621.0,1601.0,1601.0,1621.0,28000,7
2003-08-05,1621.0,1621.0,1620.0,1621.0,78312,116
2003-08-06,1621.0,1610.0,1600.0,1621.0,19348,30
2003-08-09,1621.0,1621.0,1621.0,1621.0,5564,17
2003-08-10,1621.0,1621.0,1621.0,1621.0,63443,19
2003-08-11,1621.0,1621.0,1621.0,1621.0,11432,6
2003-08-12,1621.0,1621.0,1621.0,1621.0,14189,42
2003-08-16,1621.0,1621.0,1621.0,1621.0,50136,45
2003-08-17,1621.0,1621.0,1621.0,1621.0,5840,4
