,Date,Trend
0,2015-08-23,0
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,0
4,2015-09-20,7
5,2015-09-27,0
6,2015-10-04,0
7,2015-10-11,0
8,2015-10-18,7
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,7
13,2015-11-22,0
14,2015-11-29,7
15,2015-12-06,0
16,2015-12-13,7
17,2015-12-20,0
18,2015-12-27,8
19,2016-01-03,0
20,2016-01-10,7
21,2016-01-17,0
22,2016-01-24,7
23,2016-01-31,11
24,2016-02-07,7
25,2016-02-14,7
26,2016-02-21,7
27,2016-02-28,14
28,2016-03-06,25
29,2016-03-13,14
30,2016-03-20,7
31,2016-03-27,41
32,2016-04-03,11
33,2016-04-10,22
34,2016-04-17,26
35,2016-04-24,21
36,2016-05-01,22
37,2016-05-08,26
38,2016-05-15,22
39,2016-05-22,10
40,2016-05-29,7
41,2016-06-05,12
42,2016-06-12,19
43,2016-06-19,7
44,2016-06-26,30
45,2016-07-03,16
46,2016-07-10,15
47,2016-07-17,8
48,2016-07-24,8
49,2016-07-31,12
50,2016-08-07,12
51,2016-08-14,41
52,2016-08-21,16
53,2016-08-28,11
54,2016-09-04,11
55,2016-09-11,8
56,2016-09-18,7
57,2016-09-25,7
58,2016-10-02,18
59,2016-10-09,0
60,2016-10-16,7
61,2016-10-23,22
62,2016-10-30,7
63,2016-11-06,14
64,2016-11-13,7
65,2016-11-20,10
66,2016-11-27,10
67,2016-12-04,14
68,2016-12-11,7
69,2016-12-18,15
70,2016-12-25,8
71,2017-01-01,0
72,2017-01-08,0
73,2017-01-15,7
74,2017-01-22,10
75,2017-01-29,7
76,2017-02-05,10
77,2017-02-12,13
78,2017-02-19,20
79,2017-02-26,11
80,2017-03-05,24
81,2017-03-12,15
82,2017-03-19,7
83,2017-03-26,11
84,2017-04-02,16
85,2017-04-09,21
86,2017-04-16,29
87,2017-04-23,20
88,2017-04-30,29
89,2017-05-07,20
90,2017-05-14,9
91,2017-05-21,7
92,2017-05-28,14
93,2017-06-04,7
94,2017-06-11,18
95,2017-06-18,12
96,2017-06-25,0
97,2017-07-02,17
98,2017-07-09,14
99,2017-07-16,41
100,2017-07-23,45
101,2017-07-30,25
102,2017-08-06,16
103,2017-08-13,26
104,2017-08-20,21
105,2017-08-27,14
106,2017-09-03,7
107,2017-09-10,11
108,2017-09-17,20
109,2017-09-24,9
110,2017-10-01,10
111,2017-10-08,9
112,2017-10-15,0
113,2017-10-22,18
114,2017-10-29,16
115,2017-11-05,13
116,2017-11-12,10
117,2017-11-19,6
118,2017-11-26,10
119,2017-12-03,17
120,2017-12-10,15
121,2017-12-17,24
122,2017-12-24,10
123,2017-12-31,16
124,2018-01-07,19
125,2018-01-14,10
126,2018-01-21,10
127,2018-01-28,11
128,2018-02-04,8
129,2018-02-11,6
130,2018-02-18,11
131,2018-02-25,10
132,2018-03-04,6
133,2018-03-11,6
134,2018-03-18,6
135,2018-03-25,11
136,2018-04-01,10
137,2018-04-08,8
138,2018-04-15,13
139,2018-04-22,6
140,2018-04-29,11
141,2018-05-06,6
142,2018-05-13,8
143,2018-05-20,0
144,2018-05-27,0
145,2018-06-03,6
146,2018-06-10,6
147,2018-06-17,13
148,2018-06-24,10
149,2018-07-01,11
150,2018-07-08,8
151,2018-07-15,10
152,2018-07-22,16
153,2018-07-29,11
154,2018-08-05,9
155,2018-08-12,17
156,2018-08-19,13
157,2018-08-26,16
158,2018-09-02,8
159,2018-09-09,6
160,2018-09-16,12
161,2018-09-23,10
162,2018-09-30,6
163,2018-10-07,10
164,2018-10-14,8
165,2018-10-21,6
166,2018-10-28,0
167,2018-11-04,6
168,2018-11-11,0
169,2018-11-18,6
170,2018-11-25,0
171,2018-12-02,6
172,2018-12-09,0
173,2018-12-16,6
174,2018-12-23,7
175,2018-12-30,7
176,2019-01-06,6
177,2019-01-13,6
178,2019-01-20,12
179,2019-01-27,6
180,2019-02-03,0
181,2019-02-10,0
182,2019-02-17,6
183,2019-02-24,6
184,2019-03-03,0
185,2019-03-10,6
186,2019-03-17,6
187,2019-03-24,8
188,2019-03-31,12
189,2019-04-07,6
190,2019-04-14,13
191,2019-04-21,16
192,2019-04-28,9
193,2019-05-05,12
194,2019-05-12,9
195,2019-05-19,12
196,2019-05-26,6
197,2019-06-02,12
198,2019-06-09,12
199,2019-06-16,8
200,2019-06-23,9
201,2019-06-30,18
202,2019-07-07,9
203,2019-07-14,9
204,2019-07-21,10
205,2019-07-28,8
206,2019-08-04,9
207,2019-08-11,17
208,2019-08-18,16
209,2019-08-25,18
210,2019-09-01,24
211,2019-09-08,6
212,2019-09-15,6
213,2019-09-22,15
214,2019-09-29,29
215,2019-10-06,15
216,2019-10-13,6
217,2019-10-20,6
218,2019-10-27,6
219,2019-11-03,9
220,2019-11-10,9
221,2019-11-17,0
222,2019-11-24,11
223,2019-12-01,11
