Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,85476.0,214181520.0,18.0,2512.0,2502.0,2579.0,2502.0,2633.0
2016-02-21,213472.0,523219872.0,10.0,2451.0,2451.0,2451.0,2451.0,2579.0
2016-02-22,19490.0,47137810.0,14.0,2536.0,2351.0,2448.0,2530.0,2451.0
2016-02-23,75238.0,183345432.0,11.0,2535.0,2385.0,2444.0,2385.0,2448.0
2016-02-24,4005.0,9471550.0,3.0,2510.0,2353.0,2442.0,2400.0,2444.0
2016-02-27,75269.0,179782907.0,21.0,2400.0,2320.0,2422.0,2400.0,2442.0
2016-02-28,115264.0,275916571.0,20.0,2404.0,2303.0,2406.0,2404.0,2422.0
2016-02-29,11071.0,25338724.0,5.0,2296.0,2286.0,2400.0,2286.0,2406.0
2016-03-01,175553.0,404370831.0,28.0,2350.0,2280.0,2317.0,2340.0,2400.0
2016-03-02,935.0,2061675.0,1.0,2205.0,2205.0,2316.0,2205.0,2317.0
2016-03-05,87675.0,204056560.0,25.0,2350.0,2270.0,2321.0,2350.0,2316.0
2016-03-06,22542.0,53654760.0,8.0,2400.0,2360.0,2327.0,2370.0,2321.0
2016-03-07,141742.0,331214937.0,29.0,2355.0,2250.0,2333.0,2250.0,2327.0
2016-03-08,128671.0,293406343.0,16.0,2333.0,2222.0,2302.0,2222.0,2333.0
2016-03-09,128140.0,289337335.0,28.0,2300.0,2220.0,2276.0,2220.0,2302.0
2016-03-12,157984.0,350629763.0,39.0,2240.0,2200.0,2235.0,2220.0,2276.0
2016-03-14,1253645.0,2920369882.0,111.0,2346.0,2215.0,2330.0,2315.0,2235.0
2016-03-15,2380188.0,5816948232.0,181.0,2446.0,2350.0,2444.0,2364.0,2330.0
2016-03-16,59544.0,146113320.0,21.0,2533.0,2380.0,2447.0,2460.0,2444.0
2016-03-26,513422.0,1264463687.0,52.0,2510.0,2430.0,2463.0,2500.0,2447.0
2016-03-27,133095.0,323334311.0,20.0,2528.0,2400.0,2443.0,2410.0,2463.0
2016-03-28,189923.0,455839120.0,32.0,2450.0,2325.0,2406.0,2450.0,2443.0
2016-03-29,1000.0,2330000.0,1.0,2330.0,2330.0,2406.0,2330.0,2406.0
2016-03-30,20675.0,50066810.0,10.0,2445.0,2356.0,2407.0,2420.0,2406.0
2016-04-02,125615.0,298236255.0,9.0,2400.0,2355.0,2387.0,2400.0,2407.0
2016-04-03,2716700.0,6765872613.0,135.0,2506.0,2350.0,2490.0,2506.0,2387.0
2016-04-04,1414263.0,3696200305.0,106.0,2614.0,2610.0,2614.0,2614.0,2490.0
2016-04-05,523753.0,1437178232.0,25.0,2744.0,2744.0,2744.0,2744.0,2614.0
2016-04-06,3801503.0,10846233705.0,311.0,2881.0,2710.0,2853.0,2770.0,2744.0
2016-04-09,229984.0,625068325.0,46.0,2796.0,2711.0,2718.0,2711.0,2853.0
2016-04-10,2021923.0,5548694786.0,242.0,2853.0,2583.0,2744.0,2829.0,2718.0
2016-04-11,802141.0,2272043417.0,131.0,2870.0,2702.0,2832.0,2732.0,2744.0
