Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,1867.0,9283796.0,6.0,4997.0,4949.0,4831.0,4949.0,4830.0
2016-02-21,50.0,231900.0,1.0,4638.0,4638.0,4831.0,4638.0,4831.0
2016-02-22,60886.0,279487140.0,16.0,4638.0,4590.0,4763.0,4591.0,4831.0
2016-02-23,130600.0,591389627.0,35.0,4700.0,4525.0,4622.0,4525.0,4763.0
2016-02-24,64000.0,282657560.0,27.0,4525.0,4391.0,4561.0,4400.0,4622.0
2016-02-27,1200.0,5744000.0,2.0,4788.0,4780.0,4562.0,4780.0,4561.0
2016-02-28,38400.0,179116061.0,21.0,4789.0,4340.0,4580.0,4789.0,4562.0
2016-02-29,58430.0,260893916.0,24.0,4809.0,4351.0,4549.0,4351.0,4580.0
2016-03-01,2812.0,12895960.0,3.0,4600.0,4540.0,4549.0,4540.0,4549.0
2016-03-02,11500.0,52113000.0,7.0,4766.0,4331.0,4548.0,4670.0,4549.0
2016-03-05,68103.0,294749327.0,31.0,4600.0,4321.0,4479.0,4321.0,4548.0
2016-03-06,57740.0,248913160.0,7.0,4434.0,4256.0,4434.0,4434.0,4479.0
2016-03-07,24300.0,106628624.0,12.0,4599.0,4300.0,4429.0,4400.0,4434.0
2016-03-08,520.0,2237560.0,1.0,4303.0,4303.0,4429.0,4303.0,4429.0
2016-03-09,21000.0,90439600.0,4.0,4450.0,4298.0,4417.0,4298.0,4429.0
2016-03-12,14671.0,62849048.0,12.0,4400.0,4268.0,4408.0,4400.0,4417.0
2016-03-14,16000.0,73620096.0,5.0,4624.0,4599.0,4422.0,4600.0,4408.0
2016-03-15,4750.0,20989000.0,3.0,4600.0,4400.0,4422.0,4439.0,4422.0
2016-03-16,12060.0,53457815.0,12.0,4500.0,4430.0,4423.0,4500.0,4422.0
2016-03-26,7020.0,30891923.0,3.0,4402.0,4400.0,4422.0,4401.0,4423.0
2016-03-27,15472.0,71162800.0,18.0,4643.0,4400.0,4435.0,4400.0,4422.0
