,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,0,702361677610749952,702361677610749952,1456291047000,2016-02-24,08:47:27,430,2463165061,bourseiness,بورسینس,,#سهرمز موضوع تصمیمات مجمع عمومی عادی سالیانه صاحبان سهام برای سال دوره مالی…  http://goo.gl/fb/f5q07w  #اقتصاد #بورس,[],['http://goo.gl/fb/f5q07w'],[],0,0,0,"['#سهرمز', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/702361677610749952,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.24396273493766785
1,1,1,1,1,1,1,726638065452769281,726638065452769281,1462078989000,2016-05-01,09:33:09,430,2463165061,bourseiness,بورسینس,,نمادهای #خراسان #سهرمز #دتولید #پارسان #تاپیکو #خودکفا در پائین ترین قیمت ماهیانه…  http://goo.gl/fb/aH0m3X  #اقتصاد,[],['http://goo.gl/fb/aH0m3X'],[],0,0,0,"['#خراسان', '#سهرمز', '#دتولید', '#پارسان', '#تاپیکو', '#خودکفا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726638065452769281,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.7410520315170288
2,2,2,2,2,2,2,1012920357685063680,1012920357685063680,1530334007000,2018-06-30,09:16:47,430,986116312920453120,abandidgah,دیدگاه آبان,,"#سهرمز
بررسی #اطلاعیه 97/04/09
*سيمان هرمزگان*    
توضيحات شرکت در خصوص پيش بيني درآمد هر سهم سال مالي منتهي به ۹۷/۰۸/۳۰
#بورس pic.twitter.com/0gWvgEaW7u",[],[],['https://pbs.twimg.com/media/Dg6dsBQUYAAZEZf.jpg'],0,0,0,"['#سهرمز', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1012920357685063680,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9985697269439696
3,3,3,3,3,3,3,1078986104764751872,1078986104764751872,1546085308000,2018-12-29,15:38:28,430,986116312920453120,abandidgah,دیدگاه آبان,,"#سهرمز
بررسی اطلاعیه 97/10/08
*سیمان هرمزگان*    
پیشنهاد هیئت مدیره به مجمع عمومی فوق العاده در خصوص افزایش سرمایه  
از مبلغ 542 میلیون ریال به مبلغ 1,084 میلیون ریال
از محل مطالبات حال شده سهامداران و آورده نقدی به منظور اصلاح ساختار مالي و افزايش ظرفيت توليد اسمي توليد 
#بورس",[],[],[],0,0,0,"['#سهرمز', '#بورس']",[],https://twitter.com/abandidgah/status/1078986104764751872,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9922407865524292
4,4,4,4,4,4,4,1087597660654071808,1087597660654071808,1548138463000,2019-01-22,09:57:43,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه سیمان معاملات امروز نیز مثبت است و #سشرق، #سدور، #سپاها، #ستران، #سخزر، #سفارس، #سکرد، #سهرمز، #سمازن، #سصوفی، #سبجنو، #ساروم، #سرود، #سیدکو، #سشمال از نمادهای پرتعدادی هستند که در سقف مجاز قیمتی تقاضا دارند.
#بورس",[],[],[],0,0,0,"['#سشرق', '#سدور', '#سپاها', '#ستران', '#سخزر', '#سفارس', '#سکرد', '#سهرمز', '#سمازن', '#سصوفی', '#سبجنو', '#ساروم', '#سرود', '#سیدکو', '#سشمال', '#بورس']",[],https://twitter.com/abandidgah/status/1087597660654071808,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9978972673416138
5,5,5,5,5,5,5,1089038399636271105,1089038399636271105,1548481962000,2019-01-26,09:22:42,430,986116312920453120,abandidgah,دیدگاه آبان,,"#سهرمز
بررسی #اطلاعیه 97/11/06
*سيمان هرمزگان*
آگهی دعوت به مجمع عمومی عادی سالیانه   
جهت تصویب صورت‌های مالی سال (دوره) مالی منتهی به 1397/08/30     
در ساعت 15:00 روز چهارشنبه مورخ 1397/11/17 
درمحل تهران، کاشانک، مرکز همايش هاي بين المللي رايزن تالار پيامبراکرم(ص) 
#بورس",[],[],[],0,0,0,"['#سهرمز', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1089038399636271105,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9960533380508424
6,6,6,6,6,6,6,1091947392138498049,1091947392138498049,1549175520000,2019-02-03,10:02:00,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه سیمان معاملات امروز معاملات با فشار عرضه آغاز شد و افزایش عرضه ها در کل بازار عقب نشینی بسیاری از نمادها را در ابتدای معاملات در پی داشته است. #سهرمز، #سقاین از تک نمادهای مثبت گروه هستند. در انبوه سازها معاملات منفی است و عمده نمادها با افت قیمتی داد و ستد می شوند.
#بورس",[],[],[],0,0,0,"['#سهرمز', '#سقاین', '#بورس']",[],https://twitter.com/abandidgah/status/1091947392138498049,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.90736722946167
7,7,7,7,7,7,7,1121997434916184064,1121997434916184064,1556340008000,2019-04-27,09:10:08,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های فروش
#سهرمز 423 هزار سهم
#بورس",[],[],[],0,0,0,"['#سهرمز', '#بورس']",[],https://twitter.com/abandidgah/status/1121997434916184064,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.5199065804481506
8,8,8,8,8,8,8,1132515988337876993,1132515988337876993,1558847827000,2019-05-26,09:47:07,430,986116312920453120,abandidgah,دیدگاه آبان,,"#سهرمز
بررسی #اطلاعیه 98/03/05
*سیمان هرمزگان*
افشای اطلاعات بااهمیت - (سایر اطلاعات بااهمیت - واگذاری ۴.۰۲ درصد سهام تامین سرمایه امید- گروه ب) منتهی به سال مالی98
#بورس pic.twitter.com/XCsP8bafXq",[],[],['https://pbs.twimg.com/media/D7eBPdlUwAE1iKu.jpg'],0,0,0,"['#سهرمز', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1132515988337876993,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9992268085479736
9,9,9,9,9,9,9,1132517674473234432,1132517674473234432,1558848229000,2019-05-26,09:53:49,430,986116312920453120,abandidgah,دیدگاه آبان,,"#سهرمز
بررسی #اطلاعیه 98/03/05
*سیمان هرمزگان*
افشای اطلاعات بااهمیت - (سایر اطلاعات بااهمیت - واگذاری ۴.۰۲ درصد سهام تامین سرمایه امید- گروه ب) منتهی به سال مالی98
#بورس",[],[],[],0,0,0,"['#سهرمز', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1132517674473234432,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9992268085479736
