Date,Close,Open,Low,High,Volume,Trades
2001-03-27,8249.0,8045.0,8045.0,8249.0,18675,3
2001-04-07,8247.0,8247.0,8247.0,8247.0,266,2
2001-04-08,8247.0,8247.0,8247.0,8247.0,500,1
2001-04-09,8246.0,8246.0,8246.0,8246.0,285,1
2001-04-10,8246.0,8246.0,8246.0,8246.0,35,1
2001-04-14,8044.0,8044.0,8044.0,8044.0,2000,4
2001-04-15,8044.0,8044.0,8044.0,8044.0,364,1
2001-04-16,8044.0,8044.0,8043.0,8044.0,22300,27
2001-04-17,8150.0,8045.0,8045.0,8150.0,16087,13
2001-04-18,8231.0,8200.0,8151.0,8231.0,9898,12
2001-04-21,8250.0,8247.0,8247.0,8250.0,2182,7
2001-04-22,8263.0,8250.0,8250.0,8263.0,1131,6
2001-04-23,8211.0,8260.0,8201.0,8270.0,3865,12
2001-04-24,8232.0,8212.0,8211.0,8232.0,5857,15
2001-04-25,8310.0,8300.0,8233.0,8310.0,4070,9
2001-04-28,8393.0,8393.0,8393.0,8393.0,1000,2
2001-05-08,8900.0,8500.0,8500.0,8900.0,17986,9
2001-05-09,8989.0,8989.0,8989.0,8989.0,3935,7
2001-05-12,9078.0,9078.0,9078.0,9078.0,7283,5
2001-05-13,9168.0,9168.0,9168.0,9168.0,5644,6
2001-05-15,9259.0,9259.0,9259.0,9259.0,10272,7
2001-05-16,9351.0,9351.0,9351.0,9351.0,21973,27
2001-05-20,9444.0,9444.0,9444.0,9444.0,6156,5
2001-05-21,9538.0,9538.0,9538.0,9538.0,1142,4
2001-05-23,9633.0,9633.0,9633.0,9633.0,1360,1
2001-05-26,9729.0,9729.0,9729.0,9729.0,4165,4
2001-05-27,9826.0,9826.0,9826.0,9826.0,2150,3
2001-05-29,9924.0,9924.0,9924.0,9924.0,1000,3
2001-06-03,10023.0,10023.0,10023.0,10023.0,10360,7
2001-06-06,10123.0,10123.0,10123.0,10123.0,4000,4
2001-06-09,10224.0,10224.0,10224.0,10224.0,4580,6
2001-06-11,10326.0,10326.0,10326.0,10326.0,1500,2
2001-06-12,10429.0,10429.0,10429.0,10429.0,6929,12
2001-06-13,10533.0,10533.0,10533.0,10533.0,43569,47
2001-06-16,10638.0,10638.0,10638.0,10638.0,1366,4
2001-06-17,10640.0,10743.0,10640.0,10744.0,19837,26
2001-06-18,10534.0,10639.0,10534.0,10639.0,11138,16
2001-06-19,10534.0,10533.0,10529.0,10536.0,37465,60
2001-06-23,10639.0,10530.0,10530.0,10639.0,36815,21
2001-06-24,10741.0,10740.0,10740.0,10741.0,1576,5
2001-06-25,10740.0,10740.0,10740.0,10740.0,2853,4
2001-06-27,10740.0,10739.0,10739.0,10740.0,4750,7
2001-06-30,10740.0,10700.0,10700.0,10740.0,4875,4
2001-07-01,10847.0,10847.0,10740.0,10847.0,5772,5
2001-07-02,10955.0,10847.0,10826.0,10955.0,6566,10
2001-07-03,11064.0,10955.0,10955.0,11064.0,1362,2
