,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,638060634790346752,638060634790346752,1440960484000,2015-08-30,23:18:04,430,1333996362,azoz201162,'̵›آعَزوفِہَ هُادئہَ,,#ضحك #هجوله #سكرد#الرياض #سوسو  https://instagram.com/p/7BKPt1EUVX/ ,[],['https://instagram.com/p/7BKPt1EUVX/'],[],0,0,0,"['#ضحك', '#هجوله', '#سوسو']",[],https://twitter.com/azoz201162/status/638060634790346752,False,,0,,,,,,,"[{'user_id': '1333996362', 'username': 'azoz201162'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,702862121038647297,702862121038647297,1456410362000,2016-02-25,17:56:02,430,3145098578,anker_iq,mansour alhozaim,,محفظة #سكرد الذكيه #المميزه المصنوعه من الجلد الطبيعي وحامل بطايق ذكي من الالمانيوم pic.twitter.com/TXMbYydCB9,[],[],['https://pbs.twimg.com/media/CcERWwqWAAA2uEd.jpg'],1,0,1,"['#سكرد', '#المميزه']",[],https://twitter.com/Anker_Iq/status/702862121038647297,False,,0,,,,,,,"[{'user_id': '3145098578', 'username': 'Anker_Iq'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,703506442213527552,703506442213527552,1456563980000,2016-02-27,12:36:20,430,2463165061,bourseiness,بورسینس,,تاریخ 94.12.08 ساعت 12:30 خلاصه بازار توقف نمادهای #خریخت، #سکرد، #فباهنرح، #دسبحاح…  http://goo.gl/fb/ZADFJX  #اقتصاد,[],['http://goo.gl/fb/ZADFJX'],[],0,0,0,"['#خریخت', '#سکرد', '#فباهنرح', '#دسبحاح', '#اقتصاد']",[],https://twitter.com/bourseiness/status/703506442213527552,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,704428097588826112,704428097588826112,1456783720000,2016-03-01,01:38:40,430,3145098578,anker_iq,mansour alhozaim,,محافظ #سكرد الهولنديه الذكيه #المميزه من الجلد الطبيعي pic.twitter.com/Mghv90fz0a,[],[],"['https://pbs.twimg.com/media/CcahmNwWAAARNiE.jpg', 'https://pbs.twimg.com/media/CcahmN5WEAE79MZ.jpg', 'https://pbs.twimg.com/media/CcahmN6W4AAdot5.jpg', 'https://pbs.twimg.com/media/CcahmN-WEAAHhJv.jpg']",0,0,1,"['#سكرد', '#المميزه']",[],https://twitter.com/Anker_Iq/status/704428097588826112,False,,0,,,,,,,"[{'user_id': '3145098578', 'username': 'Anker_Iq'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,706019456217174018,706019456217174018,1457163130000,2016-03-05,11:02:10,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #خمهر،#سكرد،#قزوين ؛ #وسپه،#وسپهح &nbsp  http://goo.gl/fb/I6DcpF  #اقتصاد,[],['http://goo.gl/fb/I6DcpF'],[],0,0,0,"['#خمهر', '#سكرد', '#قزوين', '#وسپه', '#وسپهح', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706019456217174018,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,706036259865686016,706036259865686016,1457167136000,2016-03-05,12:08:56,430,2463165061,bourseiness,بورسینس,,#سکرد شفاف سازی درخصوص پیش بینی درآمد هرسهم  http://goo.gl/fb/Ee1Cbx  #اقتصاد,[],['http://goo.gl/fb/Ee1Cbx'],[],0,0,0,"['#سکرد', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706036259865686016,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,706355089267679232,706355089267679232,1457243151000,2016-03-06,09:15:51,430,2463165061,bourseiness,بورسینس,,حراج مجدد نمادهاي معاملاتي #قزوين،#سكرد،#وسپهح  http://goo.gl/fb/3NNQ9v  #اقتصاد,[],['http://goo.gl/fb/3NNQ9v'],[],0,0,0,"['#قزوين', '#سكرد', '#وسپهح', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706355089267679232,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,710509732843429888,710509732843429888,1458233695000,2016-03-17,20:24:55,430,3145098578,anker_iq,mansour alhozaim,,وصل حديثاً محافظ #سكرد الذكيه 10 الوان #مميزه للطلب التواصل واتساب ع الرقم الكميه محدوده #اعلان #بيع #الهلال #الزعيم pic.twitter.com/msPvJF7Ttv,[],[],"['https://pbs.twimg.com/media/Cdw81LfW4AE5aBV.jpg', 'https://pbs.twimg.com/media/Cdw81LpXIAAGa4n.jpg']",4,3,2,"['#سكرد', '#مميزه', '#اعلان', '#بيع', '#الهلال', '#الزعيم']",[],https://twitter.com/Anker_Iq/status/710509732843429888,False,,0,,,,,,,"[{'user_id': '3145098578', 'username': 'Anker_Iq'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,710510358646095872,710510358646095872,1458233844000,2016-03-17,20:27:24,430,3145098578,anker_iq,mansour alhozaim,,اذا اردت ان تهدي شخص مميز بحياتك عليك ان تختار شي مميز محافظ #سكرد من الجلد الطبيعي صناعه هولنديه فاخره  pic.twitter.com/cHwmN7e5CM,[],[],['https://pbs.twimg.com/media/Cdw9ZVkWEAAWpxV.jpg'],1,3,3,['#سكرد'],[],https://twitter.com/Anker_Iq/status/710510358646095872,False,,0,,,,,,,"[{'user_id': '3145098578', 'username': 'Anker_Iq'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,716831494132645889,716831494132645889,1459740920000,2016-04-04,08:05:20,430,3145098578,anker_iq,mansour alhozaim,,"وصلت الطلبيه الجديده من محافظ #سكرد الهولنديه لون #اسود #بني للطلب واتساب على الرقم 0549085552 
#رتويت_بلآ_توقف #نشر pic.twitter.com/yGuB1QnzO5",[],[],['https://pbs.twimg.com/media/CfKyah4WsAAzfKB.jpg'],3,1,1,"['#سكرد', '#اسود', '#بني', '#رتويت_بلآ_توقف', '#نشر']",[],https://twitter.com/Anker_Iq/status/716831494132645889,False,,0,,,,,,,"[{'user_id': '3145098578', 'username': 'Anker_Iq'}]",,,,,0.9912850856781006
10,10,10.0,10.0,10.0,10.0,10.0,722336674919923712,722336674919923712,1461053458000,2016-04-19,12:40:58,430,2463165061,bourseiness,بورسینس,,تاریخ 95.01.31 ساعت 12:30 خلاصه بازار توقف نمادهای #سکرد، #دعبید، #شمواد، #سپاس…  http://goo.gl/fb/KKabGF  #اقتصاد,[],['http://goo.gl/fb/KKabGF'],[],0,0,0,"['#سکرد', '#دعبید', '#شمواد', '#سپاس', '#اقتصاد']",[],https://twitter.com/bourseiness/status/722336674919923712,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
11,11,11.0,11.0,11.0,11.0,11.0,723749890011082752,723749890011082752,1461390395000,2016-04-23,10:16:35,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #خفنر،#وصنا،#سهگمت،#سكرد،#سفارس،#حفارس  http://goo.gl/fb/9yxZER  #اقتصاد,[],['http://goo.gl/fb/9yxZER'],[],0,0,0,"['#خفنر', '#وصنا', '#سهگمت', '#سكرد', '#سفارس', '#حفارس', '#اقتصاد']",[],https://twitter.com/bourseiness/status/723749890011082752,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
