Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,3043.0,36683161.0,3.0,12649.0,12000.0,12058.0,12000.0,12058.0
2016-02-21,118.0,1493868.0,3.0,12660.0,12659.0,12060.0,12660.0,12058.0
2016-02-22,3692.0,46751796.0,7.0,12663.0,12663.0,12114.0,12663.0,12060.0
2016-02-23,5690.0,72185526.0,11.0,12719.0,12663.0,12193.0,12719.0,12114.0
2016-02-24,471.0,5592480.0,4.0,12802.0,11584.0,12189.0,12802.0,12193.0
2016-02-29,1487.0,17269500.0,6.0,11803.0,11600.0,12168.0,11803.0,12189.0
2016-03-01,2638.0,32083600.0,4.0,12200.0,12150.0,12168.0,12200.0,12168.0
2016-03-02,340.0,4012000.0,2.0,11800.0,11800.0,12165.0,11800.0,12168.0
2016-03-05,1595.0,18861900.0,3.0,12209.0,11800.0,12152.0,12209.0,12165.0
2016-03-06,8469.0,98631955.0,9.0,12759.0,11545.0,12048.0,11546.0,12152.0
2016-03-08,96.0,1156608.0,1.0,12048.0,12048.0,12048.0,12048.0,12048.0
2016-03-12,55000.0,680725000.0,2.0,12400.0,12145.0,12377.0,12145.0,12048.0
2016-03-14,5700.0,68882373.0,5.0,12150.0,12053.0,12337.0,12100.0,12377.0
2016-03-15,2057.0,24619302.0,6.0,12036.0,11721.0,12319.0,12036.0,12337.0
2016-03-28,100.0,1255000.0,1.0,12550.0,12550.0,12320.0,12550.0,12319.0
2016-03-29,31054.0,386520821.0,4.0,12500.0,12140.0,12417.0,12140.0,12320.0
2016-03-30,260.0,3315000.0,1.0,12750.0,12750.0,12419.0,12750.0,12417.0
2016-04-02,5820.0,74324800.0,3.0,12773.0,12750.0,12470.0,12773.0,12419.0
2016-04-03,1530.0,19032030.0,3.0,12513.0,12414.0,12469.0,12414.0,12470.0
2016-04-04,13007.0,170287392.0,3.0,13092.0,13091.0,12670.0,13092.0,12469.0
2016-04-05,528.0,6942614.0,3.0,13300.0,13013.0,12676.0,13300.0,12670.0
2016-04-06,1.0,13309.0,1.0,13309.0,13309.0,12676.0,13309.0,12676.0
2016-04-09,279.0,3713211.0,2.0,13309.0,13309.0,12680.0,13309.0,12676.0
2016-04-10,3157.0,42032298.0,9.0,13314.0,13314.0,12731.0,13314.0,12680.0
2016-04-11,6393.0,85455231.0,7.0,13367.0,13367.0,12834.0,13367.0,12731.0
2016-04-12,733.0,9877175.0,4.0,13475.0,13475.0,12846.0,13475.0,12834.0
2016-04-13,2736.0,36903168.0,3.0,13488.0,13488.0,12891.0,13488.0,12846.0
2016-04-16,289.0,3911615.0,2.0,13535.0,13535.0,12896.0,13535.0,12891.0
2016-04-17,577.0,7812580.0,2.0,13540.0,13540.0,12906.0,13540.0,12896.0
2016-04-18,1.0,13551.0,1.0,13551.0,13551.0,12906.0,13551.0,12906.0
2016-04-19,1.0,13551.0,1.0,13551.0,13551.0,12906.0,13551.0,12906.0
2016-04-20,2119.0,28714569.0,4.0,13551.0,13551.0,12941.0,13551.0,12906.0
2016-04-23,770.0,10462760.0,2.0,13588.0,13588.0,12954.0,13588.0,12941.0
2016-04-24,1.0,13601.0,1.0,13601.0,13601.0,12954.0,13601.0,12954.0
2016-04-25,121.0,1645721.0,2.0,13601.0,13601.0,12956.0,13601.0,12954.0
2016-04-26,1200.0,16323600.0,4.0,13603.0,13603.0,12976.0,13603.0,12956.0
2016-04-27,520.0,7084480.0,2.0,13624.0,13624.0,12985.0,13624.0,12976.0
2016-04-30,1991.0,27145294.0,5.0,13634.0,13634.0,13019.0,13634.0,12985.0
2016-05-01,899.0,12288431.0,2.0,13669.0,13669.0,13034.0,13669.0,13019.0
2016-05-02,36685.0,502034225.0,8.0,13685.0,13685.0,13654.0,13685.0,13034.0
2016-05-03,5729.0,82130944.0,5.0,14336.0,14336.0,13755.0,14336.0,13654.0
2016-05-07,1.0,14442.0,1.0,14442.0,14442.0,13755.0,14442.0,13755.0
2016-05-08,701.0,10123842.0,2.0,14442.0,14442.0,13768.0,14442.0,13755.0
2016-05-09,4439.0,64170184.0,3.0,14456.0,14456.0,13852.0,14456.0,13768.0
2016-05-10,2.0,29088.0,2.0,14544.0,14544.0,13852.0,14544.0,13852.0
2016-05-11,3023.0,43966512.0,3.0,14544.0,14544.0,13910.0,14544.0,13852.0
2016-05-14,1.0,14605.0,1.0,14605.0,14605.0,13910.0,14605.0,13910.0
2016-05-15,1969.0,28757245.0,3.0,14605.0,14605.0,13948.0,14605.0,13910.0
2016-05-16,114.0,1669530.0,2.0,14645.0,14645.0,13950.0,14645.0,13948.0
2016-05-17,10.0,146470.0,2.0,14647.0,14647.0,13950.0,14647.0,13950.0
2016-05-18,235.0,3442045.0,1.0,14647.0,14647.0,13955.0,14647.0,13950.0
2016-05-21,128.0,1875456.0,2.0,14652.0,14652.0,13957.0,14652.0,13955.0
2016-05-23,1982.0,29044228.0,5.0,14654.0,14654.0,13996.0,14654.0,13957.0
2016-05-24,2.0,29390.0,2.0,14695.0,14695.0,13996.0,14695.0,13996.0
2016-05-25,6056.0,88992920.0,3.0,14695.0,14695.0,14114.0,14695.0,13996.0
2016-05-28,2054.0,30438226.0,5.0,14819.0,14819.0,14155.0,14819.0,14114.0
2016-05-29,19033.0,282868446.0,21.0,14862.0,14862.0,14535.0,14862.0,14155.0
2016-05-30,4923.0,75129903.0,7.0,15261.0,15261.0,14636.0,15261.0,14535.0
2016-05-31,4922.0,75636374.0,4.0,15367.0,15367.0,14738.0,15367.0,14636.0
2016-06-01,26.0,402324.0,3.0,15474.0,15474.0,14739.0,15474.0,14738.0
2016-06-05,37133.0,574633175.0,28.0,15475.0,15475.0,15475.0,15475.0,14739.0
2016-06-06,135941.0,2208769368.0,87.0,16248.0,16248.0,16248.0,16248.0,15475.0
2016-06-07,33936.0,578948160.0,29.0,17060.0,17060.0,17060.0,17060.0,16248.0
2016-06-08,382.0,6842766.0,3.0,17913.0,17913.0,17070.0,17913.0,17060.0
2016-06-11,32856.0,588878088.0,6.0,17923.0,17923.0,17923.0,17923.0,17070.0
2016-06-12,31498.0,592760862.0,20.0,18819.0,18819.0,18819.0,18819.0,17923.0
2016-06-13,34026.0,672319734.0,14.0,19759.0,19759.0,19759.0,19759.0,18819.0
2016-06-14,17655.0,366270630.0,7.0,20746.0,20746.0,20354.0,20746.0,19759.0
2016-06-15,117803.0,2510245378.0,79.0,21371.0,20000.0,21309.0,20850.0,20354.0
2016-06-18,21149.0,428140356.0,11.0,20244.0,20244.0,20349.0,20244.0,21309.0
2016-06-19,243.0,4697676.0,3.0,19332.0,19332.0,20338.0,19332.0,20349.0
