,Date,Trend
0,2015-08-09,5
1,2015-08-16,5
2,2015-08-23,8
3,2015-08-30,5
4,2015-09-06,5
5,2015-09-13,5
6,2015-09-20,5
7,2015-09-27,0
8,2015-10-04,5
9,2015-10-11,0
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,0
13,2015-11-08,10
14,2015-11-15,5
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,0
18,2015-12-13,0
19,2015-12-20,6
20,2015-12-27,6
21,2016-01-03,5
22,2016-01-10,0
23,2016-01-17,0
24,2016-01-24,0
25,2016-01-31,8
26,2016-02-07,9
27,2016-02-14,5
28,2016-02-21,5
29,2016-02-28,5
30,2016-03-06,5
31,2016-03-13,10
32,2016-03-20,5
33,2016-03-27,5
34,2016-04-03,12
35,2016-04-10,10
36,2016-04-17,5
37,2016-04-24,10
38,2016-05-01,13
39,2016-05-08,5
40,2016-05-15,5
41,2016-05-22,5
42,2016-05-29,12
43,2016-06-05,5
44,2016-06-12,5
45,2016-06-19,11
46,2016-06-26,5
47,2016-07-03,6
48,2016-07-10,5
49,2016-07-17,8
50,2016-07-24,0
51,2016-07-31,6
52,2016-08-07,6
53,2016-08-14,6
54,2016-08-21,8
55,2016-08-28,0
56,2016-09-04,5
57,2016-09-11,5
58,2016-09-18,5
59,2016-09-25,11
60,2016-10-02,8
61,2016-10-09,5
62,2016-10-16,16
63,2016-10-23,11
64,2016-10-30,8
65,2016-11-06,5
66,2016-11-13,18
67,2016-11-20,8
68,2016-11-27,5
69,2016-12-04,10
70,2016-12-11,5
71,2016-12-18,5
72,2016-12-25,6
73,2017-01-01,8
74,2017-01-08,5
75,2017-01-15,10
76,2017-01-22,17
77,2017-01-29,5
78,2017-02-05,10
79,2017-02-12,5
80,2017-02-19,8
81,2017-02-26,5
82,2017-03-05,5
83,2017-03-12,0
84,2017-03-19,5
85,2017-03-26,5
86,2017-04-02,11
87,2017-04-09,7
88,2017-04-16,12
89,2017-04-23,9
90,2017-04-30,5
91,2017-05-07,13
92,2017-05-14,5
93,2017-05-21,7
94,2017-05-28,8
95,2017-06-04,7
96,2017-06-11,8
97,2017-06-18,0
98,2017-06-25,5
99,2017-07-02,21
100,2017-07-09,8
101,2017-07-16,5
102,2017-07-23,5
103,2017-07-30,10
104,2017-08-06,5
105,2017-08-13,5
106,2017-08-20,5
107,2017-08-27,5
108,2017-09-03,5
109,2017-09-10,8
110,2017-09-17,5
111,2017-09-24,0
112,2017-10-01,0
113,2017-10-08,7
114,2017-10-15,5
115,2017-10-22,0
116,2017-10-29,0
117,2017-11-05,9
118,2017-11-12,5
119,2017-11-19,5
120,2017-11-26,9
121,2017-12-03,5
122,2017-12-10,8
123,2017-12-17,5
124,2017-12-24,5
125,2017-12-31,7
126,2018-01-07,5
127,2018-01-14,9
128,2018-01-21,6
129,2018-01-28,4
130,2018-02-04,5
131,2018-02-11,9
132,2018-02-18,0
133,2018-02-25,7
134,2018-03-04,9
135,2018-03-11,0
136,2018-03-18,5
137,2018-03-25,0
138,2018-04-01,9
139,2018-04-08,9
140,2018-04-15,5
141,2018-04-22,5
142,2018-04-29,9
143,2018-05-06,5
144,2018-05-13,5
145,2018-05-20,5
146,2018-05-27,14
147,2018-06-03,5
148,2018-06-10,4
149,2018-06-17,7
150,2018-06-24,7
151,2018-07-01,14
152,2018-07-08,5
153,2018-07-15,5
154,2018-07-22,5
155,2018-07-29,8
156,2018-08-05,7
157,2018-08-12,5
158,2018-08-19,6
159,2018-08-26,11
160,2018-09-02,5
161,2018-09-09,7
162,2018-09-16,16
163,2018-09-23,10
164,2018-09-30,10
165,2018-10-07,5
166,2018-10-14,9
167,2018-10-21,9
168,2018-10-28,5
169,2018-11-04,4
170,2018-11-11,4
171,2018-11-18,9
172,2018-11-25,11
173,2018-12-02,7
174,2018-12-09,9
175,2018-12-16,5
176,2018-12-23,8
177,2018-12-30,12
178,2019-01-06,4
179,2019-01-13,6
180,2019-01-20,6
181,2019-01-27,7
182,2019-02-03,7
183,2019-02-10,9
184,2019-02-17,7
185,2019-02-24,4
186,2019-03-03,9
187,2019-03-10,15
188,2019-03-17,4
189,2019-03-24,7
190,2019-03-31,6
191,2019-04-07,12
192,2019-04-14,15
193,2019-04-21,9
194,2019-04-28,9
195,2019-05-05,9
196,2019-05-12,10
197,2019-05-19,13
198,2019-05-26,20
199,2019-06-02,7
200,2019-06-09,9
201,2019-06-16,9
202,2019-06-23,4
203,2019-06-30,9
204,2019-07-07,4
205,2019-07-14,4
206,2019-07-21,12
207,2019-07-28,16
208,2019-08-04,13
209,2019-08-11,13
210,2019-08-18,15
211,2019-08-25,24
212,2019-09-01,17
213,2019-09-08,22
214,2019-09-15,20
215,2019-09-22,17
216,2019-09-29,14
217,2019-10-06,14
218,2019-10-13,8
219,2019-10-20,12
220,2019-10-27,14
221,2019-11-03,7
222,2019-11-10,5
223,2019-11-17,0
224,2019-11-24,7
225,2019-12-01,14
226,2019-12-08,14
227,2019-12-15,21
228,2019-12-22,24
229,2019-12-29,28
230,2020-01-05,11
231,2020-01-12,26
232,2020-01-19,45
233,2020-01-26,20
234,2020-02-02,36
235,2020-02-09,18
236,2020-02-16,19
237,2020-02-23,39
238,2020-03-01,28
239,2020-03-08,25
240,2020-03-15,22
241,2020-03-22,19
242,2020-03-29,26
243,2020-04-05,30
244,2020-04-12,40
245,2020-04-19,31
246,2020-04-26,44
247,2020-05-03,45
248,2020-05-10,51
249,2020-05-17,46
250,2020-05-24,22
251,2020-05-31,25
252,2020-06-07,39
253,2020-06-14,32
254,2020-06-21,66
255,2020-06-28,68
256,2020-07-05,87
257,2020-07-12,77
258,2020-07-19,85
259,2020-07-26,76
260,2020-08-02,100
