,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488636362951000064,488636362951000064,1405334962000,2014-07-14,15:19:22,430,630578888,kavehghoreishi,Kaveh Ghoreishi کاوه قریشی,,"Ciwan Haco - Xeribi #گۆرانی #ستران
 http://bit.ly/1oVqAGw  #Rojava #TwitterKurds",[],['http://bit.ly/1oVqAGw'],[],0,0,0,"['#گۆرانی', '#ستران', '#rojava', '#twitterkurds']",[],https://twitter.com/KavehGhoreishi/status/488636362951000064,False,,0,,,,,,,"[{'user_id': '630578888', 'username': 'KavehGhoreishi'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,488740319211847680,488740319211847680,1405359747000,2014-07-14,22:12:27,430,630578888,kavehghoreishi,Kaveh Ghoreishi کاوه قریشی,,"Namdar Qeredaxi 
  http://bit.ly/1jIPyu2 
#گۆرانی #ستران",[],['http://bit.ly/1jIPyu2'],[],0,0,0,"['#گۆرانی', '#ستران']",[],https://twitter.com/KavehGhoreishi/status/488740319211847680,False,,0,,,,,,,"[{'user_id': '630578888', 'username': 'KavehGhoreishi'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,495676518937681921,495676518937681921,1407013466000,2014-08-03,01:34:26,430,630578888,kavehghoreishi,Kaveh Ghoreishi کاوه قریشی,,"بە دەنگی ماملێی مەزن
#گۆرانی #ستران
 http://bit.ly/1sgJMkv ",[],['http://bit.ly/1sgJMkv'],[],0,0,1,"['#گۆرانی', '#ستران']",[],https://twitter.com/KavehGhoreishi/status/495676518937681921,False,,0,,,,,,,"[{'user_id': '630578888', 'username': 'KavehGhoreishi'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,524893550430142464,524893550430142464,1413979349000,2014-10-22,15:32:29,430,2778040873,hibourse,hibourse,,"بیشترین کاهش قیمت:
#شپمچا  (11.65)
#دتماد  (4)
#ستران  (3.98)
#بشهاب  (3.98)
#كپشير  (3.96)
#سهگمت  (3.95)
#سشرق (۳.۸۷)
*****
#بورس #هایبورس",[],[],[],0,0,0,"['#شپمچا', '#دتماد', '#ستران', '#بشهاب', '#كپشير', '#سهگمت', '#سشرق', '#بورس', '#هایبورس']",[],https://twitter.com/hibourse/status/524893550430142464,False,,0,,,,,,,"[{'user_id': '2778040873', 'username': 'hibourse'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,656871652609757188,656871652609757188,1445445380000,2015-10-21,20:06:20,430,3384092241,hosamaly10,Hosam Aly,,"#انظر_رعاكَ_الله…… ماذا يقول الإمام #ابن_القيم  رحمه الله 

(إن للعبد #ستّرانِ…  ستّر بينه وبين ربه… وآخر بينه...  http://fb.me/3nId7e65q ",[],['http://fb.me/3nId7e65q'],[],0,0,0,"['#انظر_رعاكَ_الله', '#ابن_القيم', '#ستّرانِ']",[],https://twitter.com/HosamAly10/status/656871652609757188,False,,0,,,,,,,"[{'user_id': '3384092241', 'username': 'HosamAly10'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,703817256279654400,703817256279654400,1456638084000,2016-02-28,09:11:24,430,2463165061,bourseiness,بورسینس,,حراج مجدد نمادهاي معاملاتي #ستران،#سخزر،#سشمال،#كروي،#چكارن،#دكوثر،#قنقشح،#فولادح…  http://goo.gl/fb/qjE9CA  #اقتصاد,[],['http://goo.gl/fb/qjE9CA'],[],0,0,0,"['#ستران', '#سخزر', '#سشمال', '#كروي', '#چكارن', '#دكوثر', '#قنقشح', '#فولادح', '#اقتصاد']",[],https://twitter.com/bourseiness/status/703817256279654400,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,706391004295925760,706391004295925760,1457251714000,2016-03-06,11:38:34,430,2463165061,bourseiness,بورسینس,,#ستران 94 12 16 با توجه به محل قرار گرفتن اندیrsiپیشبینی شکست مقاومت چندان…  http://goo.gl/fb/DqxcMj  #اقتصاد,[],['http://goo.gl/fb/DqxcMj'],[],0,0,0,"['#ستران', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706391004295925760,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,725213979119853569,725213979119853569,1461739461000,2016-04-27,11:14:21,430,2463165061,bourseiness,بورسینس,,حقوقی در نمادهای #وبوعلی #ستران #البرز #فجر در یک ماهه اخیر بیشتر فروشنده بوده است  http://goo.gl/fb/Q3I0Nt  #اقتصاد,[],['http://goo.gl/fb/Q3I0Nt'],[],0,0,0,"['#وبوعلی', '#ستران', '#البرز', '#فجر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/725213979119853569,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,726655772415918081,726655772415918081,1462083211000,2016-05-01,10:43:31,430,2463165061,bourseiness,بورسینس,,#ستران همانطور که در نمودار مشاهده می کنید اندیکاتور در تایم فریم هفتگی هنوز…  http://goo.gl/fb/gAumbM  #اقتصاد,[],['http://goo.gl/fb/gAumbM'],[],0,0,0,"['#ستران', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726655772415918081,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,749490127257337856,749490127257337856,1467527345000,2016-07-03,10:59:05,430,2463165061,bourseiness,بورسینس,,#خساپا 130 میلیون صف خرید توقف های امروز #پتاير، #كچاد، #وملي، #كاذر، #ستران، جهت…  http://goo.gl/fb/XAVXu1  #اقتصاد,[],['http://goo.gl/fb/XAVXu1'],[],0,0,0,"['#خساپا', '#پتاير', '#كچاد', '#وملي', '#كاذر', '#ستران', '#اقتصاد']",[],https://twitter.com/bourseiness/status/749490127257337856,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
