,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526722143963598848,526722143963598848,1414415319000,2014-10-27,16:38:39,430,2778040873,hibourse,hibourse,,"بیشترین افزایش قیمت
#ثشاهد 7.22
#سقاين 4
#وآذر 3.99
#غبشهر 3.99
#تپمپي 3.99
#خريخت 3.98
#فجام 3.93
***
#TSE
#هایبورس
#بورس",[],[],[],0,0,0,"['#ثشاهد', '#سقاين', '#وآذر', '#غبشهر', '#تپمپي', '#خريخت', '#فجام', '#tse', '#هایبورس', '#بورس']",[],https://twitter.com/hibourse/status/526722143963598848,False,,0,,,,,,,"[{'user_id': '2778040873', 'username': 'hibourse'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,713976283684712449,713976283684712449,1459060185000,2016-03-27,10:59:45,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #خچرخش،#خكار،#سيلام،#وآذر،#ددام  http://goo.gl/fb/596k1C  #اقتصاد,[],['http://goo.gl/fb/596k1C'],[],0,0,0,"['#خچرخش', '#خكار', '#سيلام', '#وآذر', '#ددام', '#اقتصاد']",[],https://twitter.com/bourseiness/status/713976283684712449,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,714313147402858496,714313147402858496,1459140500000,2016-03-28,09:18:20,430,2463165061,bourseiness,بورسینس,,حراج مجدد نمادهاي معاملاتي #خچرخش،#خكار،#سيلام،#وآذر،#ددام  http://goo.gl/fb/Czszkc  #اقتصاد,[],['http://goo.gl/fb/Czszkc'],[],0,0,0,"['#خچرخش', '#خكار', '#سيلام', '#وآذر', '#ددام', '#اقتصاد']",[],https://twitter.com/bourseiness/status/714313147402858496,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,719381435984056320,719381435984056320,1460348874000,2016-04-11,08:57:54,430,2463165061,bourseiness,بورسینس,,نمادهای #واتی، #تجار، #خاذین، #خمحور، #وآذر، #کبافق، #وتوصا و …در مرحله پیش گشایش صف…  http://goo.gl/fb/b63JQS  #اقتصاد,[],['http://goo.gl/fb/b63JQS'],[],0,0,0,"['#واتی', '#تجار', '#خاذین', '#خمحور', '#وآذر', '#کبافق', '#وتوصا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/719381435984056320,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,721556677586259968,721556677586259968,1460867492000,2016-04-17,09:01:32,430,2463165061,bourseiness,بورسینس,,#وآذر شرکت سرمايه گذاري توسعه آذربايجان پیش بینی درآمد هر سهم سال مالی منتهی…  http://goo.gl/fb/EKtMrn  #اقتصاد,[],['http://goo.gl/fb/EKtMrn'],[],0,0,0,"['#وآذر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/721556677586259968,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,722693734572376064,722693734572376064,1461138587000,2016-04-20,12:19:47,430,2463165061,bourseiness,بورسینس,,#ساختمانیها سراسر منفی هستند و تنها نماد مثبت #واذر با صف خرید است  http://goo.gl/fb/BUUvP9  #اقتصاد,[],['http://goo.gl/fb/BUUvP9'],[],0,0,0,"['#ساختمانیها', '#واذر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/722693734572376064,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,726628925376483328,726628925376483328,1462076810000,2016-05-01,08:56:50,430,2463165061,bourseiness,بورسینس,,نمادهای #ارفع #خاور #غپاک #خمجور #خاهن #تجار #خرینگ #ثاباد #واذر با صف خرید همراه…  http://goo.gl/fb/eb7F5N  #اقتصاد,[],['http://goo.gl/fb/eb7F5N'],[],0,0,0,"['#ارفع', '#خاور', '#غپاک', '#خمجور', '#خاهن', '#تجار', '#خرینگ', '#ثاباد', '#واذر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726628925376483328,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,726629261860343808,726629261860343808,1462076890000,2016-05-01,08:58:10,430,2463165061,bourseiness,بورسینس,,امروز نمادهای معاملاتی #وآذر و #تپمپی مشمول دستور العمل رفع گره معاملاتی می شوند  http://goo.gl/fb/V6Z7vj  #اقتصاد,[],['http://goo.gl/fb/V6Z7vj'],[],0,0,0,"['#وآذر', '#تپمپی', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726629261860343808,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,737183312490418176,737183312490418176,1464593172000,2016-05-30,11:56:12,430,2463165061,bourseiness,بورسینس,,#ثفارس و #وآذر نمادهای صف خرید گروه #ساختمانی #وساخت صف فروش افزایش تقاضای محسوس…  http://goo.gl/fb/4uJfKx  #اقتصاد,[],['http://goo.gl/fb/4uJfKx'],[],0,0,0,"['#ثفارس', '#وآذر', '#ساختمانی', '#وساخت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/737183312490418176,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,748064557323685888,748064557323685888,1467187463000,2016-06-29,12:34:23,430,2463165061,bourseiness,بورسینس,,#وآذر شرکت سرمايه گذاري توسعه آذربايجان پیش بینی درآمد هر سهم سال مالی منتهی…  http://goo.gl/fb/TZQJes  #اقتصاد,[],['http://goo.gl/fb/TZQJes'],[],0,0,0,"['#وآذر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/748064557323685888,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
