Date,Close,Open,Low,High,Volume,Trades
2003-12-01,1419.0,1426.0,1411.0,1430.0,1440000,377
2003-12-02,1489.0,1489.0,1489.0,1489.0,35000,17
2003-12-03,1563.0,1563.0,1563.0,1563.0,110000,38
2003-12-07,1641.0,1641.0,1641.0,1641.0,178113,63
2003-12-08,1723.0,1723.0,1723.0,1723.0,311259,88
2003-12-09,1809.0,1809.0,1809.0,1809.0,2108112,415
2003-12-10,1898.0,1899.0,1819.0,1899.0,626043,145
2003-12-13,1989.0,1992.0,1900.0,1992.0,662590,172
2003-12-14,2035.0,1989.0,1900.0,2088.0,460679,147
2003-12-15,1968.0,2037.0,1934.0,2037.0,127777,60
2003-12-16,1906.0,1891.0,1870.0,1990.0,174200,63
2003-12-17,1880.0,1899.0,1830.0,1900.0,47229,22
2003-12-21,1789.0,1855.0,1786.0,1855.0,29288,15
2003-12-22,1784.0,1710.0,1700.0,1878.0,88927,39
2003-12-23,1873.0,1873.0,1873.0,1873.0,40532,9
2003-12-24,1965.0,1966.0,1963.0,1966.0,222124,50
2003-12-27,1970.0,1975.0,1910.0,2000.0,181797,41
2003-12-28,2003.0,2000.0,1970.0,2040.0,258580,67
2003-12-29,2008.0,2030.0,1980.0,2030.0,214108,51
2003-12-30,1992.0,1996.0,1940.0,2000.0,69646,27
2003-12-31,1938.0,2000.0,1893.0,2000.0,141548,39
2004-01-03,1923.0,2000.0,1910.0,2000.0,214004,52
2004-01-04,1926.0,1997.0,1910.0,1999.0,400204,63
2004-01-05,1911.0,1926.0,1850.0,1949.0,232585,52
2004-01-12,2116.0,1993.0,1993.0,2160.0,371410,97
2004-01-28,2116.0,2116.0,2116.0,2116.0,2203,5
2004-01-31,2140.0,2200.0,2115.0,2200.0,158649,49
2004-02-01,2144.0,2121.0,2121.0,2150.0,15188,8
2004-02-03,2134.0,2103.0,2037.0,2134.0,4921,9
2004-02-04,2131.0,2037.0,2037.0,2131.0,604,2
2004-02-07,2126.0,2025.0,2025.0,2126.0,990,2
2004-02-08,2117.0,2020.0,2020.0,2117.0,2010,2
2004-02-09,2025.0,2012.0,2012.0,2025.0,21035,7
2004-02-14,2022.0,1924.0,1924.0,2022.0,510,2
2004-02-15,1921.0,1921.0,1921.0,1921.0,70500,15
2004-02-16,1908.0,1825.0,1825.0,1908.0,3155,7
2004-02-17,1820.0,1813.0,1813.0,1820.0,22010,8
2004-02-18,1735.0,1729.0,1729.0,1813.0,572843,109
2004-02-21,1797.0,1800.0,1750.0,1821.0,235623,37
2004-02-22,1873.0,1825.0,1825.0,1886.0,154326,36
2004-02-23,1960.0,1850.0,1850.0,1966.0,231020,63
2004-02-24,1926.0,1884.0,1862.0,1964.0,334749,72
2004-02-25,2003.0,1960.0,1960.0,2022.0,196778,42
2004-02-28,2103.0,2103.0,2103.0,2103.0,261432,57
2004-02-29,2208.0,2208.0,2208.0,2208.0,193583,58
2004-03-03,2318.0,2318.0,2318.0,2318.0,350114,94
2004-03-06,2305.0,2318.0,2270.0,2321.0,143479,39
2004-03-07,2333.0,2330.0,2321.0,2350.0,146166,47
2004-03-08,2424.0,2335.0,2335.0,2449.0,173177,37
2004-03-09,2401.0,2450.0,2335.0,2460.0,436945,72
2004-03-10,2444.0,2410.0,2380.0,2521.0,180449,44
2004-03-13,2546.0,2566.0,2521.0,2566.0,124579,35
2004-03-14,2657.0,2673.0,2567.0,2673.0,525635,101
2004-03-15,2789.0,2789.0,2789.0,2789.0,40588,15
2004-03-16,2826.0,2789.0,2701.0,2899.0,482719,76
2004-03-17,2825.0,2829.0,2800.0,2835.0,313556,53
2004-03-27,2793.0,2840.0,2708.0,2840.0,34556,9
2004-03-28,2672.0,2654.0,2654.0,2672.0,20826,6
2004-03-29,2547.0,2539.0,2539.0,2600.0,170699,31
2004-03-30,2451.0,2500.0,2420.0,2534.0,160610,42
2004-04-03,2561.0,2455.0,2455.0,2573.0,94710,29
2004-04-04,2685.0,2689.0,2640.0,2689.0,156641,45
2004-04-05,2687.0,2684.0,2576.0,2750.0,208975,55
2004-04-06,2688.0,2708.0,2649.0,2785.0,631330,50
2004-04-07,2814.0,2822.0,2700.0,2822.0,46300,22
2004-04-10,2993.0,3000.0,2989.0,3000.0,120660,27
2004-04-12,3035.0,2888.0,2842.0,3140.0,190260,66
2004-04-13,2929.0,3035.0,2884.0,3035.0,174369,32
2004-04-14,2966.0,2882.0,2800.0,3050.0,415640,88
2004-04-17,3083.0,3100.0,2961.0,3114.0,174363,56
2004-04-18,3237.0,3237.0,3237.0,3237.0,123794,51
2004-04-21,3398.0,3398.0,3398.0,3398.0,34542,7
2004-04-24,3565.0,3567.0,3390.0,3567.0,860121,205
2004-04-25,3684.0,3739.0,3550.0,3743.0,505630,142
2004-04-26,3868.0,3868.0,3868.0,3868.0,673109,139
2004-04-27,3790.0,4061.0,3701.0,4061.0,276492,105
2004-04-28,3794.0,3790.0,3709.0,3900.0,404032,106
2004-05-01,3835.0,3810.0,3800.0,3899.0,144306,57
2004-05-02,3802.0,3835.0,3779.0,3850.0,146546,50
2004-05-03,3747.0,3804.0,3612.0,3949.0,436026,90
2004-05-04,3924.0,3934.0,3845.0,3934.0,49890,37
2004-05-05,4120.0,4120.0,4120.0,4120.0,46356,33
2004-05-08,4215.0,4326.0,4215.0,4326.0,14794,11
2004-06-07,4466.0,4500.0,2800.0,5000.0,396178,153
2004-06-08,4508.0,4689.0,4508.0,4689.0,6110,7
2004-06-09,4551.0,4733.0,4551.0,4733.0,6174,11
2004-06-12,4734.0,4778.0,4600.0,4778.0,379820,158
2004-06-13,4514.0,4680.0,4498.0,4720.0,131684,49
2004-06-14,4471.0,4600.0,4289.0,4600.0,638772,183
2004-06-15,4526.0,4471.0,4471.0,4580.0,202282,72
2004-06-16,4415.0,4498.0,4300.0,4498.0,329148,106
2004-06-19,4218.0,4400.0,4195.0,4407.0,249298,83
2004-06-20,4035.0,4009.0,4008.0,4216.0,96033,45
2004-06-21,4008.0,4006.0,3870.0,4100.0,320649,113
2004-06-22,4113.0,4008.0,4008.0,4200.0,218720,81
2004-06-23,4214.0,4197.0,4185.0,4318.0,238969,59
2004-06-26,4401.0,4424.0,4365.0,4424.0,51063,28
2004-06-27,4283.0,4369.0,4208.0,4369.0,27157,27
2004-06-28,4078.0,4280.0,4069.0,4280.0,54873,16
2004-06-29,3876.0,4000.0,3875.0,4000.0,176989,59
2004-06-30,3886.0,3880.0,3879.0,3950.0,45084,29
2004-07-03,3914.0,4000.0,3900.0,4000.0,25905,13
2004-07-04,3755.0,3901.0,3719.0,3901.0,96788,44
2004-07-05,3856.0,3569.0,3568.0,3942.0,110286,51
2004-07-06,4045.0,4048.0,4000.0,4048.0,195393,76
2004-07-07,4036.0,4048.0,3900.0,4200.0,237986,67
2004-07-10,4057.0,3910.0,3850.0,4140.0,218781,72
2004-07-11,4234.0,4246.0,4055.0,4259.0,87977,51
2004-07-12,4445.0,4445.0,4445.0,4445.0,2830803,455
2004-07-13,4667.0,4667.0,4667.0,4667.0,36992,33
2004-07-14,4900.0,4900.0,4900.0,4900.0,45254,18
2004-07-17,5145.0,5145.0,5145.0,5145.0,55246,22
2004-07-18,5244.0,5402.0,4888.0,5402.0,1159571,376
2004-07-19,5031.0,4982.0,4982.0,5120.0,237728,120
2004-07-20,5235.0,5282.0,5123.0,5282.0,414667,109
2004-07-24,5496.0,5496.0,5496.0,5496.0,417082,161
2004-07-25,5770.0,5770.0,5770.0,5770.0,123145,67
2004-07-28,6874.0,5770.0,5770.0,7000.0,607279,143
2004-07-31,7133.0,7217.0,6805.0,7217.0,607597,208
2004-08-01,7138.0,6995.0,6850.0,7488.0,608709,144
2004-08-02,7486.0,7399.0,7280.0,7494.0,207433,75
2004-08-03,7764.0,7800.0,7552.0,7860.0,119003,55
2004-08-04,8152.0,8152.0,8152.0,8152.0,60183,27
2004-08-07,7837.0,8559.0,7745.0,8559.0,656695,170
