,Date,Trend
0,2015-08-23,13
1,2015-08-30,12
2,2015-09-06,12
3,2015-09-13,12
4,2015-09-20,25
5,2015-09-27,12
6,2015-10-04,12
7,2015-10-11,12
8,2015-10-18,12
9,2015-10-25,0
10,2015-11-01,0
11,2015-11-08,0
12,2015-11-15,18
13,2015-11-22,47
14,2015-11-29,12
15,2015-12-06,0
16,2015-12-13,12
17,2015-12-20,0
18,2015-12-27,14
19,2016-01-03,13
20,2016-01-10,12
21,2016-01-17,12
22,2016-01-24,13
23,2016-01-31,31
24,2016-02-07,37
25,2016-02-14,12
26,2016-02-21,12
27,2016-02-28,24
28,2016-03-06,12
29,2016-03-13,12
30,2016-03-20,13
31,2016-03-27,13
32,2016-04-03,12
33,2016-04-10,12
34,2016-04-17,12
35,2016-04-24,12
36,2016-05-01,0
37,2016-05-08,25
38,2016-05-15,12
39,2016-05-22,13
40,2016-05-29,0
41,2016-06-05,13
42,2016-06-12,12
43,2016-06-19,17
44,2016-06-26,0
45,2016-07-03,14
46,2016-07-10,0
47,2016-07-17,27
48,2016-07-24,13
49,2016-07-31,27
50,2016-08-07,14
51,2016-08-14,38
52,2016-08-21,13
53,2016-08-28,22
54,2016-09-04,13
55,2016-09-11,26
56,2016-09-18,19
57,2016-09-25,26
58,2016-10-02,19
59,2016-10-09,26
60,2016-10-16,25
61,2016-10-23,13
62,2016-10-30,32
63,2016-11-06,12
64,2016-11-13,13
65,2016-11-20,12
66,2016-11-27,12
67,2016-12-04,18
68,2016-12-11,12
69,2016-12-18,19
70,2016-12-25,26
71,2017-01-01,12
72,2017-01-08,12
73,2017-01-15,12
74,2017-01-22,23
75,2017-01-29,23
76,2017-02-05,27
77,2017-02-12,0
78,2017-02-19,15
79,2017-02-26,15
80,2017-03-05,11
81,2017-03-12,11
82,2017-03-19,12
83,2017-03-26,11
84,2017-04-02,11
85,2017-04-09,12
86,2017-04-16,46
87,2017-04-23,11
88,2017-04-30,27
89,2017-05-07,27
90,2017-05-14,33
91,2017-05-21,37
92,2017-05-28,41
93,2017-06-04,12
94,2017-06-11,25
95,2017-06-18,0
96,2017-06-25,17
97,2017-07-02,17
98,2017-07-09,19
99,2017-07-16,33
100,2017-07-23,12
101,2017-07-30,18
102,2017-08-06,36
103,2017-08-13,24
104,2017-08-20,12
105,2017-08-27,24
106,2017-09-03,20
107,2017-09-10,0
108,2017-09-17,23
109,2017-09-24,23
110,2017-10-01,19
111,2017-10-08,29
112,2017-10-15,31
113,2017-10-22,15
114,2017-10-29,35
115,2017-11-05,38
116,2017-11-12,19
117,2017-11-19,34
118,2017-11-26,17
119,2017-12-03,34
120,2017-12-10,22
121,2017-12-17,30
122,2017-12-24,38
123,2017-12-31,41
124,2018-01-07,18
125,2018-01-14,26
126,2018-01-21,18
127,2018-01-28,16
128,2018-02-04,16
129,2018-02-11,15
130,2018-02-18,11
131,2018-02-25,11
132,2018-03-04,11
133,2018-03-11,14
134,2018-03-18,22
135,2018-03-25,11
136,2018-04-01,11
137,2018-04-08,0
138,2018-04-15,18
139,2018-04-22,11
140,2018-04-29,11
141,2018-05-06,11
142,2018-05-13,11
143,2018-05-20,17
144,2018-05-27,44
145,2018-06-03,11
146,2018-06-10,11
147,2018-06-17,22
148,2018-06-24,27
149,2018-07-01,15
150,2018-07-08,16
151,2018-07-15,11
152,2018-07-22,17
153,2018-07-29,22
154,2018-08-05,16
155,2018-08-12,11
156,2018-08-19,0
157,2018-08-26,16
158,2018-09-02,16
159,2018-09-09,32
160,2018-09-16,21
161,2018-09-23,32
162,2018-09-30,21
163,2018-10-07,29
164,2018-10-14,33
165,2018-10-21,39
166,2018-10-28,22
167,2018-11-04,16
168,2018-11-11,21
169,2018-11-18,21
170,2018-11-25,16
171,2018-12-02,11
172,2018-12-09,16
173,2018-12-16,22
174,2018-12-23,24
175,2018-12-30,23
176,2019-01-06,32
177,2019-01-13,14
178,2019-01-20,21
179,2019-01-27,21
180,2019-02-03,26
181,2019-02-10,10
182,2019-02-17,28
183,2019-02-24,69
184,2019-03-03,49
185,2019-03-10,35
186,2019-03-17,37
187,2019-03-24,39
188,2019-03-31,43
189,2019-04-07,46
190,2019-04-14,33
191,2019-04-21,40
192,2019-04-28,32
193,2019-05-05,32
194,2019-05-12,21
195,2019-05-19,28
196,2019-05-26,49
197,2019-06-02,42
198,2019-06-09,31
199,2019-06-16,32
200,2019-06-23,37
201,2019-06-30,35
202,2019-07-07,32
203,2019-07-14,32
204,2019-07-21,51
205,2019-07-28,47
206,2019-08-04,61
207,2019-08-11,57
208,2019-08-18,60
209,2019-08-25,62
210,2019-09-01,41
211,2019-09-08,27
212,2019-09-15,27
213,2019-09-22,47
214,2019-09-29,60
215,2019-10-06,63
216,2019-10-13,60
217,2019-10-20,62
