Date,Close,Open,Low,High,Volume,Trades
2001-04-08,1000.0,1000.0,1000.0,1000.0,4800,2
2001-04-09,1000.0,1000.0,1000.0,1000.0,5200,2
2001-04-10,1000.0,1000.0,1000.0,1000.0,4500,1
2001-04-11,1000.0,1000.0,1000.0,1000.0,5500,2
2001-04-14,1000.0,1000.0,1000.0,1000.0,4000,1
2001-04-15,1000.0,1000.0,1000.0,1000.0,6000,2
2001-04-16,1000.0,1000.0,1000.0,1000.0,4000,1
2001-04-17,1000.0,1000.0,1000.0,1000.0,4500,2
2001-04-18,1000.0,1000.0,1000.0,1000.0,16500,3
2001-04-21,1000.0,1000.0,1000.0,1000.0,3900,6
2001-04-22,1000.0,1000.0,1000.0,1000.0,4800,1
2001-04-23,1000.0,1000.0,1000.0,1000.0,5200,2
2001-04-24,1000.0,1000.0,1000.0,1000.0,17870,9
2001-04-25,1000.0,1000.0,1000.0,1000.0,5100,1
2001-04-28,1000.0,1000.0,1000.0,1000.0,5423,4
2001-04-29,1000.0,1000.0,1000.0,1000.0,5100,1
2001-05-02,1000.0,1000.0,1000.0,1000.0,14957,5
2001-05-06,1000.0,1000.0,1000.0,1000.0,5500,1
2001-05-07,1000.0,1000.0,1000.0,1000.0,379,3
2001-05-08,1000.0,1000.0,1000.0,1000.0,100,1
2001-05-12,1000.0,1000.0,1000.0,1000.0,6000,3
2001-05-15,1000.0,1000.0,1000.0,1000.0,1200,2
2001-05-21,1000.0,1000.0,1000.0,1000.0,30,1
2001-05-27,1000.0,1000.0,1000.0,1000.0,25752,29
2001-05-28,1000.0,1000.0,1000.0,1000.0,13990,4
2001-05-29,1000.0,1000.0,1000.0,1000.0,15000,11
2001-05-30,1000.0,1000.0,1000.0,1000.0,790,4
2001-06-02,1000.0,1000.0,1000.0,1000.0,70828,16
2001-06-03,1000.0,1000.0,1000.0,1000.0,8000,1
2001-06-06,1000.0,1000.0,1000.0,1000.0,27600,8
2001-06-09,1000.0,1000.0,1000.0,1000.0,9000,3
2001-06-11,1000.0,1000.0,1000.0,1000.0,263791,48
2001-06-12,1000.0,1000.0,1000.0,1000.0,100000,43
2001-06-13,1000.0,1000.0,1000.0,1000.0,2615,2
2001-06-18,1000.0,1000.0,1000.0,1000.0,34625,25
2001-06-19,1000.0,1000.0,1000.0,1000.0,2480,3
2001-06-20,1000.0,1000.0,1000.0,1000.0,102559,147
2001-06-23,1000.0,1000.0,1000.0,1000.0,59812,185
2001-06-24,1000.0,1000.0,1000.0,1000.0,4837,6
2001-06-25,1000.0,1000.0,1000.0,1000.0,70180,160
2001-06-26,1000.0,1000.0,1000.0,1000.0,2242,62
2001-07-01,1000.0,1000.0,1000.0,1000.0,46186,47
2001-07-02,1000.0,1000.0,1000.0,1000.0,2310,4
2001-07-03,1000.0,1000.0,1000.0,1000.0,7053,61
2001-07-04,1000.0,1000.0,1000.0,1000.0,12819,44
2001-07-07,1000.0,1000.0,1000.0,1000.0,19506,55
2001-07-08,1000.0,1000.0,1000.0,1000.0,14834,45
2001-07-09,1000.0,1000.0,1000.0,1000.0,17656,72
2001-07-10,1000.0,1000.0,1000.0,1000.0,19542,89
2001-07-11,1000.0,1000.0,1000.0,1000.0,36200,111
2001-07-14,1000.0,1000.0,1000.0,1000.0,26300,90
2001-07-15,1000.0,1000.0,1000.0,1000.0,40000,157
2001-07-16,1000.0,1000.0,1000.0,1000.0,10250,65
2001-07-17,1000.0,1000.0,1000.0,1000.0,1000,1
2001-07-18,1000.0,1000.0,1000.0,1000.0,50000,46
2001-07-21,1000.0,1000.0,1000.0,1000.0,11541,3
2001-07-22,1000.0,1000.0,1000.0,1000.0,6728,39
2001-07-23,1000.0,1000.0,1000.0,1000.0,12000,9
2001-07-24,1000.0,1000.0,1000.0,1000.0,1000,1
2001-07-25,1000.0,1000.0,1000.0,1000.0,19466,35
2001-07-28,1000.0,1000.0,1000.0,1000.0,4962,4
2001-07-29,1000.0,1000.0,1000.0,1000.0,935,2
2001-07-30,1000.0,1000.0,1000.0,1000.0,2800,6
2001-07-31,1000.0,1000.0,1000.0,1000.0,370,1
2001-08-01,1000.0,1000.0,1000.0,1000.0,10000,11
2001-08-04,1000.0,1000.0,1000.0,1000.0,15352,7
2001-08-05,1000.0,1000.0,1000.0,1000.0,25000,35
2001-08-06,1000.0,1000.0,1000.0,1000.0,1797,6
2001-08-07,1000.0,1000.0,1000.0,1000.0,41392,47
2001-08-08,1000.0,1000.0,1000.0,1000.0,1750,4
2001-08-11,1000.0,1000.0,1000.0,1000.0,2471,4
