,Date,Trend
0,2015-08-23,19
1,2015-08-30,0
2,2015-09-06,0
3,2015-09-13,12
4,2015-09-20,12
5,2015-09-27,12
6,2015-10-04,0
7,2015-10-11,18
8,2015-10-18,0
9,2015-10-25,12
10,2015-11-01,18
11,2015-11-08,12
12,2015-11-15,0
13,2015-11-22,24
14,2015-11-29,0
15,2015-12-06,0
16,2015-12-13,0
17,2015-12-20,14
18,2015-12-27,14
19,2016-01-03,26
20,2016-01-10,19
21,2016-01-17,13
22,2016-01-24,19
23,2016-01-31,19
24,2016-02-07,25
25,2016-02-14,25
26,2016-02-21,12
27,2016-02-28,18
28,2016-03-06,0
29,2016-03-13,12
30,2016-03-20,0
31,2016-03-27,64
32,2016-04-03,31
33,2016-04-10,19
34,2016-04-17,19
35,2016-04-24,12
36,2016-05-01,13
37,2016-05-08,19
38,2016-05-15,51
39,2016-05-22,32
40,2016-05-29,26
41,2016-06-05,19
42,2016-06-12,0
43,2016-06-19,19
44,2016-06-26,0
45,2016-07-03,27
46,2016-07-10,46
47,2016-07-17,27
48,2016-07-24,0
49,2016-07-31,14
50,2016-08-07,28
51,2016-08-14,14
52,2016-08-21,27
53,2016-08-28,0
54,2016-09-04,13
55,2016-09-11,13
56,2016-09-18,13
57,2016-09-25,32
58,2016-10-02,26
59,2016-10-09,13
60,2016-10-16,51
61,2016-10-23,26
62,2016-10-30,13
63,2016-11-06,25
64,2016-11-13,38
65,2016-11-20,31
66,2016-11-27,0
67,2016-12-04,36
68,2016-12-11,30
69,2016-12-18,52
70,2016-12-25,40
71,2017-01-01,13
72,2017-01-08,12
73,2017-01-15,18
74,2017-01-22,24
75,2017-01-29,23
76,2017-02-05,35
77,2017-02-12,17
78,2017-02-19,12
79,2017-02-26,11
80,2017-03-05,11
81,2017-03-12,45
82,2017-03-19,23
83,2017-03-26,35
84,2017-04-02,17
85,2017-04-09,0
86,2017-04-16,47
87,2017-04-23,12
88,2017-04-30,18
89,2017-05-07,12
90,2017-05-14,37
91,2017-05-21,13
92,2017-05-28,13
93,2017-06-04,24
94,2017-06-11,25
95,2017-06-18,12
96,2017-06-25,19
97,2017-07-02,19
98,2017-07-09,25
99,2017-07-16,19
100,2017-07-23,25
101,2017-07-30,12
102,2017-08-06,18
103,2017-08-13,24
104,2017-08-20,12
105,2017-08-27,36
106,2017-09-03,30
107,2017-09-10,12
108,2017-09-17,12
109,2017-09-24,12
110,2017-10-01,29
111,2017-10-08,35
112,2017-10-15,12
113,2017-10-22,17
114,2017-10-29,17
115,2017-11-05,11
116,2017-11-12,34
117,2017-11-19,28
118,2017-11-26,17
119,2017-12-03,23
120,2017-12-10,11
121,2017-12-17,42
122,2017-12-24,32
123,2017-12-31,24
124,2018-01-07,17
125,2018-01-14,22
126,2018-01-21,22
127,2018-01-28,22
128,2018-02-04,44
129,2018-02-11,22
130,2018-02-18,11
131,2018-02-25,16
132,2018-03-04,21
133,2018-03-11,27
134,2018-03-18,22
135,2018-03-25,0
136,2018-04-01,11
137,2018-04-08,22
138,2018-04-15,22
139,2018-04-22,27
140,2018-04-29,22
141,2018-05-06,33
142,2018-05-13,22
143,2018-05-20,11
144,2018-05-27,22
145,2018-06-03,33
146,2018-06-10,16
147,2018-06-17,11
148,2018-06-24,27
149,2018-07-01,33
150,2018-07-08,22
151,2018-07-15,11
152,2018-07-22,56
153,2018-07-29,22
154,2018-08-05,22
155,2018-08-12,28
156,2018-08-19,39
157,2018-08-26,11
158,2018-09-02,32
159,2018-09-09,54
160,2018-09-16,32
161,2018-09-23,38
162,2018-09-30,16
163,2018-10-07,16
164,2018-10-14,22
165,2018-10-21,16
166,2018-10-28,11
167,2018-11-04,11
168,2018-11-11,11
169,2018-11-18,38
