Date,Close,Open,Low,High,Volume,Trades
2001-04-10,13000.0,12500.0,12500.0,13000.0,1820,7
2001-04-11,12510.0,12550.0,12506.0,13000.0,12940,15
2001-04-14,11999.0,12200.0,11999.0,12200.0,3600,4
2001-04-15,12000.0,11999.0,11990.0,12000.0,16181,39
2001-04-16,12001.0,12000.0,11999.0,12001.0,9514,20
2001-04-17,12011.0,12100.0,12000.0,12550.0,22960,18
2001-04-18,12500.0,12400.0,12300.0,12500.0,35953,13
2001-04-21,12800.0,12625.0,12600.0,12800.0,14239,9
2001-04-22,12999.0,13000.0,12980.0,13105.0,10528,18
2001-04-23,13000.0,12804.0,12800.0,13000.0,36741,31
2001-04-24,12999.0,13000.0,12999.0,13000.0,9514,21
2001-04-25,13200.0,13000.0,12999.0,13200.0,8668,20
2001-04-28,13215.0,13212.0,13212.0,13215.0,187,2
2001-04-30,13850.0,13850.0,13830.0,13850.0,2750,9
2001-05-01,13900.0,13850.0,13850.0,13900.0,2493,8
2001-05-02,13853.0,13904.0,13853.0,13904.0,7884,11
2001-05-06,13829.0,13839.0,13829.0,13839.0,650,3
2001-05-07,13699.0,13697.0,13690.0,13699.0,8810,26
2001-05-08,13830.0,13799.0,13798.0,13830.0,2763,9
2001-05-09,13819.0,13897.0,13819.0,13897.0,3149,8
2001-05-12,13680.0,13691.0,13679.0,13692.0,3267,8
2001-05-15,13600.0,13650.0,13600.0,13660.0,1929,5
2001-05-16,13750.0,13700.0,13550.0,13750.0,15176,21
2001-05-19,13812.0,13812.0,13812.0,13812.0,507,2
2001-05-20,14260.0,13934.0,13934.0,14299.0,17861,39
2001-05-21,14350.0,14260.0,14220.0,14350.0,16431,27
2001-05-23,14300.0,14300.0,14300.0,14300.0,500,2
2001-05-26,14300.0,14300.0,14300.0,14350.0,4216,15
2001-05-27,14400.0,14350.0,14350.0,14500.0,54229,18
2001-05-28,14500.0,14410.0,14410.0,14500.0,9174,11
2001-05-29,14603.0,14500.0,14500.0,14606.0,21605,34
2001-05-30,14650.0,14610.0,14603.0,14650.0,13318,24
2001-06-02,14902.0,14652.0,14612.0,15000.0,53907,45
2001-06-03,15290.0,15050.0,14902.0,15290.0,14294,12
2001-06-06,15505.0,15450.0,15291.0,15600.0,8393,25
2001-06-09,15900.0,15600.0,15600.0,15900.0,4630,17
2001-06-11,16000.0,16051.0,15967.0,16100.0,11493,34
2001-06-12,16100.0,16051.0,16050.0,16100.0,1471,7
2001-06-13,16140.0,16180.0,16140.0,16180.0,5389,16
2001-06-16,16202.0,16200.0,16140.0,16202.0,4665,17
2001-06-17,16220.0,16270.0,16220.0,16300.0,10120,34
2001-06-18,16111.0,16220.0,16111.0,16220.0,7051,19
2001-06-19,15800.0,16099.0,15799.0,16099.0,18677,24
2001-06-20,15800.0,15800.0,15800.0,15800.0,4835,11
2001-06-23,15742.0,15796.0,15742.0,15796.0,1574,6
2001-06-24,15649.0,15694.0,15600.0,15694.0,3024,9
2001-06-25,15580.0,15585.0,15500.0,15585.0,3135,8
2001-06-26,15399.0,15500.0,15399.0,15500.0,23998,25
2001-06-27,15580.0,15399.0,15398.0,15580.0,8038,23
2001-06-30,15600.0,15579.0,15505.0,15600.0,5935,29
2001-07-01,16001.0,15850.0,15700.0,16050.0,63472,21
2001-07-02,15950.0,15954.0,15950.0,15954.0,6570,17
2001-07-03,15800.0,15949.0,15800.0,15950.0,9876,16
2001-07-04,15797.0,15800.0,15797.0,15800.0,1619,5
2001-07-07,15700.0,15600.0,15600.0,15700.0,5238,16
2001-07-08,15800.0,15700.0,15700.0,15801.0,19094,42
2001-08-05,15440.0,14000.0,14000.0,15440.0,3521,10
2001-08-06,15800.0,15800.0,15800.0,15800.0,1000,1
2001-08-07,15500.0,15830.0,15500.0,16000.0,5575,8
2001-08-08,15994.0,15500.0,15500.0,15994.0,15047,32
2001-08-12,16050.0,16050.0,16050.0,16050.0,1500,3
2001-08-13,16500.0,16300.0,16300.0,16500.0,2265,5
2001-08-14,16600.0,16520.0,16512.0,16600.0,1237,3
2001-08-18,17400.0,17430.0,17400.0,17430.0,1250,6
2001-08-19,17433.0,17434.0,17433.0,17434.0,1000,4
2001-08-20,17435.0,17441.0,17435.0,17442.0,5128,15
2001-08-21,17444.0,17444.0,17436.0,17444.0,5431,18
2001-08-22,17447.0,17447.0,17447.0,17447.0,150,1
2001-08-25,17461.0,17453.0,17453.0,17461.0,1880,3
2001-08-26,17461.0,17462.0,17461.0,17462.0,1907,5
2001-08-27,17460.0,17461.0,17460.0,17463.0,2542,10
2001-08-29,17300.0,17300.0,17300.0,17300.0,10826,5
2001-09-01,17000.0,17000.0,17000.0,17000.0,1140,4
2001-09-02,16899.0,16900.0,16899.0,16900.0,1240,4
2001-09-03,16900.0,16800.0,16750.0,16900.0,8830,18
2001-09-04,16847.0,16889.0,16847.0,16889.0,820,5
2001-09-08,16800.0,16800.0,16800.0,16800.0,500,1
2001-09-09,16650.0,16780.0,16650.0,16780.0,1715,4
2001-09-10,16550.0,16600.0,16549.0,16600.0,7665,16
2001-09-11,16599.0,16550.0,16550.0,16599.0,2400,5
2001-09-12,16598.0,16500.0,16500.0,16598.0,951,4
2001-09-15,16598.0,16599.0,16598.0,16599.0,482,5
2001-09-16,16500.0,16490.0,16400.0,16500.0,601838,6
2001-09-19,16385.0,15675.0,15675.0,16385.0,8926,17
2001-09-22,16399.0,16396.0,16396.0,16399.0,998,3
2001-09-23,16507.0,16650.0,16399.0,16650.0,9442,17
2001-09-24,16508.0,16507.0,16507.0,16508.0,5030,6
2001-09-25,16516.0,16517.0,16516.0,16520.0,2316,5
2001-09-26,16600.0,16518.0,16518.0,16600.0,1723,2
2001-09-29,16900.0,16695.0,16600.0,16900.0,13745,19
2001-09-30,17000.0,16900.0,16900.0,17000.0,3999,5
2001-10-02,17100.0,17000.0,17000.0,17100.0,3000,2
2001-10-03,17307.0,17300.0,17300.0,17308.0,2424,8
2001-10-06,17600.0,17500.0,17500.0,17600.0,4869,4
2001-10-07,17700.0,17600.0,17600.0,17700.0,644,5
2001-10-08,17515.0,17700.0,17513.0,17700.0,4348,21
2001-10-09,17514.0,17200.0,17199.0,17514.0,5050,12
2001-10-16,17118.0,17110.0,17110.0,17120.0,7370,13
2001-10-17,17190.0,17118.0,17118.0,17190.0,2500,5
2001-10-20,17190.0,17190.0,17190.0,17190.0,101,1
2001-10-21,17200.0,17189.0,17189.0,17200.0,4955,16
2001-10-23,17514.0,17400.0,17300.0,17514.0,3052,10
2001-10-24,17650.0,17550.0,17550.0,17650.0,3576,8
2001-10-27,17800.0,17700.0,17700.0,17800.0,2255,4
2001-10-28,18001.0,17820.0,17820.0,18001.0,2414,9
2001-10-29,18050.0,18050.0,18050.0,18050.0,2000,3
2001-10-30,18206.0,18200.0,18200.0,18207.0,1298,4
2001-10-31,19116.0,18800.0,18500.0,19116.0,2124,8
2001-11-03,18610.0,18906.0,18600.0,19150.0,11661,28
2001-11-04,18610.0,18612.0,18610.0,18622.0,10521,22
2001-11-05,18998.0,18610.0,18610.0,18998.0,10107,13
2001-11-06,18999.0,18900.0,18900.0,18999.0,224,4
2001-11-07,19001.0,19000.0,19000.0,19001.0,900,3
2001-11-10,19000.0,19002.0,19000.0,19002.0,3068,10
2001-11-11,19000.0,19000.0,19000.0,19000.0,700,3
2001-11-12,19000.0,19000.0,19000.0,19000.0,500,1
2001-11-13,18799.0,18800.0,18799.0,18800.0,2161,2
2001-11-18,18780.0,18785.0,18779.0,18787.0,1477,8
2001-11-19,18700.0,18774.0,18700.0,18774.0,913,3
2001-11-20,18700.0,18700.0,18700.0,18700.0,20,1
2001-11-21,18686.0,18690.0,18685.0,18690.0,1275,13
2001-11-24,18685.0,18685.0,18685.0,18685.0,1000,3
2001-11-25,18609.0,18684.0,18609.0,18687.0,3090,16
2001-11-26,18449.0,18590.0,18449.0,18590.0,304,2
2001-11-28,18001.0,18001.0,18001.0,18001.0,1080,3
2001-12-01,18002.0,18005.0,18001.0,18005.0,4121,13
2001-12-02,18022.0,18022.0,18022.0,18022.0,528,1
2001-12-03,18250.0,18060.0,18060.0,18250.0,1716,6
2001-12-05,18411.0,18359.0,18359.0,18430.0,3015,7
2001-12-08,18454.0,18457.0,18425.0,18457.0,4000,9
2001-12-09,18472.0,18472.0,18472.0,18472.0,579,5
2001-12-10,18478.0,18478.0,18478.0,18478.0,400,3
2001-12-12,18700.0,18700.0,18700.0,18700.0,1026,4
