,Date,Trend
0,2015-08-09,1
1,2015-08-16,3
2,2015-08-23,3
3,2015-08-30,3
4,2015-09-06,2
5,2015-09-13,1
6,2015-09-20,2
7,2015-09-27,1
8,2015-10-04,3
9,2015-10-11,2
10,2015-10-18,1
11,2015-10-25,2
12,2015-11-01,0
13,2015-11-08,0
14,2015-11-15,1
15,2015-11-22,2
16,2015-11-29,0
17,2015-12-06,1
18,2015-12-13,1
19,2015-12-20,0
20,2015-12-27,1
21,2016-01-03,2
22,2016-01-10,2
23,2016-01-17,2
24,2016-01-24,6
25,2016-01-31,6
26,2016-02-07,4
27,2016-02-14,5
28,2016-02-21,4
29,2016-02-28,5
30,2016-03-06,3
31,2016-03-13,1
32,2016-03-20,1
33,2016-03-27,5
34,2016-04-03,6
35,2016-04-10,5
36,2016-04-17,5
37,2016-04-24,8
38,2016-05-01,6
39,2016-05-08,5
40,2016-05-15,7
41,2016-05-22,5
42,2016-05-29,4
43,2016-06-05,5
44,2016-06-12,7
45,2016-06-19,6
46,2016-06-26,3
47,2016-07-03,5
48,2016-07-10,9
49,2016-07-17,6
50,2016-07-24,6
51,2016-07-31,6
52,2016-08-07,4
53,2016-08-14,7
54,2016-08-21,2
55,2016-08-28,5
56,2016-09-04,2
57,2016-09-11,2
58,2016-09-18,2
59,2016-09-25,2
60,2016-10-02,2
61,2016-10-09,2
62,2016-10-16,2
63,2016-10-23,4
64,2016-10-30,6
65,2016-11-06,4
66,2016-11-13,4
67,2016-11-20,4
68,2016-11-27,2
69,2016-12-04,2
70,2016-12-11,2
71,2016-12-18,2
72,2016-12-25,1
73,2017-01-01,2
74,2017-01-08,2
75,2017-01-15,2
76,2017-01-22,3
77,2017-01-29,3
78,2017-02-05,2
79,2017-02-12,4
80,2017-02-19,3
81,2017-02-26,3
82,2017-03-05,3
83,2017-03-12,3
84,2017-03-19,3
85,2017-03-26,2
86,2017-04-02,4
87,2017-04-09,2
88,2017-04-16,2
89,2017-04-23,2
90,2017-04-30,3
91,2017-05-07,2
92,2017-05-14,1
93,2017-05-21,3
94,2017-05-28,2
95,2017-06-04,1
96,2017-06-11,3
97,2017-06-18,3
98,2017-06-25,2
99,2017-07-02,3
100,2017-07-09,3
101,2017-07-16,2
102,2017-07-23,3
103,2017-07-30,1
104,2017-08-06,2
105,2017-08-13,2
106,2017-08-20,3
107,2017-08-27,2
108,2017-09-03,2
109,2017-09-10,2
110,2017-09-17,2
111,2017-09-24,1
112,2017-10-01,2
113,2017-10-08,1
114,2017-10-15,1
115,2017-10-22,1
116,2017-10-29,1
117,2017-11-05,1
118,2017-11-12,2
119,2017-11-19,1
120,2017-11-26,1
121,2017-12-03,1
122,2017-12-10,1
123,2017-12-17,2
124,2017-12-24,2
125,2017-12-31,2
126,2018-01-07,1
127,2018-01-14,1
128,2018-01-21,1
129,2018-01-28,1
130,2018-02-04,1
131,2018-02-11,2
132,2018-02-18,1
133,2018-02-25,3
134,2018-03-04,3
135,2018-03-11,1
136,2018-03-18,1
137,2018-03-25,2
138,2018-04-01,1
139,2018-04-08,1
140,2018-04-15,1
