,Date,Trend
0,2015-08-23,15
1,2015-08-30,5
2,2015-09-06,7
3,2015-09-13,7
4,2015-09-20,0
5,2015-09-27,14
6,2015-10-04,5
7,2015-10-11,0
8,2015-10-18,5
9,2015-10-25,5
10,2015-11-01,5
11,2015-11-08,0
12,2015-11-15,7
13,2015-11-22,9
14,2015-11-29,5
15,2015-12-06,0
16,2015-12-13,5
17,2015-12-20,5
18,2015-12-27,7
19,2016-01-03,5
20,2016-01-10,5
21,2016-01-17,13
22,2016-01-24,7
23,2016-01-31,11
24,2016-02-07,10
25,2016-02-14,10
26,2016-02-21,19
27,2016-02-28,9
28,2016-03-06,6
29,2016-03-13,8
30,2016-03-20,0
31,2016-03-27,5
32,2016-04-03,10
33,2016-04-10,7
34,2016-04-17,5
35,2016-04-24,11
36,2016-05-01,10
37,2016-05-08,10
38,2016-05-15,7
39,2016-05-22,10
40,2016-05-29,5
41,2016-06-05,10
42,2016-06-12,5
43,2016-06-19,7
44,2016-06-26,5
45,2016-07-03,5
46,2016-07-10,5
47,2016-07-17,10
48,2016-07-24,5
49,2016-07-31,5
50,2016-08-07,5
51,2016-08-14,0
52,2016-08-21,8
53,2016-08-28,7
54,2016-09-04,5
55,2016-09-11,5
56,2016-09-18,7
57,2016-09-25,7
58,2016-10-02,15
59,2016-10-09,7
60,2016-10-16,5
61,2016-10-23,10
62,2016-10-30,8
63,2016-11-06,7
64,2016-11-13,5
65,2016-11-20,10
66,2016-11-27,5
67,2016-12-04,0
68,2016-12-11,5
69,2016-12-18,8
70,2016-12-25,5
71,2017-01-01,7
72,2017-01-08,5
73,2017-01-15,0
74,2017-01-22,4
75,2017-01-29,4
76,2017-02-05,4
77,2017-02-12,4
78,2017-02-19,4
79,2017-02-26,4
80,2017-03-05,9
81,2017-03-12,4
82,2017-03-19,4
83,2017-03-26,11
84,2017-04-02,16
85,2017-04-09,12
86,2017-04-16,12
87,2017-04-23,11
88,2017-04-30,16
89,2017-05-07,6
90,2017-05-14,5
91,2017-05-21,8
92,2017-05-28,6
93,2017-06-04,12
94,2017-06-11,10
95,2017-06-18,7
96,2017-06-25,5
97,2017-07-02,8
98,2017-07-09,5
99,2017-07-16,6
100,2017-07-23,5
101,2017-07-30,14
102,2017-08-06,7
103,2017-08-13,9
104,2017-08-20,11
105,2017-08-27,11
106,2017-09-03,7
107,2017-09-10,7
108,2017-09-17,14
109,2017-09-24,6
110,2017-10-01,5
111,2017-10-08,7
112,2017-10-15,5
113,2017-10-22,11
114,2017-10-29,16
115,2017-11-05,9
116,2017-11-12,4
117,2017-11-19,4
118,2017-11-26,11
119,2017-12-03,7
120,2017-12-10,16
121,2017-12-17,9
122,2017-12-24,13
123,2017-12-31,9
124,2018-01-07,9
125,2018-01-14,15
126,2018-01-21,6
127,2018-01-28,4
128,2018-02-04,10
129,2018-02-11,6
130,2018-02-18,13
131,2018-02-25,6
132,2018-03-04,4
133,2018-03-11,6
134,2018-03-18,4
135,2018-03-25,13
136,2018-04-01,6
137,2018-04-08,9
138,2018-04-15,6
139,2018-04-22,6
140,2018-04-29,6
141,2018-05-06,4
142,2018-05-13,10
143,2018-05-20,4
144,2018-05-27,4
145,2018-06-03,4
146,2018-06-10,4
147,2018-06-17,6
148,2018-06-24,8
149,2018-07-01,4
150,2018-07-08,4
151,2018-07-15,4
152,2018-07-22,6
153,2018-07-29,6
154,2018-08-05,0
155,2018-08-12,6
156,2018-08-19,4
157,2018-08-26,13
158,2018-09-02,6
159,2018-09-09,11
160,2018-09-16,4
161,2018-09-23,16
162,2018-09-30,10
163,2018-10-07,7
164,2018-10-14,6
165,2018-10-21,7
166,2018-10-28,4
167,2018-11-04,4
168,2018-11-11,0
169,2018-11-18,6
170,2018-11-25,12
171,2018-12-02,7
172,2018-12-09,15
173,2018-12-16,7
174,2018-12-23,0
175,2018-12-30,4
176,2019-01-06,6
177,2019-01-13,8
178,2019-01-20,8
179,2019-01-27,6
180,2019-02-03,8
181,2019-02-10,4
182,2019-02-17,4
183,2019-02-24,9
184,2019-03-03,8
185,2019-03-10,10
186,2019-03-17,4
187,2019-03-24,11
188,2019-03-31,12
189,2019-04-07,8
190,2019-04-14,10
191,2019-04-21,8
192,2019-04-28,12
193,2019-05-05,8
194,2019-05-12,8
195,2019-05-19,9
196,2019-05-26,7
197,2019-06-02,8
198,2019-06-09,10
199,2019-06-16,5
200,2019-06-23,4
201,2019-06-30,7
202,2019-07-07,6
203,2019-07-14,14
204,2019-07-21,8
205,2019-07-28,8
206,2019-08-04,7
207,2019-08-11,4
208,2019-08-18,8
209,2019-08-25,10
210,2019-09-01,8
211,2019-09-08,10
212,2019-09-15,12
213,2019-09-22,8
214,2019-09-29,10
215,2019-10-06,17
216,2019-10-13,8
217,2019-10-20,17
218,2019-10-27,6
219,2019-11-03,4
220,2019-11-10,9
221,2019-11-17,4
222,2019-11-24,5
223,2019-12-01,5
224,2019-12-08,24
225,2019-12-15,22
226,2019-12-22,22
227,2019-12-29,27
228,2020-01-05,7
229,2020-01-12,18
230,2020-01-19,23
231,2020-01-26,13
232,2020-02-02,27
233,2020-02-09,33
234,2020-02-16,19
235,2020-02-23,21
236,2020-03-01,29
237,2020-03-08,20
238,2020-03-15,16
239,2020-03-22,21
240,2020-03-29,21
241,2020-04-05,33
242,2020-04-12,42
243,2020-04-19,37
244,2020-04-26,40
245,2020-05-03,61
246,2020-05-10,61
247,2020-05-17,40
248,2020-05-24,23
249,2020-05-31,26
250,2020-06-07,49
251,2020-06-14,39
252,2020-06-21,82
253,2020-06-28,100
254,2020-07-05,82
255,2020-07-12,96
256,2020-07-19,72
257,2020-07-26,72
258,2020-08-02,58
259,2020-08-09,61
