Date,Close,Open,Low,High,Volume,Trades
2001-08-19,4620.0,4620.0,4620.0,4620.0,660,1
2001-08-21,4851.0,4851.0,4851.0,4851.0,1230,2
2001-08-22,5093.0,5093.0,5093.0,5093.0,3587,3
2001-08-25,5152.0,5095.0,5094.0,5347.0,19632,15
2001-08-26,5409.0,5168.0,5166.0,5409.0,7232,4
2001-08-27,5679.0,5509.0,5500.0,5679.0,4180,4
2001-08-28,5962.0,5962.0,5962.0,5962.0,2375,6
2001-08-29,6260.0,6260.0,6260.0,6260.0,27879,33
2001-09-01,6548.0,6573.0,6548.0,6573.0,7176,13
2001-09-02,6535.0,6520.0,6380.0,6535.0,34879,27
2001-09-03,6861.0,6500.0,6270.0,6861.0,59859,44
2001-09-04,7204.0,6800.0,6800.0,7204.0,30000,22
2001-09-05,7140.0,7203.0,7140.0,7203.0,1658,4
2001-09-08,7000.0,7120.0,7000.0,7120.0,2070,4
2001-09-09,6900.0,6879.0,6879.0,6950.0,10500,10
2001-09-10,6555.0,6555.0,6555.0,6800.0,53902,54
2001-09-11,6555.0,6300.0,6228.0,6555.0,34249,44
2001-09-12,6500.0,6497.0,6489.0,6500.0,38369,35
2001-09-15,6500.0,6500.0,6500.0,6500.0,25798,20
2001-09-16,6400.0,6470.0,6400.0,6470.0,24774,23
2001-09-18,6175.0,6175.0,6175.0,6175.0,10500,10
2001-09-19,6079.0,6078.0,6078.0,6079.0,4366,4
2001-09-22,6079.0,6069.0,6069.0,6079.0,17263,19
2001-09-23,6079.0,6079.0,6079.0,6081.0,109303,59
2001-09-24,6079.0,6079.0,6079.0,6100.0,20206,20
2001-09-25,6100.0,6080.0,6078.0,6100.0,14763,15
2001-09-26,6108.0,6100.0,6100.0,6108.0,23663,20
2001-09-29,6101.0,6109.0,6101.0,6115.0,18857,27
2001-09-30,6200.0,6122.0,6120.0,6200.0,61383,45
2001-10-02,6235.0,6204.0,6202.0,6267.0,60310,49
2001-10-03,6247.0,6245.0,6245.0,6247.0,33958,36
2001-10-06,6500.0,6299.0,6265.0,6559.0,47526,41
2001-10-07,6555.0,6549.0,6500.0,6555.0,71845,56
2001-10-08,6555.0,6549.0,6536.0,6801.0,68502,62
2001-10-09,6789.0,6550.0,6534.0,6790.0,30911,26
2001-10-13,6790.0,6748.0,6748.0,6790.0,63249,47
2001-10-14,6785.0,6730.0,6650.0,6785.0,66895,49
2001-10-16,7050.0,6785.0,6750.0,7050.0,84094,67
2001-10-17,7200.0,7049.0,7049.0,7200.0,90049,71
