Date,Close,Open,Low,High,Volume,Trades
2005-05-14,2800.0,2800.0,2800.0,2800.0,365400,647
2005-05-15,2940.0,2940.0,2940.0,2940.0,40000,22
2005-05-16,3087.0,3087.0,3087.0,3087.0,40000,25
2005-05-17,3241.0,3241.0,3241.0,3241.0,40000,26
2005-05-18,3403.0,3403.0,3403.0,3403.0,219951,168
2005-05-21,3572.0,3573.0,3500.0,3573.0,641648,398
2005-05-22,3482.0,3500.0,3395.0,3600.0,92030,143
2005-05-23,3508.0,3504.0,3400.0,3600.0,42330,49
2005-05-24,3475.0,3452.0,3410.0,3475.0,17510,10
2005-05-25,3534.0,3500.0,3306.0,3580.0,58319,44
2005-05-28,3548.0,3565.0,3536.0,3565.0,32707,20
2005-05-29,3512.0,3549.0,3380.0,3550.0,15130,14
2005-05-30,3592.0,3600.0,3401.0,3630.0,107326,68
2005-05-31,3602.0,3592.0,3550.0,3630.0,40035,20
2005-06-01,3571.0,3560.0,3550.0,3571.0,20510,12
2005-06-06,3554.0,3600.0,3500.0,3600.0,14867,12
2005-06-07,3594.0,3718.0,3533.0,3718.0,40494,31
2005-06-08,3570.0,3550.0,3500.0,3570.0,12678,20
2005-06-11,3584.0,3595.0,3580.0,3596.0,167604,47
2005-06-12,3591.0,3591.0,3580.0,3600.0,87714,32
2005-06-13,3593.0,3600.0,3593.0,3610.0,9218,7
2005-06-14,3605.0,3600.0,3580.0,3620.0,28143,21
2005-06-15,3610.0,3699.0,3610.0,3700.0,1900,5
2005-06-19,3599.0,3542.0,3430.0,3599.0,2409,6
2005-06-20,3575.0,3430.0,3420.0,3575.0,4439,7
2005-06-21,3571.0,3545.0,3545.0,3571.0,4510,6
2005-06-26,3568.0,3514.0,3514.0,3568.0,1320,3
2005-06-29,3468.0,3390.0,3390.0,3468.0,17880,9
2005-07-16,3325.0,3295.0,3295.0,3325.0,26801,17
2005-07-17,3162.0,3323.0,3159.0,3323.0,535557,19
2005-07-24,3514.0,3400.0,3400.0,3785.0,4756,8
2005-07-30,3513.0,3510.0,3510.0,3513.0,1010,3
2005-08-06,3515.0,3574.0,3515.0,3574.0,1260,4
2005-08-10,3468.0,3340.0,3340.0,3490.0,112021,7
2005-08-13,3446.0,3340.0,3340.0,3446.0,5456,3
2005-08-14,3446.0,3274.0,3274.0,3479.0,160110,3
2005-08-17,3444.0,3410.0,3410.0,3444.0,1214,2
2005-08-20,3430.0,3272.0,3272.0,3430.0,2506,3
2005-08-24,3429.0,3397.0,3397.0,3429.0,885,2
2005-08-28,3423.0,3258.0,3258.0,3423.0,1010,2
2005-08-29,3289.0,3258.0,3252.0,3289.0,24903,11
2005-09-03,3284.0,3250.0,3240.0,3284.0,3242,7
2005-09-04,3282.0,3280.0,3280.0,3282.0,13010,5
2005-09-06,3281.0,3250.0,3250.0,3281.0,705,2
2005-09-07,3278.0,3250.0,3250.0,3278.0,3010,4
2005-09-10,3276.0,3250.0,3250.0,3276.0,2010,2
2005-09-11,3273.0,3230.0,3230.0,3273.0,2010,2
2005-09-12,3270.0,3230.0,3230.0,3270.0,2010,2
2005-09-24,3263.0,3107.0,3107.0,3263.0,3875,5
2005-09-25,3254.0,3200.0,3200.0,3254.0,4210,2
2005-10-04,3137.0,3092.0,3092.0,3137.0,22952,6
2005-10-11,3122.0,2981.0,2981.0,3122.0,3010,3
2005-10-12,3122.0,3244.0,3122.0,3244.0,20,2
2005-11-15,3242.0,3242.0,3242.0,3242.0,70000,13
2005-12-04,3178.0,3178.0,3178.0,3178.0,500,1
2005-12-05,3178.0,3178.0,3178.0,3178.0,75382,22
2005-12-12,3175.0,3159.0,3159.0,3175.0,6167,5
2005-12-18,3172.0,3172.0,3172.0,3172.0,26524,3
2005-12-31,3126.0,3014.0,3014.0,3126.0,9177,5
2006-01-03,3054.0,2970.0,2970.0,3069.0,33531,9
2006-01-08,3042.0,3038.0,3038.0,3042.0,22300,4
2006-01-09,3041.0,3036.0,3036.0,3041.0,6229,4
2006-01-15,3040.0,3039.0,3039.0,3040.0,12281,3
2006-01-17,3040.0,3034.0,3034.0,3040.0,11,2
2006-01-23,3026.0,3023.0,3023.0,3026.0,25010,6
2006-01-29,3020.0,2998.0,2998.0,3020.0,5970,3
2006-02-04,3012.0,2995.0,2995.0,3012.0,10010,2
2006-02-21,2988.0,2994.0,2952.0,2998.0,16580,7
2006-02-22,2989.0,2991.0,2989.0,2991.0,18424,7
2006-02-28,2988.0,2986.0,2986.0,2988.0,6678,5
2006-03-13,2993.0,2929.0,2929.0,3047.0,116989,18
2006-03-14,3051.0,3051.0,3000.0,3052.0,52110,14
2006-03-18,3048.0,3048.0,3048.0,3048.0,134000,1
2006-03-19,3048.0,3040.0,3040.0,3052.0,23020,7
2006-04-11,3047.0,3044.0,3044.0,3047.0,3277,3
2006-04-22,3040.0,2987.0,2987.0,3040.0,3360,2
2006-05-27,2981.0,2980.0,2979.0,2990.0,74250,18
2006-05-29,2962.0,2922.0,2922.0,2962.0,10010,3
2006-07-04,2943.0,2903.0,2903.0,2943.0,10010,2
2006-07-08,2902.0,2902.0,2902.0,2903.0,84831,10
2006-07-09,2844.0,2844.0,2844.0,2844.0,65978,8
2006-07-10,2788.0,2788.0,2788.0,2788.0,40000,4
2006-07-12,2733.0,2733.0,2733.0,2733.0,40000,8
2006-07-16,2732.0,2732.0,2732.0,2732.0,35179,4
2006-07-22,2860.0,2860.0,2860.0,2860.0,3000,1
2006-07-24,2861.0,2917.0,2861.0,2917.0,1032,2
2006-08-15,2809.0,2804.0,2804.0,2861.0,110210,14
2006-08-20,2809.0,2809.0,2809.0,2809.0,1000000,3
2006-08-23,2817.0,2809.0,2809.0,2865.0,1084481,43
2006-08-26,2873.0,2873.0,2873.0,2873.0,35000,4
2006-08-30,2930.0,2930.0,2930.0,2930.0,32500,4
2006-09-05,2988.0,2988.0,2988.0,2988.0,118000,24
2006-09-10,3047.0,3047.0,3047.0,3047.0,32500,7
2006-09-16,3047.0,3047.0,3047.0,3047.0,1600,1
2006-09-17,3047.0,3047.0,3047.0,3047.0,80255,22
2006-09-26,3046.0,3046.0,3046.0,3047.0,119855,25
2006-09-27,3046.0,3047.0,3046.0,3047.0,10010,2
2006-09-30,3046.0,3047.0,3046.0,3047.0,5010,2
2006-10-09,3106.0,3106.0,3106.0,3106.0,65440,8
2006-10-10,3106.0,3106.0,3106.0,3106.0,13,1
2006-10-17,3106.0,3106.0,3106.0,3106.0,50000,6
2006-10-22,3106.0,3106.0,3106.0,3106.0,170000,4
2006-10-30,3106.0,3106.0,3106.0,3106.0,35000,4
2006-11-08,3106.0,3106.0,3106.0,3106.0,300,1
2006-11-25,3108.0,3137.0,3108.0,3137.0,2396,2
2006-11-29,3137.0,3137.0,3137.0,3137.0,165000,33
2006-12-24,3138.0,3138.0,3138.0,3138.0,81120,9
2006-12-26,3139.0,3200.0,3139.0,3200.0,708,2
2007-01-06,3200.0,3200.0,3200.0,3200.0,70000,7
2007-01-07,3200.0,3200.0,3200.0,3200.0,5,1
2007-01-10,3200.0,3200.0,3200.0,3200.0,300,1
2007-01-15,3255.0,3260.0,3200.0,3260.0,30080,5
2007-01-17,3260.0,3260.0,3260.0,3260.0,170533,18
2007-01-27,3259.0,3200.0,3200.0,3259.0,566,2
