,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,7
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,3
10,2015-10-18,3
11,2015-10-25,0
12,2015-11-01,0
13,2015-11-08,0
14,2015-11-15,3
15,2015-11-22,3
16,2015-11-29,3
17,2015-12-06,3
18,2015-12-13,3
19,2015-12-20,0
20,2015-12-27,4
21,2016-01-03,3
22,2016-01-10,0
23,2016-01-17,3
24,2016-01-24,7
25,2016-01-31,5
26,2016-02-07,3
27,2016-02-14,3
28,2016-02-21,3
29,2016-02-28,3
30,2016-03-06,7
31,2016-03-13,0
32,2016-03-20,3
33,2016-03-27,0
34,2016-04-03,10
35,2016-04-10,3
36,2016-04-17,5
37,2016-04-24,3
38,2016-05-01,7
39,2016-05-08,0
40,2016-05-15,3
41,2016-05-22,8
42,2016-05-29,7
43,2016-06-05,10
44,2016-06-12,7
45,2016-06-19,0
46,2016-06-26,10
47,2016-07-03,7
48,2016-07-10,4
49,2016-07-17,11
50,2016-07-24,7
51,2016-07-31,0
52,2016-08-07,7
53,2016-08-14,10
54,2016-08-21,11
55,2016-08-28,0
56,2016-09-04,4
57,2016-09-11,7
58,2016-09-18,3
59,2016-09-25,5
60,2016-10-02,3
61,2016-10-09,3
62,2016-10-16,9
63,2016-10-23,14
64,2016-10-30,7
65,2016-11-06,5
66,2016-11-13,5
67,2016-11-20,7
68,2016-11-27,0
69,2016-12-04,3
70,2016-12-11,10
71,2016-12-18,12
72,2016-12-25,11
73,2017-01-01,3
74,2017-01-08,8
75,2017-01-15,6
76,2017-01-22,6
77,2017-01-29,6
78,2017-02-05,5
79,2017-02-12,14
80,2017-02-19,20
81,2017-02-26,15
82,2017-03-05,16
83,2017-03-12,15
84,2017-03-19,5
85,2017-03-26,13
86,2017-04-02,12
87,2017-04-09,15
88,2017-04-16,11
89,2017-04-23,14
90,2017-04-30,17
91,2017-05-07,17
92,2017-05-14,8
93,2017-05-21,12
94,2017-05-28,7
95,2017-06-04,11
96,2017-06-11,10
97,2017-06-18,11
98,2017-06-25,17
99,2017-07-02,9
100,2017-07-09,12
101,2017-07-16,13
102,2017-07-23,3
103,2017-07-30,6
104,2017-08-06,10
105,2017-08-13,10
106,2017-08-20,13
107,2017-08-27,8
108,2017-09-03,3
109,2017-09-10,8
110,2017-09-17,6
111,2017-09-24,6
112,2017-10-01,6
113,2017-10-08,6
114,2017-10-15,6
115,2017-10-22,8
116,2017-10-29,9
117,2017-11-05,17
118,2017-11-12,5
119,2017-11-19,9
120,2017-11-26,6
121,2017-12-03,11
122,2017-12-10,14
123,2017-12-17,5
124,2017-12-24,8
125,2017-12-31,13
126,2018-01-07,10
127,2018-01-14,7
128,2018-01-21,10
129,2018-01-28,6
130,2018-02-04,6
131,2018-02-11,15
132,2018-02-18,6
133,2018-02-25,6
134,2018-03-04,6
135,2018-03-11,7
136,2018-03-18,4
137,2018-03-25,3
138,2018-04-01,6
139,2018-04-08,6
140,2018-04-15,10
141,2018-04-22,12
142,2018-04-29,0
143,2018-05-06,15
144,2018-05-13,7
145,2018-05-20,10
146,2018-05-27,8
147,2018-06-03,4
148,2018-06-10,6
149,2018-06-17,9
150,2018-06-24,10
151,2018-07-01,10
152,2018-07-08,9
153,2018-07-15,5
154,2018-07-22,7
155,2018-07-29,12
156,2018-08-05,12
157,2018-08-12,4
158,2018-08-19,9
159,2018-08-26,12
160,2018-09-02,19
161,2018-09-09,7
162,2018-09-16,6
163,2018-09-23,6
164,2018-09-30,9
165,2018-10-07,6
166,2018-10-14,6
167,2018-10-21,3
168,2018-10-28,7
169,2018-11-04,7
170,2018-11-11,10
171,2018-11-18,6
172,2018-11-25,0
173,2018-12-02,3
174,2018-12-09,12
175,2018-12-16,6
176,2018-12-23,13
177,2018-12-30,3
178,2019-01-06,6
179,2019-01-13,7
180,2019-01-20,7
181,2019-01-27,3
182,2019-02-03,0
183,2019-02-10,3
184,2019-02-17,3
185,2019-02-24,6
186,2019-03-03,7
187,2019-03-10,6
188,2019-03-17,3
189,2019-03-24,4
190,2019-03-31,4
191,2019-04-07,7
192,2019-04-14,6
193,2019-04-21,3
194,2019-04-28,13
195,2019-05-05,4
196,2019-05-12,7
197,2019-05-19,7
198,2019-05-26,11
199,2019-06-02,8
200,2019-06-09,6
201,2019-06-16,10
202,2019-06-23,11
203,2019-06-30,17
204,2019-07-07,11
205,2019-07-14,7
206,2019-07-21,15
207,2019-07-28,13
208,2019-08-04,12
209,2019-08-11,20
210,2019-08-18,14
211,2019-08-25,11
212,2019-09-01,8
213,2019-09-08,5
214,2019-09-15,9
215,2019-09-22,11
216,2019-09-29,3
217,2019-10-06,5
218,2019-10-13,7
219,2019-10-20,16
220,2019-10-27,3
221,2019-11-03,4
222,2019-11-10,5
223,2019-11-17,0
224,2019-11-24,4
225,2019-12-01,5
226,2019-12-08,3
227,2019-12-15,5
228,2019-12-22,12
229,2019-12-29,14
