Date,Close,Open,Low,High,Volume,Trades
2007-09-25,1213.0,1212.0,1212.0,1219.0,144450000,5047
2007-09-26,1235.0,1237.0,1214.0,1237.0,36447979,7348
2007-09-29,1213.0,1212.0,1211.0,1235.0,8970539,1341
2007-09-30,1189.0,1189.0,1189.0,1189.0,1168850,275
2007-10-01,1166.0,1166.0,1166.0,1166.0,1150707,145
2007-10-02,1143.0,1143.0,1143.0,1143.0,1060391,125
2007-10-06,1133.0,1121.0,1121.0,1165.0,15094738,3008
2007-10-07,1114.0,1140.0,1111.0,1149.0,4803219,835
2007-10-08,1092.0,1100.0,1092.0,1101.0,9037202,1125
2007-10-09,1107.0,1100.0,1093.0,1113.0,1115580,258
2007-10-10,1118.0,1129.0,1091.0,1129.0,4593565,452
2007-10-14,1097.0,1117.0,1096.0,1119.0,2880875,427
2007-10-15,1076.0,1076.0,1076.0,1082.0,922600,222
2007-10-16,1055.0,1058.0,1055.0,1058.0,407166,99
2007-10-17,1037.0,1034.0,1034.0,1073.0,4024195,633
2007-10-20,1033.0,1054.0,1020.0,1054.0,1911552,356
2007-10-21,1026.0,1021.0,1013.0,1037.0,2049706,422
2007-10-22,1039.0,1025.0,1025.0,1046.0,1931112,362
2007-10-23,1029.0,1030.0,1020.0,1037.0,1469010,272
2007-10-24,1035.0,1032.0,1029.0,1049.0,1617993,261
2007-10-27,1042.0,1040.0,1037.0,1049.0,780116,179
2007-10-28,1030.0,1045.0,1022.0,1049.0,2716776,496
2007-10-29,1022.0,1019.0,1010.0,1030.0,1913320,385
2007-10-30,1030.0,1030.0,1029.0,1040.0,1696375,343
2007-10-31,1048.0,1050.0,1038.0,1050.0,428829,85
2007-11-03,1055.0,1068.0,1028.0,1068.0,841553,169
2007-11-04,1039.0,1076.0,1034.0,1076.0,1569947,265
2007-11-05,1035.0,1025.0,1025.0,1041.0,334643,76
2007-11-07,1050.0,1048.0,1032.0,1055.0,677362,141
2007-11-10,1057.0,1050.0,1050.0,1070.0,1580551,118
2007-11-11,1051.0,1050.0,1040.0,1061.0,1412597,82
2007-11-12,1048.0,1050.0,1034.0,1055.0,1568658,61
2007-11-13,1041.0,1037.0,1036.0,1054.0,759503,147
2007-11-14,1027.0,1030.0,1022.0,1033.0,777035,153
2007-11-17,1036.0,1030.0,1012.0,1047.0,542292,76
2007-11-18,1035.0,1036.0,1021.0,1045.0,94237,26
2007-11-19,1032.0,1035.0,1015.0,1035.0,100095,33
2007-11-20,1024.0,1031.0,1013.0,1031.0,187232,45
2007-11-21,1008.0,1017.0,1004.0,1021.0,582907,120
2007-11-24,1013.0,991.0,988.0,1026.0,739736,129
2007-11-25,1014.0,1019.0,1003.0,1021.0,496984,80
2007-11-26,1014.0,1010.0,1001.0,1019.0,412281,76
2007-11-27,1000.0,1000.0,994.0,1016.0,552607,95
2007-11-28,1003.0,1001.0,1000.0,1017.0,456132,82
2007-12-01,999.0,1000.0,990.0,1001.0,506828,93
2007-12-02,993.0,1000.0,980.0,1000.0,732615,142
2007-12-03,993.0,980.0,974.0,999.0,792691,152
2007-12-04,993.0,993.0,974.0,1000.0,1614092,258
2007-12-05,1005.0,1000.0,999.0,1012.0,813663,151
2007-12-08,1025.0,1025.0,1025.0,1025.0,397608,83
2007-12-09,1029.0,1045.0,1029.0,1045.0,81010,20
2007-12-10,1049.0,1049.0,1049.0,1049.0,446923,60
2007-12-11,1068.0,1069.0,1029.0,1069.0,1525118,229
2007-12-12,1067.0,1047.0,1047.0,1080.0,614993,100
2007-12-15,1078.0,1088.0,1068.0,1088.0,222255,52
2007-12-16,1097.0,1079.0,1079.0,1099.0,982134,176
2007-12-17,1099.0,1078.0,1076.0,1110.0,173085,40
2007-12-18,1097.0,1099.0,1079.0,1100.0,335761,64
2007-12-19,1093.0,1100.0,1076.0,1100.0,256434,52
2007-12-22,1091.0,1072.0,1072.0,1099.0,144651,24
2007-12-23,1071.0,1070.0,1070.0,1090.0,397858,67
2007-12-24,1080.0,1085.0,1080.0,1092.0,199730,40
2007-12-25,1083.0,1079.0,1071.0,1100.0,327585,55
2007-12-26,1084.0,1083.0,1083.0,1094.0,129010,29
2007-12-30,1080.0,1064.0,1063.0,1080.0,146167,40
2007-12-31,1070.0,1059.0,1059.0,1089.0,387853,51
2008-01-01,1078.0,1077.0,1074.0,1091.0,337735,65
2008-01-02,1072.0,1089.0,1057.0,1090.0,559074,110
2008-01-05,1061.0,1069.0,1051.0,1069.0,394995,77
2008-01-06,1063.0,1078.0,1041.0,1080.0,223488,52
2008-01-08,1063.0,1077.0,1045.0,1078.0,118495,22
2008-01-09,1064.0,1047.0,1047.0,1072.0,399357,85
2008-01-12,1063.0,1060.0,1049.0,1070.0,636476,61
2008-01-13,1063.0,1051.0,1046.0,1075.0,312495,73
2008-01-14,1056.0,1065.0,1044.0,1068.0,933230,182
2008-01-15,1059.0,1058.0,1047.0,1070.0,360249,74
2008-01-16,1046.0,1058.0,1039.0,1069.0,812014,160
2008-01-20,1050.0,1045.0,1040.0,1066.0,316121,46
2008-01-21,1044.0,1041.0,1029.0,1064.0,346228,62
2008-01-22,1043.0,1036.0,1030.0,1059.0,158998,38
2008-01-23,1046.0,1040.0,1033.0,1059.0,260635,40
2008-01-26,1033.0,1042.0,1026.0,1050.0,593830,101
2008-01-27,1024.0,1014.0,1013.0,1024.0,333947,60
2008-01-28,1009.0,1008.0,1004.0,1024.0,607065,137
2008-01-29,1008.0,1029.0,999.0,1029.0,271466,39
2008-01-30,1008.0,1009.0,1008.0,1009.0,63049,14
2008-02-02,1007.0,1002.0,1002.0,1023.0,150274,33
2008-02-03,1008.0,1019.0,1000.0,1023.0,183178,39
2008-02-04,1005.0,1001.0,988.0,1005.0,261454,61
2008-02-05,1003.0,1005.0,991.0,1007.0,422877,77
2008-02-06,1002.0,1000.0,996.0,1006.0,415048,46
2008-02-09,1001.0,990.0,990.0,1005.0,913430,82
2008-02-10,1001.0,1001.0,989.0,1010.0,168875,44
2008-02-12,999.0,1010.0,985.0,1010.0,291962,64
2008-02-13,999.0,1000.0,999.0,1001.0,348680,52
2008-02-16,1002.0,1000.0,989.0,1018.0,572483,121
2008-02-17,1003.0,1001.0,1000.0,1022.0,180010,38
2008-02-18,1003.0,1004.0,1000.0,1023.0,134310,35
2008-02-19,1003.0,1001.0,1000.0,1020.0,224995,49
2008-02-20,1003.0,1005.0,1000.0,1020.0,188522,44
2008-02-23,1007.0,1015.0,1007.0,1019.0,263088,54
2008-02-24,1006.0,1001.0,991.0,1020.0,201570,44
2008-02-25,1006.0,1006.0,1001.0,1019.0,23437,8
2008-02-26,1019.0,1025.0,1017.0,1026.0,537864,82
2008-03-02,1018.0,1020.0,1002.0,1020.0,187010,29
2008-03-03,1015.0,1015.0,1000.0,1015.0,133194,29
2008-03-04,1010.0,1000.0,1000.0,1010.0,249929,48
2008-03-05,1022.0,1005.0,995.0,1030.0,663104,105
2008-03-09,1042.0,1042.0,1042.0,1042.0,12313975,167
2008-03-10,1062.0,1062.0,1062.0,1062.0,752080,86
2008-03-11,1081.0,1083.0,1050.0,1083.0,3120095,589
2008-03-12,1100.0,1100.0,1080.0,1102.0,1042714,207
2008-03-15,1113.0,1116.0,1078.0,1120.0,1115955,138
2008-03-16,1112.0,1100.0,1091.0,1112.0,43989,11
2008-03-17,1112.0,1090.0,1090.0,1112.0,8225,3
2008-03-29,1112.0,1090.0,1090.0,1112.0,1010,2
2008-03-30,1112.0,1090.0,1090.0,1112.0,908,3
2008-04-05,1111.0,1090.0,1090.0,1111.0,22205,7
2008-04-07,1089.0,1089.0,1089.0,1089.0,100,1
2008-04-08,1089.0,1068.0,1068.0,1089.0,20,2
2008-04-09,1068.0,1068.0,1068.0,1068.0,100,1
2008-04-14,1047.0,1047.0,1047.0,1047.0,1710,1
2008-04-15,1027.0,1027.0,1027.0,1027.0,1084792,129
2008-04-16,1007.0,1027.0,1007.0,1027.0,1345855,237
2008-04-19,1020.0,1027.0,1010.0,1027.0,545669,125
2008-04-20,1014.0,1013.0,1000.0,1014.0,269154,58
2008-04-21,1012.0,1014.0,1000.0,1020.0,87126,19
2008-04-22,1012.0,1000.0,1000.0,1018.0,50399,15
2008-04-23,1011.0,1012.0,1001.0,1012.0,65913,17
2008-04-26,1000.0,1000.0,996.0,1009.0,948996,184
2008-04-27,1000.0,1010.0,999.0,1010.0,223803,44
2008-04-28,990.0,999.0,980.0,1000.0,461097,103
2008-04-29,986.0,982.0,971.0,986.0,190142,39
2008-04-30,983.0,985.0,967.0,985.0,138280,30
2008-05-03,981.0,979.0,964.0,981.0,129950,28
2008-05-04,976.0,967.0,962.0,976.0,216576,51
2008-05-05,977.0,987.0,972.0,995.0,99410,28
2008-05-06,986.0,996.0,986.0,996.0,346294,79
2008-05-07,989.0,992.0,987.0,1005.0,210435,50
2008-05-10,989.0,993.0,989.0,993.0,38814,11
2008-05-11,990.0,1009.0,990.0,1018.0,40010,7
2008-05-12,982.0,976.0,961.0,982.0,215010,44
2008-05-13,979.0,957.0,953.0,989.0,297852,64
2008-05-14,979.0,980.0,979.0,990.0,113041,33
2008-05-17,979.0,998.0,973.0,1000.0,35010,12
2008-05-18,979.0,971.0,950.0,1000.0,119414,41
2008-05-19,979.0,980.0,979.0,989.0,27842,6
2008-05-20,979.0,979.0,954.0,990.0,80010,18
2008-05-21,991.0,979.0,964.0,1000.0,512746,86
2008-05-24,991.0,1000.0,965.0,1000.0,6470,7
2008-05-25,990.0,977.0,970.0,1000.0,48330,18
2008-05-26,992.0,992.0,968.0,1000.0,283231,47
2008-05-27,1000.0,1001.0,999.0,1003.0,2299377,184
2008-05-28,1000.0,1000.0,999.0,1001.0,537743,85
2008-05-31,1000.0,1003.0,1000.0,1010.0,485877,80
2008-06-01,1000.0,1000.0,1000.0,1001.0,474359,76
2008-06-02,1000.0,1000.0,1000.0,1009.0,277520,57
2008-06-08,1000.0,1000.0,999.0,1000.0,171626,38
2008-06-09,1000.0,1000.0,1000.0,1000.0,364163,62
2008-06-10,1000.0,1000.0,1000.0,1000.0,660462,65
2008-06-11,1000.0,1000.0,1000.0,1004.0,1098452,111
2008-06-14,1000.0,1000.0,1000.0,1000.0,211823,50
2008-06-15,1000.0,1000.0,1000.0,1001.0,212952,47
2008-06-16,999.0,997.0,980.0,1000.0,426052,85
2008-06-18,991.0,980.0,970.0,991.0,249061,52
2008-06-21,986.0,962.0,962.0,986.0,126449,31
2008-06-22,979.0,988.0,957.0,988.0,197354,46
2008-06-23,978.0,985.0,950.0,985.0,29010,8
2008-06-24,977.0,950.0,949.0,977.0,38402,13
2008-06-25,977.0,977.0,977.0,977.0,470,3
2008-06-28,975.0,969.0,950.0,975.0,65031,19
2008-06-29,973.0,960.0,946.0,973.0,57210,19
2008-06-30,971.0,950.0,949.0,971.0,80630,20
2008-07-01,960.0,950.0,950.0,1000.0,15697462,117
2008-07-02,969.0,949.0,949.0,988.0,352749,68
2008-07-05,973.0,989.0,973.0,998.0,113890,33
2008-07-06,1001.0,1002.0,952.0,1002.0,1567681,200
2008-07-07,994.0,1030.0,971.0,1030.0,301377,64
2008-07-08,983.0,965.0,965.0,983.0,287818,55
2008-07-09,980.0,966.0,954.0,999.0,187412,41
2008-07-12,979.0,970.0,966.0,1000.0,210516,43
2008-07-13,983.0,1008.0,983.0,1008.0,114476,27
2008-07-14,993.0,1012.0,993.0,1012.0,253067,64
2008-07-15,1022.0,1022.0,1022.0,1022.0,1530260,180
2008-07-23,1015.0,1005.0,984.0,1030.0,4346118,617
2008-07-26,1045.0,1045.0,1045.0,1045.0,750000,91
