,Date,Trend
0,2015-08-09,15
1,2015-08-16,15
2,2015-08-23,14
3,2015-08-30,14
4,2015-09-06,28
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,21
8,2015-10-04,48
9,2015-10-11,41
10,2015-10-18,13
11,2015-10-25,20
12,2015-11-01,0
13,2015-11-08,14
14,2015-11-15,14
15,2015-11-22,14
16,2015-11-29,13
17,2015-12-06,14
18,2015-12-13,14
19,2015-12-20,15
20,2015-12-27,23
21,2016-01-03,15
22,2016-01-10,0
23,2016-01-17,19
24,2016-01-24,14
25,2016-01-31,14
26,2016-02-07,14
27,2016-02-14,23
28,2016-02-21,42
29,2016-02-28,28
30,2016-03-06,19
31,2016-03-13,14
32,2016-03-20,29
33,2016-03-27,0
34,2016-04-03,28
35,2016-04-10,28
36,2016-04-17,14
37,2016-04-24,28
38,2016-05-01,14
39,2016-05-08,14
40,2016-05-15,14
41,2016-05-22,29
42,2016-05-29,15
43,2016-06-05,14
44,2016-06-12,14
45,2016-06-19,15
46,2016-06-26,29
47,2016-07-03,0
48,2016-07-10,15
49,2016-07-17,0
50,2016-07-24,0
51,2016-07-31,15
52,2016-08-07,0
53,2016-08-14,16
54,2016-08-21,0
55,2016-08-28,15
56,2016-09-04,0
57,2016-09-11,15
58,2016-09-18,0
59,2016-09-25,15
60,2016-10-02,14
61,2016-10-09,29
62,2016-10-16,36
63,2016-10-23,15
64,2016-10-30,15
65,2016-11-06,14
66,2016-11-13,0
67,2016-11-20,14
68,2016-11-27,27
69,2016-12-04,27
70,2016-12-11,14
71,2016-12-18,15
72,2016-12-25,25
73,2017-01-01,14
74,2017-01-08,0
75,2017-01-15,13
76,2017-01-22,20
77,2017-01-29,13
78,2017-02-05,13
79,2017-02-12,39
80,2017-02-19,33
81,2017-02-26,13
82,2017-03-05,13
83,2017-03-12,0
84,2017-03-19,0
85,2017-03-26,26
86,2017-04-02,39
87,2017-04-09,41
88,2017-04-16,26
89,2017-04-23,0
90,2017-04-30,13
91,2017-05-07,0
92,2017-05-14,0
93,2017-05-21,21
94,2017-05-28,28
95,2017-06-04,0
96,2017-06-11,14
97,2017-06-18,14
98,2017-06-25,14
99,2017-07-02,22
100,2017-07-09,21
101,2017-07-16,0
102,2017-07-23,14
103,2017-07-30,14
104,2017-08-06,0
105,2017-08-13,14
106,2017-08-20,0
107,2017-08-27,14
108,2017-09-03,14
109,2017-09-10,13
110,2017-09-17,0
111,2017-09-24,40
112,2017-10-01,33
113,2017-10-08,13
114,2017-10-15,22
115,2017-10-22,13
116,2017-10-29,13
117,2017-11-05,13
118,2017-11-12,13
119,2017-11-19,0
120,2017-11-26,13
121,2017-12-03,19
122,2017-12-10,0
123,2017-12-17,0
124,2017-12-24,14
125,2017-12-31,40
126,2018-01-07,17
127,2018-01-14,12
128,2018-01-21,0
129,2018-01-28,12
130,2018-02-04,25
131,2018-02-11,0
132,2018-02-18,12
133,2018-02-25,24
134,2018-03-04,12
135,2018-03-11,12
136,2018-03-18,12
137,2018-03-25,13
138,2018-04-01,25
139,2018-04-08,12
140,2018-04-15,0
141,2018-04-22,12
142,2018-04-29,13
143,2018-05-06,13
144,2018-05-13,13
145,2018-05-20,0
146,2018-05-27,13
147,2018-06-03,13
148,2018-06-10,12
149,2018-06-17,12
150,2018-06-24,12
151,2018-07-01,37
152,2018-07-08,0
153,2018-07-15,13
154,2018-07-22,13
155,2018-07-29,19
156,2018-08-05,12
157,2018-08-12,12
158,2018-08-19,0
159,2018-08-26,0
160,2018-09-02,13
161,2018-09-09,12
162,2018-09-16,12
163,2018-09-23,12
164,2018-09-30,37
165,2018-10-07,0
166,2018-10-14,12
167,2018-10-21,20
168,2018-10-28,37
169,2018-11-04,0
170,2018-11-11,12
171,2018-11-18,12
172,2018-11-25,12
173,2018-12-02,12
174,2018-12-09,12
175,2018-12-16,13
176,2018-12-23,0
177,2018-12-30,27
178,2019-01-06,12
179,2019-01-13,12
180,2019-01-20,12
181,2019-01-27,24
182,2019-02-03,0
183,2019-02-10,18
184,2019-02-17,0
185,2019-02-24,12
186,2019-03-03,12
187,2019-03-10,12
188,2019-03-17,0
189,2019-03-24,20
190,2019-03-31,20
191,2019-04-07,0
192,2019-04-14,29
193,2019-04-21,12
194,2019-04-28,20
195,2019-05-05,24
196,2019-05-12,18
197,2019-05-19,24
