Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-21,1087983,2605471806,177,2580.0,2386.0,2395.0,2386.0,2628.0
2016-02-22,2230078,5199031389,371,2470.0,2276.0,2331.0,2344.0,2395.0
2016-02-23,1574592,3532511847,304,2343.0,2215.0,2243.0,2227.0,2331.0
2016-02-24,759314,1715801435,157,2298.0,2220.0,2260.0,2260.0,2243.0
2016-02-27,441981,1036374372,71,2373.0,2300.0,2345.0,2373.0,2260.0
2016-02-28,1044916,2554007383,211,2462.0,2375.0,2444.0,2462.0,2345.0
2016-02-29,975515,2406088925,212,2529.0,2330.0,2466.0,2330.0,2444.0
2016-03-01,1084708,2559021038,214,2441.0,2343.0,2359.0,2370.0,2466.0
2016-03-02,579823,1313370418,129,2300.0,2250.0,2265.0,2276.0,2359.0
2016-03-05,603248,1423374263,129,2378.0,2314.0,2360.0,2378.0,2265.0
2016-03-06,409273,963480850,85,2420.0,2290.0,2354.0,2377.0,2360.0
2016-03-07,374196,881766506,83,2420.0,2300.0,2356.0,2302.0,2354.0
2016-03-08,966045,2179519955,160,2340.0,2240.0,2256.0,2242.0,2356.0
2016-03-09,596347,1360644525,125,2339.0,2179.0,2282.0,2270.0,2256.0
2016-03-12,764836,1744902780,165,2344.0,2230.0,2281.0,2275.0,2282.0
2016-03-14,1094109,2604861777,193,2395.0,2339.0,2381.0,2395.0,2281.0
2016-03-15,2258587,5624687319,301,2500.0,2416.0,2490.0,2500.0,2381.0
2016-03-16,757687,1835692616,168,2515.0,2366.0,2423.0,2400.0,2490.0
2016-03-26,543616,1341823944,88,2498.0,2430.0,2468.0,2492.0,2423.0
2016-03-27,402477,970915843,72,2510.0,2352.0,2412.0,2392.0,2468.0
2016-03-28,353553,864218276,73,2470.0,2400.0,2444.0,2431.0,2412.0
2016-03-29,664541,1574623296,102,2475.0,2328.0,2369.0,2328.0,2444.0
2016-03-30,466729,1136345269,100,2475.0,2310.0,2435.0,2427.0,2369.0
2016-04-02,441390,1067852795,74,2460.0,2366.0,2419.0,2367.0,2435.0
2016-04-03,364873,870797317,72,2450.0,2321.0,2387.0,2445.0,2419.0
2016-04-04,1553094,3884157084,218,2506.0,2470.0,2501.0,2506.0,2387.0
2016-04-05,1745584,4582434934,274,2626.0,2610.0,2625.0,2626.0,2501.0
2016-04-06,1588573,4156331642,272,2739.0,2494.0,2616.0,2600.0,2625.0
2016-04-09,807903,2046734088,150,2675.0,2500.0,2533.0,2580.0,2616.0
2016-04-10,373688,962915103,126,2598.0,2510.0,2577.0,2568.0,2533.0
2016-04-11,678315,1687534708,120,2540.0,2449.0,2488.0,2520.0,2577.0
2016-04-12,708136,1742328414,127,2560.0,2413.0,2460.0,2488.0,2488.0
2016-04-13,633128,1508120050,139,2549.0,2337.0,2382.0,2390.0,2460.0
2016-04-16,224308,508779106,45,2348.0,2263.0,2268.0,2263.0,2382.0
2016-04-17,472657,1078493071,117,2347.0,2178.0,2282.0,2300.0,2268.0
2016-04-18,191542,446642312,53,2375.0,2300.0,2327.0,2319.0,2282.0
2016-04-19,980577,2354807929,161,2443.0,2230.0,2401.0,2443.0,2327.0
2016-04-20,1157541,2914392167,210,2521.0,2443.0,2518.0,2521.0,2401.0
2016-04-23,436503,1086273613,137,2583.0,2410.0,2489.0,2420.0,2518.0
2016-04-24,256001,630233367,51,2518.0,2420.0,2462.0,2450.0,2489.0
2016-04-25,251040,613195367,68,2480.0,2400.0,2443.0,2400.0,2462.0
2016-04-26,106165,254748933,43,2469.0,2371.0,2420.0,2384.0,2443.0
2016-04-27,432088,1021041938,100,2439.0,2321.0,2363.0,2409.0,2420.0
2016-04-30,184059,440734981,52,2412.0,2360.0,2390.0,2390.0,2363.0
2016-05-01,106289,251698934,32,2410.0,2347.0,2379.0,2347.0,2390.0
2016-05-02,307071,729748915,77,2399.0,2324.0,2376.0,2370.0,2379.0
2016-05-03,212507,495830164,70,2380.0,2300.0,2333.0,2336.0,2376.0
2016-05-04,316683,740011280,94,2390.0,2251.0,2337.0,2360.0,2333.0
2016-05-07,167096,391409722,49,2379.0,2312.0,2341.0,2320.0,2337.0
2016-05-08,140719,324533900,43,2370.0,2281.0,2318.0,2330.0,2341.0
2016-05-09,211323,482837159,59,2337.0,2270.0,2285.0,2290.0,2318.0
2016-05-10,263518,602494292,44,2300.0,2241.0,2286.0,2294.0,2285.0
2016-05-11,413465,938937515,91,2330.0,2220.0,2271.0,2330.0,2286.0
2016-05-14,423283,999712422,102,2384.0,2339.0,2362.0,2384.0,2271.0
2016-05-15,165297,386301815,40,2380.0,2272.0,2343.0,2300.0,2362.0
