,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699147067357294592,699147067357294592,1455524625000,2016-02-15,11:53:45,430,2463165061,bourseiness,بورسینس,,#خاهن منفی شد #خرینگ صف خرید  http://goo.gl/fb/AKUdZ1  #اخبار,[],['http://goo.gl/fb/AKUdZ1'],[],0,0,0,"['#خاهن', '#خرینگ', '#اخبار']",[],https://twitter.com/bourseiness/status/699147067357294592,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,703451938302660608,703451938302660608,1456550986000,2016-02-27,08:59:46,430,2463165061,bourseiness,بورسینس,,#خاهن تحلیل درصورت شکست محدوده حمایتی 2300ریال حداقل تا محدوده 2100ریال اصلاح خواهد…  http://goo.gl/fb/7qj23D  #اقتصاد,[],['http://goo.gl/fb/7qj23D'],[],0,0,0,"['#خاهن', '#اقتصاد']",[],https://twitter.com/bourseiness/status/703451938302660608,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,709609209462181888,709609209462181888,1458018994000,2016-03-15,08:46:34,430,2463165061,bourseiness,بورسینس,,#خاهن بر روی نمودار قیمت شاهد واگرائی مثبت و قرار گیری اندیکاتورها در محدوده…  http://goo.gl/fb/D7ND4u  #اقتصاد,[],['http://goo.gl/fb/D7ND4u'],[],0,0,0,"['#خاهن', '#اقتصاد']",[],https://twitter.com/bourseiness/status/709609209462181888,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,720120147369947136,720120147369947136,1460524996000,2016-04-13,09:53:16,430,2463165061,bourseiness,بورسینس,,نمادهای #وبصادر #حکمت #دی #خاهن #شپنا #پترول #وتجارت در پائین ترین قیمت یک ماهه…  http://goo.gl/fb/AhjEbF  #اقتصاد,[],['http://goo.gl/fb/AhjEbF'],[],0,0,0,"['#وبصادر', '#حکمت', '#دی', '#خاهن', '#شپنا', '#پترول', '#وتجارت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/720120147369947136,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,726628925376483328,726628925376483328,1462076810000,2016-05-01,08:56:50,430,2463165061,bourseiness,بورسینس,,نمادهای #ارفع #خاور #غپاک #خمجور #خاهن #تجار #خرینگ #ثاباد #واذر با صف خرید همراه…  http://goo.gl/fb/eb7F5N  #اقتصاد,[],['http://goo.gl/fb/eb7F5N'],[],0,0,0,"['#ارفع', '#خاور', '#غپاک', '#خمجور', '#خاهن', '#تجار', '#خرینگ', '#ثاباد', '#واذر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/726628925376483328,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,727033608901263360,727033608901263360,1462173294000,2016-05-02,11:44:54,430,2463165061,bourseiness,بورسینس,,#خاهن  http://goo.gl/fb/Wr96wK  #اقتصاد,[],['http://goo.gl/fb/Wr96wK'],[],0,0,0,"['#خاهن', '#اقتصاد']",[],https://twitter.com/bourseiness/status/727033608901263360,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,727741315392385024,727741315392385024,1462342025000,2016-05-04,10:37:05,430,2463165061,bourseiness,بورسینس,,نمادهای #وپست #چکاوه #خمحور #خاهن #خریخت #شتوکا #خزر با صف خرید همراه هستند  http://goo.gl/fb/p2SJKf  #اقتصاد,[],['http://goo.gl/fb/p2SJKf'],[],0,0,0,"['#وپست', '#چکاوه', '#خمحور', '#خاهن', '#خریخت', '#شتوکا', '#خزر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/727741315392385024,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,727745636590833665,727745636590833665,1462343055000,2016-05-04,10:54:15,430,2463165061,bourseiness,بورسینس,,امروز هم بازار به بزرگان بورس کم توجه است و همچنان #چکاوه و #خاهن…  http://goo.gl/fb/hfsGBG  #اقتصاد,[],['http://goo.gl/fb/hfsGBG'],[],0,0,0,"['#چکاوه', '#خاهن', '#اقتصاد']",[],https://twitter.com/bourseiness/status/727745636590833665,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,733753073533870080,733753073533870080,1463775339000,2016-05-21,00:45:39,430,2463165061,bourseiness,بورسینس,,آخرین وضعیت افزایش سرمایه ۱۵۰ درصدی #خاهن از تجدید ارزیابی دارایی مدیر امور…  http://goo.gl/fb/tLq4jF  #اقتصاد,[],['http://goo.gl/fb/tLq4jF'],[],0,0,0,"['#خاهن', '#اقتصاد']",[],https://twitter.com/bourseiness/status/733753073533870080,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,736440148154589184,736440148154589184,1464415988000,2016-05-28,10:43:08,430,2463165061,bourseiness,بورسینس,,نمادهای #قشرین #خاهن #خکار #تپمپی #کچینی صف فروش هستند به گزارش بورسینس عرضه در…  http://goo.gl/fb/RDtfY1  #اقتصاد,[],['http://goo.gl/fb/RDtfY1'],[],0,0,0,"['#قشرین', '#خاهن', '#خکار', '#تپمپی', '#کچینی', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736440148154589184,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
