Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,1573740.0,1467155612.0,182.0,979.0,912.0,932.0,930.0,960.0
2016-02-21,2924904.0,2643156321.0,213.0,932.0,886.0,904.0,919.0,932.0
2016-02-22,1080591.0,979612955.0,87.0,933.0,890.0,907.0,901.0,904.0
2016-02-23,399662.0,369433847.0,82.0,939.0,908.0,920.0,920.0,907.0
2016-02-24,3680586.0,3383029966.0,119.0,932.0,904.0,919.0,908.0,920.0
2016-02-27,1775587.0,1623855191.0,152.0,924.0,903.0,915.0,919.0,919.0
2016-02-28,1441108.0,1316136046.0,127.0,920.0,904.0,913.0,919.0,915.0
2016-02-29,579122.0,529862925.0,77.0,929.0,910.0,915.0,920.0,913.0
2016-03-01,419750.0,387606222.0,63.0,930.0,914.0,921.0,928.0,915.0
2016-03-02,252355.0,232127009.0,66.0,929.0,915.0,920.0,923.0,921.0
2016-03-05,806916.0,742955833.0,110.0,925.0,916.0,921.0,925.0,920.0
2016-03-06,821385.0,755073539.0,111.0,928.0,917.0,919.0,917.0,921.0
2016-03-07,1811140.0,1661296094.0,145.0,925.0,913.0,917.0,920.0,919.0
2016-03-08,1074079.0,982869219.0,125.0,920.0,900.0,915.0,920.0,917.0
2016-03-09,851941.0,780248611.0,74.0,925.0,910.0,916.0,925.0,915.0
2016-03-12,618279.0,569941299.0,56.0,925.0,916.0,922.0,920.0,916.0
2016-03-14,1151475.0,1061084441.0,150.0,925.0,912.0,922.0,924.0,922.0
2016-03-15,2370753.0,2275189373.0,257.0,968.0,924.0,960.0,965.0,922.0
2016-03-16,678052.0,639110054.0,132.0,968.0,920.0,943.0,950.0,960.0
2016-03-26,140936.0,134803432.0,23.0,971.0,944.0,947.0,960.0,943.0
2016-03-27,378129.0,358094191.0,69.0,963.0,930.0,947.0,949.0,947.0
2016-03-28,113454.0,107324321.0,19.0,947.0,945.0,947.0,947.0,947.0
2016-03-29,239946.0,225774466.0,49.0,969.0,932.0,944.0,954.0,947.0
2016-03-30,318258.0,301001416.0,64.0,965.0,935.0,945.0,950.0,944.0
2016-04-02,607204.0,572898019.0,77.0,959.0,941.0,944.0,950.0,945.0
2016-04-03,478776.0,453852100.0,90.0,969.0,942.0,948.0,942.0,944.0
2016-04-04,409287.0,387138596.0,87.0,970.0,936.0,946.0,950.0,948.0
2016-04-05,278056.0,263166976.0,60.0,959.0,942.0,946.0,949.0,946.0
2016-04-06,575602.0,546810610.0,72.0,959.0,945.0,950.0,950.0,946.0
2016-04-09,768306.0,729728955.0,115.0,968.0,930.0,950.0,955.0,950.0
2016-04-10,266408.0,252418028.0,78.0,950.0,940.0,949.0,940.0,950.0
2016-04-11,298502.0,280175521.0,43.0,940.0,936.0,943.0,940.0,949.0
2016-04-12,282544.0,260474608.0,49.0,940.0,911.0,932.0,911.0,943.0
2016-04-13,658112.0,605462171.0,80.0,932.0,901.0,920.0,920.0,932.0
2016-04-16,998032.0,904565093.0,108.0,930.0,892.0,906.0,910.0,920.0
2016-04-17,1122515.0,1049027500.0,77.0,950.0,905.0,935.0,923.0,906.0
2016-04-18,324218.0,299558516.0,40.0,945.0,918.0,928.0,920.0,935.0
2016-04-19,1982636.0,1873153383.0,125.0,968.0,919.0,945.0,950.0,928.0
2016-04-20,4138133.0,3999803902.0,208.0,975.0,940.0,967.0,970.0,945.0
2016-04-23,863639.0,840534535.0,64.0,984.0,947.0,973.0,960.0,967.0
2016-04-24,631953.0,601681997.0,63.0,968.0,945.0,952.0,958.0,973.0
2016-04-25,428183.0,406349852.0,39.0,968.0,942.0,950.0,950.0,952.0
2016-04-26,12965503.0,12872841563.0,592.0,997.0,936.0,993.0,980.0,950.0
2016-04-27,3716959.0,3589585641.0,227.0,994.0,944.0,966.0,960.0,993.0
2016-04-30,1128430.0,1099655726.0,110.0,990.0,952.0,975.0,972.0,966.0
2016-05-01,634873.0,608292697.0,63.0,972.0,951.0,958.0,952.0,975.0
2016-05-02,892312.0,859027415.0,73.0,985.0,950.0,963.0,955.0,958.0
2016-05-03,484975.0,458734592.0,60.0,956.0,941.0,947.0,942.0,963.0
2016-05-04,1003191.0,949837568.0,75.0,960.0,941.0,947.0,950.0,947.0
2016-05-07,1313768.0,1241173224.0,69.0,957.0,939.0,945.0,945.0,947.0
2016-05-08,2133946.0,2002607434.0,133.0,968.0,929.0,938.0,958.0,945.0
2016-05-09,141724.0,132140156.0,39.0,950.0,925.0,936.0,940.0,938.0
2016-05-10,267575.0,251123652.0,37.0,946.0,936.0,937.0,946.0,936.0
2016-05-11,863260.0,798332845.0,101.0,940.0,910.0,925.0,917.0,937.0
2016-05-14,533128.0,491026181.0,104.0,934.0,910.0,921.0,923.0,925.0
2016-05-15,1007610.0,927840928.0,69.0,937.0,910.0,921.0,935.0,921.0
2016-05-16,462825.0,426507100.0,63.0,940.0,903.0,921.0,906.0,921.0
2016-05-17,717926.0,672198879.0,65.0,944.0,918.0,936.0,940.0,921.0
2016-05-18,1393807.0,1312240726.0,85.0,946.0,931.0,941.0,944.0,936.0
2016-05-21,642550.0,611857356.0,69.0,970.0,933.0,952.0,955.0,941.0
2016-05-23,974004.0,943402498.0,110.0,977.0,955.0,969.0,970.0,952.0
2016-05-24,571572.0,552823595.0,101.0,979.0,956.0,967.0,969.0,969.0
2016-05-25,751288.0,717746732.0,103.0,974.0,933.0,955.0,957.0,967.0
2016-05-28,973227.0,953500896.0,96.0,990.0,955.0,980.0,983.0,955.0
2016-05-29,187024.0,182466051.0,23.0,990.0,960.0,978.0,980.0,980.0
2016-05-30,71904.0,69515044.0,22.0,979.0,960.0,976.0,977.0,978.0
2016-05-31,1070123.0,1055055354.0,98.0,991.0,960.0,986.0,972.0,976.0
2016-06-01,248779.0,242042489.0,29.0,979.0,956.0,980.0,965.0,986.0
2016-06-05,936068.0,921123270.0,63.0,993.0,965.0,984.0,984.0,980.0
