Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,1820260,4346982999,359,2481.0,2350.0,2421.0,2355.0,2448.0
2016-02-21,12633052,31089740937,445,2497.0,2301.0,2461.0,2401.0,2421.0
2016-02-22,1090367,2641123175,265,2469.0,2381.0,2451.0,2441.0,2461.0
2016-02-23,1447373,3528453420,238,2500.0,2372.0,2446.0,2402.0,2451.0
2016-02-24,2179667,5434703828,318,2560.0,2404.0,2471.0,2558.0,2446.0
2016-02-27,1733776,4340848663,194,2545.0,2442.0,2485.0,2490.0,2471.0
2016-02-28,1954106,4763872805,189,2520.0,2400.0,2462.0,2400.0,2485.0
2016-02-29,8224876,20430319140,279,2511.0,2350.0,2484.0,2511.0,2462.0
2016-03-01,659841,1600576895,142,2459.0,2410.0,2474.0,2410.0,2484.0
2016-03-02,4711578,11597436476,229,2486.0,2370.0,2461.0,2370.0,2474.0
2016-03-05,3635074,8573117753,430,2424.0,2338.0,2369.0,2350.0,2461.0
2016-03-06,152203493,360506187684,295,2388.0,2306.0,2369.0,2345.0,2369.0
2016-03-07,3071193,7362061118,303,2444.0,2345.0,2390.0,2389.0,2369.0
2016-03-08,3093557,7458380979,329,2460.0,2326.0,2406.0,2460.0,2390.0
2016-03-09,1859531,4602055292,259,2499.0,2430.0,2438.0,2493.0,2406.0
2016-03-12,2659464,6621948086,330,2501.0,2455.0,2472.0,2500.0,2438.0
2016-03-14,2888837,7380833138,367,2580.0,2502.0,2530.0,2510.0,2472.0
2016-03-15,3487352,8724656603,242,2595.0,2450.0,2506.0,2453.0,2530.0
2016-03-16,5733671,14158235115,361,2599.0,2393.0,2469.0,2444.0,2506.0
2016-03-26,1054501,2620658349,117,2513.0,2412.0,2473.0,2496.0,2469.0
2016-03-27,778342,1911759234,102,2511.0,2442.0,2470.0,2450.0,2473.0
2016-03-28,418923,1028428340,55,2460.0,2433.0,2468.0,2459.0,2470.0
2016-03-29,609419,1485495352,103,2465.0,2430.0,2463.0,2431.0,2468.0
2016-03-30,507917,1249996134,105,2497.0,2415.0,2463.0,2497.0,2463.0
2016-04-02,1969440,4737976063,245,2453.0,2393.0,2435.0,2393.0,2463.0
2016-04-03,1040843,2497945907,97,2449.0,2384.0,2426.0,2430.0,2435.0
2016-04-04,1221357,2983950081,140,2480.0,2385.0,2431.0,2468.0,2426.0
2016-04-05,1174332,2911753025,201,2500.0,2441.0,2445.0,2496.0,2431.0
2016-04-06,774263,1901979001,130,2500.0,2433.0,2447.0,2440.0,2445.0
2016-04-09,8795691,21530915953,117,2455.0,2420.0,2448.0,2449.0,2447.0
2016-04-10,643077,1580016566,138,2499.0,2421.0,2449.0,2427.0,2448.0
