,Date,Trend
0,2015-08-09,38
1,2015-08-16,33
2,2015-08-23,31
3,2015-08-30,31
4,2015-09-06,30
5,2015-09-13,28
6,2015-09-20,31
7,2015-09-27,32
8,2015-10-04,29
9,2015-10-11,32
10,2015-10-18,31
11,2015-10-25,30
12,2015-11-01,32
13,2015-11-08,32
14,2015-11-15,31
15,2015-11-22,32
16,2015-11-29,28
17,2015-12-06,27
18,2015-12-13,36
19,2015-12-20,39
20,2015-12-27,34
21,2016-01-03,35
22,2016-01-10,35
23,2016-01-17,37
24,2016-01-24,39
25,2016-01-31,35
26,2016-02-07,34
27,2016-02-14,36
28,2016-02-21,32
29,2016-02-28,34
30,2016-03-06,35
31,2016-03-13,27
32,2016-03-20,21
33,2016-03-27,29
34,2016-04-03,53
35,2016-04-10,60
36,2016-04-17,47
37,2016-04-24,46
38,2016-05-01,41
39,2016-05-08,47
40,2016-05-15,47
41,2016-05-22,37
42,2016-05-29,35
43,2016-06-05,48
44,2016-06-12,49
45,2016-06-19,49
46,2016-06-26,40
47,2016-07-03,44
48,2016-07-10,45
49,2016-07-17,46
50,2016-07-24,43
51,2016-07-31,45
52,2016-08-07,43
53,2016-08-14,42
54,2016-08-21,39
55,2016-08-28,48
56,2016-09-04,42
57,2016-09-11,36
58,2016-09-18,32
59,2016-09-25,41
60,2016-10-02,37
61,2016-10-09,32
62,2016-10-16,42
63,2016-10-23,48
64,2016-10-30,46
65,2016-11-06,46
66,2016-11-13,41
67,2016-11-20,37
68,2016-11-27,38
69,2016-12-04,43
70,2016-12-11,44
71,2016-12-18,50
72,2016-12-25,57
73,2017-01-01,48
74,2017-01-08,41
75,2017-01-15,42
76,2017-01-22,41
77,2017-01-29,50
78,2017-02-05,47
79,2017-02-12,41
80,2017-02-19,43
81,2017-02-26,40
82,2017-03-05,40
83,2017-03-12,33
84,2017-03-19,18
85,2017-03-26,25
86,2017-04-02,35
87,2017-04-09,39
88,2017-04-16,40
89,2017-04-23,35
90,2017-04-30,39
91,2017-05-07,39
92,2017-05-14,39
93,2017-05-21,38
94,2017-05-28,53
95,2017-06-04,41
96,2017-06-11,46
97,2017-06-18,46
98,2017-06-25,38
99,2017-07-02,50
100,2017-07-09,43
101,2017-07-16,43
102,2017-07-23,46
103,2017-07-30,41
104,2017-08-06,45
105,2017-08-13,45
106,2017-08-20,38
107,2017-08-27,42
108,2017-09-03,32
109,2017-09-10,35
110,2017-09-17,37
111,2017-09-24,37
112,2017-10-01,45
113,2017-10-08,44
114,2017-10-15,43
115,2017-10-22,51
116,2017-10-29,51
117,2017-11-05,41
118,2017-11-12,55
119,2017-11-19,45
120,2017-11-26,50
121,2017-12-03,42
122,2017-12-10,45
123,2017-12-17,43
124,2017-12-24,50
125,2017-12-31,42
126,2018-01-07,45
127,2018-01-14,42
128,2018-01-21,42
129,2018-01-28,42
130,2018-02-04,45
131,2018-02-11,43
132,2018-02-18,43
133,2018-02-25,47
134,2018-03-04,46
135,2018-03-11,44
136,2018-03-18,26
137,2018-03-25,31
138,2018-04-01,40
139,2018-04-08,44
140,2018-04-15,40
141,2018-04-22,48
142,2018-04-29,42
143,2018-05-06,43
144,2018-05-13,43
145,2018-05-20,58
146,2018-05-27,55
147,2018-06-03,50
148,2018-06-10,46
149,2018-06-17,46
150,2018-06-24,45
151,2018-07-01,45
152,2018-07-08,41
153,2018-07-15,45
154,2018-07-22,45
155,2018-07-29,47
156,2018-08-05,39
157,2018-08-12,46
158,2018-08-19,42
159,2018-08-26,41
160,2018-09-02,41
161,2018-09-09,40
162,2018-09-16,37
163,2018-09-23,48
164,2018-09-30,48
165,2018-10-07,50
166,2018-10-14,53
167,2018-10-21,50
168,2018-10-28,45
169,2018-11-04,47
170,2018-11-11,50
171,2018-11-18,57
172,2018-11-25,56
173,2018-12-02,52
174,2018-12-09,50
175,2018-12-16,50
176,2018-12-23,61
177,2018-12-30,57
178,2019-01-06,50
179,2019-01-13,54
180,2019-01-20,49
181,2019-01-27,49
182,2019-02-03,50
183,2019-02-10,46
184,2019-02-17,56
185,2019-02-24,55
186,2019-03-03,64
187,2019-03-10,59
188,2019-03-17,40
189,2019-03-24,43
190,2019-03-31,41
191,2019-04-07,54
192,2019-04-14,53
193,2019-04-21,55
194,2019-04-28,52
195,2019-05-05,50
196,2019-05-12,60
197,2019-05-19,53
198,2019-05-26,48
199,2019-06-02,43
200,2019-06-09,53
201,2019-06-16,55
202,2019-06-23,66
203,2019-06-30,60
204,2019-07-07,60
205,2019-07-14,61
206,2019-07-21,59
207,2019-07-28,57
208,2019-08-04,54
209,2019-08-11,47
210,2019-08-18,50
211,2019-08-25,53
212,2019-09-01,51
213,2019-09-08,43
214,2019-09-15,53
215,2019-09-22,51
216,2019-09-29,53
217,2019-10-06,60
218,2019-10-13,52
219,2019-10-20,55
220,2019-10-27,48
221,2019-11-03,52
222,2019-11-10,50
223,2019-11-17,16
224,2019-11-24,42
225,2019-12-01,52
226,2019-12-08,52
227,2019-12-15,64
228,2019-12-22,75
229,2019-12-29,67
230,2020-01-05,60
231,2020-01-12,100
232,2020-01-19,78
233,2020-01-26,60
234,2020-02-02,63
235,2020-02-09,54
236,2020-02-16,51
237,2020-02-23,50
238,2020-03-01,51
239,2020-03-08,47
240,2020-03-15,67
241,2020-03-22,40
242,2020-03-29,42
243,2020-04-05,50
244,2020-04-12,53
245,2020-04-19,58
246,2020-04-26,71
247,2020-05-03,67
248,2020-05-10,68
249,2020-05-17,62
250,2020-05-24,61
251,2020-05-31,59
252,2020-06-07,63
253,2020-06-14,64
254,2020-06-21,72
255,2020-06-28,78
256,2020-07-05,69
257,2020-07-12,81
258,2020-07-19,78
259,2020-07-26,75
260,2020-08-02,95
