,Date,Trend
0,2015-08-09,2
1,2015-08-16,1
2,2015-08-23,2
3,2015-08-30,1
4,2015-09-06,2
5,2015-09-13,1
6,2015-09-20,1
7,2015-09-27,1
8,2015-10-04,2
9,2015-10-11,1
10,2015-10-18,1
11,2015-10-25,1
12,2015-11-01,1
13,2015-11-08,1
14,2015-11-15,1
15,2015-11-22,1
16,2015-11-29,1
17,2015-12-06,1
18,2015-12-13,2
19,2015-12-20,1
20,2015-12-27,1
21,2016-01-03,3
22,2016-01-10,3
23,2016-01-17,3
24,2016-01-24,5
25,2016-01-31,4
26,2016-02-07,4
27,2016-02-14,6
28,2016-02-21,4
29,2016-02-28,2
30,2016-03-06,4
31,2016-03-13,2
32,2016-03-20,1
33,2016-03-27,3
34,2016-04-03,2
35,2016-04-10,4
36,2016-04-17,3
37,2016-04-24,2
38,2016-05-01,3
39,2016-05-08,2
40,2016-05-15,2
41,2016-05-22,3
42,2016-05-29,2
43,2016-06-05,3
44,2016-06-12,1
45,2016-06-19,1
46,2016-06-26,2
47,2016-07-03,2
48,2016-07-10,2
49,2016-07-17,4
50,2016-07-24,2
51,2016-07-31,2
52,2016-08-07,2
53,2016-08-14,1
54,2016-08-21,1
55,2016-08-28,1
56,2016-09-04,2
57,2016-09-11,1
58,2016-09-18,1
59,2016-09-25,2
60,2016-10-02,2
61,2016-10-09,2
62,2016-10-16,2
63,2016-10-23,2
64,2016-10-30,1
65,2016-11-06,1
66,2016-11-13,2
67,2016-11-20,2
68,2016-11-27,1
69,2016-12-04,2
70,2016-12-11,1
71,2016-12-18,1
72,2016-12-25,1
73,2017-01-01,1
74,2017-01-08,2
75,2017-01-15,2
76,2017-01-22,7
77,2017-01-29,4
78,2017-02-05,2
79,2017-02-12,2
80,2017-02-19,1
81,2017-02-26,2
82,2017-03-05,3
83,2017-03-12,1
84,2017-03-19,0
85,2017-03-26,2
86,2017-04-02,1
87,2017-04-09,3
88,2017-04-16,2
89,2017-04-23,2
90,2017-04-30,2
91,2017-05-07,2
92,2017-05-14,1
93,2017-05-21,2
94,2017-05-28,1
95,2017-06-04,1
96,2017-06-11,2
97,2017-06-18,2
98,2017-06-25,1
99,2017-07-02,2
100,2017-07-09,2
101,2017-07-16,2
102,2017-07-23,1
103,2017-07-30,3
104,2017-08-06,2
105,2017-08-13,1
106,2017-08-20,1
107,2017-08-27,1
108,2017-09-03,1
109,2017-09-10,2
110,2017-09-17,1
111,2017-09-24,1
112,2017-10-01,1
113,2017-10-08,1
114,2017-10-15,1
115,2017-10-22,1
116,2017-10-29,2
117,2017-11-05,1
118,2017-11-12,1
119,2017-11-19,1
120,2017-11-26,1
121,2017-12-03,1
122,2017-12-10,3
123,2017-12-17,2
124,2017-12-24,1
125,2017-12-31,2
126,2018-01-07,1
127,2018-01-14,1
128,2018-01-21,2
129,2018-01-28,1
130,2018-02-04,2
131,2018-02-11,0
132,2018-02-18,1
133,2018-02-25,0
134,2018-03-04,1
135,2018-03-11,0
136,2018-03-18,1
137,2018-03-25,1
138,2018-04-01,1
139,2018-04-08,1
140,2018-04-15,0
141,2018-04-22,0
142,2018-04-29,1
143,2018-05-06,1
144,2018-05-13,0
145,2018-05-20,1
146,2018-05-27,1
147,2018-06-03,1
148,2018-06-10,1
149,2018-06-17,2
150,2018-06-24,1
151,2018-07-01,1
152,2018-07-08,0
153,2018-07-15,1
154,2018-07-22,1
155,2018-07-29,1
156,2018-08-05,2
157,2018-08-12,1
158,2018-08-19,1
159,2018-08-26,3
160,2018-09-02,4
161,2018-09-09,4
162,2018-09-16,4
163,2018-09-23,5
164,2018-09-30,4
165,2018-10-07,6
166,2018-10-14,7
167,2018-10-21,6
168,2018-10-28,4
169,2018-11-04,5
170,2018-11-11,6
171,2018-11-18,5
172,2018-11-25,4
173,2018-12-02,4
174,2018-12-09,4
175,2018-12-16,4
176,2018-12-23,5
177,2018-12-30,5
178,2019-01-06,6
179,2019-01-13,5
180,2019-01-20,4
181,2019-01-27,5
182,2019-02-03,2
183,2019-02-10,3
184,2019-02-17,3
185,2019-02-24,4
186,2019-03-03,3
187,2019-03-10,4
188,2019-03-17,3
189,2019-03-24,4
190,2019-03-31,3
191,2019-04-07,5
192,2019-04-14,5
193,2019-04-21,4
194,2019-04-28,5
195,2019-05-05,8
196,2019-05-12,5
197,2019-05-19,4
198,2019-05-26,3
199,2019-06-02,3
200,2019-06-09,5
201,2019-06-16,9
202,2019-06-23,4
203,2019-06-30,4
204,2019-07-07,4
205,2019-07-14,5
206,2019-07-21,4
207,2019-07-28,4
208,2019-08-04,2
209,2019-08-11,4
210,2019-08-18,3
211,2019-08-25,2
212,2019-09-01,3
213,2019-09-08,4
214,2019-09-15,2
215,2019-09-22,6
216,2019-09-29,18
217,2019-10-06,14
218,2019-10-13,7
219,2019-10-20,10
220,2019-10-27,5
221,2019-11-03,8
222,2019-11-10,6
223,2019-11-17,0
224,2019-11-24,4
225,2019-12-01,5
226,2019-12-08,5
227,2019-12-15,4
228,2019-12-22,7
229,2019-12-29,7
230,2020-01-05,6
231,2020-01-12,7
232,2020-01-19,8
233,2020-01-26,5
234,2020-02-02,7
235,2020-02-09,6
236,2020-02-16,7
237,2020-02-23,8
238,2020-03-01,8
239,2020-03-08,8
240,2020-03-15,6
241,2020-03-22,8
242,2020-03-29,9
243,2020-04-05,13
244,2020-04-12,14
245,2020-04-19,19
246,2020-04-26,24
247,2020-05-03,29
248,2020-05-10,40
249,2020-05-17,49
250,2020-05-24,27
251,2020-05-31,31
252,2020-06-07,46
253,2020-06-14,47
254,2020-06-21,72
255,2020-06-28,72
256,2020-07-05,77
257,2020-07-12,75
258,2020-07-19,100
259,2020-07-26,73
260,2020-08-02,61
