,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,0
13,2015-11-08,0
14,2015-11-15,16
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,17
18,2015-12-13,17
19,2015-12-20,0
20,2015-12-27,0
21,2016-01-03,0
22,2016-01-10,0
23,2016-01-17,0
24,2016-01-24,17
25,2016-01-31,17
26,2016-02-07,41
27,2016-02-14,51
28,2016-02-21,25
29,2016-02-28,17
30,2016-03-06,26
31,2016-03-13,0
32,2016-03-20,18
33,2016-03-27,17
34,2016-04-03,23
35,2016-04-10,17
36,2016-04-17,0
37,2016-04-24,0
38,2016-05-01,17
39,2016-05-08,17
40,2016-05-15,17
41,2016-05-22,18
42,2016-05-29,0
43,2016-06-05,0
44,2016-06-12,0
45,2016-06-19,0
46,2016-06-26,0
47,2016-07-03,19
48,2016-07-10,0
49,2016-07-17,0
50,2016-07-24,28
51,2016-07-31,38
52,2016-08-07,29
53,2016-08-14,20
54,2016-08-21,19
55,2016-08-28,36
56,2016-09-04,36
57,2016-09-11,18
58,2016-09-18,0
59,2016-09-25,18
60,2016-10-02,18
61,2016-10-09,0
62,2016-10-16,18
63,2016-10-23,18
64,2016-10-30,17
65,2016-11-06,17
66,2016-11-13,35
67,2016-11-20,29
68,2016-11-27,0
69,2016-12-04,22
70,2016-12-11,17
71,2016-12-18,35
72,2016-12-25,18
73,2017-01-01,17
74,2017-01-08,16
75,2017-01-15,16
76,2017-01-22,64
77,2017-01-29,21
78,2017-02-05,32
79,2017-02-12,16
80,2017-02-19,16
81,2017-02-26,31
82,2017-03-05,31
83,2017-03-12,36
84,2017-03-19,0
85,2017-03-26,32
86,2017-04-02,32
87,2017-04-09,17
88,2017-04-16,16
89,2017-04-23,21
90,2017-04-30,0
91,2017-05-07,16
92,2017-05-14,23
93,2017-05-21,23
94,2017-05-28,17
95,2017-06-04,17
96,2017-06-11,0
97,2017-06-18,0
98,2017-06-25,17
99,2017-07-02,35
100,2017-07-09,17
101,2017-07-16,17
102,2017-07-23,34
103,2017-07-30,17
104,2017-08-06,33
105,2017-08-13,0
106,2017-08-20,17
107,2017-08-27,33
108,2017-09-03,16
109,2017-09-10,16
110,2017-09-17,32
111,2017-09-24,41
112,2017-10-01,16
113,2017-10-08,16
114,2017-10-15,16
115,2017-10-22,21
116,2017-10-29,16
117,2017-11-05,16
118,2017-11-12,16
119,2017-11-19,16
120,2017-11-26,0
121,2017-12-03,16
122,2017-12-10,23
123,2017-12-17,0
124,2017-12-24,43
125,2017-12-31,33
126,2018-01-07,31
127,2018-01-14,23
128,2018-01-21,45
129,2018-01-28,25
130,2018-02-04,50
131,2018-02-11,36
132,2018-02-18,25
133,2018-02-25,22
134,2018-03-04,60
135,2018-03-11,30
136,2018-03-18,0
137,2018-03-25,16
138,2018-04-01,23
139,2018-04-08,30
140,2018-04-15,15
141,2018-04-22,30
142,2018-04-29,15
143,2018-05-06,15
144,2018-05-13,23
145,2018-05-20,31
146,2018-05-27,21
147,2018-06-03,15
148,2018-06-10,0
149,2018-06-17,30
150,2018-06-24,30
151,2018-07-01,30
152,2018-07-08,30
153,2018-07-15,16
154,2018-07-22,15
155,2018-07-29,30
156,2018-08-05,15
157,2018-08-12,0
158,2018-08-19,15
159,2018-08-26,35
160,2018-09-02,15
161,2018-09-09,74
162,2018-09-16,29
163,2018-09-23,44
164,2018-09-30,37
165,2018-10-07,30
166,2018-10-14,15
167,2018-10-21,30
168,2018-10-28,15
169,2018-11-04,20
170,2018-11-11,52
171,2018-11-18,15
172,2018-11-25,15
173,2018-12-02,37
174,2018-12-09,30
175,2018-12-16,23
176,2018-12-23,25
177,2018-12-30,16
178,2019-01-06,15
179,2019-01-13,22
180,2019-01-20,19
181,2019-01-27,22
182,2019-02-03,29
183,2019-02-10,14
184,2019-02-17,21
185,2019-02-24,28
186,2019-03-03,15
187,2019-03-10,36
188,2019-03-17,0
189,2019-03-24,29
190,2019-03-31,22
191,2019-04-07,29
192,2019-04-14,23
193,2019-04-21,30
194,2019-04-28,34
195,2019-05-05,44
196,2019-05-12,52
197,2019-05-19,58
198,2019-05-26,22
199,2019-06-02,29
200,2019-06-09,29
201,2019-06-16,39
202,2019-06-23,44
203,2019-06-30,22
204,2019-07-07,0
205,2019-07-14,25
206,2019-07-21,25
207,2019-07-28,30
208,2019-08-04,30
209,2019-08-11,30
210,2019-08-18,44
211,2019-08-25,43
212,2019-09-01,42
213,2019-09-08,28
214,2019-09-15,46
215,2019-09-22,37
216,2019-09-29,37
217,2019-10-06,37
218,2019-10-13,41
219,2019-10-20,41
220,2019-10-27,14
221,2019-11-03,20
222,2019-11-10,14
223,2019-11-17,0
224,2019-11-24,20
225,2019-12-01,14
226,2019-12-08,41
227,2019-12-15,32
228,2019-12-22,61
229,2019-12-29,58
