Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,10204918.0,15008183393.0,894.0,1540.0,1414.0,1471.0,1416.0,1485.0
2016-02-21,6962202.0,9768392149.0,545.0,1443.0,1398.0,1403.0,1404.0,1471.0
2016-02-22,9510594.0,13790734677.0,600.0,1473.0,1385.0,1450.0,1473.0,1403.0
2016-02-23,28348828.0,42882435844.0,1498.0,1522.0,1460.0,1513.0,1479.0,1450.0
2016-02-24,8945215.0,13405740587.0,546.0,1520.0,1470.0,1499.0,1480.0,1513.0
2016-02-27,6875656.0,10300475317.0,590.0,1559.0,1452.0,1498.0,1501.0,1499.0
2016-02-28,9943951.0,14210773439.0,669.0,1498.0,1424.0,1429.0,1424.0,1498.0
2016-02-29,3143315.0,4391135396.0,365.0,1440.0,1365.0,1414.0,1380.0,1429.0
2016-03-01,3979499.0,5577424922.0,439.0,1439.0,1375.0,1407.0,1378.0,1414.0
2016-03-02,3549517.0,4852747359.0,358.0,1400.0,1350.0,1386.0,1375.0,1407.0
2016-03-05,5740816.0,8136539582.0,504.0,1452.0,1370.0,1411.0,1409.0,1386.0
2016-03-06,18163193.0,26659166914.0,864.0,1481.0,1400.0,1468.0,1481.0,1411.0
2016-03-07,17457819.0,26902499079.0,568.0,1541.0,1541.0,1541.0,1541.0,1468.0
2016-03-08,36512752.0,58696672186.0,1946.0,1618.0,1543.0,1608.0,1600.0,1541.0
2016-03-09,10648427.0,17358485730.0,987.0,1665.0,1565.0,1630.0,1620.0,1608.0
2016-03-12,12360028.0,20398857132.0,1008.0,1699.0,1595.0,1650.0,1621.0,1630.0
2016-03-14,12405516.0,19951348570.0,1038.0,1679.0,1568.0,1608.0,1569.0,1650.0
2016-03-15,7181543.0,10989404509.0,540.0,1560.0,1528.0,1530.0,1528.0,1608.0
2016-03-16,10146795.0,15082145838.0,857.0,1550.0,1455.0,1486.0,1480.0,1530.0
2016-03-26,13597965.0,21175117110.0,688.0,1560.0,1450.0,1557.0,1560.0,1486.0
2016-03-27,4300068.0,6674646190.0,414.0,1600.0,1490.0,1554.0,1533.0,1557.0
2016-03-28,4626180.0,6975163991.0,403.0,1568.0,1480.0,1522.0,1490.0,1554.0
2016-03-29,3219290.0,4805734500.0,302.0,1515.0,1466.0,1508.0,1515.0,1522.0
2016-03-30,5700025.0,8594762076.0,492.0,1546.0,1478.0,1508.0,1501.0,1508.0
2016-04-02,2574404.0,3842616564.0,276.0,1540.0,1475.0,1502.0,1516.0,1508.0
2016-04-03,1675640.0,2449947371.0,228.0,1500.0,1440.0,1492.0,1468.0,1502.0
2016-04-04,4816072.0,6954801411.0,485.0,1498.0,1429.0,1457.0,1460.0,1492.0
2016-04-05,6153605.0,8844111901.0,649.0,1470.0,1420.0,1439.0,1430.0,1457.0
2016-04-06,10591016.0,15017511935.0,955.0,1460.0,1390.0,1418.0,1400.0,1439.0
2016-04-09,17692934.0,26012198429.0,1674.0,1488.0,1380.0,1470.0,1487.0,1418.0
2016-04-10,7452790.0,10998900139.0,900.0,1518.0,1443.0,1476.0,1451.0,1470.0
2016-04-11,2000424.0,2932134742.0,320.0,1500.0,1442.0,1473.0,1450.0,1476.0
2016-04-12,9030506.0,12738084941.0,903.0,1455.0,1400.0,1411.0,1400.0,1473.0
2016-04-13,4273485.0,5923343531.0,518.0,1424.0,1370.0,1396.0,1401.0,1411.0
2016-04-16,9743155.0,12972428461.0,547.0,1402.0,1327.0,1331.0,1327.0,1396.0
2016-04-17,7056332.0,9080003422.0,645.0,1329.0,1265.0,1287.0,1310.0,1331.0
2016-04-18,4413905.0,5906051400.0,431.0,1351.0,1319.0,1318.0,1330.0,1287.0
2016-04-19,2678576.0,3496955433.0,353.0,1344.0,1280.0,1313.0,1306.0,1318.0
