Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,5593.0,35969668.0,3.0,6500.0,6428.0,6740.0,6428.0,6765.0
2016-02-21,3492.0,22415820.0,4.0,6427.0,6403.0,6725.0,6403.0,6740.0
2016-02-22,5900.0,38408152.0,8.0,6725.0,6389.0,6708.0,6389.0,6725.0
2016-02-24,4510791.0,30255047143.0,5.0,6708.0,6373.0,6707.0,6708.0,6708.0
2016-02-27,701250.0,4697557315.0,23.0,6700.0,6372.0,6699.0,6699.0,6707.0
2016-02-28,2480.0,16368000.0,4.0,6600.0,6600.0,6696.0,6600.0,6699.0
2016-02-29,973922.0,6426022360.0,28.0,6684.0,6362.0,6598.0,6684.0,6696.0
2016-03-01,1465.0,9568935.0,5.0,6599.0,6269.0,6597.0,6599.0,6598.0
2016-03-05,892.0,5591056.0,2.0,6268.0,6268.0,6593.0,6268.0,6597.0
2016-03-06,500.0,3150000.0,1.0,6300.0,6300.0,6591.0,6300.0,6593.0
2016-03-07,2054.0,12862148.0,7.0,6262.0,6262.0,6582.0,6262.0,6591.0
2016-03-08,450.0,2817900.0,1.0,6262.0,6262.0,6580.0,6262.0,6582.0
2016-03-09,160.0,1000160.0,1.0,6251.0,6251.0,6579.0,6251.0,6580.0
2016-03-12,979265.0,6365082485.0,22.0,6500.0,6430.0,6500.0,6499.0,6579.0
2016-03-14,140.0,864500.0,1.0,6175.0,6175.0,6499.0,6175.0,6500.0
2016-03-16,430.0,2785970.0,1.0,6479.0,6479.0,6499.0,6479.0,6499.0
2016-03-26,13626.0,88889030.0,6.0,6599.0,6479.0,6503.0,6479.0,6499.0
2016-03-28,1810.0,11182180.0,5.0,6178.0,6178.0,6495.0,6178.0,6503.0
2016-03-29,10000.0,62000000.0,5.0,6200.0,6200.0,6457.0,6200.0,6495.0
2016-03-30,3474.0,21713800.0,3.0,6550.0,6200.0,6448.0,6550.0,6457.0
2016-04-02,5940.0,36828000.0,4.0,6200.0,6200.0,6429.0,6200.0,6448.0
2016-04-03,16500.0,102300000.0,11.0,6200.0,6200.0,6380.0,6200.0,6429.0
2016-04-04,30900.0,191580000.0,16.0,6200.0,6200.0,6308.0,6200.0,6380.0
2016-04-05,2314.0,15228897.0,4.0,6598.0,6575.0,6316.0,6598.0,6308.0
2016-04-06,155.0,1021140.0,1.0,6588.0,6588.0,6317.0,6588.0,6316.0
2016-04-09,502.0,3112400.0,2.0,6200.0,6200.0,6316.0,6200.0,6317.0
2016-04-10,24382.0,148730200.0,10.0,6100.0,6100.0,6249.0,6100.0,6316.0
2016-04-11,9134.0,56631562.0,6.0,6201.0,6200.0,6243.0,6200.0,6249.0
2016-04-12,15200.0,94240000.0,5.0,6200.0,6200.0,6235.0,6200.0,6243.0
2016-04-13,40000.0,248000000.0,9.0,6200.0,6200.0,6217.0,6200.0,6235.0
2016-04-16,20000.0,124000000.0,6.0,6200.0,6200.0,6213.0,6200.0,6217.0
2016-04-17,20370.0,121224110.0,4.0,6000.0,5903.0,6147.0,5903.0,6213.0
2016-04-18,3000.0,18329340.0,2.0,6190.0,6100.0,6146.0,6190.0,6147.0
2016-04-19,10000.0,60000000.0,1.0,6000.0,6000.0,6128.0,6000.0,6146.0
2016-04-20,56.0,347200.0,1.0,6200.0,6200.0,6128.0,6200.0,6128.0
2016-04-25,142.0,852000.0,2.0,6000.0,6000.0,6128.0,6000.0,6128.0
2016-04-26,3750.0,22500000.0,4.0,6000.0,6000.0,6122.0,6000.0,6128.0
2016-04-27,10000.0,60000000.0,5.0,6000.0,6000.0,6107.0,6000.0,6122.0
2016-05-01,4000.0,24013260.0,2.0,6010.0,6000.0,6102.0,6000.0,6107.0
2016-05-02,3000.0,18000000.0,2.0,6000.0,6000.0,6098.0,6000.0,6102.0
2016-05-03,20000.0,120000000.0,5.0,6000.0,6000.0,6074.0,6000.0,6098.0
2016-05-04,98056.0,569092941.0,16.0,6000.0,5771.0,5804.0,5800.0,6074.0
2016-05-07,86739.0,527051600.0,10.0,6094.0,6000.0,6076.0,6094.0,5804.0
2016-05-08,6000.0,36000000.0,3.0,6000.0,6000.0,6071.0,6000.0,6076.0
2016-05-09,2400.0,14400000.0,1.0,6000.0,6000.0,6069.0,6000.0,6071.0
2016-05-10,16170.0,97020170.0,8.0,6001.0,6000.0,6056.0,6000.0,6069.0
2016-05-11,16000.0,96000000.0,3.0,6000.0,6000.0,6046.0,6000.0,6056.0
2016-05-14,6769.0,40692997.0,4.0,6197.0,6000.0,6043.0,6000.0,6046.0
