Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-22,17898525.0,52466458915.0,592.0,3079.0,2926.0,2931.0,2926.0,3079.0
2016-02-23,824457.0,2303452065.0,108.0,2879.0,2785.0,2898.0,2785.0,2931.0
2016-02-24,465318.0,1281485772.0,54.0,2754.0,2754.0,2878.0,2754.0,2898.0
2016-02-27,471494.0,1289536090.0,82.0,2735.0,2735.0,2859.0,2735.0,2878.0
2016-02-28,517787.0,1406827279.0,58.0,2717.0,2717.0,2838.0,2717.0,2859.0
2016-02-29,46385.0,125100345.0,16.0,2697.0,2697.0,2836.0,2697.0,2838.0
2016-03-01,66115.0,178179925.0,20.0,2695.0,2695.0,2833.0,2695.0,2836.0
2016-03-02,60515.0,162906380.0,23.0,2692.0,2692.0,2831.0,2692.0,2833.0
2016-03-05,5752173.0,15654276893.0,724.0,2810.0,2690.0,2721.0,2717.0,2831.0
2016-03-06,2311948.0,6196229428.0,354.0,2749.0,2620.0,2694.0,2620.0,2721.0
2016-03-07,2670680.0,6892880619.0,411.0,2620.0,2560.0,2609.0,2569.0,2694.0
2016-03-08,5765867.0,15724033932.0,564.0,2739.0,2634.0,2727.0,2739.0,2609.0
2016-03-09,1533689.0,4319618210.0,343.0,2860.0,2751.0,2766.0,2799.0,2727.0
2016-03-12,4420500.0,12832125517.0,201.0,2904.0,2854.0,2903.0,2904.0,2766.0
2016-03-14,22400857.0,68277812136.0,703.0,3048.0,3048.0,3048.0,3048.0,2903.0
2016-03-15,16845086.0,52936257779.0,945.0,3200.0,2912.0,3143.0,3050.0,3048.0
2016-03-16,5592387.0,16710158493.0,412.0,3050.0,2986.0,2988.0,2986.0,3143.0
2016-03-26,15844231.0,49679966533.0,703.0,3137.0,2930.0,3136.0,3137.0,2988.0
2016-03-27,6047408.0,18600973858.0,484.0,3230.0,2980.0,3076.0,3069.0,3136.0
2016-03-28,1851461.0,5610702290.0,312.0,3099.0,2953.0,3051.0,3000.0,3076.0
2016-03-29,6707614.0,19613145998.0,450.0,3028.0,2899.0,2924.0,2899.0,3051.0
