,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,0
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,0
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,0
13,2015-11-08,0
14,2015-11-15,0
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,0
18,2015-12-13,6
19,2015-12-20,7
20,2015-12-27,0
21,2016-01-03,0
22,2016-01-10,0
23,2016-01-17,6
24,2016-01-24,0
25,2016-01-31,0
26,2016-02-07,0
27,2016-02-14,0
28,2016-02-21,0
29,2016-02-28,15
30,2016-03-06,6
31,2016-03-13,0
32,2016-03-20,0
33,2016-03-27,0
34,2016-04-03,0
35,2016-04-10,6
36,2016-04-17,0
37,2016-04-24,12
38,2016-05-01,0
39,2016-05-08,6
40,2016-05-15,6
41,2016-05-22,0
42,2016-05-29,0
43,2016-06-05,0
44,2016-06-12,6
45,2016-06-19,0
46,2016-06-26,6
47,2016-07-03,7
48,2016-07-10,13
49,2016-07-17,0
50,2016-07-24,10
51,2016-07-31,7
52,2016-08-07,0
53,2016-08-14,0
54,2016-08-21,7
55,2016-08-28,7
56,2016-09-04,0
57,2016-09-11,7
58,2016-09-18,0
59,2016-09-25,7
60,2016-10-02,0
61,2016-10-09,0
62,2016-10-16,0
63,2016-10-23,0
64,2016-10-30,6
65,2016-11-06,0
66,2016-11-13,6
67,2016-11-20,0
68,2016-11-27,0
69,2016-12-04,0
70,2016-12-11,0
71,2016-12-18,6
72,2016-12-25,7
73,2017-01-01,6
74,2017-01-08,0
75,2017-01-15,6
76,2017-01-22,6
77,2017-01-29,6
78,2017-02-05,6
79,2017-02-12,0
80,2017-02-19,0
81,2017-02-26,6
82,2017-03-05,8
83,2017-03-12,6
84,2017-03-19,0
85,2017-03-26,6
86,2017-04-02,6
87,2017-04-09,6
88,2017-04-16,6
89,2017-04-23,9
90,2017-04-30,9
91,2017-05-07,6
92,2017-05-14,0
93,2017-05-21,0
94,2017-05-28,6
95,2017-06-04,0
96,2017-06-11,0
97,2017-06-18,6
98,2017-06-25,0
99,2017-07-02,0
100,2017-07-09,0
101,2017-07-16,0
102,2017-07-23,0
103,2017-07-30,6
104,2017-08-06,6
105,2017-08-13,0
106,2017-08-20,6
107,2017-08-27,6
108,2017-09-03,6
109,2017-09-10,0
110,2017-09-17,6
111,2017-09-24,6
112,2017-10-01,0
113,2017-10-08,6
114,2017-10-15,6
115,2017-10-22,0
116,2017-10-29,0
117,2017-11-05,0
118,2017-11-12,6
119,2017-11-19,0
120,2017-11-26,6
121,2017-12-03,6
122,2017-12-10,0
123,2017-12-17,0
124,2017-12-24,0
125,2017-12-31,0
126,2018-01-07,0
127,2018-01-14,0
128,2018-01-21,5
129,2018-01-28,8
130,2018-02-04,0
131,2018-02-11,0
132,2018-02-18,0
133,2018-02-25,0
134,2018-03-04,11
135,2018-03-11,0
136,2018-03-18,5
137,2018-03-25,0
138,2018-04-01,6
139,2018-04-08,0
140,2018-04-15,0
141,2018-04-22,0
142,2018-04-29,0
143,2018-05-06,6
144,2018-05-13,0
145,2018-05-20,8
146,2018-05-27,0
147,2018-06-03,0
148,2018-06-10,5
149,2018-06-17,0
150,2018-06-24,0
151,2018-07-01,0
152,2018-07-08,0
153,2018-07-15,0
154,2018-07-22,0
155,2018-07-29,0
156,2018-08-05,0
157,2018-08-12,0
158,2018-08-19,0
159,2018-08-26,14
160,2018-09-02,5
161,2018-09-09,5
162,2018-09-16,5
163,2018-09-23,7
164,2018-09-30,7
165,2018-10-07,0
166,2018-10-14,5
167,2018-10-21,5
168,2018-10-28,5
169,2018-11-04,5
170,2018-11-11,5
171,2018-11-18,11
172,2018-11-25,0
173,2018-12-02,0
174,2018-12-09,5
175,2018-12-16,6
176,2018-12-23,0
177,2018-12-30,12
178,2019-01-06,13
179,2019-01-13,5
180,2019-01-20,5
181,2019-01-27,18
182,2019-02-03,7
183,2019-02-10,5
184,2019-02-17,8
185,2019-02-24,0
186,2019-03-03,11
187,2019-03-10,10
188,2019-03-17,9
189,2019-03-24,14
190,2019-03-31,7
191,2019-04-07,8
192,2019-04-14,19
193,2019-04-21,5
194,2019-04-28,11
195,2019-05-05,16
196,2019-05-12,18
197,2019-05-19,23
198,2019-05-26,25
199,2019-06-02,25
200,2019-06-09,35
201,2019-06-16,43
202,2019-06-23,25
203,2019-06-30,39
204,2019-07-07,32
205,2019-07-14,30
206,2019-07-21,26
207,2019-07-28,16
208,2019-08-04,42
209,2019-08-11,25
210,2019-08-18,19
211,2019-08-25,33
212,2019-09-01,29
213,2019-09-08,15
214,2019-09-15,39
215,2019-09-22,37
216,2019-09-29,45
217,2019-10-06,67
218,2019-10-13,28
219,2019-10-20,46
220,2019-10-27,25
221,2019-11-03,21
222,2019-11-10,18
223,2019-11-17,5
224,2019-11-24,46
225,2019-12-01,50
226,2019-12-08,58
227,2019-12-15,59
228,2019-12-22,64
229,2019-12-29,44
