Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-03-09,205387.0,2664445722.0,87.0,13595.0,12903.0,12973.0,13595.0,1000.0
2016-03-12,46342.0,630865104.0,45.0,13621.0,13600.0,13220.0,13621.0,12973.0
2016-03-14,28815.0,373094073.0,33.0,13880.0,12560.0,13155.0,12801.0,13220.0
2016-03-15,19261.0,245022046.0,23.0,13400.0,12660.0,13085.0,12675.0,13155.0
2016-03-16,12152.0,155028437.0,19.0,13390.0,12480.0,13052.0,12660.0,13085.0
2016-03-26,2174.0,27567900.0,6.0,13000.0,12652.0,13045.0,12652.0,13052.0
2016-03-27,1025.0,13017500.0,2.0,12700.0,12700.0,13042.0,12700.0,13045.0
2016-03-28,13210.0,164157830.0,16.0,12500.0,12421.0,12974.0,12427.0,13042.0
2016-03-29,10792.0,135826100.0,13.0,13000.0,12512.0,12939.0,12600.0,12974.0
2016-03-30,23588.0,296202216.0,25.0,12700.0,12500.0,12864.0,12530.0,12939.0
2016-04-02,5731.0,72827498.0,6.0,12999.0,12613.0,12857.0,12700.0,12864.0
2016-04-03,1540876.0,20785512056.0,25.0,13499.0,12600.0,13489.0,13489.0,12857.0
2016-04-04,17515.0,236112324.0,22.0,14090.0,12954.0,13488.0,13000.0,13489.0
2016-04-05,19283.0,254586312.0,12.0,13598.0,13200.0,13442.0,13201.0,13488.0
2016-04-06,1615.0,20997440.0,7.0,13003.0,13000.0,13436.0,13002.0,13442.0
2016-04-09,200.0,2687400.0,1.0,13437.0,13437.0,13436.0,13437.0,13436.0
2016-04-10,100.0,1340000.0,2.0,13400.0,13400.0,13436.0,13400.0,13436.0
2016-04-11,1002.0,12894256.0,5.0,13000.0,12803.0,13431.0,13000.0,13436.0
2016-04-12,1914.0,25454286.0,1.0,13299.0,13299.0,13429.0,13299.0,13431.0
2016-04-13,541.0,7111465.0,4.0,13185.0,13140.0,13428.0,13145.0,13429.0
2016-04-16,24060.0,307482857.0,15.0,13000.0,12757.0,13298.0,12757.0,13428.0
2016-04-17,12685.0,160923750.0,19.0,12980.0,12634.0,13233.0,12980.0,13298.0
2016-04-18,33438.0,428482281.0,23.0,12999.0,12573.0,13116.0,12790.0,13233.0
2016-04-19,8447.0,106397825.0,20.0,12872.0,12464.0,13079.0,12839.0,13116.0
2016-04-20,4493.0,56126654.0,7.0,12511.0,12426.0,13057.0,12511.0,13079.0
2016-04-23,7787.0,100809661.0,4.0,12997.0,12849.0,13050.0,12900.0,13057.0
2016-04-24,2620.0,33648638.0,6.0,12998.0,12710.0,13045.0,12710.0,13050.0
2016-04-25,1714.0,21741717.0,12.0,12948.0,12402.0,13040.0,12800.0,13045.0
2016-04-26,201416.0,2680971543.0,35.0,13500.0,12500.0,13311.0,13100.0,13040.0
2016-04-27,9372.0,120711470.0,19.0,13000.0,12712.0,13277.0,13000.0,13311.0
2016-04-30,31000.0,391256252.0,21.0,13199.0,12614.0,13108.0,12615.0,13277.0
2016-05-01,6242.0,77863757.0,12.0,13200.0,12454.0,13075.0,12454.0,13108.0
2016-05-02,8623.0,108048193.0,23.0,12990.0,12424.0,13036.0,12950.0,13075.0
2016-05-09,1700.0,19758000.0,5.0,11850.0,11020.0,11291.0,11020.0,11286.0
2016-05-10,52858.0,597706600.0,11.0,11480.0,11200.0,11298.0,11300.0,11291.0
2016-05-11,8900.0,99255600.0,12.0,11350.0,11000.0,11287.0,11150.0,11298.0
2016-05-14,63073.0,701329643.0,23.0,11300.0,11000.0,11199.0,11100.0,11287.0
2016-05-15,1053839.0,11889054188.0,33.0,11300.0,10801.0,11282.0,10801.0,11199.0
2016-05-16,1002000.0,11316757991.0,11.0,11300.0,10814.0,11294.0,10814.0,11282.0
2016-05-17,4545.0,51332205.0,5.0,11369.0,11250.0,11294.0,11269.0,11294.0
2016-05-18,4236.0,46812972.0,6.0,11100.0,11000.0,11285.0,11100.0,11294.0
2016-05-21,2441.0,27114650.0,5.0,11150.0,11100.0,11281.0,11150.0,11285.0
2016-05-23,13299.0,145154865.0,11.0,11000.0,10910.0,11240.0,10911.0,11281.0
