,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701327958007537664,701327958007537664,1456044589000,2016-02-21,12:19:49,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #دعبيد،#رتاپ،#شدوص،#خكمك،#غشهد،#وايران،#خزر،#كرازي  http://goo.gl/fb/sYdJI8  #اقتصاد #بورس,[],['http://goo.gl/fb/sYdJI8'],[],0,0,0,"['#دعبيد', '#رتاپ', '#شدوص', '#خكمك', '#غشهد', '#وايران', '#خزر', '#كرازي', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/701327958007537664,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,706395317864931329,706395317864931329,1457252742000,2016-03-06,11:55:42,430,2463165061,bourseiness,بورسینس,,#خکمک از منفی به صف خرید رسید  http://goo.gl/fb/uAvXC6  #اقتصاد,[],['http://goo.gl/fb/uAvXC6'],[],0,0,0,"['#خکمک', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706395317864931329,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,742250966540554240,742250966540554240,1465801395000,2016-06-13,11:33:15,430,2463165061,bourseiness,بورسینس,,#خکمک در مجمع سودی تقسیم نکرد  http://goo.gl/fb/YoT5ZV  #اقتصاد,[],['http://goo.gl/fb/YoT5ZV'],[],0,0,0,"['#خکمک', '#اقتصاد']",[],https://twitter.com/bourseiness/status/742250966540554240,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,742620461247434752,742620461247434752,1465889489000,2016-06-14,12:01:29,430,2463165061,bourseiness,بورسینس,,#خکمک موضوع خلاصه تصمیمات مجمع عمومی عادی سال مالی منتهی به 29 12 94…  http://goo.gl/fb/j8k68V  #اقتصاد,[],['http://goo.gl/fb/j8k68V'],[],0,0,0,"['#خکمک', '#اقتصاد']",[],https://twitter.com/bourseiness/status/742620461247434752,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,744058533151412225,744058533151412225,1466232352000,2016-06-18,11:15:52,430,2463165061,bourseiness,بورسینس,,بازگشايي نمادهاي معاملاتي #فجر،#خكمك،#بكام،#خريخت،#دعبيد،#غبهنوش،#خگستر خروج کامل…  http://goo.gl/fb/gZhVEW  #اقتصاد,[],['http://goo.gl/fb/gZhVEW'],[],0,0,0,"['#فجر', '#خكمك', '#بكام', '#خريخت', '#دعبيد', '#غبهنوش', '#خگستر', '#اقتصاد']",[],https://twitter.com/bourseiness/status/744058533151412225,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,927608273578184704,927608273578184704,1509994021000,2017-11-06,22:17:01,430,830770031705206788,radiosaham_ir,radiosaham,,"#بترانس در نیمه سال ۲۶ درصد از سود تخمین زده اش را پوشش داد
 http://radiosaham.ir/186741/ 
#خکمک ۱۵۹ هزار و ۲۸۵ عدد انواع محصول تولید کرد
 http://radiosaham.ir/186760/ 

محصول جدید #پاکسان معرفی شد
 http://radiosaham.ir/186740/ 

یک نوع قیر در صدر تولیدات شرکت #نفت_پاسارگاد
 http://radiosaham.ir/186761/ ",[],"['http://radiosaham.ir/186741/', 'http://radiosaham.ir/186760/', 'http://radiosaham.ir/186740/', 'http://radiosaham.ir/186761/']",[],0,1,0,"['#بترانس', '#خکمک', '#پاکسان', '#نفت_پاسارگاد']",[],https://twitter.com/radiosaham_ir/status/927608273578184704,False,,0,,,,,,,"[{'user_id': '830770031705206788', 'username': 'radiosaham_ir'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1019077258336563200,1019077258336563200,1531801926000,2018-07-17,09:02:06,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#پارس 391.3 میلیون سهم
#زقیام 49.1 میلیون سهم
#خکمک 3.4 میلیون سهم
#ریشمک 3.2 میلیون سهم
#بورس",[],[],[],0,0,0,"['#پارس', '#زقیام', '#خکمک', '#ریشمک', '#بورس']",[],https://twitter.com/abandidgah/status/1019077258336563200,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1019081933513322496,1019081933513322496,1531803041000,2018-07-17,09:20:41,430,986116312920453120,abandidgah,دیدگاه آبان,,"با معاملات مثبت گروه خودرویی و بخصوص قطعه سازها مواجه می باشیم به طوریکه نمادهای #ختراک، #خاذین، #خکمک، #خمحور، #خمحرکه، #خزر، #خریخت و #خفنر صف خرید را تجربه می کنند.
#بورس",[],[],[],0,0,0,"['#ختراک', '#خاذین', '#خکمک', '#خمحور', '#خمحرکه', '#خزر', '#خریخت', '#خفنر', '#بورس']",[],https://twitter.com/abandidgah/status/1019081933513322496,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1019440782007099392,1019440782007099392,1531888597000,2018-07-18,09:06:37,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#زقیام 46.3میلیون سهم
#خزر 19.1 میلیون سهم
#خاذین 10.8 میلیون سهم
#خکمک 3.6میلیون سهم
#پلاسک 3میلیون سهم
#بورس",[],[],[],0,0,0,"['#زقیام', '#خزر', '#خاذین', '#خکمک', '#پلاسک', '#بورس']",[],https://twitter.com/abandidgah/status/1019440782007099392,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1019475136158695424,1019475136158695424,1531896788000,2018-07-18,11:23:08,430,986116312920453120,abandidgah,دیدگاه آبان,,"طبق پیش بینی حجم عرضه ها در گروه خودرویی نسبت به روز گذشته افزایش یافته است تا جایی که به جز نوسانات منفی نمادهای #ختراک، #ختور و #خودرو، نماد #خموتور با صف فروش مواجه می باشد این در حالیست که صف خرید نمادهای #خاذین، #خزر، #خکمک، #خریخت، #خفنر و #خپویش جلب توجه می نماید.
#بورس",[],[],[],0,0,0,"['#ختراک', '#ختور', '#خودرو', '#خموتور', '#خاذین', '#خزر', '#خکمک', '#خریخت', '#خفنر', '#خپویش', '#بورس']",[],https://twitter.com/abandidgah/status/1019475136158695424,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1021642629006544896,1021642629006544896,1532413558000,2018-07-24,10:55:58,430,986116312920453120,abandidgah,دیدگاه آبان,,"#خاذین، #خپویش، #خزر، #خرینگ و #خکمک نمادهای منفی، #خلنت نماد صف خرید و #خودرو، #ختوقا، #خوساز، #ختراک و #خنصیر نمادهای مثبت گروه خودرویی می باشند.
#بورس",[],[],[],0,0,0,"['#خاذین', '#خپویش', '#خزر', '#خرینگ', '#خکمک', '#خلنت', '#خودرو', '#ختوقا', '#خوساز', '#ختراک', '#خنصیر', '#بورس']",[],https://twitter.com/abandidgah/status/1021642629006544896,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1046290836000890881,1046290836000890881,1538290149000,2018-09-30,10:19:09,430,986116312920453120,abandidgah,دیدگاه آبان,,"بازگشايي نمادهاي معاملاتي #كچاد، #فولاژ، #فنوال، #وغدير، #شخارك، #شوينده، #ثاخت ، #ختراك ،#بموتو #بركت، #تپمپي، #چدن، #خكمك ، #دكوثر، #وبشهر،#بهپاک، #سهگمت، #غپاك، #كترام، #كگاز، #قپيرا، #وتوكا، #پخش و بازگشایی می شوند. 
#بورس",[],[],[],0,0,0,"['#كچاد', '#فولاژ', '#فنوال', '#وغدير', '#شخارك', '#شوينده', '#ثاخت', '#ختراك', '#بموتو', '#بركت', '#تپمپي', '#چدن', '#خكمك', '#دكوثر', '#وبشهر', '#بهپاک', '#سهگمت', '#غپاك', '#كترام', '#كگاز', '#قپيرا', '#وتوكا', '#پخش', '#بورس']",[],https://twitter.com/abandidgah/status/1046290836000890881,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1052090846764396545,1052090846764396545,1539672979000,2018-10-16,10:26:19,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه خودرو و قطعه ساز معاملات فضای مناسبی دارد و نمادهای خودروساز تقاضای مناسبی را تجربه میکنند. #خساپا، #خزامیا، #خپارس، #خودرو، #خگستر، #ورنا، #ختوقا، #خمهر، #خاهن، #خریخت، #خکمک، #ختور، #خفنر، #خدیزل با صف خرید همراهند.
#بورس",[],[],[],0,0,0,"['#خساپا', '#خزامیا', '#خپارس', '#خودرو', '#خگستر', '#ورنا', '#ختوقا', '#خمهر', '#خاهن', '#خریخت', '#خکمک', '#ختور', '#خفنر', '#خدیزل', '#بورس']",[],https://twitter.com/abandidgah/status/1052090846764396545,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
