,Date,Trend
0,2015-08-09,6
1,2015-08-16,5
2,2015-08-23,3
3,2015-08-30,3
4,2015-09-06,5
5,2015-09-13,8
6,2015-09-20,2
7,2015-09-27,7
8,2015-10-04,4
9,2015-10-11,7
10,2015-10-18,3
11,2015-10-25,2
12,2015-11-01,9
13,2015-11-08,2
14,2015-11-15,4
15,2015-11-22,7
16,2015-11-29,2
17,2015-12-06,4
18,2015-12-13,7
19,2015-12-20,3
20,2015-12-27,3
21,2016-01-03,6
22,2016-01-10,6
23,2016-01-17,2
24,2016-01-24,3
25,2016-01-31,7
26,2016-02-07,11
27,2016-02-14,11
28,2016-02-21,12
29,2016-02-28,3
30,2016-03-06,6
31,2016-03-13,3
32,2016-03-20,5
33,2016-03-27,6
34,2016-04-03,7
35,2016-04-10,9
36,2016-04-17,5
37,2016-04-24,11
38,2016-05-01,6
39,2016-05-08,7
40,2016-05-15,6
41,2016-05-22,9
42,2016-05-29,7
43,2016-06-05,7
44,2016-06-12,4
45,2016-06-19,4
46,2016-06-26,12
47,2016-07-03,8
48,2016-07-10,10
49,2016-07-17,10
50,2016-07-24,9
51,2016-07-31,8
52,2016-08-07,15
53,2016-08-14,12
54,2016-08-21,8
55,2016-08-28,4
56,2016-09-04,5
57,2016-09-11,8
58,2016-09-18,14
59,2016-09-25,6
60,2016-10-02,7
61,2016-10-09,8
62,2016-10-16,11
63,2016-10-23,15
64,2016-10-30,15
65,2016-11-06,22
66,2016-11-13,15
67,2016-11-20,17
68,2016-11-27,32
69,2016-12-04,21
70,2016-12-11,35
71,2016-12-18,18
72,2016-12-25,22
73,2017-01-01,14
74,2017-01-08,13
75,2017-01-15,13
76,2017-01-22,15
77,2017-01-29,20
78,2017-02-05,14
79,2017-02-12,20
80,2017-02-19,9
81,2017-02-26,9
82,2017-03-05,8
83,2017-03-12,15
84,2017-03-19,2
85,2017-03-26,14
86,2017-04-02,7
87,2017-04-09,11
88,2017-04-16,20
89,2017-04-23,7
90,2017-04-30,16
91,2017-05-07,5
92,2017-05-14,16
93,2017-05-21,20
94,2017-05-28,16
95,2017-06-04,7
96,2017-06-11,10
