Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,36248.0,62955495.0,13.0,1750.0,1688.0,1734.0,1688.0,1734.0
2016-02-21,92053.0,154075588.0,33.0,1745.0,1648.0,1715.0,1652.0,1734.0
2016-02-22,121587.0,205209440.0,20.0,1710.0,1660.0,1704.0,1710.0,1715.0
2016-02-23,154938.0,263898487.0,28.0,1720.0,1651.0,1704.0,1701.0,1704.0
2016-02-24,97918.0,166212452.0,15.0,1700.0,1624.0,1702.0,1666.0,1704.0
2016-02-27,144611.0,245448458.0,37.0,1720.0,1666.0,1700.0,1719.0,1702.0
2016-02-28,93116.0,165255110.0,27.0,1785.0,1652.0,1724.0,1750.0,1700.0
2016-02-29,69134.0,117156169.0,13.0,1780.0,1670.0,1717.0,1750.0,1724.0
2016-03-01,235213.0,418254199.0,54.0,1802.0,1655.0,1766.0,1802.0,1717.0
2016-03-02,231684.0,424315200.0,64.0,1854.0,1701.0,1818.0,1854.0,1766.0
2016-03-05,60556.0,115540848.0,13.0,1908.0,1908.0,1838.0,1908.0,1818.0
2016-03-06,54632.0,105385128.0,17.0,1929.0,1929.0,1856.0,1929.0,1838.0
2016-03-07,115448.0,224892704.0,33.0,1948.0,1948.0,1895.0,1948.0,1856.0
2016-03-08,106841.0,212506749.0,15.0,1989.0,1989.0,1932.0,1989.0,1895.0
2016-03-09,121318.0,246032904.0,26.0,2028.0,2028.0,1974.0,2028.0,1932.0
2016-03-12,612467.0,1257571036.0,95.0,2072.0,1980.0,2053.0,2072.0,1974.0
2016-03-14,776856.0,1672653104.0,87.0,2155.0,2124.0,2153.0,2155.0,2053.0
2016-03-15,192325.0,402691694.0,49.0,2255.0,2046.0,2108.0,2046.0,2153.0
2016-03-16,168312.0,337896750.0,34.0,2041.0,2003.0,2041.0,2004.0,2108.0
2016-04-11,375246.0,752064163.0,79.0,2087.0,1939.0,2004.0,2010.0,2041.0
2016-04-12,77264.0,150069474.0,28.0,1956.0,1904.0,1985.0,1905.0,2004.0
2016-04-13,26153.0,49611113.0,15.0,1950.0,1886.0,1976.0,1900.0,1985.0
2016-04-16,28210.0,53530500.0,9.0,1900.0,1878.0,1967.0,1878.0,1976.0
2016-04-17,50659.0,95248582.0,16.0,1918.0,1869.0,1950.0,1870.0,1967.0
2016-04-18,174396.0,354418693.0,42.0,2047.0,1953.0,2007.0,2047.0,1950.0
2016-04-19,525336.0,1099848474.0,90.0,2107.0,2039.0,2094.0,2107.0,2007.0
2016-04-20,292863.0,627426723.0,62.0,2198.0,2050.0,2142.0,2050.0,2094.0
2016-04-23,1014322.0,2249230661.0,124.0,2249.0,2035.0,2217.0,2249.0,2142.0
2016-04-24,189685.0,412128630.0,51.0,2299.0,2111.0,2181.0,2160.0,2217.0
2016-04-25,445852.0,945769985.0,78.0,2200.0,2077.0,2121.0,2079.0,2181.0
2016-04-26,436729.0,883482797.0,92.0,2169.0,2015.0,2023.0,2032.0,2121.0
2016-04-27,478952.0,930075661.0,102.0,2000.0,1922.0,1942.0,1922.0,2023.0
2016-04-30,421953.0,860010775.0,46.0,2039.0,1922.0,2038.0,2039.0,1942.0
2016-05-01,164532.0,331095396.0,59.0,2080.0,1954.0,2022.0,2058.0,2038.0
2016-05-02,95250.0,190843636.0,26.0,2087.0,1985.0,2015.0,2016.0,2022.0
2016-05-03,148968.0,302519540.0,25.0,2080.0,1935.0,2024.0,2059.0,2015.0
2016-05-04,70779.0,141179987.0,9.0,2015.0,1971.0,2016.0,1995.0,2024.0
2016-05-07,84593.0,172148779.0,26.0,2050.0,2015.0,2022.0,2020.0,2016.0
2016-05-08,79123.0,155950940.0,22.0,2021.0,1936.0,2006.0,1940.0,2022.0
2016-05-09,225227.0,458511970.0,32.0,2080.0,1944.0,2033.0,2044.0,2006.0
2016-05-10,15077.0,30084793.0,12.0,2050.0,1991.0,2031.0,2048.0,2033.0
2016-05-11,91006.0,176350923.0,36.0,1991.0,1930.0,1997.0,1930.0,2031.0
2016-05-14,168784.0,321329532.0,38.0,1950.0,1898.0,1934.0,1904.0,1997.0
2016-05-15,33927.0,63804744.0,14.0,2000.0,1871.0,1927.0,1871.0,1934.0
2016-05-16,10155.0,19085920.0,3.0,1964.0,1874.0,1925.0,1876.0,1927.0
2016-06-14,166337.0,304253373.0,29.0,1969.0,1829.0,1864.0,1829.0,1925.0
2016-06-15,28797.0,51824105.0,8.0,1800.0,1771.0,1857.0,1800.0,1864.0
2016-06-18,1206320.0,2231626303.0,137.0,1899.0,1765.0,1850.0,1765.0,1857.0
2016-06-19,36959.0,65120062.0,20.0,1770.0,1758.0,1838.0,1758.0,1850.0
2016-06-20,15624.0,27295128.0,11.0,1747.0,1747.0,1833.0,1747.0,1838.0
2016-06-21,67468.0,117529256.0,25.0,1742.0,1742.0,1810.0,1742.0,1833.0
2016-06-22,371502.0,655466658.0,65.0,1817.0,1720.0,1764.0,1780.0,1810.0
2016-06-25,13756.0,23263376.0,6.0,1819.0,1676.0,1760.0,1703.0,1764.0
2016-06-26,123068.0,206032710.0,34.0,1749.0,1672.0,1723.0,1700.0,1760.0
2016-06-28,273575.0,486840602.0,53.0,1809.0,1637.0,1778.0,1809.0,1723.0
2016-07-04,349190.0,590218756.0,37.0,1694.0,1690.0,1690.0,1690.0,1778.0
2016-07-05,1806.0,3090560.0,2.0,1760.0,1672.0,1690.0,1760.0,1690.0
2016-07-09,347703.0,616048615.0,49.0,1774.0,1674.0,1772.0,1774.0,1690.0
2016-07-10,22070.0,38454288.0,17.0,1776.0,1704.0,1770.0,1721.0,1772.0
2016-07-11,110248.0,195176116.0,28.0,1800.0,1726.0,1770.0,1726.0,1770.0
2016-07-12,12402.0,21214637.0,7.0,1712.0,1710.0,1768.0,1710.0,1770.0
2016-07-13,143543.0,262627640.0,36.0,1849.0,1730.0,1798.0,1847.0,1768.0
2016-07-16,126944.0,231908718.0,29.0,1859.0,1800.0,1811.0,1830.0,1798.0
2016-07-17,252968.0,458226504.0,44.0,1870.0,1770.0,1811.0,1770.0,1811.0
2016-07-18,105810.0,190085700.0,8.0,1800.0,1750.0,1805.0,1800.0,1811.0
2016-07-19,9662.0,17462688.0,11.0,1810.0,1782.0,1805.0,1800.0,1805.0
2016-07-20,87221.0,159063937.0,24.0,1835.0,1800.0,1811.0,1800.0,1805.0
2016-07-23,165243.0,303059548.0,30.0,1870.0,1780.0,1825.0,1780.0,1811.0
