,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524866146257096704,524866146257096704,1413972815000,2014-10-22,13:43:35,430,2778040873,hibourse,hibourse,,"بیشترین افزایش قیمت:
#دامین ۱۲.۱
#غدشت ۴
#ونفت ۴
#رتک، ۴
#وسینا ۳.۹۹
***
#بورس #هایبورس
#TSE",[],[],[],0,0,0,"['#دامین', '#غدشت', '#ونفت', '#رتک', '#وسینا', '#بورس', '#هایبورس', '#tse']",[],https://twitter.com/hibourse/status/524866146257096704,False,,0,,,,,,,"[{'user_id': '2778040873', 'username': 'hibourse'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598505740890972160,598505740890972160,1431529862000,2015-05-13,19:41:02,430,2463165061,bourseiness,بورسینس,,دیگر #اخبار مهم امروز #بورس ؛ شفاف سازی #ونفت درباره فروش 51 درصد یک شرکت بود که منجر به صف خرید در این نماد شد  http://www.bourseiness.com/22752/vnaft-clarification.html …,[],['http://www.bourseiness.com/22752/vnaft-clarification.html'],[],0,0,0,"['#اخبار', '#بورس', '#ونفت']",[],https://twitter.com/bourseiness/status/598505740890972160,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,699153392564830208,699153392564830208,1455526133000,2016-02-15,12:18:53,430,2463165061,bourseiness,بورسینس,,#ونفت  http://goo.gl/fb/zUzuVH  #اخبار,[],['http://goo.gl/fb/zUzuVH'],[],0,0,0,"['#ونفت', '#اخبار']",[],https://twitter.com/bourseiness/status/699153392564830208,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,701644808897617925,701644808897617925,1456120133000,2016-02-22,09:18:53,430,2463165061,bourseiness,بورسینس,,#ونفت صف خرید  http://goo.gl/fb/TchdJq  #اقتصاد #بورس,[],['http://goo.gl/fb/TchdJq'],[],0,0,0,"['#ونفت', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/701644808897617925,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,701652618846806016,701652618846806016,1456121995000,2016-02-22,09:49:55,430,2463165061,bourseiness,بورسینس,,#ونفت و #شپنا صف خرید  http://goo.gl/fb/qtG4SI  #اقتصاد #بورس,[],['http://goo.gl/fb/qtG4SI'],[],0,0,0,"['#ونفت', '#شپنا', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/701652618846806016,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,702000303244242944,702000303244242944,1456204889000,2016-02-23,08:51:29,430,2463165061,bourseiness,بورسینس,,✍ شایعات امروز سه شنبه ۴ اسفند ماه #ونفت شنيده ها حاكى از آمادگى…  http://goo.gl/fb/pyjIYd  #اقتصاد #بورس,[],['http://goo.gl/fb/pyjIYd'],[],0,0,0,"['#ونفت', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/702000303244242944,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,702101905787510785,702101905787510785,1456229113000,2016-02-23,15:35:13,430,2463165061,bourseiness,بورسینس,,خبری بسیار خوب جهت #ونفت خبرمی رسد سرمایه گذار خارجی خواهان ورود به پروژه…  http://goo.gl/fb/ehfspu  #اقتصاد #بورس,[],['http://goo.gl/fb/ehfspu'],[],0,0,0,"['#ونفت', '#اقتصاد', '#بورس']",[],https://twitter.com/bourseiness/status/702101905787510785,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,704216000380669952,704216000380669952,1456733152000,2016-02-29,11:35:52,430,2463165061,bourseiness,بورسینس,,عرضه در گروه پالایشی دوباره افزایش یافت #ونفت و #شپنا دوباره صف فروش شدند  http://goo.gl/fb/hldzpq  #اقتصاد,[],['http://goo.gl/fb/hldzpq'],[],0,0,0,"['#ونفت', '#شپنا', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704216000380669952,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,706354241162625024,706354241162625024,1457242949000,2016-03-06,09:12:29,430,2463165061,bourseiness,بورسینس,,#ونفت آگهی ثبت افزایش سرمایه شرکت سرمايه گذاري صنعت نفت بر اساس تصمیمات مجمع…  http://goo.gl/fb/iEXuGc  #اقتصاد,[],['http://goo.gl/fb/iEXuGc'],[],0,0,0,"['#ونفت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706354241162625024,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,716495167071592448,716495167071592448,1459660734000,2016-04-03,09:48:54,430,2463165061,bourseiness,بورسینس,,افزایش سرمایه #ونفت از امروز قابل معامله است  http://goo.gl/fb/CTWxvu  #اقتصاد,[],['http://goo.gl/fb/CTWxvu'],[],0,0,0,"['#ونفت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/716495167071592448,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9912850856781006
