Date,Volume,Price,Trades,High,Low,Open,Close,Open-shifted
2016-02-20,447643,4493116466,205,10179.0,9900.0,9982.0,10100.0,9911.0
2016-02-21,577183,5856093653,195,10248.0,10050.0,10100.0,10248.0,9982.0
2016-02-22,389595,4086057554,205,10605.0,10165.0,10289.0,10605.0,10100.0
2016-02-23,723567,7812299898,237,10803.0,10705.0,10748.0,10803.0,10289.0
2016-02-24,976954,10773561765,359,11285.0,10350.0,11028.0,11250.0,10748.0
2016-02-27,766541,8823352185,413,11554.0,11300.0,11490.0,11480.0,11028.0
2016-02-28,664455,7539377964,340,11600.0,10930.0,11371.0,11000.0,11490.0
2016-02-29,444553,4809884146,281,11001.0,10803.0,11065.0,10803.0,11371.0
2016-03-01,749902,7931823891,449,10700.0,10512.0,10608.0,10512.0,11065.0
2016-03-02,1404938,14844416469,382,11020.0,10080.0,10566.0,11020.0,10608.0
2016-03-05,2077364,22927522424,443,11094.0,10800.0,11037.0,11094.0,10566.0
2016-03-06,416385,4587747268,222,11300.0,10800.0,11027.0,10980.0,11037.0
2016-03-07,298117,3187672660,208,10979.0,10500.0,10902.0,10602.0,11027.0
2016-03-08,447816,4755342300,297,10750.0,10500.0,10744.0,10551.0,10902.0
2016-03-09,434839,4574639664,218,10750.0,10360.0,10622.0,10400.0,10744.0
2016-03-12,587150,6154433714,335,10746.0,10300.0,10519.0,10450.0,10622.0
2016-03-14,317829,3362074308,215,10660.0,10400.0,10543.0,10600.0,10519.0
2016-03-15,606704,6381238906,303,10750.0,10016.0,10524.0,10600.0,10543.0
2016-03-16,747176,7838454642,496,10700.0,10270.0,10493.0,10600.0,10524.0
2016-03-26,187586,2002603031,80,10800.0,10500.0,10536.0,10800.0,10493.0
2016-03-27,194746,2109947419,142,10984.0,10600.0,10609.0,10920.0,10536.0
2016-03-28,189943,2056216927,118,10979.0,10701.0,10660.0,10950.0,10609.0
2016-03-29,337692,3720340588,190,11150.0,10852.0,10811.0,11000.0,10660.0
2016-03-30,156603,1737462444,104,11193.0,10900.0,10867.0,11148.0,10811.0
2016-04-02,105337,1151030608,124,11180.0,10871.0,10875.0,10990.0,10867.0
2016-04-03,184715,2021062438,142,11030.0,10880.0,10890.0,10880.0,10875.0
2016-04-04,235385,2587173769,138,11147.0,10910.0,10920.0,10960.0,10890.0
2016-04-05,426287,4683636817,177,11025.0,10919.0,10956.0,11000.0,10920.0
2016-04-06,308619,3305893852,182,11000.0,10502.0,10862.0,10860.0,10956.0
2016-04-09,198510,2154619716,363,11000.0,10520.0,10860.0,10949.0,10862.0
2016-04-10,394643,4197058314,415,10970.0,10520.0,10749.0,10610.0,10860.0
2016-04-11,328916,3539949855,611,10900.0,10600.0,10755.0,10700.0,10749.0
2016-04-12,241507,2569437646,300,10703.0,10552.0,10720.0,10650.0,10755.0
2016-04-13,433552,4505906717,186,10880.0,10200.0,10543.0,10440.0,10720.0
2016-04-16,683346,6866559232,230,10500.0,10016.0,10121.0,10016.0,10543.0
2016-04-17,430831,4200196125,262,9959.0,9615.0,9921.0,9706.0,10121.0
2016-04-18,207545,2125124200,162,10400.0,9950.0,10004.0,10250.0,9921.0
2016-04-19,129677,1321182199,121,10300.0,10001.0,10034.0,10194.0,10004.0
2016-04-20,281206,2849899896,140,10240.0,10051.0,10069.0,10109.0,10034.0
2016-04-23,233649,2376000600,128,10249.0,10095.0,10098.0,10120.0,10069.0
2016-04-24,311302,3145376460,182,10190.0,10050.0,10100.0,10070.0,10098.0
2016-04-25,377635,3783770773,224,10201.0,9991.0,10062.0,9992.0,10100.0
2016-04-26,204856,2036342217,161,10000.0,9900.0,10031.0,9999.0,10062.0
2016-04-27,207135,2047382659,141,9999.0,9781.0,9993.0,9781.0,10031.0
2016-04-30,261230,2589351737,135,9990.0,9600.0,9967.0,9900.0,9993.0
2016-05-01,238626,2342572000,151,9970.0,9730.0,9922.0,9938.0,9967.0
2016-05-02,2212623,22356944302,165,10157.0,9670.0,10104.0,10157.0,9922.0
2016-05-03,450332,4431781769,155,10104.0,9602.0,9956.0,9602.0,10104.0
2016-05-04,183315,1775112861,124,9940.0,9600.0,9894.0,9600.0,9956.0
2016-05-07,1103810,10436857494,238,9800.0,9400.0,9455.0,9400.0,9894.0
2016-05-08,1304494,12378909821,248,9926.0,9280.0,9489.0,9300.0,9455.0
2016-05-09,500992,4720249379,104,9700.0,9390.0,9447.0,9473.0,9489.0
2016-05-10,351415,3335139720,129,9580.0,9400.0,9466.0,9500.0,9447.0
2016-05-11,290972,2758485708,120,9538.0,9300.0,9471.0,9470.0,9466.0
2016-05-14,272386,2585522873,112,9630.0,9430.0,9478.0,9500.0,9471.0
2016-05-15,321593,3061183472,109,9700.0,9450.0,9494.0,9500.0,9478.0
2016-05-16,131245,1263910640,105,9700.0,9460.0,9516.0,9681.0,9494.0
2016-05-17,375163,3692322614,173,9900.0,9700.0,9669.0,9900.0,9516.0
2016-05-18,152300,1488333174,101,9900.0,9700.0,9689.0,9845.0,9669.0
2016-05-21,252624,2438962103,126,9800.0,9455.0,9678.0,9500.0,9689.0
2016-05-23,304686,2996067468,104,9911.0,9600.0,9737.0,9911.0,9678.0
2016-05-24,270730,2681607187,102,9930.0,9821.0,9794.0,9925.0,9737.0
2016-05-25,198386,1967046959,120,9970.0,9830.0,9824.0,9960.0,9794.0
2016-05-28,408596,4187656693,211,10315.0,9970.0,10041.0,10163.0,9824.0
2016-05-29,526906,5383946743,143,10300.0,10101.0,10158.0,10173.0,10041.0
2016-05-30,739548,7564720086,207,10280.0,10150.0,10223.0,10249.0,10158.0
2016-05-31,482936,4946013190,128,10300.0,10200.0,10234.0,10250.0,10223.0
2016-06-01,375636,3839717978,128,10270.0,10168.0,10228.0,10200.0,10234.0
2016-06-05,112472,1152417969,82,10314.0,10001.0,10231.0,10310.0,10228.0
2016-06-06,196736,2014736640,112,10310.0,10100.0,10233.0,10300.0,10231.0
2016-06-07,198085,2008756960,427,10300.0,10010.0,10210.0,10010.0,10233.0
2016-06-08,236501,2385641904,121,10300.0,10000.0,10174.0,10100.0,10210.0
2016-06-11,236061,2385781235,115,10299.0,10001.0,10154.0,10080.0,10174.0
2016-06-12,568410,5720043695,134,10150.0,10000.0,10090.0,10143.0,10154.0
2016-06-13,201768,2031851181,126,10190.0,10000.0,10085.0,10089.0,10090.0
2016-06-14,395367,3948193305,185,10010.0,9850.0,10036.0,9850.0,10085.0
2016-06-15,142496,1409184893,92,10000.0,9841.0,10010.0,9890.0,10036.0
2016-06-18,96752,959880231,126,9999.0,9851.0,9999.0,9900.0,10010.0
2016-06-19,210408,2089684439,114,10000.0,9857.0,9981.0,10000.0,9999.0
2016-06-20,118264,1170552437,90,10000.0,9851.0,9969.0,9898.0,9981.0
2016-06-21,283919,2795371011,92,9970.0,9750.0,9925.0,9970.0,9969.0
2016-06-22,298844,2955371686,115,9999.0,9801.0,9912.0,9900.0,9925.0
2016-06-25,122648,1201676462,56,9955.0,9734.0,9894.0,9800.0,9912.0
2016-06-26,244635,2420833217,104,9980.0,9800.0,9895.0,9940.0,9894.0
2016-06-28,282760,2785692201,91,9969.0,9800.0,9880.0,9896.0,9895.0
2016-06-29,571117,5628514864,140,9929.0,9770.0,9862.0,9830.0,9880.0
2016-07-02,571443,5601614408,146,9890.0,9780.0,9820.0,9800.0,9862.0
2016-07-03,446984,4396971772,203,9900.0,9776.0,9829.0,9851.0,9820.0
2016-07-04,294148,2909366341,144,9920.0,9802.0,9852.0,9898.0,9829.0
2016-07-05,1549031,15528858666,333,10344.0,9820.0,10025.0,10344.0,9852.0
2016-07-18,355558,3010703948,141,8690.0,8302.0,8468.0,8685.0,8575.0
2016-07-19,224054,1962937901,156,8850.0,8251.0,8550.0,8520.0,8468.0
2016-07-20,98820,855327998,64,8749.0,8601.0,8563.0,8690.0,8550.0
2016-07-23,236826,2072533850,127,8900.0,8700.0,8619.0,8750.0,8563.0
2016-07-24,146180,1284378634,94,8900.0,8712.0,8650.0,8849.0,8619.0
2016-07-25,286420,2554878805,118,8990.0,8839.0,8747.0,8990.0,8650.0
2016-07-26,246189,2171682301,83,8980.0,8775.0,8770.0,8870.0,8747.0
2016-07-27,208252,1852501812,125,9003.0,8820.0,8803.0,8861.0,8770.0
2016-07-31,286077,2519313433,168,8852.0,8800.0,8804.0,8809.0,8803.0
2016-08-01,243397,2142589868,94,8830.0,8776.0,8804.0,8800.0,8804.0
2016-08-02,239445,2108809211,129,8850.0,8792.0,8805.0,8850.0,8804.0
2016-08-03,116653,1040333820,65,8951.0,8900.0,8821.0,8948.0,8805.0
2016-08-06,425144,3813765211,164,9020.0,8900.0,8900.0,9020.0,8821.0
2016-08-07,580425,5211747913,158,9050.0,8902.0,8957.0,8959.0,8900.0
2016-08-08,488987,4368019231,141,8958.0,8851.0,8942.0,8853.0,8957.0
2016-08-09,718566,6337383654,181,8990.0,8801.0,8832.0,8812.0,8942.0
2016-08-10,203716,1800321311,83,8900.0,8800.0,8833.0,8860.0,8832.0
2016-08-13,265633,2333619391,98,8860.0,8741.0,8817.0,8799.0,8833.0
2016-08-14,713914,6194829478,221,8838.0,8607.0,8692.0,8607.0,8817.0
2016-08-15,415444,3592477624,119,8788.0,8560.0,8669.0,8615.0,8692.0
2016-08-16,146006,1254030264,85,8650.0,8550.0,8654.0,8649.0,8669.0
2016-08-17,129210,1110063063,78,8699.0,8520.0,8644.0,8575.0,8654.0
2016-08-20,153774,1331674324,87,8799.0,8530.0,8647.0,8600.0,8644.0
2016-08-21,342578,2995158451,143,8830.0,8600.0,8688.0,8760.0,8647.0
2016-08-22,149072,1298455221,78,8798.0,8600.0,8692.0,8600.0,8688.0
2016-08-23,436522,3786904737,79,8800.0,8510.0,8683.0,8510.0,8692.0
2016-08-24,126165,1091852371,75,8700.0,8510.0,8678.0,8689.0,8683.0
2016-08-27,167632,1436054561,85,8798.0,8500.0,8655.0,8518.0,8678.0
2016-08-28,249301,2120011862,163,8600.0,8462.0,8608.0,8510.0,8655.0
2016-08-29,85668,725007649,72,8600.0,8412.0,8592.0,8450.0,8608.0
2016-08-30,263727,2202309040,144,8520.0,8320.0,8512.0,8326.0,8592.0
2016-08-31,203914,1695440184,121,8497.0,8291.0,8462.0,8300.0,8512.0
2016-09-03,187560,1537827600,124,8520.0,8120.0,8400.0,8120.0,8462.0
2016-09-04,217925,1787944782,125,8430.0,8100.0,8347.0,8150.0,8400.0
2016-09-05,227973,1892724795,72,8330.0,8183.0,8334.0,8200.0,8347.0
2016-09-06,347168,2868006475,88,8350.0,8150.0,8302.0,8290.0,8334.0
2016-09-07,117059,966539744,85,8340.0,8200.0,8295.0,8220.0,8302.0
2016-09-10,210336,1710668503,129,8297.0,8100.0,8252.0,8100.0,8295.0
2016-09-11,187294,1513966237,62,8169.0,8030.0,8213.0,8055.0,8252.0
2016-09-13,359851,2890186552,132,8080.0,8007.0,8131.0,8012.0,8213.0
2016-09-14,339046,2754711568,102,8150.0,8051.0,8128.0,8052.0,8131.0
2016-09-17,242354,1952575033,78,8138.0,8007.0,8106.0,8011.0,8128.0
2016-09-18,164544,1318738353,105,8100.0,8000.0,8087.0,8010.0,8106.0
2016-09-19,249545,2004454342,108,8149.0,8001.0,8070.0,8099.0,8087.0
2016-09-21,122919,994701211,54,8140.0,8070.0,8073.0,8080.0,8070.0
2016-09-24,232276,1882917855,106,8145.0,8040.0,8083.0,8123.0,8073.0
2016-09-25,352330,2859406684,135,8130.0,8100.0,8097.0,8100.0,8083.0
2016-09-26,217665,1760031435,138,8130.0,8057.0,8094.0,8085.0,8097.0
2016-09-27,139808,1131640023,72,8120.0,8060.0,8094.0,8100.0,8094.0
2016-09-28,278432,2263298143,103,8150.0,8102.0,8106.0,8130.0,8094.0
2016-10-01,283998,2323973475,125,8300.0,8130.0,8133.0,8300.0,8106.0
2016-10-02,210023,1730734131,110,8295.0,8166.0,8161.0,8240.0,8133.0
2016-10-03,182171,1494017752,99,8270.0,8173.0,8170.0,8174.0,8161.0
2016-10-04,198700,1615008882,79,8182.0,8051.0,8160.0,8121.0,8170.0
2016-10-05,353874,2875805134,113,8235.0,8061.0,8145.0,8170.0,8160.0
2016-10-08,152868,1241093898,86,8195.0,8073.0,8140.0,8150.0,8145.0
2016-10-09,268164,2188101924,336,8189.0,8110.0,8147.0,8189.0,8140.0
2016-10-10,320154,2614216400,149,8189.0,8121.0,8154.0,8160.0,8147.0
2016-10-15,415905,3411961956,159,8259.0,8125.0,8180.0,8259.0,8154.0
2016-10-16,283548,2323958461,125,8259.0,8173.0,8186.0,8209.0,8180.0
2016-10-17,309373,2532881369,155,8200.0,8164.0,8186.0,8164.0,8186.0
2016-10-18,300372,2439826195,125,8182.0,8051.0,8162.0,8051.0,8186.0
2016-10-19,218662,1784210040,131,8189.0,8106.0,8161.0,8189.0,8162.0
2016-10-22,428404,3544127356,174,8400.0,8191.0,8221.0,8306.0,8161.0
2016-10-23,227798,1906559828,176,8428.0,8280.0,8263.0,8340.0,8221.0
2016-10-24,372092,3131041039,418,8490.0,8328.0,8334.0,8480.0,8263.0
2016-10-25,560955,4786871378,240,8676.0,8450.0,8474.0,8549.0,8334.0
2016-10-26,871421,7719159268,649,8897.0,8549.0,8858.0,8897.0,8474.0
2016-10-29,815245,7432131917,335,9279.0,8901.0,9116.0,8999.0,8858.0
2016-10-30,410128,3644238056,260,9190.0,8750.0,8998.0,8750.0,9116.0
2016-10-31,343404,3030308473,201,8950.0,8700.0,8923.0,8926.0,8998.0
2016-11-01,131979,1173804758,98,8997.0,8753.0,8918.0,8862.0,8923.0
2016-11-02,417871,3614110546,208,8885.0,8500.0,8777.0,8650.0,8918.0
2016-11-05,940714,7871680873,283,8885.0,8339.0,8368.0,8339.0,8777.0
2016-11-06,188048,1574415622,117,8499.0,8290.0,8369.0,8400.0,8368.0
2016-11-07,253923,2164752187,126,8650.0,8331.0,8419.0,8649.0,8369.0
2016-11-08,129143,1112268437,97,8650.0,8510.0,8450.0,8638.0,8419.0
2016-11-09,314253,2590039865,162,8440.0,8051.0,8368.0,8351.0,8450.0
2016-11-12,373727,3159526252,163,8699.0,8350.0,8408.0,8489.0,8368.0
2016-11-13,308714,2650994887,154,8679.0,8311.0,8477.0,8501.0,8408.0
2016-11-14,163720,1409818863,92,8679.0,8511.0,8504.0,8511.0,8477.0
2016-11-15,260073,2231986094,131,8670.0,8500.0,8529.0,8500.0,8504.0
2016-11-16,121712,1038604551,92,8580.0,8460.0,8530.0,8475.0,8529.0
